name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
TotalAssets,"17,578,000,000","18,693,000,000","18,718,000,000","20,038,000,000","36,477,000,000"
	CurrentAssets,"5,842,000,000","6,581,000,000","6,378,000,000","5,892,000,000","7,953,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,648,000,000","2,277,000,000","2,150,000,000","1,863,000,000","1,362,000,000"
			CashAndCashEquivalents,"1,648,000,000","2,277,000,000","2,150,000,000","1,863,000,000","1,362,000,000"
		Receivables,"1,451,000,000","1,498,000,000","1,374,000,000","1,451,000,000","1,354,000,000"
			AccountsReceivable,"967,000,000","1,047,000,000","1,035,000,000","974,000,000","960,000,000"
				GrossAccountsReceivable,"970,000,000","1,051,000,000","1,043,000,000","987,000,000","968,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-3,000,000","-4,000,000","-8,000,000","-13,000,000","-8,000,000"
			OtherReceivables,"484,000,000","451,000,000","339,000,000","477,000,000","394,000,000"
		Inventory,"2,429,000,000","2,492,000,000","2,480,000,000","2,253,000,000","2,284,000,000"
			RawMaterials,"442,000,000","453,000,000","462,000,000","484,000,000","497,000,000"
			WorkInProcess,"1,316,000,000","1,371,000,000","1,349,000,000","1,144,000,000","1,115,000,000"
			FinishedGoods,"671,000,000","668,000,000","669,000,000","625,000,000","672,000,000"
		PrepaidAssets,"314,000,000","314,000,000","374,000,000","325,000,000","397,000,000"
		RestrictedCash,"55,000,000",,,,
		AssetsHeldForSaleCurrent,,,,"0","2,556,000,000"
	TotalNonCurrentAssets,"11,736,000,000","12,112,000,000","12,340,000,000","14,146,000,000","28,524,000,000"
		NetPPE,"5,715,000,000","5,704,000,000","5,594,000,000","5,499,000,000","5,425,000,000"
			GrossPPE,"12,789,000,000","12,473,000,000","11,986,000,000","11,572,000,000","11,568,000,000"
				LandAndImprovements,"128,000,000","136,000,000","140,000,000","135,000,000","149,000,000"
				BuildingsAndImprovements,"2,385,000,000","2,364,000,000","2,395,000,000","2,296,000,000","2,229,000,000"
				MachineryFurnitureEquipment,"9,293,000,000","9,234,000,000","8,830,000,000","8,358,000,000","8,369,000,000"
				OtherProperties,"252,000,000",,,,
				ConstructionInProgress,"731,000,000","739,000,000","621,000,000","783,000,000","821,000,000"
			AccumulatedDepreciation,"-7,074,000,000","-6,769,000,000","-6,392,000,000","-6,073,000,000","-6,143,000,000"
		GoodwillAndOtherIntangibleAssets,"5,151,000,000","5,419,000,000","5,522,000,000","6,136,000,000","6,353,000,000"
			Goodwill,"4,493,000,000","4,500,000,000","4,535,000,000","5,148,000,000","5,249,000,000"
			OtherIntangibleAssets,"658,000,000","919,000,000","987,000,000","988,000,000","1,104,000,000"
		InvestmentsAndAdvances,,,"0","1,122,000,000","193,000,000"
			LongTermEquityInvestment,,,"0","1,020,000,000","0"
			OtherInvestments,,,,"102,000,000","193,000,000"
		NonCurrentDeferredAssets,"608,000,000","573,000,000","743,000,000","1,234,000,000","1,308,000,000"
			NonCurrentDeferredTaxesAssets,"608,000,000","573,000,000","743,000,000","1,234,000,000","1,308,000,000"
