name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
	OtherTaxes,,,,,,,,"130,000","113,000","144,000","942,401","796,633","762,207","659,759","541,231","497,244","394,217","346,584","395,440","362,556","342,302","376,278","384,128","433,748","447,703","426,677","455,576","339,356","384,115","241,587","232,911","245,335","219,896","243,615","217,065","241,960","234,468","229,458","197,154","185,191","188,581","204,454","182,572","157,203","162,055","109,618",,,,"-856,567","-1,016,444","-1,426,288","-767,591","-747,074","-4,134,041","-624,406","-701,256","-683,764",,,"-648,638","-646,185","-1,568,599","-679,290","-530,426","-589,860","-722,279","-514,072","-543,421","-578,314","-654,374","-421,708","-442,434","-509,962","-441,205","-1,919,051","-463,922","-561,169","-464,512","-489,693","-421,166","-1,080,871","-500,000","-400,000","-400,000","-500,000","-300,000","-400,000","-400,000","-500,000","-300,000","-400,000","-2,100,000","-500,000","-300,000","-400,000","-1,300,000","-400,000","-400,000","-400,000","-400,000","-400,000","-400,000","-400,000","-400,000","-500,000","-400,000","-300,000","-500,000","-500,000","-400,000","-400,000","-400,000",,"-400,000","-400,000","-400,000","-400,000","-400,000","-400,000","-400,000","-400,000",,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,"-107,000","-85,000","-108,000","-136,000","-123,000","-124,000","-122,000","-123,000","-116,533","-124,757","-124,482","-124,228","381,155","-124,623","-124,594","-124,437","408,753","-139,017","-125,336",,,,,,,,,,,,,,,,,,,,,,,,,,,"314,571","451,264","1,065,557","3,190,004","2,279,098","954,585","892,818","9,128,800","785,857","922,249","871,927","5,490,974","166,204","809,655","795,593","4,027,481","836,577","681,932","726,940","2,220,861","665,865","687,391","703,513","1,881,298","536,476","559,804","604,664","1,300,315","3,580,818","605,661","715,261","1,437,510","636,604","556,700","1,789,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"294,962,000","70,542,000","88,160,000","73,818,000","62,442,000","175,153,000","77,889,000","62,959,000","65,505,000","54,481,000","33,868,685","39,071,366","24,731,884","22,104,065","16,071,576","13,092,176","15,097,626","10,796,472","13,338,974","17,225,918","10,941,774","33,748,918","12,196,497","13,874,798","14,709,532","10,636,204","11,142,193","14,101,172","9,046,569","5,840,639","6,757,776","6,184,331","7,770,616","8,590,728","9,813,456","7,632,198","7,779,846","4,881,153","4,120,452","3,203,125","5,587,952","3,486,945","2,508,668","2,794,549","3,491,688","1,196,431","1,915,819","5,090,415","4,471,615","4,098,371","3,100,946","3,582,480","2,716,296","2,107,992","5,013,372","4,178,133","4,311,222","2,815,004","4,369,010","3,344,312","3,416,582","1,933,076","1,103,897","20,950,793","2,069,821","1,647,924","2,176,801","2,140,863","2,040,696","1,236,883","3,350,995","1,427,982","1,301,961","1,012,682","1,541,917","5,970,540","1,445,004","1,086,560","1,789,538","1,408,996","1,150,569","993,654","-200,578","1,300,000","1,500,000","1,700,000","1,641,538","1,500,000","1,900,000","3,700,000","-3,568,883","4,200,000","5,500,000","3,800,000","-1,061,440","2,000,000","3,800,000","1,500,000","-548,282","1,200,000","2,300,000","1,800,000","3,100,000","2,800,000","2,000,000","2,700,000","1,600,000","1,200,000","1,800,000","1,700,000","1,700,000","1,100,000","1,200,000","900,000","2,000,000","1,100,000","1,200,000","1,700,000","2,700,000","1,300,000","1,400,000","1,400,000","3,200,000","1,300,000","1,200,000","1,100,000","2,500,000","1,100,000","1,300,000","1,300,000","2,300,000","1,300,000","1,500,000","1,500,000","2,700,000","1,600,000","1,600,000","1,600,000","6,400,000","2,400,000"
NetNonOperatingInterestIncomeExpense,,,,,,,,,,,"44,868","20,073","9,565","9,494","9,784","7,500","5,844","5,942","6,197","7,290","7,259","6,693","4,050","3,749","3,380","3,344","3,082","2,743","3,109","3,071","-539,268","185,652","185,493","187,558","196,304","215,916","232,705","4,340","-816,393","277,628","280,309","284,163","1,223,890","11,855","325,757","329,518","1,385,531","41,255","82,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,"44,868","20,073","9,565","9,494","9,784","7,500","5,844","5,942","6,197","7,290","7,259","6,693","4,050","3,749","3,380","3,344","3,082","2,743","3,109","3,071","-539,268","185,652","185,493","187,558","196,304","215,916","232,705","4,340","-816,393","277,628","280,309","284,163","1,223,890","11,855","325,757","329,518","1,385,531","41,255","82,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"3,115,000","826,000","911,000","941,000","437,000","393,000","390,000","236,000","160,000","130,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-715,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","715,712","-715,712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"3,115,000","826,000","911,000","941,000","437,000","393,000","390,000","236,000","160,000","130,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"298,077,000","71,368,000","89,071,000","74,759,000","62,879,000","175,546,000","78,279,000","63,195,000","65,665,000","54,611,000","33,913,553","39,091,439","24,741,449","22,113,559","16,081,360","13,099,676","15,103,470","10,802,414","13,345,171","17,233,208","10,949,033","33,755,611","12,200,547","13,878,547","14,712,912","10,639,548","11,145,275","14,103,915","9,049,678","5,843,710","6,218,508","6,369,983","7,956,109","8,778,286","10,009,760","7,848,114","8,012,551","4,885,493","4,125,314","3,211,679","5,594,027","3,493,161","2,516,078","2,806,404","3,508,751","1,213,530","1,939,986","5,131,670","4,554,350","4,178,960","3,187,938","3,658,544","2,814,070","2,217,162","5,574,656","4,178,133","4,311,222","2,815,004","3,057,043","3,766,027","3,416,582","1,933,076","1,819,609","20,235,081","2,069,821","1,647,924","2,176,801","2,140,863","2,040,696","1,236,883","3,350,995","1,427,982","1,301,961","1,012,682","1,541,917","5,970,540","1,445,004","1,086,560","1,789,538","1,408,996","1,150,569","993,654","1,299,422","800,000","1,000,000","1,000,000","3,341,538","1,000,000","1,300,000","3,100,000","1,331,117","3,700,000","1,600,000","3,200,000","2,238,560","1,400,000","1,600,000","1,000,000","1,151,718","700,000","1,700,000","1,300,000","1,800,000","2,200,000","1,500,000","1,800,000","700,000","700,000","1,100,000","1,000,000","900,000","600,000","700,000",,"800,000","600,000","800,000","1,200,000","1,600,000","800,000","900,000","800,000",,,,,,,,,,,,,,,,,,
TaxProvision,"61,946,000","13,967,000","19,949,000","14,737,000","13,293,000","35,548,000","15,599,000","12,433,000","13,162,000","10,820,000","15,554,140","12,686,727","8,029,997","7,228,137","5,174,390","4,170,264","4,980,353","3,522,363","4,350,114","5,771,859","3,533,021","11,589,522","3,965,655","4,512,504","4,798,745","3,389,630","3,626,169","4,672,797","2,919,238","1,705,866","2,104,711","2,058,891","2,671,435","2,840,031","3,449,425","2,589,178","2,596,622","1,525,924","1,292,781","983,502","1,788,493","1,050,694","746,736","852,704","1,079,902","451,378","742,106","1,538,156","1,336,728","1,248,203","1,016,949","1,123,409","841,119","646,549","1,774,434","1,320,431","1,351,903","862,385","876,035","1,165,224","1,038,379","580,503","488,307","6,788,934","612,085","470,151","649,201","633,870","621,558","360,463","1,074,058","429,747","387,437","301,592","470,011","1,967,913","419,755","299,829","533,361","414,579","339,768","296,980","361,595","200,000","300,000","300,000","1,108,277","300,000","400,000","1,000,000","424,376","1,200,000","500,000","1,000,000","674,287","400,000","500,000","300,000","322,817","200,000","500,000","400,000","500,000","700,000","500,000","600,000","200,000","200,000","300,000","300,000","200,000","200,000","200,000",,"200,000","200,000","200,000","400,000","500,000","200,000","300,000","300,000",,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"236,131,000","57,401,000","69,122,000","60,022,000","49,586,000","139,998,000","62,680,000","50,762,000","52,503,000","43,791,000","18,359,413","26,404,712","16,711,452","14,885,422","10,906,970","8,929,412","10,123,117","7,280,051","8,995,057","11,461,349","7,416,012","22,166,089","8,234,892","9,366,043","9,914,167","7,249,918","7,519,106","9,431,118","6,130,440","4,137,844","4,113,797","4,311,092","5,284,674","5,938,255","6,560,335","5,258,936","5,415,929","3,359,569","2,832,533","2,228,177","3,805,534","2,442,467","1,769,342","1,953,700","2,428,849","762,152","1,197,880","3,593,514","3,217,622","2,930,757","2,170,989","2,535,135","1,972,951","1,570,613","3,800,222","2,857,702","2,959,319","1,952,619","2,181,008","2,600,803","2,378,203","1,352,573","1,331,302","13,446,147","1,457,736","1,177,773","1,527,600","1,506,993","1,419,138","876,420","2,276,937","998,235","914,524","711,090","1,071,906","4,002,627","1,025,249","786,731","1,256,177","994,417","810,801","696,674","937,827","600,000","700,000","700,000","2,233,261","700,000","900,000","2,100,000","906,741","2,500,000","1,100,000","2,200,000","1,564,273","1,000,000","1,100,000","700,000","828,901","500,000","1,200,000","900,000","1,300,000","1,500,000","1,000,000","1,200,000","500,000","500,000","800,000","-100,000","700,000","400,000","500,000","400,000","600,000","400,000","600,000","800,000","1,100,000","600,000","600,000","500,000","1,000,000","700,000","600,000","600,000","400,000","500,000","700,000","700,000","400,000","600,000","900,000","800,000","700,000","700,000","800,000","800,000","3,200,000","1,000,000"
