name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"3,018,610,281","2,257,427,903","1,180,177,962","946,350,225","713,145,725"
EnterpriseValue,"2,990,131,281","2,182,331,903","1,115,433,962","849,666,225","636,611,725"
PeRatio,"61.099","44.588","34.086","37.815","29.839"
ForwardPeRatio,"54.348","36.9","24.691","27.248","26.596"
PsRatio,"9.011","7.954","5.563","6.062","4.636"
PbRatio,"7.521","5.788","4.576","4.085","3.398"
EnterprisesValueRevenueRatio,"8.882","6.649","5.022","4.549","4.699"
