name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
MarketCap,"2,439,213,865","5,361,568,846","5,903,344,885","11,622,782,531","12,905,631,246","8,475,062,546","9,284,808,710","9,143,136,987","4,999,185,694","5,307,438,404","7,545,829,850","4,425,219,475","2,230,014,304","3,510,496,714","3,025,240,815","3,543,054,683","1,581,529,100","1,095,988,898","741,244,513"
EnterpriseValue,"4,666,433,865","7,670,890,846","6,527,545,885","12,686,483,531","13,694,306,246","9,075,750,546","10,221,151,710","10,038,605,987","5,679,647,694","5,596,598,404","7,781,703,850","4,814,230,475","2,817,522,304","3,860,214,714","3,416,769,815","3,953,977,683","1,465,783,100","1,055,568,898","752,983,513"
PeRatio,,"10.415","9.026","33.519",,,"14.54","19.945","14.184","10.049","13.213",,,"10.399","6.426","11.469","10.557","12.243","13.664"
ForwardPeRatio,"5.624","9.843",,"17.391","38.314","294.118","29.674","15.129","9.843","10.627","13.495",,,,,,,,
PegRatio,,,,,,,"2.106","0.672","0.695","2.935","6.159",,,,,,,,
PsRatio,"1.055","2.193","2.551","6.525","10.673","4.852","3.784","4.653","3.023","3.07","4.597","4.292","1.107","2.515","2.205","2.314","2.401","2.506","2.589"
PbRatio,"0.874","1.378","1.951","4.848","5.54","2.468","2.096","2.396","1.439","1.762","2.891","2.171","0.949","1.077","1.041","1.46","2.257","2.05","1.666"
EnterprisesValueRevenueRatio,"2.066","3.246","2.791","6.614","10.891","6.248","4.216","5.024","3.497","3.184","4.822","4.768","1.43","2.697","2.696","3.535","2.172","2.324","3.593"
EnterprisesValueEBITDARatio,"-160.034","9.984","3.931","10.752","-105.095","-3.078","6.199","6.548","5.217","4.519","6.351","-26.307","-3.228","3.866","3.78","4.584","3.92","4.374","6.782"
