name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
		RetainedEarnings,"7,464,585,000","5,361,154,000","2,413,702,393.83","355,112,875.8","-610,938,688.38","-668,730,320.54","-149,857,614.72","-45,452,860.42"
		TreasuryStock,"402,267,000","402,267,000","421,061,332.86","447,833,437.2","418,683,439.08","400,062,086.46",,
		GainsLossesNotAffectingRetainedEarnings,"302,687,000","313,564,000","104,158,720.26","-112,267,358.4","-29,381,977.32","-6,370,573.43","957,517.92","-143,561.63"
		OtherEquityInterest,,,,,,"2,731,785,008.19","-90,903.6","-93,627.15"
	MinorityInterest,"188,724,000","92,300,000","18,600,237.81",,,,,
TotalCapitalization,"18,484,410,000","15,807,675,000","6,756,743,670.39","4,402,501,132.2","3,040,677,602.52","2,731,785,008.19","348,215,330.16","128,837,200.21"
PreferredStockEquity,,,,,,,"486,752,416.56","169,770,990.19"
CommonStockEquity,"13,530,058,000","10,930,559,000","6,756,743,670.39","4,402,501,132.2","3,040,677,602.52","2,731,785,008.19","-138,537,086.4","-40,933,789.98"
CapitalLeaseObligations,"191,667,000",,,,,,,
NetTangibleAssets,"8,279,145,000","5,586,744,000","6,685,822,510.92","4,402,501,132.2","3,040,677,602.52","2,731,785,008.19","348,215,330.16","128,837,200.21"
WorkingCapital,"13,187,111,000","9,936,953,000","6,062,841,853.74","4,072,233,172.8","2,803,765,123.44","2,654,314,617.18","322,071,454.8","122,851,304.42"
InvestedCapital,"18,484,410,000","15,807,675,000","6,756,743,670.39","4,402,501,132.2","3,040,677,602.52","2,731,785,008.19","-138,537,086.4","-40,933,789.98"
TangibleBookValue,"8,279,145,000","5,586,744,000","6,685,822,510.92","4,402,501,132.2","3,040,677,602.52","2,731,785,008.19","-138,537,086.4","-40,933,789.98"
TotalDebt,"5,146,019,000","4,877,116,000",,,,,,
NetDebt,"2,341,609,000","2,409,082,000",,,,,,
ShareIssued,"417,279,310","413,876,480","398,425,309","388,948,435","383,751,403","377,756,110","372,956,110","372,956,110"
OrdinarySharesNumber,"417,279,310","413,876,480","398,425,309","388,948,435","383,751,403","377,756,110","372,956,110","372,956,110"
