name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996
TotalAssets,"67,856,000,000","61,416,000,000","61,707,000,000","61,590,000,000","67,518,000,000","65,003,000,000","64,706,000,000","64,353,000,000","64,187,000,000","63,365,000,000","60,375,000,000","58,753,000,000","55,879,000,000","48,999,000,000","49,199,000,000","49,202,000,000","47,943,000,000","45,427,000,000","41,205,000,000","47,115,000,000","46,825,000,000","45,530,000,000","45,819,000,000","45,748,000,000","46,438,000,000","46,279,856,000","45,547,479,000","45,006,525,000","44,966,314,000","47,386,739,000","50,355,605,000","49,155,830,000","51,291,744,000","47,940,452,000","46,524,658,000","46,984,312,000","47,596,543,000","46,373,001,000","45,268,613,000","44,347,080,000","46,678,674,000","47,366,485,000","48,486,976,000","47,951,250,000","49,446,876,000","48,538,215,000","49,705,024,000","51,810,361,000","53,196,950,000","56,845,937,000","64,186,765,000","62,975,066,000","60,135,082,000","53,739,303,000","51,523,171,000","48,892,799,000","47,384,893,000","44,567,686,000","36,202,471,000","34,941,311,000","33,110,005,000","31,032,583,000","30,336,724,000","30,241,614,000","26,909,318,000","26,049,216,000","24,734,446,000","23,200,479,000","21,900,512,000","21,534,248,000","18,250,956,000","18,826,917,000","18,009,890,000","18,172,414,000","18,029,510,000","19,300,171,000","18,415,535,000","17,741,110,000","17,317,437,000","14,892,597,000","15,709,886,000","6,694,300,000","3,927,000,000","3,832,700,000","3,312,300,000","2,241,000,000","1,968,900,000","1,403,800,000","1,322,400,000","1,177,900,000","989,900,000","719,800,000","452,300,000","363,100,000","294,900,000"
TotalLiabilitiesNetMinorityInterest,"61,337,000,000","54,873,000,000","55,138,000,000","54,720,000,000","60,736,000,000","58,441,000,000","57,940,000,000","57,450,000,000","57,298,000,000","56,434,000,000","53,727,000,000","52,070,000,000","49,435,000,000","42,727,000,000","42,883,000,000","43,417,000,000","42,206,000,000","39,628,000,000","35,393,000,000","41,401,000,000","41,372,000,000","40,155,000,000","40,545,000,000","40,560,000,000","41,406,000,000","41,423,931,000","40,717,905,000","40,245,897,000","40,014,487,000","42,482,269,000","45,261,751,000","44,076,221,000","46,255,843,000","43,012,502,000","41,578,443,000","42,171,967,000","43,198,751,000","42,320,556,000","41,104,142,000","40,206,645,000","42,862,275,000","43,616,930,000","44,841,104,000","44,968,697,000","46,988,725,000","45,946,719,000","47,167,895,000","49,173,015,000","50,481,611,000","54,016,872,000","60,082,782,000","58,640,904,000","55,784,056,000","49,542,933,000","47,492,914,000","45,045,814,000","43,766,872,000","41,168,126,000","33,688,176,000","32,631,523,000","30,816,131,000","28,804,381,000","28,185,881,000","28,127,729,000","24,931,517,000","24,130,922,000","23,029,706,000","21,535,135,000","20,343,200,000","20,028,459,000","16,785,706,000","17,327,873,000","16,673,933,000","16,601,500,000","16,480,611,000","17,469,388,000","16,692,443,000","15,995,062,000","15,460,604,000","13,033,011,000","13,847,802,000","5,249,900,000","3,013,300,000","2,843,500,000","2,341,900,000","1,513,400,000","1,258,700,000","1,102,100,000","1,027,800,000","891,100,000","708,600,000","636,700,000","376,900,000","291,600,000","225,600,000"
TotalEquityGrossMinorityInterest,"6,519,000,000","6,543,000,000","6,569,000,000","6,870,000,000","6,782,000,000","6,562,000,000","6,766,000,000","6,903,000,000","6,889,000,000","6,931,000,000","6,648,000,000","6,683,000,000","6,444,000,000","6,272,000,000","6,316,000,000","5,785,000,000","5,737,000,000","5,799,000,000","5,812,000,000","5,714,000,000","5,453,000,000","5,375,000,000","5,274,000,000","5,188,000,000","5,032,000,000","4,855,925,000","4,829,574,000","4,760,628,000","4,951,827,000","4,904,470,000","5,093,854,000","5,079,609,000","5,035,901,000","4,927,950,000","4,946,215,000","4,812,345,000","4,397,792,000","4,052,445,000","4,164,471,000","4,140,435,000","3,816,399,000","3,749,555,000","3,645,872,000","2,982,553,000","2,458,151,000","2,591,496,000","2,537,129,000","2,637,346,000","2,715,339,000","2,829,065,000","4,103,983,000","4,334,162,000","4,351,026,000","4,196,370,000","4,030,257,000","3,846,985,000","3,618,021,000","3,399,560,000","2,514,295,000","2,309,788,000","2,293,874,000","2,228,202,000","2,150,843,000","2,113,885,000","1,977,801,000","1,918,294,000","1,704,740,000","1,665,344,000","1,557,312,000","1,505,789,000","1,465,250,000","1,499,044,000","1,335,957,000","1,570,914,000","1,548,899,000","1,830,783,000","1,723,092,000","1,746,048,000","1,856,833,000","1,859,586,000","1,862,084,000","1,444,400,000","913,700,000","989,200,000","970,400,000","727,600,000","710,200,000","301,700,000","294,600,000","286,800,000","281,300,000","83,100,000","75,400,000","71,500,000","69,300,000"
	StockholdersEquity,"6,519,000,000","6,543,000,000","6,569,000,000","6,870,000,000","6,782,000,000","6,562,000,000","6,766,000,000","6,903,000,000","6,889,000,000","6,931,000,000","6,648,000,000","6,683,000,000","6,444,000,000","6,272,000,000","6,316,000,000","5,785,000,000","5,737,000,000","5,799,000,000","5,812,000,000","5,714,000,000","5,453,000,000","5,375,000,000","5,274,000,000","5,188,000,000","5,032,000,000","4,855,925,000","4,829,574,000","4,760,628,000","4,951,827,000","4,904,470,000","5,093,854,000","5,079,609,000","5,035,901,000","4,927,950,000","4,946,215,000","4,812,345,000","4,397,792,000","4,052,445,000","4,164,471,000","4,140,435,000","3,816,399,000","3,749,555,000","3,645,872,000","2,982,553,000","2,458,151,000","2,591,496,000","2,537,129,000","2,637,346,000","2,715,339,000","2,829,065,000","4,103,983,000","4,334,162,000","4,351,026,000","4,196,370,000","4,030,257,000","3,846,985,000","3,618,021,000","3,399,560,000","2,514,295,000","2,309,788,000","2,293,874,000","2,228,202,000","2,150,843,000","2,113,885,000","1,977,801,000","1,918,294,000","1,704,740,000","1,665,344,000","1,557,312,000","1,505,789,000","1,465,250,000","1,499,044,000","1,335,957,000","1,570,914,000","1,493,921,000","1,800,004,000","1,723,092,000","1,746,048,000","1,856,833,000","1,859,586,000","1,862,084,000","1,444,400,000","913,700,000","989,200,000","970,400,000","727,600,000","710,200,000","301,700,000","294,600,000","286,800,000","281,300,000","83,100,000","75,400,000","71,500,000","69,300,000"
		CapitalStock,"691,000,000","691,000,000","691,000,000","691,000,000","691,000,000","691,000,000","692,000,000","692,000,000","692,000,000","692,000,000","397,000,000","397,000,000","397,000,000","397,000,000","397,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,874,000","2,872,000","2,869,000","2,868,000","2,861,000","2,861,000","2,857,000","2,857,000","2,854,000","2,853,000","2,797,000","2,482,000","2,208,000","2,207,000","2,202,000","19,598,000","18,940,000","17,692,000","11,168,000","5,721,000","5,635,000","5,378,000","5,370,000","4,683,000","4,609,000","4,237,000","4,253,000","4,272,000","4,263,000","4,270,000","4,259,000","4,200,000","4,166,000","3,730,000","3,706,000","3,687,000","3,696,000","3,736,000","3,738,000","3,686,000","3,666,000","3,644,000","3,619,000","3,576,000","3,596,000","3,631,000","3,684,000","3,538,000","3,494,000","3,296,000","3,372,000","3,222,000","3,123,000","3,101,000","2,983,000","2,897,000","2,500,000",,,,,,,,,,,,,
			PreferredStock,"689,000,000","689,000,000","689,000,000","689,000,000","689,000,000","689,000,000","689,000,000","689,000,000","689,000,000","689,000,000","394,000,000","394,000,000","394,000,000","394,000,000","394,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,000","16,000","16,000","16,000",,,,"18,000",,,,,,,,,,,,,,,,,,,,,
			CommonStock,"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,874,000","2,872,000","2,869,000","2,868,000","2,861,000","2,861,000","2,857,000","2,857,000","2,854,000","2,853,000","2,797,000","2,482,000","2,208,000","2,207,000","2,202,000","19,598,000","18,940,000","17,692,000","11,168,000","5,721,000","5,635,000","5,378,000","5,370,000","4,683,000","4,609,000","4,237,000","4,253,000","4,272,000","4,263,000","4,270,000","4,259,000","4,200,000","4,166,000","3,730,000","3,706,000","3,687,000","3,696,000","3,736,000","3,738,000","3,686,000","3,666,000","3,628,000","3,603,000","3,560,000","3,580,000","3,631,000","3,684,000","3,538,000","3,476,000","3,296,000","3,372,000","3,222,000","3,123,000","3,101,000","2,983,000","2,897,000","2,500,000",,,,,,,,,,,,,
		AdditionalPaidInCapital,"4,318,000,000","4,416,000,000","4,578,000,000","5,133,000,000","5,342,000,000","5,462,000,000","5,953,000,000","6,257,000,000","6,434,000,000","6,582,000,000","6,747,000,000","6,929,000,000","6,919,000,000","6,921,000,000","6,916,000,000","6,911,000,000","7,056,000,000","7,356,000,000","7,368,000,000","7,361,000,000","7,350,000,000","7,350,000,000","7,340,000,000","7,336,000,000","7,333,000,000","7,328,202,000","7,326,891,000","7,324,425,000","7,320,491,000","7,319,257,000","7,316,057,000","7,310,487,000","7,307,207,000","7,306,862,000","7,307,880,000","7,247,894,000","6,920,812,000","6,640,715,000","6,636,273,000","6,627,285,000","6,355,505,000","6,258,111,000","6,120,173,000","4,673,923,000","4,084,643,000","4,064,282,000","3,612,297,000","3,598,490,000","3,507,223,000","3,463,220,000","3,118,944,000","3,146,768,000","3,192,508,000","3,184,290,000","3,203,450,000","3,187,067,000","3,055,444,000","2,990,676,000","2,237,421,000","2,217,522,000","2,217,413,000","2,234,093,000","2,270,445,000","2,275,745,000","2,229,190,000","2,247,930,000","2,216,022,000","2,199,627,000","2,172,722,000","2,190,200,000","2,210,182,000","2,236,514,000","2,124,253,000","2,072,701,000","1,982,872,000","2,012,665,000","1,907,837,000","1,827,444,000","1,814,581,000","1,746,753,000","1,629,729,000","1,105,500,000",,,,,,,,,,,,,
		RetainedEarnings,"1,678,000,000","1,464,000,000","1,324,000,000","1,104,000,000","919,000,000","684,000,000","450,000,000","189,000,000","-61,000,000","-317,000,000","-446,000,000","-581,000,000","-774,000,000","-909,000,000","-1,036,000,000","-1,175,000,000","-1,308,000,000","-1,461,000,000","-1,550,000,000","-1,397,000,000","-1,689,000,000","-1,729,000,000","-1,770,000,000","-1,856,000,000","-1,925,000,000","-2,021,708,000","-2,079,571,000","-2,126,999,000","-2,072,596,000","-2,107,720,000","-1,921,661,000","-1,893,036,000","-1,932,546,000","-1,995,137,000","-1,988,791,000","-2,059,487,000","-2,106,605,000","-2,151,838,000","-2,127,723,000","-2,136,127,000","-2,171,203,000","-2,123,366,000","-2,033,212,000","-1,201,526,000","-1,078,452,000","-845,767,000","-570,204,000","-519,729,000","-425,170,000","-247,368,000","1,464,477,000","1,522,925,000","1,363,796,000","1,209,289,000","1,032,634,000","879,385,000","722,901,000","580,430,000","451,070,000","343,579,000","242,012,000","150,018,000","60,189,000","-19,085,000","-141,990,000","-230,465,000","-337,920,000","-399,323,000","-412,010,000","-433,492,000","-469,600,000","-490,278,000","-523,068,000","-247,087,000","-268,690,000","-24,953,000","-14,758,000","-5,555,000","-6,908,000","-30,654,000","-36,344,000","-26,100,000","-20,900,000","-17,900,000","7,900,000","2,100,000","15,300,000","31,800,000","25,200,000","19,100,000","14,200,000","8,700,000","5,600,000","2,500,000","300,000"
		GainsLossesNotAffectingRetainedEarnings,"-168,000,000","-28,000,000","-24,000,000","-58,000,000","-170,000,000","-275,000,000","-329,000,000","-235,000,000","-176,000,000","-26,000,000","-50,000,000","-62,000,000","-98,000,000","-137,000,000","39,000,000","46,000,000","-14,000,000","-99,000,000","-9,000,000","-253,000,000","-211,000,000","-249,000,000","-299,000,000","-295,000,000","-379,000,000","-453,443,000","-420,618,000","-439,667,000","-298,936,000","-309,928,000","-303,403,000","-340,699,000","-341,617,000","-386,629,000","-375,727,000","-378,859,000","-418,897,000","-438,640,000","-346,286,000","-352,925,000","-387,501,000","-404,130,000","-458,781,000","-501,012,000","-553,761,000","-632,654,000","-510,342,000","-446,785,000","-371,397,000","-391,396,000","-483,675,000","-339,784,000","-209,550,000","-201,472,000","-210,097,000","-223,726,000","-164,524,000","-175,712,000","-177,926,000","-255,019,000","-169,238,000","-159,605,000","-183,527,000","-146,513,000","-113,085,000","-102,837,000","-177,006,000","-138,579,000","-206,976,000","-254,515,000","-278,963,000","-250,876,000","-268,766,000","-258,194,000","-223,557,000","-191,080,000","-173,209,000","-78,964,000","46,059,000","140,504,000","265,802,000","362,500,000","168,200,000","267,100,000","234,300,000","39,800,000","12,500,000","100,000","100,000","100,000",,,,,
