name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
TotalRevenue,"1,985,900,000","457,700,000","545,500,000","489,400,000","493,300,000","417,500,000","537,300,000","481,900,000","491,300,000","409,200,000","483,700,000","420,800,000","386,100,000","344,500,000","405,000,000","349,600,000","328,800,000","267,100,000","354,400,000","273,300,000","254,600,000","225,000,000","295,400,000","243,200,000","247,600,000","198,000,000","288,100,000","233,500,000","226,900,000","185,700,000","292,900,000","205,300,000","214,400,000","204,700,000","271,500,000","230,300,000","252,500,000","201,500,000","286,600,000","216,500,000","208,300,000","169,000,000","246,000,000","196,400,000","230,200,000","169,000,000","234,500,000","256,600,000","276,700,000","260,200,000","290,500,000","254,700,000","237,900,000","194,800,000"
	OperatingRevenue,"1,985,900,000","457,700,000","545,700,000","489,300,000","493,200,000","417,500,000","537,400,000","482,000,000","491,300,000","409,200,000","483,700,000","420,800,000","386,100,000","344,500,000","405,000,000","349,600,000","328,800,000","267,100,000","354,400,000","273,300,000","254,600,000","225,000,000","295,400,000","243,200,000","247,600,000","198,000,000","288,100,000","233,500,000","226,900,000","185,700,000","292,900,000","205,300,000","214,400,000","204,700,000","271,500,000","230,300,000","252,500,000","201,500,000","286,600,000","216,500,000","208,300,000","169,000,000","246,000,000","196,400,000","230,200,000","169,000,000","234,500,000","256,600,000","276,700,000","260,200,000","290,500,000","254,700,000","237,900,000","194,800,000"
CostOfRevenue,"1,372,400,000","314,700,000","377,600,000","341,800,000","338,300,000","289,900,000","378,700,000","346,800,000","351,000,000","305,600,000","346,900,000","299,300,000","271,300,000","246,900,000","291,000,000","255,500,000","233,000,000","190,300,000","247,700,000","198,800,000","181,900,000","162,000,000","219,200,000","179,000,000","179,300,000","146,000,000","218,800,000","179,300,000","167,800,000","135,400,000","218,500,000","153,300,000","160,400,000","154,300,000","205,100,000","173,100,000","192,700,000","150,300,000","213,200,000","160,300,000","153,900,000","122,100,000","185,500,000","142,400,000","171,200,000","122,100,000","173,700,000","195,200,000","209,000,000","198,300,000","220,400,000","190,800,000","183,100,000","146,500,000"
GrossProfit,"613,500,000","143,000,000","167,900,000","147,600,000","155,000,000","127,600,000","158,600,000","135,100,000","140,300,000","103,600,000","136,800,000","121,500,000","114,800,000","97,600,000","114,000,000","94,100,000","95,800,000","76,800,000","106,700,000","74,500,000","72,700,000","63,000,000","76,200,000","64,200,000","68,300,000","52,000,000","69,300,000","54,200,000","59,100,000","50,300,000","74,400,000","52,000,000","54,000,000","50,400,000","66,400,000","57,200,000","59,800,000","51,200,000","73,400,000","56,200,000","54,400,000","46,900,000","60,500,000","54,000,000","59,000,000","46,900,000","60,800,000","61,400,000","67,700,000","61,900,000","70,100,000","63,900,000","54,800,000","48,300,000"
OperatingExpense,"405,000,000","98,300,000","104,300,000","98,200,000","104,200,000","92,200,000","86,200,000","86,900,000","89,600,000","85,000,000","83,000,000","79,000,000","84,500,000","76,700,000","76,800,000","64,300,000","64,000,000","59,900,000","75,700,000","53,400,000","49,500,000","49,600,000","52,000,000","47,700,000","48,800,000","47,100,000","47,700,000","42,600,000","44,300,000","44,100,000","46,600,000","41,700,000","40,000,000","42,600,000","42,600,000","42,900,000","42,400,000","41,900,000","44,100,000","40,500,000","39,700,000","39,500,000","43,300,000","40,300,000","42,500,000","38,800,000","40,100,000","42,800,000","47,400,000","44,700,000","46,300,000","42,200,000","43,100,000","40,800,000"
	SellingGeneralAndAdministration,"405,000,000","98,300,000","104,300,000","98,200,000","104,200,000","92,200,000","110,300,000","79,000,000","81,500,000","76,900,000","73,200,000","73,700,000","77,000,000","70,500,000","68,300,000","56,500,000","58,000,000","53,900,000","69,600,000","46,400,000","45,100,000","45,900,000","47,300,000","43,500,000","44,900,000","43,600,000","43,700,000","39,200,000","40,500,000","40,900,000","42,000,000","37,900,000","37,700,000","39,000,000","39,600,000","37,800,000","37,800,000","37,700,000","41,200,000","36,000,000","35,400,000","35,200,000","38,600,000","36,400,000","38,000,000","34,800,000","34,900,000","37,800,000","41,000,000","39,200,000","41,000,000","37,900,000","38,600,000","36,300,000"
		GeneralAndAdministrativeExpense,"405,000,000","98,300,000","104,300,000","98,200,000","104,200,000","92,200,000","110,300,000","79,000,000","81,500,000","76,900,000","73,200,000","73,700,000","77,000,000","70,500,000","68,300,000","56,500,000","58,000,000","53,900,000","69,600,000","46,400,000","45,100,000","45,900,000","47,300,000","43,500,000","44,900,000","43,600,000","43,700,000","39,200,000","40,500,000","40,900,000","42,000,000",,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"3,000,000","1,000,000","1,000,000","500,000","500,000","500,000","300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"402,000,000","97,300,000","103,300,000","97,700,000","103,700,000","91,700,000","109,400,000","79,000,000","81,500,000","76,900,000","73,200,000","73,700,000","77,000,000","70,500,000","68,300,000","56,500,000","58,000,000","53,900,000","69,600,000","46,400,000","45,100,000","45,900,000","47,300,000","43,500,000","44,900,000","43,600,000","43,700,000","39,200,000","40,500,000","40,900,000","42,000,000",,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,"5,700,000","7,100,000","7,900,000","9,100,000","6,900,000","6,400,000","6,300,000","5,900,000","6,300,000","5,900,000","5,500,000","5,200,000","5,000,000","4,300,000","3,700,000","4,000,000","3,400,000","3,700,000","3,500,000","3,400,000","3,700,000","3,700,000","3,200,000","3,800,000","3,300,000","3,300,000","3,900,000","4,200,000","4,500,000","4,900,000","4,900,000","4,400,000","4,500,000","4,300,000","4,300,000","4,700,000","3,900,000","4,500,000","4,000,000","5,200,000","5,000,000","6,400,000","5,500,000","5,300,000","4,300,000","4,500,000","4,500,000"
