name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"74,343,000,000","19,667,000,000","10,630,000,000","22,241,000,000","21,805,000,000","23,146,000,000","8,027,000,000","7,644,000,000","13,253,000,000","8,340,000,000","15,752,000,000","11,544,000,000","16,195,000,000","13,159,000,000","-3,935,000,000","14,066,000,000","20,226,000,000","21,334,000,000","9,936,000,000","6,702,000,000","744,000,000","15,433,000,000","15,655,000,000","10,731,000,000","12,911,000,000","13,906,000,000","6,308,000,000","5,983,000,000","-646,000,000","5,855,000,000","6,106,000,000","7,622,000,000","11,296,000,000","3,817,000,000","9,699,000,000","23,455,000,000","10,765,000,000","7,153,000,000","3,420,000,000","13,138,000,000","11,910,000,000","9,165,000,000","6,971,000,000","13,752,000,000","11,385,000,000","7,999,000,000","11,650,000,000","5,827,000,000","7,558,000,000","7,947,783,300","10,268,177,500","9,357,672,900","7,295,197,500","8,623,533,750","9,781,346,700","8,216,762,250","7,975,981,200","8,217,530,400","8,033,025,400","8,378,371,400","7,990,595,200","7,642,622,450","7,890,860,100","8,094,457,800","7,001,396,500","4,189,829,000","4,245,108,350","3,975,479,700","4,180,873,750","4,290,761,150","4,327,777,200","4,231,981,600","3,977,153,500","4,018,812,600","4,479,611,700","4,198,842,600","4,094,484,800","3,459,396,200","3,517,174,080","3,442,593,440","3,567,861,360","3,660,063,430","3,831,366,378","3,398,930,370","3,464,797,050","3,541,441,390"
	OperatingRevenue,"74,343,000,000","19,667,000,000","10,630,000,000","22,241,000,000","21,805,000,000","23,146,000,000","8,027,000,000","7,644,000,000","13,253,000,000","8,340,000,000","15,752,000,000","11,544,000,000","16,195,000,000","13,159,000,000","-3,935,000,000","14,066,000,000","20,226,000,000","21,334,000,000","9,936,000,000","6,702,000,000","744,000,000","15,433,000,000","15,655,000,000","10,731,000,000","12,911,000,000","13,906,000,000","6,308,000,000","5,983,000,000","-646,000,000","5,855,000,000","6,106,000,000","7,622,000,000","11,296,000,000","3,817,000,000","9,699,000,000","23,455,000,000","10,765,000,000","7,153,000,000","3,420,000,000","13,138,000,000","11,910,000,000","9,165,000,000","6,971,000,000","13,752,000,000","11,385,000,000","7,999,000,000","11,650,000,000","5,827,000,000","7,558,000,000","7,947,783,300","10,268,177,500","9,357,672,900","7,295,197,500","8,623,533,750","9,781,346,700","8,216,762,250","7,975,981,200","8,217,530,400","8,033,025,400","8,378,371,400","7,990,595,200","7,642,622,450","7,890,860,100","8,094,457,800","7,001,396,500","4,189,829,000","4,245,108,350","3,975,479,700","4,180,873,750","4,290,761,150","4,327,777,200","4,231,981,600","3,977,153,500","4,018,812,600","4,479,611,700","4,198,842,600","4,094,484,800","3,459,396,200","3,517,174,080","3,442,593,440","3,567,861,360","3,660,063,430","3,831,366,378","3,398,930,370","3,464,797,050","3,541,441,390"
NetNonOperatingInterestIncomeExpense,"-1,360,000,000","-369,000,000","-325,000,000","-348,000,000","-318,000,000","-328,000,000","-359,000,000","-312,000,000","-318,000,000","-286,000,000","-295,000,000","-306,000,000","-279,000,000","-259,000,000","-266,000,000","-288,000,000","-258,000,000","-201,000,000","-252,000,000","-282,000,000","-251,000,000","-316,000,000","-309,000,000","-284,000,000","-244,000,000","-294,000,000","-177,000,000","-265,000,000","-308,000,000","-295,000,000","-119,000,000","-246,000,000","-314,000,000","-288,000,000","-288,000,000","-353,000,000","-327,000,000","-281,000,000","-276,000,000","-242,000,000","-262,000,000","-297,000,000","-261,000,000","-279,000,000","-543,000,000","-218,000,000","-372,000,000","-237,000,000","-273,000,000","-303,710,800","-235,052,600","-299,103,700","-191,475,000","-306,870,900","-264,718,750","-254,368,200","-227,980,500","-214,654,400","-200,736,400","-193,820,200","-199,642,400","-193,576,000","-156,098,150","-155,662,650","-111,282,250","-65,712,500","-62,727,550","-64,773,600","-63,861,250","-61,779,900","-63,759,400","-66,620,400","-59,315,100","-54,243,600","-67,436,000","-66,347,400","-57,668,800","-66,133,200","-55,338,570","-46,643,530","-47,413,440","-40,651,240","-58,296,596","-34,092,168",,
	InterestExpenseNonOperating,"1,360,000,000","369,000,000","325,000,000","348,000,000","318,000,000","328,000,000","359,000,000","312,000,000","318,000,000","286,000,000","295,000,000","306,000,000","279,000,000","259,000,000","266,000,000","288,000,000","258,000,000","201,000,000","252,000,000","282,000,000","251,000,000","316,000,000","309,000,000","284,000,000","244,000,000","294,000,000","177,000,000","265,000,000","308,000,000","295,000,000","119,000,000","246,000,000","314,000,000","288,000,000","288,000,000","353,000,000","327,000,000","281,000,000","276,000,000","242,000,000","262,000,000","297,000,000","261,000,000","279,000,000","543,000,000","218,000,000","372,000,000","237,000,000","273,000,000","303,710,800","235,052,600","299,103,700","191,475,000","306,870,900","264,718,750","254,368,200","227,980,500","214,654,400","200,736,400","193,820,200","199,642,400","193,576,000","156,098,150","155,662,650","111,282,250","65,712,500","62,727,550","64,773,600","63,861,250","61,779,900","63,759,400","66,620,400","59,315,100","54,243,600","67,436,000","66,347,400","57,668,800","66,133,200","55,338,570","46,643,530","47,413,440","40,651,240","58,296,596","34,092,168",,
OtherIncomeExpense,"10,817,000,000","2,980,000,000","2,433,000,000","2,770,000,000","2,634,000,000","2,562,000,000","2,291,000,000","2,671,000,000","2,964,000,000","2,502,000,000","2,737,000,000","2,544,000,000","2,872,000,000","2,593,000,000","2,637,000,000","2,921,000,000","2,794,000,000","2,829,000,000","2,694,000,000","2,487,000,000","2,491,000,000","2,426,000,000","2,270,000,000","2,215,000,000","2,119,000,000","2,135,000,000","2,595,000,000","1,983,000,000","2,341,000,000","1,990,000,000","1,690,000,000","1,831,000,000","2,045,000,000","1,790,000,000","1,765,000,000","2,005,000,000","1,708,000,000","1,758,000,000","1,613,000,000","1,539,000,000","1,529,000,000","1,579,000,000","1,620,000,000","1,486,000,000","1,459,000,000","1,293,000,000","9,417,000,000","1,369,000,000","1,418,000,000","2,960,154,250","-5,372,399,300","4,475,624,800","2,458,326,250","3,890,107,800","-5,757,592,750","3,547,767,000","3,318,506,400","3,546,464,000","-6,399,134,400","3,452,785,000","3,417,192,000","3,369,432,250","-4,579,876,550","3,184,123,800","2,814,234,250","1,652,012,250","-2,965,657,500","1,518,131,250","1,567,997,500","1,447,414,800","-2,677,499,000","1,408,545,600","1,298,848,600","1,494,889,800","-2,793,363,700","1,424,889,400","1,528,223,200","1,346,283,000","1,396,980,470","1,459,491,100","1,423,884,870","1,377,786,670","1,598,293,021","1,285,803,750",,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"1,015,000,000","-555,000,000","-338,000,000",,"248,000,000","-317,000,000","-302,000,000",,"0","-1,039,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","200,000,000",,,"665,000,000","0",,,"0","1,039,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"355,000,000","338,000,000",,,"317,000,000","302,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"5,400,000,000","1,704,000,000","1,225,000,000","715,000,000","1,756,000,000","2,524,000,000","359,000,000","1,911,000,000","1,535,000,000","1,714,000,000","-2,123,000,000","1,269,000,000","1,618,000,000","1,737,000,000","-285,000,000","1,314,000,000","947,000,000","1,353,000,000","136,000,000","988,000,000","650,000,000","844,000,000","724,000,000","1,392,000,000","1,211,000,000","937,000,000","1,854,000,000","1,118,000,000","205,000,000","570,000,000","1,057,000,000","-697,000,000","-481,000,000","1,290,000,000","119,000,000","-1,799,000,000","532,000,000","1,296,000,000","2,155,000,000","-1,336,000,000","-3,346,000,000","1,355,000,000","981,000,000","-701,000,000","1,695,000,000","-2,127,000,000","-2,596,000,000","677,000,000","1,345,000,000","0","5,606,000,000","0","0","0","5,336,000,000","0","0","0","4,322,000,000","0","0","0","3,439,000,000","0","0","0","1,852,000,000","0","0","0","1,674,000,000","0","0","0","1,363,000,000","0","0","0","0","0","0","0","0","0",,
TaxProvision,"1,026,000,000","597,000,000","89,000,000","100,000,000","240,000,000","289,000,000","43,000,000","6,000,000","246,000,000","337,000,000","-424,000,000","13,000,000","304,000,000","346,000,000","-450,000,000","117,000,000","231,000,000","298,000,000","-76,000,000","316,000,000","-28,000,000","116,000,000","17,000,000","287,000,000","234,000,000","133,000,000","497,000,000","172,000,000","-103,000,000","15,000,000","-22,000,000","-367,000,000","-194,000,000","60,000,000","174,000,000","-615,000,000","37,000,000","307,000,000","341,000,000","-437,000,000","-971,000,000","207,000,000","136,000,000","-563,000,000","-89,000,000","-1,056,000,000","-727,000,000","170,000,000","347,000,000","289,346,100","283,930,000","397,480,000","341,463,750","355,324,200","332,908,100","361,470,600","322,509,000","349,980,000","302,143,200","193,820,200","308,649,600","226,241,950","261,473,800","279,686,550","214,520,000","116,968,250","63,652,850","94,461,500","82,883,750","76,489,400","67,656,200","58,689,400","95,816,700","82,960,800","96,478,900","-31,594,000","80,432,800","50,387,200","95,819,480","19,560,190","82,973,520","75,495,160","126,700,720","53,048,589",,
