name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"8,604,000,000","8,625,000,000","6,079,000,000","3,691,000,000","2,556,000,000","668,000,000","520,100,000","463,100,000","442,200,000","410,600,000","395,900,000"
	OperatingRevenue,"8,604,000,000","8,625,000,000","6,079,000,000","3,691,000,000","2,556,000,000","668,000,000","520,100,000","463,100,000","442,200,000","410,600,000","395,900,000"
CostOfRevenue,"4,959,000,000","4,966,000,000","3,559,000,000","2,381,000,000","1,717,000,000","383,000,000","293,000,000","279,400,000","257,600,000","162,900,000","259,700,000"
GrossProfit,"3,645,000,000","3,659,000,000","2,520,000,000","1,310,000,000","839,000,000","285,000,000","227,100,000","183,700,000","184,600,000","247,700,000","136,200,000"
OperatingExpense,"333,000,000","375,000,000","257,000,000","197,000,000","129,000,000","79,000,000","43,800,000","36,700,000","41,100,000","115,700,000","32,800,000"
	SellingGeneralAndAdministration,"384,000,000","388,000,000","291,000,000","241,000,000","193,000,000","104,000,000","64,800,000","53,700,000","49,800,000","67,500,000","30,300,000"
		GeneralAndAdministrativeExpense,"384,000,000","388,000,000","291,000,000","241,000,000","193,000,000","104,000,000","64,800,000","53,700,000","49,800,000",,"30,300,000"
			OtherGandA,"384,000,000","388,000,000","291,000,000","241,000,000","193,000,000","104,000,000","64,800,000","53,700,000","49,800,000",,"30,300,000"
	DepreciationAmortizationDepletionIncomeStatement,,"1,254,000,000","766,000,000","683,000,000","546,000,000","89,000,000","50,200,000","48,900,000","39,400,000","36,300,000","52,600,000"
		DepreciationAndAmortizationInIncomeStatement,,"1,254,000,000","766,000,000","683,000,000","546,000,000","89,000,000","50,200,000","48,900,000","39,400,000","36,300,000","52,600,000"
	OtherTaxes,"114,000,000","113,000,000","72,000,000","54,000,000","43,000,000","10,000,000","7,200,000","6,200,000","11,300,000","11,900,000","10,900,000"
	OtherOperatingExpenses,"-165,000,000","-126,000,000","-106,000,000","-98,000,000","-107,000,000","-35,000,000","-28,200,000","-23,200,000","-20,000,000",,"-8,400,000"
OperatingIncome,"3,312,000,000","3,284,000,000","2,263,000,000","1,113,000,000","710,000,000","206,000,000","183,300,000","147,000,000","143,500,000","132,000,000","103,400,000"
NetNonOperatingInterestIncomeExpense,"-921,000,000","-915,000,000","-661,000,000","-354,000,000","-261,000,000","-47,000,000","-5,300,000","-1,100,000","1,100,000","2,100,000","200,000"
	InterestIncomeNonOperating,,,,"-2,000,000",,,"0","300,000","1,300,000","2,300,000","200,000"
	InterestExpenseNonOperating,"861,000,000","862,000,000","539,000,000","298,000,000","211,000,000","35,000,000","4,100,000","200,000","200,000","200,000","0"
	TotalOtherFinanceCost,"60,000,000","53,000,000","122,000,000","56,000,000","50,000,000","12,000,000","1,200,000","1,200,000",,,
OtherIncomeExpense,"-4,333,000,000","-907,000,000","240,000,000","78,000,000","-203,000,000",,,,"-300,000",,
	EarningsFromEquityInterest,"-971,000,000","290,000,000","240,000,000","78,000,000","-74,000,000",,,,,,
	SpecialIncomeCharges,"-3,362,000,000","-1,197,000,000","0",,"-129,000,000",,"0","0","-300,000",,"0"
		WriteOff,"3,362,000,000","1,197,000,000","0",,"130,000,000",,,,,,
		GainOnSaleOfPPE,,,,,"1,000,000",,"0","0","-300,000",,"0"
PretaxIncome,"-1,942,000,000","1,462,000,000","1,842,000,000","837,000,000","246,000,000","159,000,000","178,000,000","145,900,000","144,300,000","134,100,000","103,600,000"
TaxProvision,"1,000,000","0","8,000,000","1,000,000","-12,000,000","2,000,000","-100,000","-200,000","300,000","100,000","300,000"
NetIncomeCommonStockholders,"-2,303,000,000","935,000,000","1,743,000,000","411,000,000","1,000,000","99,000,000","115,400,000","76,200,000","12,900,000","134,000,000","103,300,000"
	NetIncome,"-2,194,000,000","1,033,000,000","1,818,000,000","794,000,000","233,000,000","156,000,000","121,300,000","77,900,000","13,100,000","134,000,000","103,300,000"
		NetIncomeIncludingNoncontrollingInterests,"-1,943,000,000","1,462,000,000","1,834,000,000","836,000,000","258,000,000","157,000,000","178,100,000","146,100,000","144,000,000","134,000,000","103,300,000"
			NetIncomeContinuousOperations,"-1,943,000,000","1,462,000,000","1,834,000,000","836,000,000","258,000,000","157,000,000","178,100,000","146,100,000","144,000,000","134,000,000","103,300,000"
		MinorityInterests,"-30,000,000","-28,000,000","-16,000,000","-6,000,000","-2,000,000","-1,000,000",,,,,
	PreferredStockDividends,"109,000,000","98,000,000","75,000,000","383,000,000","232,000,000","57,000,000","5,900,000","1,700,000","200,000",,
DilutedNIAvailtoComStockholders,"-2,303,000,000","935,000,000","1,743,000,000","411,000,000","1,000,000","99,000,000","115,400,000","76,200,000","12,900,000","134,000,000","103,300,000"
BasicEPS,,,"2.29","1.07","0.003","1.02","1.55","1.05","0.17","3.626","2.796"
DilutedEPS,,,"2.29","1.06","0.003","1.01","1.55","1.05","0.17","3.626","2.796"
BasicAverageShares,,,"761,000,000","385,000,000","331,000,000","97,000,000","74,400,000","74,000,000","74,000,000","36,951,515","36,951,515"
DilutedAverageShares,,,"761,000,000","388,000,000","338,000,000","98,000,000","74,400,000","74,000,000","74,000,000","36,951,515","36,951,515"
