name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalRevenue,"9,315,715,000","9,174,611,000","8,130,631,000","7,686,999,000","7,551,524,000","6,718,726,000","6,424,965,000","6,417,158,000","6,346,679,000","5,613,459,000","5,121,285,000","5,547,942,000","6,785,242,000","5,927,152,000","5,021,036,000","4,714,547,000","4,747,880,000","4,534,646,000","3,968,051,000","3,419,854,000","3,460,204,000","2,894,000,000","2,210,400,000","1,950,900,000","1,669,300,000","1,588,700,000","1,764,000,000"
	OperatingRevenue,"9,315,715,000","9,174,611,000","8,130,631,000","7,686,999,000","7,551,524,000","6,718,726,000","6,424,965,000","6,417,158,000","6,346,679,000","5,613,459,000","5,121,285,000","5,547,942,000","6,785,242,000","5,927,152,000","5,021,036,000","4,714,547,000","4,747,880,000","4,534,646,000","3,968,051,000","3,419,854,000","3,460,204,000","2,894,000,000","2,210,400,000","1,950,900,000","1,669,300,000","1,588,700,000","1,764,000,000"
CostOfRevenue,"7,935,540,000","7,818,743,000","6,925,178,000","6,539,987,000","6,513,662,000","5,774,247,000","5,517,719,000","5,604,100,000","5,540,325,000","4,879,510,000","4,401,741,000","4,723,042,000","5,898,591,000","5,224,330,000","4,453,359,000","4,214,783,000","4,300,978,000","4,052,192,000","3,485,417,000","3,028,031,000","3,086,286,000","2,584,000,000","1,976,500,000","1,760,500,000","1,500,600,000","1,436,700,000","1,591,900,000"
GrossProfit,"1,380,175,000","1,355,868,000","1,205,453,000","1,147,012,000","1,037,862,000","944,479,000","907,246,000","813,058,000","806,354,000","733,949,000","719,544,000","824,900,000","886,651,000","702,822,000","567,677,000","499,764,000","446,902,000","482,454,000","482,634,000","391,823,000","373,918,000","310,000,000","233,900,000","190,400,000","168,700,000","152,000,000","172,100,000"
OperatingExpense,"914,281,000","893,453,000","799,157,000","757,062,000","725,538,000","656,573,000","626,478,000","591,063,000","556,242,000","518,121,000","497,808,000","556,475,000","582,317,000","602,654,000","448,011,000","416,883,000","396,499,000","437,302,000","368,209,000","303,141,000","294,993,000","251,900,000","196,700,000","163,000,000","151,600,000","146,200,000","194,300,000"
	SellingGeneralAndAdministration,"914,281,000","893,453,000","799,157,000","757,062,000","725,538,000","656,573,000","626,478,000","591,063,000","556,242,000","518,121,000","497,808,000","556,475,000","582,317,000","502,654,000","448,011,000","416,883,000","399,338,000","437,302,000","368,209,000","303,141,000","278,892,000","237,800,000","186,100,000","154,800,000","143,700,000","137,300,000","178,600,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"16,101,000","14,100,000","10,600,000","8,200,000","7,900,000","8,900,000","15,700,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"16,101,000","14,100,000","10,600,000","8,200,000","7,900,000","8,900,000","15,700,000"
	OtherOperatingExpenses,,,,,,,,,,,,,"-1,854,000","100,000,000",,,"-2,839,000",,,,,,,,,,
OperatingIncome,"465,894,000","462,415,000","406,296,000","389,950,000","312,324,000","287,906,000","280,768,000","221,995,000","250,112,000","215,828,000","221,736,000","268,425,000","304,334,000","100,168,000","119,666,000","82,881,000","50,403,000","45,152,000","114,425,000","88,682,000","78,925,000","58,100,000","37,200,000","27,400,000","17,100,000","5,800,000","-22,200,000"
