name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998
		GeneralAndAdministrativeExpense,"938,013,000,000","856,955,000,000","851,010,000,000","780,332,000,000","713,554,000,000","870,213,000,000","590,450,000,000","536,976,000,000","476,559,000,000","484,980,000,000","315,409,000,000","355,404,000,000","264,632,569,360","252,960,227,040","190,560,266,550","181,437,999,120","161,697,256,050","141,567,864,000","125,998,480,920","102,905,572,320","88,050,758,758","82,851,017,355","79,671,000,000"
			SalariesAndWages,"257,173,000,000","248,519,000,000","241,508,000,000","236,818,000,000","246,909,000,000","265,159,000,000","196,654,000,000","138,262,000,000",,,,,"264,632,569,360","252,960,227,040","190,560,266,550","181,437,999,120","161,697,256,050","141,567,864,000","125,998,480,920","102,905,572,320","88,050,758,758","82,851,017,355",
			RentAndLandingFees,"263,137,000,000","257,321,000,000","252,327,000,000","243,537,000,000","245,069,000,000","238,157,000,000","215,889,000,000","197,484,000,000","189,333,000,000",,,,,,,,,,,,,,
			InsuranceAndClaims,"302,871,000,000","246,533,000,000","255,070,000,000","200,158,000,000","121,282,000,000","271,948,000,000","108,343,000,000","98,599,000,000","95,353,000,000","91,497,000,000","92,348,000,000","105,899,000,000",,,,,,,,,,,
			OtherGandA,"114,832,000,000","104,582,000,000","102,105,000,000","99,819,000,000","100,294,000,000","94,949,000,000","69,564,000,000","102,631,000,000","381,206,000,000","393,483,000,000","223,061,000,000","249,505,000,000",,,,,,,,,,,
		SellingAndMarketingExpense,"75,882,000,000","79,015,000,000","82,850,000,000","76,729,000,000","70,379,000,000","62,997,000,000","43,919,000,000","29,849,000,000","59,534,000,000","58,930,000,000","46,757,000,000",,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"6,811,000,000","4,912,000,000","5,131,000,000","5,380,000,000","5,110,000,000","4,711,000,000","3,494,000,000","2,994,000,000",,,,,,,,,,,,,,,"59,222,000,000"
		DepreciationAndAmortizationInIncomeStatement,"6,811,000,000","4,912,000,000","5,131,000,000","5,380,000,000","5,110,000,000","4,711,000,000","3,494,000,000","2,994,000,000",,,,,,,,,,,,,,,"59,222,000,000"
			DepreciationIncomeStatement,"6,811,000,000","4,912,000,000","5,131,000,000","5,380,000,000","5,110,000,000","4,711,000,000","3,494,000,000","2,994,000,000",,,,,,,,,,,,,,,"59,222,000,000"
	OtherNonInterestExpense,,,,,,,"310,775,000,000","65,532,000,000","150,071,000,000","157,013,000,000","162,839,000,000","264,284,000,000","556,885,041,400","510,633,266,880","462,335,223,600","507,425,893,520","346,017,532,450","303,899,014,720","316,325,300,200","278,954,811,240","302,070,997,319","288,769,795,720",
IncomefromAssociatesandOtherParticipatingInterests,"70,690,000,000","32,978,000,000","50,103,000,000","26,520,000,000","45,694,000,000","30,531,000,000","17,825,000,000","18,293,000,000","1,972,000,000","16,806,000,000","8,550,000,000","-42,937,000,000",,,,,,,,,,,
SpecialIncomeCharges,"69,408,000,000","30,896,000,000","43,678,000,000","60,087,000,000","44,419,000,000","21,770,000,000","41,502,000,000","-4,564,000,000","-28,320,000,000","-70,525,000,000","102,146,000,000","-99,442,000,000",,,,,"-17,618,849,950","-63,823,512,020","-398,729,370",,,,
	GainOnSaleOfBusiness,"71,332,000,000","33,314,000,000","49,203,000,000","63,419,000,000","57,867,000,000","20,575,000,000","64,923,000,000","14,553,000,000","3,317,000,000","1,199,000,000","17,487,000,000",,,,,,,,,,,,
	ImpairmentOfCapitalAssets,"2,860,000,000","2,418,000,000","5,525,000,000","3,332,000,000","13,448,000,000","1,195,000,000","23,421,000,000","19,117,000,000","15,167,000,000",,,,,,,,,,,,,,
	WriteOff,,,,,,,,,"31,637,000,000","40,602,000,000","30,614,000,000","22,414,000,000",,,,,,,,,,,
	OtherSpecialCharges,,,,,,,,,,"31,122,000,000","-71,532,000,000","77,028,000,000",,,,,,,,,,,
OtherNonOperatingIncomeExpenses,"-928,000,000","-1,301,000,000","-429,000,000","4,396,000,000","3,729,000,000","-23,674,000,000",,,"-3,317,000,000","-1,199,000,000","-17,487,000,000",,,,,,,,,,,,
PretaxIncome,"451,020,000,000","395,730,000,000","435,501,000,000","424,965,000,000","391,302,000,000","344,017,000,000","283,726,000,000","172,518,000,000","130,484,000,000","91,965,000,000","55,608,000,000","10,071,000,000","244,690,401,360","310,692,183,840","249,411,491,550","154,093,619,820","102,064,225,450","45,419,689,700","72,834,564,920","60,280,470,060","50,382,756,985","27,462,188,590","38,412,000,000"
TaxProvision,"115,200,000,000","68,691,000,000","113,912,000,000","144,039,000,000","120,312,000,000","89,057,000,000","97,236,000,000","53,656,000,000","44,631,000,000","27,617,000,000","23,353,000,000","-1,990,000,000","98,514,309,920","126,067,742,400","97,928,438,400","68,736,263,260","51,501,253,700","20,763,286,720","32,828,718,130","25,474,173,540","20,721,125,800.4","1,702,989,145","14,681,000,000"
NetIncomeCommonStockholders,"331,857,000,000","323,745,000,000","313,135,000,000","273,239,000,000","260,169,000,000","234,948,000,000","186,794,000,000","111,909,000,000","86,150,000,000","67,275,000,000","37,757,000,000","21,924,000,000","167,913,054,560","196,170,832,800","166,666,669,200","91,362,396,720","54,003,338,900","29,729,251,440","40,138,756,580","34,806,296,520","29,661,631,184.6","25,759,199,445","23,731,000,000"
	NetIncome,"332,186,000,000","324,149,000,000","313,587,000,000","273,671,000,000","260,988,000,000","239,918,000,000","190,902,000,000","115,894,000,000","86,150,000,000","67,275,000,000","37,757,000,000","21,924,000,000","167,913,054,560","196,170,832,800","166,666,669,200","91,362,396,720","54,003,338,900","29,729,251,440","40,138,756,580","34,806,296,520","29,661,631,184.6","25,759,199,445","23,731,000,000"
		NetIncomeIncludingNoncontrollingInterests,"335,820,000,000","327,039,000,000","321,589,000,000","280,926,000,000","270,990,000,000","255,257,000,000","193,991,000,000","119,058,000,000","88,542,000,000","72,607,000,000","40,937,000,000","23,797,000,000","171,801,777,320","200,883,645,600","169,962,337,800","91,362,396,720","54,003,338,900","29,729,251,440","40,138,756,580","34,806,296,520","29,661,631,184.6","25,759,199,445","23,731,000,000"
			NetIncomeContinuousOperations,"335,820,000,000","327,039,000,000","321,589,000,000","280,926,000,000","270,990,000,000","254,960,000,000","186,490,000,000","118,862,000,000","85,853,000,000","64,348,000,000","32,255,000,000","10,188,000,000","146,176,091,440","184,624,441,440","151,483,053,150","85,357,356,560","50,562,971,750","24,656,402,980","40,005,846,790","34,806,296,520","29,661,631,184.6","25,759,199,445","23,731,000,000"
