name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
BasicEPS,,"11.1","11.9","3.52","6.96","7.15","7.71","7.05","6.21","6.85","6.07","0.75","-0.21","4.02","7.8","6.98","6.55","5.05","4.09","3.06","2.39","1.84","1.4","0.957","0.767","0.64","0.48"
DilutedEPS,,"11.05","11.82","3.49","6.89","7.07","7.59","6.96","6.16","6.8","6.01","0.74","-0.21","3.97","7.62","6.73","6.21","4.85","3.93","2.91","2.24","1.72","1.32","0.933","0.767","0.64","0.48"
BasicAverageShares,,"467,600,000","479,900,000","484,200,000","504,900,000","541,800,000","563,100,000","579,700,000","561,100,000","455,500,000","451,894,563","426,497,333","376,282,000","390,629,851","309,550,385","259,190,115","235,646,107","224,919,208","219,961,858","209,792,484","196,499,582","197,336,957","196,571,429","197,979,094","202,764,000","197,656,250","198,333,333"
DilutedAverageShares,,"469,900,000","483,100,000","488,600,000","509,800,000","548,000,000","571,900,000","587,600,000","566,500,000","459,100,000","456,405,990","432,260,811","377,667,000","395,549,622","316,862,598","268,818,276","248,547,826","234,194,227","228,917,048","220,606,529","209,658,036","211,104,651","208,484,848","202,928,571","202,764,000","197,656,250","198,333,333"
InterestIncomeAfterProvisionForLoanLoss,"13,608,000,000","17,104,000,000","17,019,000,000","14,909,000,000","14,414,000,000","14,298,000,000","14,277,000,000","14,653,000,000","12,174,000,000","10,381,000,000","8,550,000,000","3,467,004,000","2,047,675,000","3,893,343,000","3,623,192,000","2,189,170,000","1,782,126,000","1,267,592,000","569,784,000","673,554,000","870,715,000","669,700,000","427,800,000","120,300,000","198,300,000","142,100,000","134,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"2,794,000,000","5,546,000,000","6,015,000,000","1,982,000,000","3,751,000,000","4,050,000,000","4,428,000,000","4,159,000,000","3,517,000,000","3,147,000,000","2,743,000,000","883,781,000","-45,998,000","1,570,332,000","2,414,493,000","1,809,147,000","1,543,482,000","1,150,879,000","899,644,000","641,965,000","469,634,000","363,100,000","275,200,000","189,400,000","155,300,000","126,500,000","95,200,000"
NormalizedIncome,"3,090,225,399.754","5,841,315,000","6,324,572,000","2,317,400,000","3,997,397,000","4,227,512,000","4,608,157,500","4,673,288,400","3,683,571,200","3,267,892,740.353","3,095,785,219.4","1,098,375,336.176","698,988,000","2,684,306,226.907","2,414,493,000","1,809,147,000","1,543,482,000","1,150,879,000","899,644,000","641,965,000","469,634,000","363,100,000","275,200,000","189,400,000","155,300,000","126,500,000","95,200,000"
TotalMoneyMarketInvestments,,,,,,,,,,,,,,,,,,,,,,"105,400,000","12,600,000","16,400,000","21,300,000","26,800,000","2,500,000"
ReconciledDepreciation,"3,528,000,000","3,339,000,000","2,396,000,000","2,440,000,000","2,428,000,000","2,100,000,000","2,002,000,000","2,065,000,000","1,862,000,000","600,000,000","582,000,000","682,603,000","691,430,000","678,757,000","542,090,000","425,640,000","381,852,000","384,016,000","124,072,000","337,562,000","244,823,000","172,600,000","108,200,000","46,600,000","41,900,000","37,400,000","19,900,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"2,783,000,000","5,533,000,000","6,025,000,000","2,117,000,000","3,770,000,000","4,012,000,000","4,423,000,000","4,392,000,000","3,734,000,000","3,253,000,000","3,050,000,000","986,617,000","84,517,000","2,591,719,000","2,414,493,000","1,809,147,000","1,543,482,000","1,150,879,000","899,644,000","641,965,000","469,634,000","363,100,000","275,200,000","189,400,000","155,300,000","126,500,000","95,200,000"
TotalUnusualItemsExcludingGoodwill,"-359,000,000","-383,000,000","-364,000,000","-334,000,000","-331,000,000","-316,000,000","-275,000,000","-411,000,000","68,000,000","-21,000,000","-65,000,000","-151,346,000","-945,340,000","-138,237,000",,,,,,,,,,,,,
TotalUnusualItems,"-359,000,000","-383,000,000","-364,000,000","-334,000,000","-331,000,000","-316,000,000","-275,000,000","-411,000,000","68,000,000","-21,000,000","-65,000,000","-151,346,000","-945,340,000","-138,237,000",,,,,,,,,,,,,
TaxRateForCalcs,"0.144","0.195","0.177","0.4","0.313","0.318","0.327","0.316","0.258","0.291","0.296","0.262","0.35","0.33","0.339","0.361","0.346","0.37","0.38","0.38","0.38","0.371","0.38","0.38","0.375","0.36","0.351"
TaxEffectOfUnusualItems,"-51,774,600.246","-74,685,000","-64,428,000","-133,600,000","-103,603,000","-100,488,000","-89,842,500","-129,711,600","17,571,200","-6,107,259.647","-19,214,780.6","-39,587,663.824","-330,869,000","-45,649,773.093","0","0","0","0","0","0","0","0","0","0","0","0","0"
