name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalAssets,"52,209,483,000","25,768,045,000","14,458,719,000","9,785,792,000","7,328,038,000","6,862,794,000","2,597,947,000","1,696,189,000","745,426,000","158,767,000"
	CurrentAssets,"28,799,969,000","16,489,629,000","10,129,474,000","5,970,385,000","3,629,880,000","5,425,133,000","2,397,089,000","1,577,787,000","672,797,000","117,300,000"
		CashCashEquivalentsAndShortTermInvestments,"26,286,612,000","14,310,280,000","8,742,086,000","5,331,262,000","2,823,880,000","4,689,604,000","2,162,461,000","1,402,400,000","128,891,000","83,683,000"
			CashAndCashEquivalents,"3,893,538,000","6,004,231,000","2,617,432,000","1,579,743,000","928,934,000","475,028,000","729,598,000","504,702,000","128,891,000","83,683,000"
			OtherShortTermInvestments,"22,393,074,000","8,306,049,000","6,124,654,000","3,751,519,000","1,894,946,000","4,214,576,000","1,432,863,000","897,698,000",,
		Receivables,"1,481,331,000","1,903,677,000","251,394,000","417,032,000","180,208,000","451,366,000","100,174,000","118,689,000","49,022,000","27,247,000"
			AccountsReceivable,"836,788,000","310,489,000","153,944,000","169,571,000","132,353,000","257,436,000","100,101,000","117,616,000","47,022,000","25,747,000"
				GrossAccountsReceivable,"837,774,000","318,833,000","161,300,000","224,791,000","191,144,000","314,778,000","131,315,000","123,332,000","47,022,000","26,134,000"
				AllowanceForDoubtfulAccountsReceivable,"-986,000","-8,344,000","-7,356,000","-55,220,000","-58,791,000","-57,342,000","-31,214,000","-5,716,000","0","-387,000"
			LoansReceivable,"198,597,000","949,307,000",,,"1,338,000","34,502,000",,,,
			AccruedInterestReceivable,"324,019,000","218,553,000","78,274,000","17,050,000","41,220,000","98,355,000",,,,
			TaxesReceivable,"84,783,000","69,563,000",,,,,,,,
			DuefromRelatedPartiesCurrent,"17,262,000","193,559,000","11,190,000","135,245,000","5,297,000","61,073,000","73,000","1,073,000","2,000,000","1,500,000"
			OtherReceivables,"19,882,000","162,206,000","7,986,000","95,166,000",,,,,,
		Inventory,,"0","315,000","2,266,000","14,385,000","1,445,000",,,,
		PrepaidAssets,"301,306,000","217,286,000","112,230,000","102,069,000","95,949,000","54,330,000","67,533,000","25,149,000","9,742,000","4,727,000"
		RestrictedCash,"657,926,000","0","1,000,000,000","0","389,221,000","100,000,000",,,,
		CurrentDeferredAssets,,,,"107,309,000","116,921,000","111,436,000","66,921,000","31,549,000","12,487,000","1,643,000"
			CurrentDeferredTaxesAssets,,,,"107,309,000","116,921,000","111,436,000","66,921,000","31,549,000","12,487,000","1,643,000"
		OtherCurrentAssets,"72,794,000","58,386,000","23,449,000","10,447,000","9,316,000","16,952,000",,,"472,655,000",
	TotalNonCurrentAssets,"23,409,514,000","9,278,416,000","4,329,245,000","3,815,407,000","3,698,158,000","1,437,661,000","200,858,000","118,402,000","72,629,000","41,467,000"
		NetPPE,"2,531,967,000","1,296,319,000","1,016,998,000","838,750,000","843,449,000","234,228,000","102,636,000","90,299,000","53,582,000","25,525,000"
			GrossPPE,"3,605,826,000","1,939,476,000","1,535,126,000","1,250,773,000","1,112,767,000","392,989,000","195,171,000","137,918,000","72,343,000","31,855,000"
				Properties,"0","0","0","0","0","0","0","0","0","0"
