name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
TotalAssets,"48,594,383,000","46,651,553,000","45,692,511,000","24,626,830,000","24,418,715,000","23,699,612,000","22,904,785,000","23,184,462,000","23,385,052,000","23,002,159,000","23,005,038,000","22,054,651,000","21,836,568,000","21,441,326,000","21,084,156,000","21,069,510,000","21,321,102,000","20,691,704,000","20,125,936,000","19,826,350,000","19,984,573,000","19,394,611,000","19,022,103,000","18,837,777,000","18,760,527,000","18,379,840,000","18,370,088,000","18,399,607,000","18,504,026,000","18,225,917,000","17,878,393,000","17,870,597,000","17,833,457,000","18,979,388,000","19,092,066,000","18,834,443,000","18,712,149,000","18,465,025,000","18,313,608,000","18,030,045,000","18,187,314,000","17,885,175,000","17,743,009,000","17,475,721,000","18,082,341,000","16,740,357,000","16,510,595,000","16,460,123,000","16,370,364,000","15,977,054,000","15,530,338,000","14,977,704,000","14,898,375,000","14,669,734,000","14,297,111,000","14,198,349,000","13,832,323,000","13,365,360,000","12,737,089,000","12,607,216,000","12,733,208,000","12,340,567,000","11,997,949,000","11,942,863,000","11,724,319,000","11,319,015,000","11,253,906,000","11,807,764,000","12,127,272,000","12,202,069,000","11,970,331,000","11,527,351,000","11,170,583,000","11,358,715,000","11,723,353,000","11,628,663,000","11,845,124,000","11,197,462,000","10,980,000,000","10,905,705,000","10,761,821,000","10,661,700,000","10,342,200,000","10,338,300,000","10,200,700,000","10,164,600,000","9,900,400,000","9,393,100,000","9,664,800,000","9,744,700,000","9,796,200,000","7,403,800,000","6,964,200,000","7,090,900,000","7,114,400,000","7,000,900,000","7,039,300,000","7,239,900,000","7,332,000,000","7,432,700,000","7,369,100,000","5,068,300,000","5,041,000,000","4,986,100,000","5,044,600,000","5,025,500,000","5,009,400,000","4,874,600,000","3,901,800,000","4,049,600,000","4,159,900,000","4,071,100,000","4,079,000,000","4,036,800,000","4,039,700,000","4,074,100,000","4,113,200,000","4,186,000,000","4,249,300,000","4,351,900,000","4,662,700,000"
TotalLiabilitiesNetMinorityInterest,"42,938,550,000","40,924,312,000","39,999,094,000","21,916,312,000","21,772,870,000","21,143,352,000","20,376,773,000","20,679,884,000","20,834,102,000","20,321,575,000","20,408,524,000","19,504,820,000","19,345,905,000","18,996,681,000","18,631,776,000","18,649,752,000","18,952,261,000","18,384,787,000","17,852,789,000","17,604,328,000","17,802,891,000","17,259,247,000","16,908,671,000","16,766,066,000","16,738,702,000","16,415,081,000","16,428,845,000","16,493,426,000","16,603,867,000","16,349,274,000","16,113,724,000","16,114,689,000","16,284,132,000","17,100,761,000","17,219,983,000","17,064,798,000","16,987,665,000","16,984,862,000","16,807,646,000","16,555,509,000","16,793,697,000","16,705,420,000","16,563,170,000","16,333,186,000","16,582,385,000","15,246,581,000","15,399,566,000","15,371,822,000","15,240,494,000","14,878,042,000","14,486,891,000","13,976,672,000","13,836,367,000","13,636,360,000","13,265,922,000","13,220,964,000","12,864,023,000","12,366,888,000","11,770,020,000","11,652,659,000","11,806,865,000","11,382,149,000","11,032,683,000","11,003,711,000","10,758,369,000","10,398,157,000","10,321,938,000","10,855,695,000","11,155,859,000","11,225,049,000","11,020,041,000","10,607,263,000","10,248,736,000","10,441,682,000","10,824,867,000","10,738,294,000","10,950,058,000","10,287,242,000","10,120,556,000","10,098,323,000","9,981,510,000","9,852,700,000","9,526,900,000","9,527,900,000","9,376,300,000","9,319,100,000","9,031,000,000","8,486,600,000","8,716,700,000","8,791,000,000","8,876,200,000","6,702,700,000","6,422,300,000","6,541,400,000","6,591,900,000","6,477,100,000","6,498,300,000","6,712,200,000","6,841,500,000","6,937,100,000","6,898,600,000","4,741,100,000","4,724,300,000","4,681,000,000","4,745,800,000","4,729,900,000","4,723,900,000","4,600,200,000","3,682,100,000","3,839,500,000","3,934,100,000","3,852,900,000","3,867,800,000","3,863,900,000","3,872,200,000","3,911,700,000","3,955,500,000","4,032,500,000","4,100,000,000","4,206,000,000","4,483,900,000"
TotalEquityGrossMinorityInterest,"5,655,833,000","5,727,241,000","5,693,417,000","2,710,518,000","2,645,845,000","2,556,260,000","2,528,012,000","2,504,578,000","2,550,950,000","2,680,584,000","2,596,514,000","2,549,831,000","2,490,663,000","2,444,645,000","2,452,380,000","2,419,758,000","2,368,841,000","2,306,917,000","2,273,147,000","2,222,022,000","2,181,682,000","2,135,364,000","2,113,432,000","2,071,711,000","2,021,825,000","1,964,759,000","1,941,243,000","1,906,181,000","1,900,159,000","1,876,643,000","1,764,669,000","1,755,908,000","1,549,325,000","1,878,627,000","1,872,083,000","1,769,645,000","1,724,484,000","1,480,163,000","1,505,962,000","1,474,536,000","1,393,617,000","1,179,755,000","1,179,839,000","1,142,535,000","1,499,956,000","1,493,776,000","1,111,029,000","1,088,301,000","1,129,870,000","1,099,012,000","1,043,447,000","1,001,032,000","1,062,008,000","1,033,374,000","1,031,189,000","977,385,000","968,300,000","998,472,000","967,069,000","954,557,000","926,343,000","958,418,000","965,266,000","939,152,000","965,950,000","920,858,000","931,968,000","952,069,000","971,413,000","977,020,000","950,290,000","920,088,000","921,847,000","917,033,000","898,486,000","890,369,000","895,066,000","910,220,000","859,444,000","807,382,000","780,311,000","809,000,000","815,300,000","810,400,000","824,400,000","845,500,000","869,400,000","906,500,000","948,100,000","953,700,000","920,000,000","701,100,000","541,900,000","549,500,000","522,500,000","523,800,000","541,000,000","527,700,000","490,500,000","495,600,000","470,500,000","327,200,000","316,700,000","305,100,000","298,800,000","295,600,000","285,500,000","274,400,000","219,700,000","210,100,000","225,800,000","218,200,000","211,200,000","172,900,000","167,500,000","162,400,000","157,700,000","153,500,000","149,300,000","145,900,000","178,800,000"
	StockholdersEquity,"5,625,684,000","5,707,015,000","5,670,104,000","2,685,660,000","2,616,393,000","2,537,801,000","2,506,858,000","2,480,932,000","2,522,513,000","2,662,757,000","2,576,608,000","2,527,065,000","2,464,112,000","2,427,483,000","2,433,454,000","2,398,098,000","2,342,913,000","2,290,916,000","2,254,647,000","2,202,511,000","2,159,792,000","2,121,649,000","2,098,587,000","2,054,906,000","2,000,541,000","1,952,968,000","1,927,965,000","1,889,519,000","1,879,226,000","1,863,373,000","1,751,464,000","1,740,971,000","1,531,019,000","1,868,133,000","1,859,810,000","1,756,265,000","1,707,944,000","1,471,663,000","1,495,955,000","1,462,933,000","1,381,820,000","1,175,362,000","1,176,235,000","1,142,535,000","1,499,956,000","1,493,776,000","1,111,029,000","1,088,301,000","1,129,870,000","1,099,012,000","1,043,447,000","1,001,032,000","1,062,008,000","1,033,374,000","1,031,189,000","977,385,000","968,300,000","998,472,000","967,069,000","954,557,000","926,343,000","958,418,000","965,266,000","939,152,000","965,950,000","920,858,000","931,968,000","952,069,000","971,413,000","977,020,000","950,290,000","920,088,000","921,847,000","917,033,000","898,486,000","890,369,000","895,066,000","910,220,000","859,444,000","807,382,000","780,311,000","809,000,000","815,300,000","810,400,000","824,400,000","845,500,000","869,400,000","906,500,000","948,100,000","953,700,000","920,000,000","701,100,000","541,900,000","549,500,000","522,500,000","523,800,000","541,000,000","527,700,000","490,500,000","495,600,000","470,500,000","327,200,000","316,700,000","305,100,000","298,800,000","295,600,000","285,500,000","274,400,000","219,700,000","210,100,000","225,800,000","218,200,000","211,200,000","172,900,000","167,500,000","162,400,000","157,700,000","153,500,000","149,300,000","145,900,000","178,800,000"
		CapitalStock,"321,488,000","322,268,000","322,873,000","171,033,000","171,035,000","171,038,000","171,038,000","171,037,000","171,027,000","267,543,000","267,686,000","264,955,000","264,950,000","264,950,000","264,950,000","264,950,000","264,947,000","264,939,000","264,935,000","264,931,000","264,921,000","264,915,000","264,912,000","264,909,000","264,902,000","264,892,000","264,888,000","264,885,000","264,879,000","264,874,000","168,354,000","168,349,000","1,622,000","1,604,000","1,600,000","1,597,000","1,591,000","1,430,000","1,427,000","1,425,000","1,426,000","1,303,000","1,304,000","1,304,000","350,311,000","349,745,000","1,308,000","1,310,000","1,311,000","1,315,000","1,315,000","1,315,000","1,315,000","1,317,000","1,842,000","1,842,000","1,842,000","1,844,000","1,844,000","1,844,000","1,845,000","1,849,000","1,850,000","925,000","925,000","925,000","925,000","925,000","925,000","926,000","926,000","927,000","927,000","927,000","927,000","927,000","927,000","928,000","928,000","928,000","928,000","900,000","900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStock,"169,302,000","169,302,000","169,302,000","169,302,000","169,302,000","169,302,000","169,302,000","169,302,000","169,302,000","265,821,000","265,967,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","263,240,000","166,721,000","166,721,000","0","0","0","0","0","0","0","0","0","0","0","0","349,007,000","348,437,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"152,186,000","152,966,000","153,571,000","1,731,000","1,733,000","1,736,000","1,736,000","1,735,000","1,725,000","1,722,000","1,719,000","1,715,000","1,710,000","1,710,000","1,710,000","1,710,000","1,707,000","1,699,000","1,695,000","1,691,000","1,681,000","1,675,000","1,672,000","1,669,000","1,662,000","1,652,000","1,648,000","1,645,000","1,639,000","1,634,000","1,633,000","1,628,000","1,622,000","1,604,000","1,600,000","1,597,000","1,591,000","1,430,000","1,427,000","1,425,000","1,426,000","1,303,000","1,304,000","1,304,000","1,304,000","1,308,000","1,308,000","1,310,000","1,311,000","1,315,000","1,315,000","1,315,000","1,315,000","1,317,000","1,842,000","1,842,000","1,842,000","1,844,000","1,844,000","1,844,000","1,845,000","1,849,000","1,850,000","925,000","925,000","925,000","925,000","925,000","925,000","926,000","926,000","927,000","927,000","927,000","927,000","927,000","927,000","928,000","928,000","928,000","928,000","900,000","900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"3,433,234,000","3,462,080,000","3,478,159,000","868,001,000","875,797,000","885,089,000","882,321,000","877,364,000","878,096,000","877,217,000","864,632,000","858,451,000","853,024,000","862,776,000","860,487,000","862,226,000","860,307,000","851,836,000","846,243,000","838,755,000","828,128,000","817,130,000","809,778,000","806,645,000","797,418,000","779,641,000","771,570,000","763,349,000","757,346,000","750,040,000","746,543,000","738,437,000","736,288,000","715,247,000","708,601,000","702,192,000","695,856,000","459,884,000","454,139,000","451,440,000","455,608,000","297,429,000","304,190,000","306,718,000","315,025,000","330,474,000","329,897,000","345,668,000","349,392,000","354,563,000","353,169,000","352,674,000","350,739,000","343,744,000","469,642,000","468,110,000","468,968,000","497,270,000","496,605,000","496,910,000","497,736,000","518,741,000","517,537,000","517,538,000","516,902,000","518,878,000","517,605,000","517,373,000","516,159,000","518,813,000","518,641,000","518,181,000","520,199,000","520,940,000","519,188,000","512,297,000","510,412,000","508,682,000","505,826,000","505,476,000","502,590,000","500,800,000","500,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"1,732,932,000","1,896,427,000","1,840,214,000","1,874,308,000","1,810,701,000","1,766,994,000","1,708,410,000","1,649,449,000","1,618,041,000","1,577,311,000","1,488,966,000","1,453,355,000","1,410,418,000","1,382,901,000","1,350,215,000","1,311,325,000","1,271,031,000","1,240,347,000","1,205,179,000","1,165,753,000","1,126,627,000","1,099,914,000","1,088,992,000","1,049,725,000","1,009,611,000","977,846,000","950,777,000","920,894,000","894,861,000","877,445,000","861,895,000","860,560,000","836,995,000","1,127,823,000","1,133,386,000","1,109,541,000","1,087,576,000","1,064,978,000","1,041,331,000","1,011,497,000","973,513,000","946,002,000","932,882,000","921,766,000","917,762,000","927,893,000","934,121,000","935,378,000","942,937,000","926,875,000","894,657,000","866,104,000","835,218,000","784,011,000","1,636,805,000","1,601,009,000","1,564,207,000","1,536,611,000","1,499,427,000","1,462,393,000","1,420,258,000","1,385,760,000","1,344,036,000","1,308,265,000","1,269,229,000","1,234,804,000","1,198,164,000","1,185,261,000","1,148,361,000","1,111,955,000","1,074,098,000","1,036,472,000","999,980,000","965,454,000","930,264,000","896,710,000","864,146,000","835,605,000","800,361,000","770,541,000","740,819,000","715,500,000","686,100,000","658,900,000","633,700,000","610,200,000","584,800,000","562,700,000","537,300,000","509,000,000","480,700,000","454,100,000","366,700,000","344,200,000","323,300,000","324,600,000","304,500,000","283,800,000","263,900,000","245,000,000","227,200,000","191,600,000","178,900,000","166,500,000","155,600,000","146,500,000","136,700,000","126,900,000","95,500,000","87,300,000","107,300,000","101,500,000","96,200,000","91,500,000","87,000,000","82,900,000","79,100,000","75,500,000","71,900,000","68,500,000","101,600,000"
		TreasuryStock,"28,140,000","28,037,000","27,370,000","265,016,000","246,621,000","252,182,000","189,652,000","164,107,000","97,800,000","40,797,000","30,867,000","32,193,000","33,585,000","49,419,000","49,093,000","52,166,000","51,445,000","50,860,000","50,443,000","50,558,000","50,078,000","49,400,000","48,879,000","51,458,000","50,834,000","42,198,000","41,672,000","41,276,000","41,396,000","41,429,000","43,395,000","42,078,000","47,159,000","33,367,000","32,815,000","33,242,000","32,907,000","23,115,000","23,400,000","26,475,000","36,891,000","50,827,000","62,946,000","71,957,000","87,533,000","110,644,000","132,742,000","157,069,000","160,770,000","165,686,000","164,299,000","156,430,000","93,026,000","60,772,000","1,051,243,000","1,038,061,000","1,028,596,000","1,016,038,000","1,017,211,000","1,008,191,000","978,740,000","946,517,000","899,628,000","872,913,000","833,933,000","839,401,000","798,111,000","784,849,000","725,494,000","700,776,000","683,582,000","658,675,000","597,388,000","576,517,000","574,961,000","508,485,000","480,986,000","425,127,000","416,552,000","422,672,000","310,795,000","295,100,000","270,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
