name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
TotalRevenue,"1,822,547,000","446,396,000","443,065,000","468,891,000","464,195,000","410,584,000","406,750,000","425,562,000","428,732,000","392,805,000","353,251,000","350,062,000","358,160,000","317,037,000","300,223,000","316,442,000","311,905,000","289,911,000","287,610,000","317,199,000","323,480,000","293,022,000","309,648,000","332,544,000","330,399,000","299,730,000","279,655,000","293,087,000","292,557,000","273,795,000","264,427,000","278,024,000","287,538,000","268,690,000","253,020,000","268,285,000","265,901,000","243,018,000","224,432,000","234,662,000","231,342,000","212,224,000","202,401,000","222,205,000","218,433,000","206,102,000","230,861,000","274,181,000","276,050,000","249,329,000","243,711,000","247,823,000","252,762,000","231,827,000","219,161,000","226,118,000","224,814,000","287,330,000","288,320,000","284,537,000","271,886,000","253,288,000","251,938,000","256,824,000","248,232,000","225,276,000","207,456,000","211,530,000","208,263,000","200,110,000","194,255,000","201,155,000"
	OperatingRevenue,"1,822,547,000","446,396,000","443,065,000","468,891,000","464,195,000","410,584,000","406,750,000","425,562,000","428,732,000","392,805,000","353,251,000","350,062,000","358,160,000","317,037,000","300,223,000","316,442,000","311,905,000","289,911,000","287,610,000","317,199,000","323,480,000","293,022,000","309,648,000","332,544,000","330,399,000","299,730,000","279,655,000","293,087,000","292,557,000","273,795,000","264,427,000","278,024,000","287,538,000","268,690,000","253,020,000","268,285,000","265,901,000","243,018,000","224,432,000","234,662,000","231,342,000","212,224,000","202,401,000","222,205,000","218,433,000","206,102,000","230,861,000","274,181,000","276,050,000","249,329,000","243,711,000","247,823,000","252,762,000","231,827,000","219,161,000","226,118,000","224,814,000","287,330,000","288,320,000","284,537,000","271,886,000","253,288,000","251,938,000","256,824,000","248,232,000","225,276,000","207,456,000","211,530,000","208,263,000","200,110,000","194,255,000","201,155,000"
CostOfRevenue,"1,562,180,000","384,193,000","390,076,000","401,597,000","386,314,000","359,095,000","352,222,000","364,188,000","364,505,000","342,864,000","309,673,000","307,011,000","307,025,000","279,755,000","262,342,000","273,616,000","269,005,000","254,016,000","254,205,000","278,824,000","276,375,000","257,787,000","273,173,000","289,374,000","284,493,000","266,013,000","249,175,000","255,767,000","254,187,000","244,261,000","637,584,000","110,849,000","114,258,000","114,746,000","109,646,000","115,451,000","118,275,000","107,616,000","74,921,000","74,607,000","74,980,000","68,252,000","61,111,000","63,001,000","56,176,000","51,736,000","63,086,000","92,097,000","94,170,000","94,901,000","90,861,000","89,409,000","84,446,000","75,360,000","69,744,000","75,110,000","73,652,000","99,089,000","99,284,000","95,606,000","90,582,000","81,600,000","80,969,000","79,776,000","77,438,000","69,783,000","62,270,000","62,117,000","64,362,000","63,544,000","59,003,000","61,318,000"
GrossProfit,"260,367,000","62,203,000","52,989,000","67,294,000","77,881,000","51,489,000","54,528,000","61,374,000","64,227,000","49,941,000","43,578,000","43,051,000","51,135,000","37,282,000","37,881,000","42,826,000","42,900,000","35,895,000","33,405,000","38,375,000","47,105,000","35,235,000","36,475,000","43,170,000","45,906,000","33,717,000","30,480,000","37,320,000","38,370,000","29,534,000","-373,157,000","167,175,000","173,280,000","153,944,000","143,374,000","152,834,000","147,626,000","135,402,000","149,511,000","160,055,000","156,362,000","143,972,000","141,290,000","159,204,000","162,257,000","154,366,000","167,775,000","182,084,000","181,880,000","154,428,000","152,850,000","158,414,000","168,316,000","156,467,000","149,417,000","151,008,000","151,162,000","188,241,000","189,036,000","188,931,000","181,304,000","171,688,000","170,969,000","177,048,000","170,794,000","155,493,000","145,186,000","149,413,000","143,901,000","136,566,000","135,252,000","139,837,000"
OperatingExpense,"99,555,000","24,817,000","26,569,000","21,484,000","26,685,000","22,732,000","21,118,000","22,351,000","22,704,000","22,341,000","20,394,000","19,166,000","21,301,000","19,631,000","20,474,000","20,049,000","21,006,000","18,121,000","15,726,000","18,404,000","15,772,000","13,933,000","15,939,000","15,989,000","23,170,000","18,493,000","15,939,000","15,681,000","15,213,000","15,174,000","-382,748,000","150,759,000","152,088,000","142,896,000","137,194,000","143,214,000","139,370,000","131,312,000","136,953,000","141,514,000","139,666,000","135,927,000","133,293,000","136,766,000","144,530,000","146,597,000","146,267,000","158,902,000","156,062,000","256,791,000","248,328,000","245,170,000","247,646,000","231,139,000","214,017,000","219,446,000","212,904,000","289,946,000","275,889,000","277,770,000","269,877,000","252,499,000","249,486,000","249,382,000","244,307,000","224,969,000","205,222,000","206,351,000","206,064,000","202,230,000","192,349,000","198,498,000"
	SellingGeneralAndAdministration,"43,964,000","10,421,000","12,537,000","7,850,000","13,156,000","9,530,000","8,339,000","9,985,000","9,910,000","10,191,000","9,152,000","8,535,000","10,426,000","9,049,000","10,676,000","9,988,000","10,880,000","8,081,000","6,488,000","9,146,000","6,361,000","4,837,000","6,912,000","6,956,000","14,177,000","9,518,000","7,409,000","6,607,000","5,883,000","5,595,000","-385,759,000","138,532,000","140,239,000","131,700,000","127,108,000","133,460,000","130,669,000","122,740,000","119,014,000","123,298,000","121,421,000","117,464,000","115,106,000","118,053,000","125,679,000","127,635,000","127,894,000","139,745,000","136,871,000","152,235,000","147,283,000","149,261,000","154,163,000","147,402,000","135,644,000","137,725,000","131,088,000","176,541,000","168,187,000","166,865,000","167,295,000","157,587,000","154,585,000","155,222,000","154,315,000","140,905,000","129,653,000","131,012,000","129,415,000","126,416,000","120,234,000","123,482,000"
		GeneralAndAdministrativeExpense,"43,964,000","10,421,000","12,537,000","7,850,000","13,156,000","9,530,000","8,339,000","9,985,000","9,910,000","10,191,000","9,152,000","8,535,000","10,426,000","9,049,000","10,676,000","9,988,000","10,880,000","8,081,000","6,488,000","9,146,000","6,361,000","4,837,000","6,912,000","6,956,000","14,177,000","9,518,000","7,409,000","6,607,000","5,883,000","5,595,000","-385,759,000","138,532,000","140,239,000","131,700,000","127,108,000","133,460,000","130,669,000","122,740,000","119,014,000","123,298,000","121,421,000","117,464,000","115,106,000","118,053,000","125,679,000","127,635,000","127,894,000","139,745,000","136,871,000","152,235,000","147,283,000","149,261,000","154,163,000","147,402,000","135,644,000","137,725,000","131,088,000","176,541,000","168,187,000","166,865,000","167,295,000","157,587,000","154,585,000","155,222,000","154,315,000","140,905,000","129,653,000","131,012,000","129,415,000","126,416,000","120,234,000","123,482,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,532,000","140,239,000","131,700,000","127,108,000","133,460,000","130,669,000","122,740,000","119,014,000","123,298,000","121,421,000","117,464,000","115,106,000","118,053,000","125,679,000","127,635,000","127,894,000","139,745,000","136,871,000","133,347,000","130,297,000","129,261,000","135,237,000","129,804,000","120,968,000","122,421,000","117,502,000","158,733,000","154,475,000","152,651,000","146,831,000","140,687,000","141,211,000","143,074,000","137,283,000","127,943,000","117,513,000","119,054,000","116,003,000","113,144,000","109,074,000","112,604,000"
			InsuranceAndClaims,"43,964,000","10,421,000","12,537,000","7,850,000","13,156,000","9,530,000","8,339,000","9,985,000","9,910,000","10,191,000","9,152,000","8,535,000","10,426,000","9,049,000","10,676,000","9,988,000","10,880,000","8,081,000","6,488,000","9,146,000","6,361,000","4,837,000","6,912,000","6,956,000","14,177,000","9,518,000","7,409,000","6,607,000","5,883,000","5,595,000","6,303,000","6,133,000","6,102,000","6,174,000","10,213,000","6,766,000","7,836,000","7,252,000","5,377,000","5,997,000","5,411,000","5,085,000","5,795,000","7,343,000","9,063,000","7,611,000","8,117,000","7,824,000","7,474,000","9,444,000","8,493,000","10,000,000","9,463,000","8,799,000","7,338,000","7,652,000","6,793,000","8,904,000","6,856,000","7,107,000","10,232,000","8,450,000","6,687,000","6,074,000","8,516,000","6,481,000","6,070,000","5,979,000","6,706,000","6,636,000","5,580,000","5,439,000"
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,133,000","6,102,000","6,174,000","10,213,000","6,766,000","7,836,000","7,252,000","5,377,000","5,997,000","5,411,000","5,085,000","5,795,000","7,343,000","9,063,000","7,611,000","8,117,000","7,824,000","7,474,000","295,026,000","286,073,000","288,522,000","298,863,000","286,005,000","263,950,000","267,798,000","255,383,000","344,178,000","329,518,000","326,623,000","324,358,000","306,724,000","302,483,000","304,370,000","300,114,000","275,329,000","253,236,000","256,045,000","252,124,000","246,196,000","234,888,000","241,525,000"
