name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,12/31/2016,09/30/2016
TotalRevenue,"935,797,000","255,001,000","237,537,000","222,513,000","220,746,000","214,002,000","226,039,000","232,687,000","220,975,000","218,276,000","187,609,000","4,102,000","4,823,000","4,283,000"
	OperatingRevenue,"935,104,000","254,308,000","237,537,000","222,513,000","220,746,000","214,002,000","206,121,000","207,540,000","202,043,000","201,033,000","168,051,000","4,102,000","4,823,000","4,283,000"
CostOfRevenue,"19,882,000","5,073,000","4,538,000","5,423,000","4,848,000","4,092,000","24,751,000","29,646,000","23,445,000","21,338,000","23,684,000","3,008,000","3,579,000","3,047,000"
GrossProfit,"915,915,000","249,928,000","232,999,000","217,090,000","215,898,000","209,910,000","201,288,000","203,041,000","197,530,000","196,938,000","163,925,000","1,094,000","1,244,000","1,236,000"
OperatingExpense,"178,635,000","157,390,000","5,992,000","7,717,000","7,536,000","7,155,000","5,213,000","6,607,000","8,082,000","8,214,000","10,690,000","1,094,000","1,243,000","1,235,000"
	SellingGeneralAndAdministration,"25,359,000","7,015,000","5,109,000","6,717,000","6,518,000","6,225,000","4,284,000","5,678,000","7,160,000","7,308,000","9,939,000","293,000","440,000","459,000"
		GeneralAndAdministrativeExpense,"25,359,000","7,015,000","5,109,000","6,717,000","6,518,000","6,225,000","4,284,000","5,678,000","7,160,000","7,308,000","9,939,000","293,000","440,000","459,000"
			OtherGandA,"25,359,000","7,015,000","5,109,000","6,717,000","6,518,000","6,225,000","4,284,000","5,678,000","7,160,000","7,308,000","9,939,000","293,000","440,000","459,000"
	DepreciationAmortizationDepletionIncomeStatement,"3,768,000","867,000","883,000","1,000,000","1,018,000","930,000","929,000","929,000","922,000","906,000","751,000","801,000","803,000","776,000"
		DepreciationAndAmortizationInIncomeStatement,"3,768,000","867,000","883,000","1,000,000","1,018,000","930,000","929,000","929,000","922,000","906,000","751,000","801,000","803,000","776,000"
			DepreciationIncomeStatement,"3,768,000","867,000","883,000","1,000,000","1,018,000","930,000","929,000","929,000","922,000","906,000","751,000","801,000","803,000","776,000"
	OtherOperatingExpenses,,"149,508,000",,,,,,,,,,,,
OperatingIncome,"737,280,000","92,538,000","227,007,000","209,373,000","208,362,000","202,755,000","196,075,000","196,434,000","189,448,000","188,724,000","153,235,000","0","1,000","1,000"
NetNonOperatingInterestIncomeExpense,"-250,524,000","-70,573,000","-67,295,000","-61,841,000","-50,815,000","-48,419,000","-50,495,000","-52,024,000","-47,641,000","-51,197,000","-63,072,000","0","-1,000","-1,000"
	InterestIncomeNonOperating,"20,367,000","5,520,000","4,153,000","6,690,000","4,004,000","5,167,000","3,803,000","2,027,000","3,799,000","1,678,000","282,000",,,
	InterestExpenseNonOperating,"270,891,000","76,093,000","71,448,000","68,531,000","54,819,000","53,586,000","54,298,000","54,051,000","51,440,000","52,875,000","63,354,000","0","1,000","1,000"
OtherIncomeExpense,"-105,828,000","-43,576,000","-58,392,000","-993,000","-2,867,000","-889,000","-393,000","-12,334,000",,"-23,040,000","-47,527,000",,,
	SpecialIncomeCharges,"-105,828,000","-43,576,000","-58,392,000","-993,000","-2,867,000","-889,000","-393,000","-12,334,000",,"-23,040,000","-47,527,000",,,
		RestructuringAndMergernAcquisition,"8,626,000","4,517,000","249,000","993,000","2,867,000","889,000","393,000",,,,"9,039,000",,,
		ImpairmentOfCapitalAssets,,,"0","0",,,"0","12,334,000",,,,,,
		WriteOff,,,,,,,,"12,334,000",,,,,,
		OtherSpecialCharges,,"39,059,000","58,143,000",,,,"0",,,"23,040,000","38,488,000",,,
PretaxIncome,"380,928,000","-21,611,000","101,320,000","146,539,000","154,680,000","153,447,000","145,187,000","132,076,000","141,807,000","114,487,000","42,636,000","0","0","0"
TaxProvision,"1,638,000","454,000","607,000","24,000","553,000","521,000","557,000","52,000","448,000","384,000","-1,901,000","0","0","0"
NetIncomeCommonStockholders,"371,103,000","-24,012,000","98,631,000","144,435,000","152,049,000","150,849,000","142,541,000","129,912,000","139,044,000","112,122,000","42,662,000","0","0","0"
	NetIncome,"371,103,000","-24,012,000","98,631,000","144,435,000","152,049,000","150,849,000","142,541,000","129,912,000","139,044,000","112,122,000","42,662,000","0","0","0"
		NetIncomeIncludingNoncontrollingInterests,"379,290,000","-22,065,000","100,713,000","146,515,000","154,127,000","152,926,000","144,630,000","132,024,000","141,359,000","114,103,000","44,537,000","0","0","0"
			NetIncomeContinuousOperations,"379,290,000","-22,065,000","100,713,000","146,515,000","154,127,000","152,926,000","144,630,000","132,024,000","141,359,000","114,103,000","44,537,000","0","0","0"
		MinorityInterests,"-8,187,000","-1,947,000","-2,082,000","-2,080,000","-2,078,000","-2,077,000","-2,089,000","-2,112,000","-2,315,000","-1,981,000","-1,875,000",,,
DilutedNIAvailtoComStockholders,"371,103,000","-24,012,000","98,631,000","144,435,000","152,049,000","150,849,000","142,541,000","129,912,000","139,044,000","112,122,000","42,662,000","0","0","0"
BasicEPS,,"-0.05","0.21","0.31","0.37","0.37","0.37","0.35","0.38","0.33","0.19","0",,"0"
DilutedEPS,,"-0.05","0.21","0.31","0.37","0.37","0.37","0.35","0.38","0.33","0.19","0",,"0"
BasicAverageShares,,"465,177,425","460,689,199","460,666,295","412,309,577","405,733,656","385,720,716","369,935,055","369,932,843","342,900,842","227,828,844","360,778,938",,"360,778,938"
DilutedAverageShares,,"465,177,425","472,642,363","465,771,668","412,821,400","406,035,025","385,847,082","370,127,185","369,991,738","343,056,532","227,985,982","360,778,938",,"360,778,938"
TotalOperatingIncomeAsReported,"728,654,000","88,021,000","226,758,000","208,380,000","205,495,000","201,866,000","195,682,000","184,100,000","189,448,000","188,724,000","144,196,000","0","1,000","1,000"
TotalExpenses,"198,517,000","162,463,000","10,530,000","13,140,000","12,384,000","11,247,000","29,964,000","36,253,000","31,527,000","29,552,000","34,374,000","4,102,000","4,822,000","4,282,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"371,103,000","-24,012,000","98,631,000","144,435,000","152,049,000","150,849,000","142,541,000","129,912,000","139,044,000","112,122,000","42,662,000","0","0","0"
NormalizedIncome,"476,475,936.933","7,798,480","156,673,178.208","145,427,837.368","154,905,750.123","151,734,981.57","142,932,492.282","142,241,143.947","139,044,000","135,084,721.706","71,178,200","0","0","0"
InterestIncome,"20,367,000","5,520,000","4,153,000","6,690,000","4,004,000","5,167,000","3,803,000","2,027,000","3,799,000","1,678,000","282,000",,,
InterestExpense,"270,891,000","76,093,000","71,448,000","68,531,000","54,819,000","53,586,000","54,298,000","54,051,000","51,440,000","52,875,000","63,354,000","0","1,000","1,000"
NetInterestIncome,"-250,524,000","-70,573,000","-67,295,000","-61,841,000","-50,815,000","-48,419,000","-50,495,000","-52,024,000","-47,641,000","-51,197,000","-63,072,000","0","-1,000","-1,000"
EBIT,"651,819,000","54,482,000","172,768,000","215,070,000","209,499,000","207,033,000","199,485,000","186,127,000","193,247,000","167,362,000","105,990,000","0","1,000","1,000"
EBITDA,"655,587,000"
ReconciledCostOfRevenue,"19,882,000","5,073,000","4,538,000","5,423,000","4,848,000","4,092,000","24,751,000","29,646,000","23,445,000","21,338,000","23,684,000","3,008,000","3,579,000","3,047,000"
ReconciledDepreciation,"3,768,000","867,000","883,000","1,000,000","1,018,000","930,000","929,000","929,000","922,000","906,000","751,000","801,000","803,000","776,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"371,103,000","-24,012,000","98,631,000","144,435,000","152,049,000","150,849,000","142,541,000","129,912,000","139,044,000","112,122,000","42,662,000","0","0","0"
TotalUnusualItemsExcludingGoodwill,"-105,828,000","-43,576,000","-58,392,000","-993,000","-2,867,000","-889,000","-393,000","-12,334,000",,"-23,040,000","-47,527,000",,,
TotalUnusualItems,"-105,828,000","-43,576,000","-58,392,000","-993,000","-2,867,000","-889,000","-393,000","-12,334,000",,"-23,040,000","-47,527,000",,,
NormalizedEBITDA,"761,415,000","98,925,000","232,043,000","217,063,000","213,384,000","208,852,000","200,807,000","199,390,000","194,169,000","191,308,000","154,268,000","801,000","804,000","777,000"
TaxRateForCalcs,"0.004","0.27","0.006","0","0.004","0.003","0.004","0","0.003","0.003","0.4","0","0","0"
TaxEffectOfUnusualItems,"-455,063.067","-11,765,520","-349,821.792","-162.632","-10,249.877","-3,018.43","-1,507.718","-4,856.053","0","-77,278.294","-19,010,800","0","0","0"
