name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
		GoodwillAndOtherIntangibleAssets,"1,933,407,000","1,953,312,000","2,031,858,000","1,894,596,000","4,626,858,000","287,387,000","372,406,000","371,430,000","403,426,000","407,002,000","443,244,000","445,778,000","441,539,000","403,051,000","394,470,000","404,128,000","118,584,000","35,171,000","31,748,000","22,455,000","17,897,000","21,291,000","17,601,000","23,092,000","29,000,000","30,900,000","34,100,000"
			Goodwill,"1,578,785,000","1,567,169,000","1,610,355,000","1,540,032,000","2,893,811,000","243,262,000","284,203,000","276,966,000","273,145,000","272,238,000","292,721,000","278,767,000","270,185,000","251,100,000",,,,,,,,,,,,,
			OtherIntangibleAssets,"354,622,000","386,143,000","421,503,000","354,564,000","1,733,047,000","44,125,000","88,203,000","94,464,000","130,281,000","134,764,000","150,523,000","167,011,000","171,354,000","151,951,000","394,470,000","404,128,000","118,584,000","35,171,000","31,748,000","22,455,000","17,897,000","21,291,000","17,601,000","23,092,000","29,000,000","30,900,000","34,100,000"
		InvestmentsAndAdvances,"579,813,000","528,722,000","534,064,000","457,533,000","455,417,000","194,042,000","212,178,000","207,141,000","198,427,000","180,690,000","146,084,000","121,951,000",,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,"12,984,000","14,601,000","15,076,000","50,875,000","22,100,000","25,730,000","25,788,000",,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,"31,776,000","31,780,000","34,084,000","25,124,000","25,017,000",,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"15,275,000","17,029,000","25,108,000","61,132,000","95,630,000","86,023,000","65,667,000","64,512,000",,,,,"26,938,000",,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"15,275,000","17,029,000","25,108,000","61,132,000","76,025,000","62,440,000","65,667,000","64,512,000",,,,,"26,938,000",,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,"0",,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"63,922,000","63,106,000","188,869,000","49,412,000","89,588,000","40,849,000","69,438,000","65,307,000","116,871,000","125,878,000","123,259,000","113,717,000","269,992,000","185,888,000","312,293,000","395,223,000","260,333,000","225,650,000","184,394,000","154,120,000","108,213,000","90,308,000","77,204,000","68,304,000","60,800,000","53,100,000","48,500,000"
TotalLiabilitiesNetMinorityInterest,"5,767,283,000","3,822,566,000","3,933,076,000","4,218,603,000","6,213,701,000","3,734,468,000","1,842,021,000","1,505,283,000","1,524,997,000","1,592,335,000","1,518,239,000","1,806,946,000","1,497,784,000","1,502,270,000","1,616,968,000","1,731,370,000","751,070,000","623,216,000","536,173,000","422,896,000","463,530,000","486,130,000","370,845,000","341,063,000","581,900,000","594,200,000","384,800,000"
	CurrentLiabilities,"1,408,996,000","1,183,173,000","1,200,925,000","1,140,103,000","1,616,685,000","1,139,886,000","436,363,000","385,009,000","401,178,000","364,177,000","353,264,000","438,367,000","402,917,000","482,949,000","421,917,000","373,746,000","210,071,000","165,007,000","303,837,000","142,116,000","131,353,000","107,936,000","112,560,000","147,948,000","194,200,000","181,100,000","145,900,000"
		PayablesAndAccruedExpenses,"1,116,495,000","798,065,000","683,582,000","800,081,000","685,398,000","362,542,000","351,958,000","318,912,000","248,939,000","355,194,000","316,954,000","412,165,000","354,182,000","362,310,000","340,706,000","290,458,000","182,041,000","140,143,000","123,537,000","129,228,000","111,891,000","98,373,000","98,246,000","122,751,000","102,800,000","99,100,000","76,900,000"
			Payables,"645,363,000","618,556,000","508,639,000","570,394,000","408,255,000","272,717,000","245,140,000","219,788,000","231,339,000","211,510,000","183,686,000","241,653,000","198,817,000","202,488,000","222,142,000","202,410,000","111,431,000","75,092,000","63,559,000","72,296,000","61,386,000","45,073,000","50,668,000","66,968,000","102,800,000","99,100,000","76,900,000"
				AccountsPayable,"574,138,000","522,516,000","418,537,000","281,874,000","306,517,000","231,705,000","194,064,000","172,866,000","184,472,000","175,183,000","170,287,000","224,333,000","198,817,000","202,488,000","222,142,000","202,410,000","111,431,000","75,092,000","63,559,000","72,296,000","61,386,000","45,073,000","50,668,000","66,968,000","102,800,000","99,100,000","76,900,000"
				TotalTaxPayable,"32,461,000","60,871,000","54,937,000","254,416,000","69,432,000","19,554,000","31,879,000","29,451,000","31,630,000","23,780,000","2,393,000","7,645,000",,,,,,,,,,,,,,,
					IncomeTaxPayable,"32,461,000","60,871,000","54,937,000","254,416,000","69,432,000","9,453,000","8,015,000","4,426,000","11,796,000","23,780,000","2,393,000","7,645,000",,,,,,,,,,,,,,,
				DividendsPayable,"38,764,000","35,169,000","35,165,000","34,104,000","32,306,000","21,458,000","19,197,000","17,471,000","15,237,000","12,547,000","11,006,000","9,675,000",,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"471,132,000","179,509,000","174,943,000","229,687,000","277,143,000","89,825,000","106,818,000","99,124,000","17,600,000","143,684,000","133,268,000","170,512,000","155,365,000","159,822,000","118,564,000","88,048,000","70,610,000","65,051,000","59,978,000","56,932,000","50,505,000","53,300,000","47,578,000","55,783,000",,,
				InterestPayable,,,,,,"13,212,000","7,716,000","7,816,000","8,075,000",,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"82,028,000","77,814,000","93,393,000","92,478,000","125,236,000","49,072,000","41,955,000","39,442,000","67,727,000",,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"210,473,000","307,294,000","422,012,000","247,544,000","677,345,000","711,096,000","24,554,000","12,700,000","14,416,000","8,983,000","36,310,000","26,202,000","16,627,000","50,731,000","57,564,000","45,047,000","190,000","343,000","157,862,000","299,000","779,000","408,000","379,000","7,457,000","17,000,000","18,600,000","14,000,000"
			CurrentDebt,"187,336,000","307,294,000","422,012,000","247,544,000","677,345,000","711,096,000","24,554,000","12,700,000","14,416,000","8,983,000","36,310,000","26,202,000","16,627,000","50,731,000","57,564,000","45,047,000","190,000","343,000","157,862,000","299,000","779,000","408,000","379,000","7,457,000","17,000,000","18,600,000","14,000,000"
				OtherCurrentBorrowings,"187,336,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"23,137,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,"17,176,000","17,896,000","13,955,000","18,819,000",,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,"6,806,000",,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,,,,,,"10,370,000","17,896,000","13,955,000","18,819,000",,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,,"875,879,000","1,938,000","892,559,000","128,706,000","428,790,000","411,809,000","372,309,000","51,277,000","355,194,000","322,111,000","405,667,000","32,108,000","69,908,000","23,647,000","38,241,000","27,840,000","24,521,000","22,438,000","12,589,000","18,683,000","9,155,000","13,935,000","17,740,000","74,400,000","63,400,000","55,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"4,358,287,000","2,639,393,000","2,732,151,000","3,078,500,000","4,597,016,000","2,594,582,000","1,405,658,000","1,120,274,000","1,123,819,000","1,228,158,000","1,164,975,000","1,368,579,000","1,094,867,000","1,019,321,000","1,195,051,000","1,357,624,000","540,999,000","458,209,000","232,336,000","280,780,000","332,177,000","378,194,000","258,285,000","193,115,000","387,700,000","413,100,000","238,900,000"
		LongTermProvisions,"88,906,000","81,865,000","77,968,000","68,891,000","71,035,000","19,926,000","26,143,000","33,730,000",,,,,,,,,,,,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"2,977,607,000","1,397,916,000","1,415,360,000","2,121,718,000","3,174,674,000","2,223,035,000","1,054,310,000","686,588,000","749,257,000","851,927,000","776,403,000","906,062,000","707,311,000","681,859,000","775,889,000","899,584,000","228,389,000","180,137,000","12,353,000","97,681,000","158,981,000","192,530,000","91,414,000","24,406,000","200,100,000","237,800,000","81,400,000"
			LongTermDebt,"2,862,921,000","1,397,916,000","1,415,360,000","2,121,718,000","3,174,674,000","2,223,035,000","1,054,310,000","686,588,000","749,257,000","851,927,000","776,403,000","906,062,000","707,311,000","681,859,000","775,889,000","899,584,000","228,389,000","180,137,000","12,353,000","97,681,000","158,981,000","192,530,000","91,414,000","24,406,000","200,100,000","237,800,000","81,400,000"
			LongTermCapitalLeaseObligation,"114,686,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"397,858,000","382,982,000","370,389,000","412,739,000","736,317,000","58,894,000","131,632,000","66,730,000","77,903,000","109,570,000","81,441,000","74,838,000","107,089,000","100,868,000","193,950,000","248,751,000","143,665,000","128,849,000","99,714,000","99,603,000","92,011,000","110,000,000","97,167,000","104,543,000","133,100,000","123,900,000","117,200,000"
