name,ttm,12/31/2019,12/31/2018,12/31/2017
MarketCap,"7,765,004,187","11,778,671,158","7,600,822,188","5,047,610,163"
EnterpriseValue,"14,176,886,187","15,149,686,158","11,256,076,188","5,047,610,163"
PeRatio,"20.207","18.121","15.024",
ForwardPeRatio,"11.416","15.432","10.977",
PsRatio,"8.038","12.085","7.162","270.649"
PbRatio,"1.016","1.474","1.241","60.818"
EnterprisesValueRevenueRatio,"15.15","16.931","12.535","25.058"
EnterprisesValueEBITDARatio,"21.625","18.745","15.01","46.248"
