name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalRevenue,"16,839,000,000","17,170,000,000","16,383,000,000","15,304,000,000","13,874,000,000","12,485,000,000","11,805,000,000","11,071,000,000","10,048,000,000","8,706,000,000"
	NetInterestIncome,"16,463,000,000","16,799,000,000","16,118,000,000","15,016,000,000","13,530,000,000","12,093,000,000","11,320,000,000","10,571,000,000","9,564,000,000","8,209,000,000"
		InterestIncome,"18,711,000,000","19,090,000,000","17,988,000,000","16,407,000,000","14,778,000,000","13,228,000,000","12,242,000,000","11,313,000,000","10,309,000,000","9,141,000,000"
			InterestIncomeFromLoansAndLease,"18,358,000,000","18,705,000,000","17,644,000,000","16,219,000,000","14,682,000,000","13,179,000,000","12,216,000,000","11,295,000,000","10,300,000,000","9,134,000,000"
				InterestIncomeFromLoans,"18,358,000,000","18,705,000,000","17,644,000,000","16,219,000,000","14,682,000,000","13,179,000,000","12,216,000,000","11,295,000,000","10,300,000,000","9,134,000,000"
			InterestIncomeFromSecurities,,"385,000,000","344,000,000","188,000,000","96,000,000","49,000,000","26,000,000","18,000,000","9,000,000","7,000,000"
			OtherInterestIncome,"353,000,000","385,000,000",,,,,,,,
		InterestExpense,"2,248,000,000","2,291,000,000","1,870,000,000","1,391,000,000","1,248,000,000","1,135,000,000","922,000,000","742,000,000","745,000,000","932,000,000"
			InterestExpenseForDeposit,"1,547,000,000","1,566,000,000","1,186,000,000","848,000,000","727,000,000","607,000,000","470,000,000","374,000,000","362,000,000","351,000,000"
			InterestExpenseForLongTermDebtAndCapitalSecurities,"701,000,000","725,000,000","684,000,000","543,000,000","521,000,000","528,000,000","452,000,000","368,000,000","383,000,000","581,000,000"
	NonInterestIncome,"376,000,000","371,000,000","265,000,000","288,000,000","344,000,000","392,000,000","485,000,000","500,000,000","484,000,000","497,000,000"
		FeesAndCommissions,"1,010,000,000","1,013,000,000","977,000,000","925,000,000","864,000,000","754,000,000","664,000,000","648,000,000","596,000,000","554,000,000"
			FeesandCommissionIncome,"1,010,000,000","1,013,000,000","977,000,000","925,000,000","864,000,000","754,000,000","664,000,000","648,000,000","596,000,000","554,000,000"
				ServiceChargeOnDepositorAccounts,"1,010,000,000","1,013,000,000","977,000,000","925,000,000","864,000,000","754,000,000","664,000,000","648,000,000","596,000,000","554,000,000"
		OtherNonInterestIncome,"-634,000,000","-642,000,000","-712,000,000","-637,000,000","-520,000,000","-362,000,000","-179,000,000","-148,000,000","-112,000,000","-57,000,000"
CreditLossesProvision,"-4,998,000,000","-4,180,000,000","-5,545,000,000","-5,296,000,000","-3,986,000,000","-2,952,000,000","-2,917,000,000","-3,072,000,000","-2,565,000,000","-2,258,000,000"
NonInterestExpense,"4,204,000,000","4,245,000,000","4,095,000,000","3,747,000,000","3,416,000,000","3,264,000,000","2,927,000,000","2,484,000,000","2,123,000,000","2,010,000,000"
	ProfessionalExpenseAndContractServicesExpense,"832,000,000","867,000,000","806,000,000","629,000,000","638,000,000","645,000,000","607,000,000","486,000,000","451,000,000","432,000,000"
	SellingGeneralAndAdministration,"2,458,000,000","2,489,000,000","2,381,000,000","2,185,000,000","1,968,000,000","1,772,000,000","1,538,000,000","1,160,000,000","993,000,000","974,000,000"
		GeneralAndAdministrativeExpense,"1,921,000,000","1,940,000,000","1,853,000,000","1,687,000,000","1,545,000,000","1,339,000,000","1,078,000,000","891,000,000","785,000,000","753,000,000"
			SalariesAndWages,"1,426,000,000","1,455,000,000","1,427,000,000","1,314,000,000","1,207,000,000","1,042,000,000","866,000,000","698,000,000","620,000,000","596,000,000"
			OtherGandA,"495,000,000","485,000,000","426,000,000","373,000,000","338,000,000","297,000,000","212,000,000","193,000,000","165,000,000","157,000,000"
		SellingAndMarketingExpense,"537,000,000","549,000,000","528,000,000","498,000,000","423,000,000","433,000,000","460,000,000","269,000,000","208,000,000","221,000,000"
