name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalAssets,"45,890,502,000","39,682,857,000","25,827,638,000","23,403,738,000","10,582,223,000","4,974,125,000"
	CurrentAssets,"20,098,257,000","21,234,067,000","12,377,846,000","13,186,038,000","3,438,120,000","752,614,000"
		CashCashEquivalentsAndShortTermInvestments,"16,383,421,000","18,222,406,000","10,649,583,000","11,287,789,000","2,452,359,000","163,359,000"
			CashAndCashEquivalents,"5,270,204,000","4,622,554,000","5,425,024,000","11,287,789,000","2,452,359,000","163,359,000"
			OtherShortTermInvestments,"11,113,217,000","13,599,852,000","5,224,559,000",,,
		Receivables,"2,797,164,000","2,234,778,000","891,912,000","203,203,000","144,234,000","278,834,000"
			AccountsReceivable,"1,186,691,000","1,114,978,000","351,865,000","197,803,000","58,494,000","49,164,000"
				GrossAccountsReceivable,"1,211,054,000","1,133,113,000","365,663,000","202,927,000","59,030,000","49,164,000"
				AllowanceForDoubtfulAccountsReceivable,"-24,363,000","-18,135,000","-13,798,000","-5,124,000","-536,000","0"
			AccruedInterestReceivable,"150,157,000","185,555,000","40,447,000",,,
			TaxesReceivable,"1,386,004,000","927,645,000","489,700,000",,,
			DuefromRelatedPartiesCurrent,"74,312,000","6,600,000","9,900,000","5,400,000","85,740,000","229,670,000"
		Inventory,"43,845,000","43,813,000","34,231,000","33,959,000","15,720,000","4,950,000"
		PrepaidAssets,"573,937,000","475,674,000","344,103,000","1,025,721,000","559,404,000","305,471,000"
		RestrictedCash,"7,210,000","400,000","348,710,000","635,366,000","266,403,000","0"
		OtherCurrentAssets,"292,680,000","256,996,000","109,307,000",,,
	TotalNonCurrentAssets,"25,792,245,000","18,448,790,000","13,449,792,000","10,217,700,000","7,144,103,000","4,221,511,000"
		NetPPE,"15,881,448,000","11,004,880,000","8,075,918,000","5,368,431,000","2,573,717,000","1,342,151,000"
			GrossPPE,"18,905,081,000","12,841,756,000","9,136,606,000","5,918,688,000","2,795,336,000","1,411,367,000"
				Properties,"0","0","0","0","0","0"
				LandAndImprovements,"2,681,762,000","2,093,750,000","1,688,966,000","1,352,963,000","847,915,000","430,287,000"
				BuildingsAndImprovements,"5,594,482,000","3,586,898,000","2,697,230,000","1,287,114,000","444,088,000","348,796,000"
				MachineryFurnitureEquipment,"7,609,023,000","5,104,351,000","3,053,292,000","1,931,987,000","822,562,000","374,376,000"
				OtherProperties,"901,956,000","9,035,704,000","6,473,010,000","4,065,562,000",,
				ConstructionInProgress,"1,685,622,000","1,711,971,000","1,434,699,000","1,116,044,000","577,645,000","174,699,000"
				Leases,"432,236,000","344,786,000","262,419,000","230,580,000","103,126,000","83,209,000"
			AccumulatedDepreciation,"-3,023,633,000","-1,836,876,000","-1,060,688,000","-550,257,000","-221,619,000","-69,216,000"
		GoodwillAndOtherIntangibleAssets,"4,289,570,000","4,295,768,000","4,301,965,000","4,157,111,000","4,091,219,000","2,379,182,000"
			Goodwill,"4,241,541,000","4,241,541,000","4,241,541,000","4,157,111,000","4,091,219,000","2,379,182,000"
			OtherIntangibleAssets,"48,029,000","54,227,000","60,424,000",,,
		InvestmentsAndAdvances,"4,055,674,000","2,207,410,000","610,160,000","537,175,000","377,431,000","389,557,000"
			LongTermEquityInvestment,"3,109,494,000","2,207,410,000","610,160,000","537,175,000","377,431,000","389,557,000"
			OtherInvestments,"946,180,000",,,,,
		NonCurrentAccountsReceivable,"549,775,000",,,,,
		NonCurrentDeferredAssets,"403,587,000","318,063,000","152,763,000","109,030,000","81,006,000","87,259,000"
			NonCurrentDeferredTaxesAssets,"403,587,000","318,063,000","152,763,000","109,030,000","81,006,000","87,259,000"
		OtherNonCurrentAssets,"612,191,000","622,669,000","308,986,000","45,953,000","20,730,000","23,362,000"
TotalLiabilitiesNetMinorityInterest,"7,487,105,000","5,413,308,000","4,386,321,000","3,652,991,000","2,736,002,000","1,578,422,000"
	CurrentLiabilities,"6,680,947,000","5,141,465,000","4,146,014,000","3,522,471,000","2,650,943,000","1,531,294,000"
		PayablesAndAccruedExpenses,"3,794,734,000","3,524,525,000","2,802,162,000","2,244,856,000","1,449,041,000","779,136,000"
