name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
			UnrealizedGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333,000,000",,,,"1,951,000,000",,"1,081,000,000",,"-930,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,937,000,000",,,,"-978,000,000",,,,"-2,236,000,000",,"-2,179,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FixedAssetsRevaluationReserve,,"0",,"1,000,000",,"3,000,000",,,,"12,000,000","14,000,000","15,000,000",,"20,000,000","21,000,000","21,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherEquityAdjustments,,"-7,360,000,000",,"-7,017,000,000",,"-7,274,000,000",,"-9,868,000,000","-9,201,000,000","-8,836,000,000","-7,999,000,000","-7,028,000,000","-5,144,000,000","-5,525,000,000","-4,831,000,000","-4,460,000,000","-4,171,000,000","19,163,000,000","18,992,000,000","-2,909,000,000","327,000,000","20,589,000,000","-879,000,000","-2,146,000,000","-3,636,000,000","16,077,000,000","-3,328,000,000","-2,922,000,000","-1,005,000,000","17,488,000,000",,,,"192,000,000",,,,"14,235,000,000",,,,"223,000,000",,"12,706,000,000",,,,,"22,196,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,"2,484,000,000","56,844,000,000","2,277,000,000","54,485,000,000","4,399,000,000",,,"54,432,000,000","2,530,000,000","2,532,000,000","2,058,000,000",,"2,019,000,000","1,464,000,000","1,076,000,000",,"1,325,000,000","493,000,000",,,"1,844,000,000",,,"45,830,000,000","1,522,000,000",,,,"415,000,000","41,490,000,000",,,"1,257,000,000",,"14,762,000,000","35,680,000,000","37,000,000","31,072,000,000","867,000,000","29,987,000,000","12,086,000,000","27,616,000,000","8,000,000",,"89,000,000",,,"117,000,000","-685,870",,,,"-757.69",,,,"-844.31",,,,,,,,,,"869,110","915,250",,,,,,,,,,,,,,"2,296,018,872","1,618,751,810","2,130,059,420","1,945,855,386","1,343,069,112","971,679,175","1,499,079,395","1,055,453,490","-45,815,504","246,517,067","442,672,945","791,257,256","863,828,316","858,679,380","869,502,942","998,852,850","1,072,102,850"
	MinorityInterest,,"6,201,000,000","6,299,000,000","5,839,000,000","5,718,000,000","5,764,000,000","5,100,000,000","6,336,000,000","6,592,000,000","6,979,000,000","7,069,000,000","6,895,000,000","6,874,000,000","8,064,000,000","8,324,000,000","8,527,000,000","8,132,000,000","8,149,000,000","7,329,000,000","1,728,000,000","1,692,000,000","2,511,000,000","2,253,000,000","2,048,000,000","1,863,000,000","2,371,000,000","2,254,000,000","2,205,000,000","2,362,000,000","2,372,000,000","2,260,000,000","2,100,000,000","2,022,000,000","1,893,000,000","1,731,000,000","1,562,000,000",,"1,556,000,000",,"1,399,000,000",,"1,463,000,000","1,254,000,000","1,219,000,000","1,116,000,000","1,049,000,000","1,006,000,000","876,000,000","907,000,000","881,342,950","854,000,000","797,132,830","785,000,000","768,161,275.8","777,000,000","766,303,137.6","1,012,000,000","970,752,176.98","924,000,000","837,000,000","760,000,000","581,397,328.24","4,365,089,040","4,358,269,440","4,591,560,620","5,416,447,059.92","5,299,797,300","5,438,890,380","5,914,345,500","5,679,294,281.81","5,841,022,880","5,945,986,200","7,294,533,400","6,405,160,842.18","7,789,279,200","7,551,418,800","7,627,837,100","6,312,843,460","6,858,643,000","5,522,000,600","5,747,325,900","5,341,621,250","4,239,811,296","4,452,509,230","4,431,229,588","3,089,442,978","2,478,585,340","2,736,439,450","3,000,108,661","2,796,815,385","2,541,317,464","2,474,491,625","2,212,933,690","1,703,195,706","896,506,545","840,331,530","853,102,299","552,224,115",
TotalCapitalization,"107,910,000,000","117,342,000,000","114,054,000,000","132,635,000,000","110,194,000,000","111,079,000,000","108,019,000,000","110,594,000,000","106,097,000,000","110,258,000,000","116,616,000,000","117,343,000,000","120,884,000,000","123,739,000,000","123,929,000,000","122,933,000,000","121,455,000,000","129,565,000,000","128,273,000,000","127,693,000,000","124,656,000,000","121,290,000,000","121,582,000,000","121,285,000,000","117,209,000,000","117,155,000,000","128,629,000,000","135,985,000,000","140,033,000,000","140,473,000,000","140,179,000,000","138,673,000,000","137,829,000,000","135,514,000,000","144,510,000,000","140,340,000,000","144,053,000,000","138,518,000,000","145,856,000,000","136,848,000,000","147,639,000,000","147,117,000,000",,"158,841,000,000",,"146,800,000,000",,"123,757,000,000","125,877,000,000","125,922,302,650",,"120,909,314,510",,"109,480,459,436.73",,"103,760,740,829.2",,"89,532,667,187.1","20,155,000,000","18,308,000,000","17,289,000,000","73,472,361,461.76","137,768,900,880","140,218,055,040","132,399,602,520","118,229,567,077.33","120,165,912,300","109,989,346,940","107,845,738,000","105,716,591,009.76","110,258,420,800","106,727,784,800","114,070,302,500","115,919,278,299.99","144,522,084,300","141,294,364,200","151,359,256,050","141,053,560,980","65,292,014,040","47,829,343,600","44,899,871,900","81,147,922,450","9,002,257,056","8,191,025,180","8,198,267,076","15,258,094,902","7,337,664,796","7,025,252,275","7,368,655,360","7,970,810,211","6,251,561,596","6,538,605,547","33,605,212,740","6,883,568,531","5,808,925,662","5,025,353,796","4,945,376,401","5,133,706,425","19,360,010,852"
CommonStockEquity,"42,973,000,000","48,723,000,000","50,730,000,000","48,849,000,000","47,829,000,000","47,109,000,000","45,997,000,000","45,751,000,000","45,231,000,000","46,343,000,000","47,331,000,000","47,830,000,000","48,044,000,000","47,364,000,000","47,566,000,000","47,435,000,000","46,384,000,000","47,291,000,000","46,273,000,000","49,268,000,000","50,674,000,000","49,099,000,000","46,136,000,000","44,819,000,000","42,194,000,000","42,479,000,000","45,101,000,000","45,184,000,000","44,211,000,000","41,430,000,000","41,490,000,000","40,950,000,000","39,339,000,000","38,165,000,000","38,138,000,000","36,081,000,000","37,881,000,000","35,919,000,000","32,909,000,000","31,453,000,000","31,824,000,000","29,300,000,000","29,453,000,000","28,682,000,000","27,251,000,000","25,656,000,000","26,330,000,000","25,094,000,000","25,689,000,000","27,105,582,400","26,740,000,000","20,074,597,210","21,560,000,000","18,209,608,473.71","18,494,000,000","15,232,610,920.8","16,405,000,000","13,025,771,518.72","16,016,000,000","14,719,000,000","13,460,000,000","23,447,939,265.44","20,237,993,880","19,453,163,520","18,902,749,740","15,057,913,457.3","17,763,499,950","16,846,828,240","16,214,569,000","15,505,816,800.68","17,681,043,600","16,837,398,200","17,177,375,600","18,174,943,046.43","19,270,123,500","17,192,479,200","16,021,654,250","17,590,569,540","16,427,867,060","15,537,188,000","11,603,467,000","12,435,294,270","7,183,605,096","6,361,707,170","6,384,790,408","5,639,152,176","5,644,403,226","5,314,863,775","5,658,804,195","4,949,813,232","4,686,980,172","4,725,014,017","4,600,005,520","4,527,794,491","4,177,899,879","3,912,577,080","3,876,466,734","4,172,424,345","2,830,949,212"
CapitalLeaseObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,320,287,123.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"38,271,000,000","41,758,000,000","42,222,000,000","40,587,000,000","39,446,000,000","38,795,000,000","37,784,000,000","37,378,000,000","37,032,000,000","37,879,000,000","38,588,000,000","38,783,000,000","38,483,000,000","37,578,000,000","38,063,000,000","37,499,000,000","36,526,000,000","37,017,000,000","36,476,000,000","40,056,000,000","41,181,000,000","41,729,000,000","37,515,000,000","36,600,000,000","34,055,000,000","35,720,000,000","36,846,000,000","36,572,000,000","35,259,000,000","32,518,000,000","32,641,000,000","32,023,000,000","30,789,000,000","29,488,000,000","28,070,000,000","26,359,000,000","37,881,000,000","27,912,000,000","32,909,000,000","22,907,000,000","31,824,000,000","22,052,000,000","29,453,000,000","20,319,000,000","18,434,000,000","17,217,000,000","17,954,000,000","17,383,000,000","17,965,000,000","18,848,393,470","18,227,000,000","16,600,900,670","18,070,000,000","14,940,345,846.27","16,588,000,000","13,359,683,209.6","14,428,000,000","10,957,293,916.79","14,300,000,000","13,044,000,000","12,395,000,000","13,903,215,774.24","14,854,812,960","13,887,269,760","13,227,623,020","10,996,573,875.98","13,807,953,600","12,748,974,590","11,930,283,750","11,244,620,022.41","13,255,719,400","12,365,074,400","12,689,138,000","13,006,736,195.96","14,372,186,100","12,528,436,800","11,593,581,800","12,913,166,720","16,427,867,060","15,537,188,000","11,603,467,000","12,435,294,270","5,631,788,520","5,526,879,800","5,620,551,470","4,173,770,700","4,568,878,776","4,669,688,475","5,112,840,315","4,949,813,232","4,686,980,172","4,725,014,017","4,600,005,520","3,832,873,288","3,923,493,237","3,757,313,496","3,876,466,734","4,172,424,345","2,830,949,212"
