name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
MarketCap,"39,436,024,090","39,191,265,899","53,085,561,117","48,774,183,858","48,339,710,222","47,565,062,982","47,417,188,529","53,311,479,146","55,071,352,979","63,369,917,702","56,878,533,932","58,854,341,574","52,880,965,077","46,770,872,889","41,223,303,122","37,724,535,975","39,906,424,313","51,442,497,238","47,444,502,413","54,868,548,466","70,764,758,650","68,643,732,561","75,787,090,962","86,440,913,366","71,754,491,337","69,129,350,667","82,781,072,992","72,101,251,779","81,183,548,120","80,524,844,528","88,024,826,092","97,408,812,249","100,062,302,124","95,984,833,212","89,588,744,675","88,574,372,344","107,984,220,233","116,501,501,976","115,090,252,684","85,786,264,094","77,434,165,525","81,410,595,452","75,765,130,693","72,717,372,859","64,433,700,584","45,087,181,479","51,111,757,778","80,643,220,000","91,758,625,000","110,788,755,000","107,116,341,500","112,352,000,000","108,882,229,500","84,110,400,000","79,817,822,000","71,350,251,000","60,277,098,000","62,089,398,000","53,027,898,000","48,418,272,000","36,552,852,000","31,641,120,000","32,101,020,000","25,049,454,000","23,342,265,999","24,805,569,999","17,546,811,999","14,924,437,999","12,108,750,000","8,634,345,999","9,273,687,999","7,972,195,999","8,843,329,999","13,106,607,000","12,855,825,999"
EnterpriseValue,"72,872,264,129","67,595,457,673","88,610,866,392","83,600,571,487","78,725,190,428","76,910,475,310","77,125,406,724","86,132,808,024","86,164,889,243","97,194,952,765","86,135,953,906","89,238,721,097","85,144,325,840","80,461,158,199","71,634,432,746","69,166,392,081","71,410,630,786","85,957,590,811","78,947,598,634","87,034,948,543","104,961,687,374","103,965,723,780","103,775,040,862","117,155,996,067","105,045,525,482","103,016,906,414","116,570,013,302","104,714,862,050","112,419,644,847","113,370,826,822","119,499,379,308","125,533,598,440","123,869,961,902","121,106,065,933","107,354,128,268","106,387,480,014","126,487,704,077","134,267,627,617","131,889,507,525","100,411,164,840","83,003,358,932","86,784,483,580","82,144,163,098","79,291,517,542","71,678,863,342","53,031,061,156","59,936,583,962","90,392,219,999","99,988,624,999","118,994,755,000","115,649,341,499","119,212,669,442","116,723,917,455","90,209,275,602","83,398,224,325","75,365,584,699","64,183,097,999","66,804,397,999","57,477,021,624","52,815,271,999","39,960,851,999","35,491,120,000","35,902,080,999","28,476,454,000","26,416,265,999","28,041,569,998","21,041,138,999","17,707,439,012","14,995,749,171","12,011,345,372","12,725,687,999","11,745,195,999","10,459,451,873","14,105,708,180","13,844,140,673"
PeRatio,"51.875","13.689","16.496","14.543","17.444","20.001","75.326",,"102.819","39.07","32.119","22.982","23.637","100.747","28.928","29.155","23.898","25.237","22.907","26.408","28.374","23.17","17.381","17.994","15.673","12.248","15.306","11.275","11.667","10.736","12.319","15.514","14.879","14.805","16.369","15.95","14.397","14.514","15.305","14.729","13.468","13.122","13.078","13.333","12.542","10.473","12.25","14.214","16.128","20.574","20.061","23.642","27.373","21.781","18.851","19.215","16.687","18.207","30.889","28.114","18.244","21.246","22.104","13.928","17.765","17.054","13.243","13.687","12.718","15.563","21.466","118.506","274.938",,
ForwardPeRatio,"15.291","10.788","11.312","12.5","13.967","13.21",,"14.903","17.731","20.921","18.484","17.921","13.175","17.182","10.256","9.242","10.707","9.579","7.452","204.082","270.27","11.574","23.866","27.1","11.481","10.858","22.026","14.535","7.794","6.757","17.953","19.418","16.475","11.933","10.65","9.606","11.312","13.333","13.158",,,"13.038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.905","0.548","0.575","0.739","0.789","0.747",,"0.746","0.886","1.158","0.304","0.295","0.218","0.266","0.34","0.341","0.394","0.432","0.336","9.549","21.346","2.216","4.569","5.195","3.469","4.702","9.527","6.296","0.455","0.394","1.317","1.425","16.801","1.143","0.954","0.961","1.74","1.57","1.195",,,"1.043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.947","0.92","0.977","0.945","0.895","0.893","0.903","0.98","1.074","1.121","1.084","1.025","0.933","0.893","0.911","0.803","0.831","0.989","0.93","1.072","1.345","1.254","1.443","1.494","1.188","1.163","1.409","1.255","1.376","1.267","1.453","1.773","1.972","1.839","1.89","1.841","2.016","2.32","2.298","2.44","2.76","2.507","2.549","2.579","2.316","1.808","2.11","2.534","2.83","3.643","3.772","4.688","4.817","4.063","4.072","3.661","3.179","3.41","3.104","2.825","2.479","2.449","2.706","2.313","2.519","2.891","2.324","2.199","1.829","1.484","1.691","1.561","2.021","2.886","2.868"
PbRatio,"4.125","4.085","5.298","4.851","4.438","4.383","5.277","4.588","4.886","4.396","4.462","6.005","3.479","3.215","3.626","4.382","3.968","5.5","6.186","7.154","5.32","5.57","5.48","5.727","4.616","4.318","4.924","4.555","3.366","3.193","3.732","4.277","4.45","4.138","3.543","3.603","3.787","4.079","4.617","3.353","3.708","5.572","5.6","5.305","5.297","4.164","4.913","7.059","6.935","8.465","9.221","9.397","9.217","8.556","7.654","7.314","6.352","7.033","6.493","5.999","4.824","4.453","4.712","3.587","3.64","3.776","3.073","2.552","2.047","1.663","1.992","1.707","1.544","2.12","2.107"
EnterprisesValueRevenueRatio,"0.072","0.271","0.337","0.337","0.315","0.313","0.278","0.346","0.335","0.382","0.326","0.365","0.341","0.305","0.266","0.277","0.306","0.385","0.342","0.389","0.477","0.472","0.453","0.53","0.518","0.527","0.571","0.539","0.577","0.588","0.603","0.651","0.646","0.629","0.59","0.636","0.792","0.859","0.814","0.654","0.823","0.879","0.767","0.795","0.762","0.565","0.637","1.058","1.185","1.465","1.293","1.532","1.552","1.332","1.262","1.3","1.15","1.321","1.05","1.162","0.941","0.915","0.87","0.845","0.867","1.006","0.777","0.831","0.761","0.697","0.73","0.762","0.807","1.216","1.264"
EnterprisesValueEBITDARatio,"0.221","0.871","0.964","1.043","1.007","1.025","0.941","1.2","1.17","1.365","1.201","1.346","1.218","1.125","3.259","1.021","1.171","1.392","1.207","3.498","1.537","1.523","2.495","1.728","1.663","1.589","2.657","1.654","1.728","1.592","1.909","1.706","2.339","1.555","1.641","1.98","2.049","2.132","2.303","1.593","1.962","2.087","1.994","1.971","1.822","1.384","2.257","2.589","2.888","3.511","5.309","3.736","3.796","3.117","-42.89","2.693","2.388","2.756","77.456","2.663","2.234","2.057","-13.647","1.857","2.58","2.86","2.258","2.158","1.97","1.855","2.051","2.036","2.116","3.666","8.471"
