name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
MarketCap,"23,430,613,569","18,258,473,284","12,433,892,887","11,420,948,973","8,828,075,730"
EnterpriseValue,"21,240,715,192","18,258,473,284","12,433,892,887","11,420,948,973","8,828,075,730"
PeRatio,"29.202","27.738","18.457","28.217","27.8"
ForwardPeRatio,"28.329","21.142","17.182","18.215",
PsRatio,"7.49","6.145","4.9","6.197","5.9"
PbRatio,"4.321","3.52","2.585","3.624","8.118"
EnterprisesValueRevenueRatio,"0.961","0.826","0.706","0.874","0.902"
EnterprisesValueEBITDARatio,"2.648","2.276","2.008","2.597","2.795"
