name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
TotalRevenue,"2,338,311,000","523,029,000","552,546,000","654,415,000","608,321,000","595,424,000","595,726,000","563,309,000","519,845,000","472,489,000","467,867,000","437,633,000","405,211,000","335,475,000","327,969,000","290,261,000","268,741,000","242,196,000","245,446,000","217,548,000","195,552,000","179,045,000","173,489,000","155,463,000","137,947,000","117,207,000","114,766,000","101,625,000","83,485,000","61,348,000"
	OperatingRevenue,"2,338,311,000","523,029,000","552,546,000","654,415,000","608,321,000","595,424,000","595,726,000","563,309,000","519,845,000","472,489,000","467,867,000","437,633,000","405,211,000","335,475,000","327,969,000","290,261,000","268,741,000","242,196,000","245,446,000","217,548,000","195,552,000","179,045,000","173,489,000","155,463,000","137,947,000","117,207,000","114,766,000","101,625,000","83,485,000","61,348,000"
CostOfRevenue,"836,292,000","184,778,000","196,243,000","237,141,000","218,130,000","214,854,000","220,734,000","201,726,000","185,962,000","169,570,000","160,702,000","157,016,000","145,434,000","121,265,000","117,814,000","103,841,000","97,290,000","87,106,000","89,278,000","75,800,000","67,662,000","61,291,000","57,049,000","54,506,000","44,567,000","35,893,000","37,293,000","36,589,000","29,584,000","19,220,000"
GrossProfit,"1,502,019,000","338,251,000","356,303,000","417,274,000","390,191,000","380,570,000","374,992,000","361,583,000","333,883,000","302,919,000","307,165,000","280,617,000","259,777,000","214,210,000","210,155,000","186,420,000","171,451,000","155,090,000","156,168,000","141,748,000","127,890,000","117,754,000","116,440,000","100,957,000","93,380,000","81,314,000","77,473,000","65,036,000","53,901,000","42,128,000"
OperatingExpense,"740,925,000","188,589,000","180,314,000","188,668,000","183,354,000","186,228,000","181,350,000","180,813,000","168,686,000","164,181,000","167,777,000","139,785,000","143,143,000","140,792,000","132,660,000","123,399,000","118,293,000","105,355,000","106,771,000","110,451,000","95,031,000","81,999,000","77,438,000","67,083,000","62,725,000","59,332,000","54,968,000","46,400,000","37,637,000","33,385,000"
	SellingGeneralAndAdministration,"284,681,000","75,435,000","70,251,000","69,936,000","69,059,000","66,559,000","62,911,000","63,224,000","64,608,000","61,819,000","60,597,000","60,175,000","61,949,000","59,182,000","61,262,000","52,751,000","49,273,000","42,840,000","49,358,000","51,703,000","45,084,000","38,659,000","33,094,000","30,852,000","27,837,000","25,886,000","23,616,000","19,765,000","16,551,000","13,871,000"
		GeneralAndAdministrativeExpense,"64,741,000","18,349,000","15,716,000","14,657,000","16,019,000","15,506,000","12,000,000","15,321,000","18,420,000","19,679,000","21,789,000","19,535,000","23,319,000","22,155,000","22,941,000","19,535,000","17,529,000","15,234,000","18,050,000","25,195,000","18,403,000","14,072,000","8,078,000","9,896,000","7,126,000","7,231,000","6,204,000","5,242,000","3,506,000","3,736,000"
			OtherGandA,"64,741,000","18,349,000","15,716,000","14,657,000","16,019,000","15,506,000","12,000,000","15,321,000","18,420,000","19,679,000","21,789,000","19,535,000","23,319,000","22,155,000","22,941,000","19,535,000","17,529,000","15,234,000","18,050,000","25,195,000","18,403,000","14,072,000","8,078,000","9,896,000","7,126,000","7,231,000","6,204,000","5,242,000","3,506,000","3,736,000"
		SellingAndMarketingExpense,"219,940,000","57,086,000","54,535,000","55,279,000","53,040,000","51,053,000","50,911,000","47,903,000","46,188,000","42,140,000","38,808,000","40,640,000","38,630,000","37,027,000","38,321,000","33,216,000","31,744,000","27,606,000","31,308,000","26,508,000","26,681,000","24,587,000","25,016,000","20,956,000","20,711,000","18,655,000","17,412,000","14,523,000","13,045,000","10,135,000"
	ResearchAndDevelopment,"456,244,000","113,154,000","110,063,000","118,732,000","114,295,000","119,669,000","118,439,000","117,589,000","104,078,000","102,362,000","107,180,000","79,610,000","81,194,000","81,610,000","71,398,000","70,648,000","69,020,000","62,515,000","57,413,000","58,748,000","49,947,000","43,340,000","44,344,000","36,231,000","34,888,000","33,446,000","31,352,000","26,635,000","21,086,000","19,514,000"
