name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"44,611,620,000,000","42,369,111,000,000","33,428,669,000,000","31,297,663,000,000","28,581,387,000,000","27,941,233,000,000","26,576,515,000,000","25,595,559,000,000","24,366,036,000,000","22,651,704,000,000","23,206,256,000,000","22,473,671,000,000","19,059,715,396,211.84","15,490,402,685,147.61","14,548,995,707,998.2","13,798,000,000,000","14,491,250,000,000","14,228,944,241,900","13,331,961,924,910.35","11,019,962,045,775","6,244,580,967,020.95","4,002,115,153,154"
	CurrentAssets,"8,102,294,000,000","7,958,839,000,000","6,201,799,000,000","5,996,628,000,000","5,160,242,000,000","5,083,148,000,000","5,123,415,000,000","5,294,421,000,000","6,117,479,000,000","6,972,989,000,000","6,370,631,000,000","5,422,447,000,000","4,815,795,890,359.3","4,448,694,211,629.03","4,549,864,096,694.01","4,241,000,000,000","4,267,500,000,000","4,043,890,864,580","4,348,600,536,278.25","2,793,499,360,905","1,738,886,747,786.71","1,401,292,595,025"
		CashCashEquivalentsAndShortTermInvestments,"2,268,137,000,000","2,747,455,000,000","2,218,901,000,000","2,081,374,000,000","1,552,274,000,000","1,427,658,000,000","1,816,181,000,000","1,494,669,000,000","2,725,187,000,000","1,753,009,000,000","1,682,253,000,000","1,752,743,000,000","1,670,329,591,556.08","1,192,023,415,168.08","1,249,116,618,795.59","1,006,000,000,000","1,521,250,000,000","1,620,403,320,920","1,936,554,538,253.1","1,372,599,238,035","602,822,196,386.36","766,274,969,573"
			CashAndCashEquivalents,"1,270,824,000,000","1,506,699,000,000","1,457,735,000,000","1,505,242,000,000","768,922,000,000","834,429,000,000","1,398,639,000,000","920,125,000,000","1,650,794,000,000","778,509,000,000","953,855,000,000","1,011,340,000,000","886,348,316,485.8","463,542,090,315.81","374,416,908,292.71","358,000,000,000","332,500,000,000","664,294,187,200","867,650,462,046.9","90,293,299,395","85,272,933,087.68","437,367,801,986"
			OtherShortTermInvestments,"997,313,000,000","1,240,756,000,000","761,166,000,000","576,132,000,000","783,352,000,000","593,229,000,000","417,542,000,000","574,544,000,000","1,074,393,000,000","974,500,000,000","728,398,000,000","741,403,000,000","783,981,275,070.28","728,481,324,852.27","874,699,710,502.88","648,000,000,000","1,188,750,000,000","956,109,133,720","1,068,904,076,206.2","1,282,305,938,640","517,549,263,298.68","328,907,167,587"
		Receivables,"3,330,037,000,000","3,095,643,000,000","3,449,672,000,000","3,421,349,000,000","3,072,501,000,000","3,157,189,000,000","2,980,314,000,000","2,621,926,000,000","2,832,435,000,000","4,584,995,000,000","4,162,613,000,000","3,365,145,000,000","10,065,547,774,147.95","3,029,061,465,119.91","3,021,459,979,051.75","3,021,000,000,000","2,566,250,000,000","2,295,373,664,700","2,278,688,573,256.9","1,332,030,338,010","1,082,926,386,113.92","571,915,392,871"
			AccountsReceivable,"2,230,979,000,000","2,008,640,000,000","2,126,007,000,000","2,240,926,000,000","2,344,867,000,000","2,392,150,000,000","2,257,316,000,000","1,954,920,000,000","2,732,006,000,000","4,489,573,000,000","4,076,936,000,000","3,246,058,000,000","2,724,797,758,585.56","2,962,535,252,246.46","3,021,459,979,051.75","1,662,000,000,000","1,656,250,000,000","1,442,467,377,920","1,182,215,508,809.7","1,059,042,980,917.5","1,082,926,386,113.92",
				GrossAccountsReceivable,"2,480,419,000,000","2,268,680,000,000","2,365,270,000,000","2,482,502,000,000","2,583,558,000,000","2,614,059,000,000","2,482,001,000,000","2,166,293,000,000",,"4,785,236,000,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-249,440,000,000","-260,040,000,000","-239,263,000,000","-241,576,000,000","-238,691,000,000","-221,909,000,000","-224,685,000,000","-211,373,000,000",,"-295,663,000,000",,,,,,,,,,,,
			LoansReceivable,"66,123,000,000","59,094,000,000","62,830,000,000","58,979,000,000","53,895,000,000","74,512,000,000","79,395,000,000","84,908,000,000","100,429,000,000","98,409,000,000","85,677,000,000","119,087,000,000","84,617,977,707.48","66,526,212,873.45",,,,,,,,
			OtherReceivables,"1,032,935,000,000","1,027,909,000,000","1,260,835,000,000","1,121,444,000,000","673,739,000,000","690,527,000,000","643,603,000,000","582,098,000,000",,,,,"7,256,132,037,854.91",,,"1,359,000,000,000","910,000,000,000","852,906,286,780","1,096,473,064,447.2","272,987,357,092.5",,
			ReceivablesAdjustmentsAllowances,"-48,962,000,000","-68,895,000,000","-75,962,000,000","-79,524,000,000","-79,474,000,000","-79,275,000,000","-72,536,000,000","-59,169,000,000",,"-2,987,000,000",,,,,,,,,,,,
		Inventory,"162,882,000,000","288,053,000,000","272,403,000,000","259,846,000,000","273,556,000,000","267,667,000,000","177,120,000,000","242,146,000,000","219,590,000,000","149,643,000,000","119,890,000,000","34,974,000,000","47,052,434,556.68","18,865,430,617.77","7,701,608,876.43","51,000,000,000","32,500,000,000","27,283,511,260","66,587,385,182.85","34,310,998,650","19,885,617,191.97","8,930,669,788"
			RawMaterials,"19,481,000,000","26,579,000,000","29,395,000,000","31,141,000,000","27,296,000,000","19,242,000,000","13,515,000,000","10,487,000,000","4,630,000,000","3,313,000,000","3,324,000,000","14,118,000,000","164,794,007.84","16,286,702,691.6","489,657,240.1",,,,,,,
