name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
TotalRevenue,"867,567,000","228,762,000","226,387,000","211,892,000","200,526,000","193,124,000","184,998,000","173,768,000","167,463,000","161,110,000","150,203,000","137,606,000","127,592,000","126,373,000","121,254,000","108,165,000","102,466,000","97,476,000","91,736,000","84,067,000","80,011,000","72,742,000","64,621,000","54,283,000","47,821,000","42,353,000","36,455,000","29,564,000","23,031,000"
	OperatingRevenue,"867,567,000","228,762,000","226,387,000","211,892,000","200,526,000","193,124,000","184,998,000","173,768,000","167,463,000","161,110,000","150,203,000","137,606,000","127,592,000","126,373,000","121,254,000","108,165,000","102,466,000","97,476,000","91,736,000","84,067,000","80,011,000","72,742,000","64,621,000","54,283,000","47,821,000","42,353,000","36,455,000","29,564,000","23,031,000"
NetNonOperatingInterestIncomeExpense,"-10,151,000","-2,218,000","-2,584,000","-2,679,000","-2,670,000","-2,611,000","-2,500,000","-2,618,000","-2,450,000","-1,817,000","-1,456,000","-1,189,000","-716,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"10,151,000","2,218,000","2,584,000","2,679,000","2,670,000","2,611,000","2,500,000","2,618,000","2,450,000","1,817,000","1,456,000","1,189,000","716,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"3,371,000","-1,719,000","657,000","2,238,000","2,195,000","1,068,000","1,153,000","1,237,000","994,000","1,117,000","1,073,000","1,099,000","851,000","911,000","3,237,000","170,000","1,409,000","1,746,000","2,172,000","418,000","44,000","720,000","742,000","793,000","773,000","760,000","1,033,000","986,000","1,027,000"
PretaxIncome,"659,061,000","174,384,000","172,225,000","162,733,000","149,719,000","152,063,000","140,147,000","132,909,000","121,580,000","105,357,000","107,399,000","98,961,000","86,851,000","87,302,000","83,441,000","73,792,000","67,347,000","63,650,000","59,629,000","54,605,000","50,514,000","44,037,000","38,761,000","29,669,000","23,460,000","19,362,000","17,899,000","13,427,000","7,339,000"
TaxProvision,"103,348,000","27,426,000","27,595,000","26,328,000","21,999,000","23,535,000","24,136,000","21,154,000","10,511,000","-57,281,000","29,006,000","26,843,000","20,253,000","24,616,000","23,730,000","21,534,000","19,396,000","19,171,000","18,808,000","17,412,000","15,676,000","15,171,000","13,691,000","10,114,000","8,454,000","345,000","2,280,000","-10,150,000","139,000"
NetIncomeCommonStockholders,"555,713,000","146,958,000","144,630,000","136,405,000","127,720,000","128,528,000","116,011,000","111,755,000","111,069,000","162,638,000","78,393,000","72,118,000","66,598,000","62,686,000","59,711,000","52,258,000","47,951,000","44,479,000","40,821,000","37,193,000","34,838,000","28,866,000","25,070,000","19,555,000","15,006,000","-33,690,000","15,619,000","23,577,000","7,200,000"
	NetIncome,"555,713,000","146,958,000","144,630,000","136,405,000","127,720,000","128,528,000","116,011,000","111,755,000","111,069,000","162,638,000","78,393,000","72,118,000","66,598,000","62,686,000","59,711,000","52,258,000","47,951,000","44,479,000","40,821,000","37,193,000","34,838,000","28,866,000","25,070,000","19,555,000","15,006,000","19,017,000","15,619,000","23,577,000","7,200,000"
		NetIncomeIncludingNoncontrollingInterests,"555,713,000","146,958,000","144,630,000","136,405,000","127,720,000","128,528,000","116,011,000","111,755,000","111,069,000","162,638,000","78,393,000","72,118,000","66,598,000","62,686,000","59,711,000","52,258,000","47,951,000","44,479,000","40,821,000","37,193,000","34,838,000","28,866,000","25,070,000","19,555,000","15,006,000","19,017,000","15,619,000","23,577,000","7,200,000"
