name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998
		PrepaidAssets,"36,994,000","36,077,000","41,018,000","44,156,000","43,610,000","38,546,000","38,948,000","45,126,000","37,499,000","33,228,000","36,511,000","45,300,000","43,008,000","38,746,000","29,493,000","31,081,000","28,377,000","29,961,000","33,863,000","38,451,000","36,793,000","27,642,000","27,420,000","24,138,000","21,982,000","14,082,000","20,630,000","21,578,000","24,206,000","14,454,000","23,240,000","20,961,000","24,362,000","15,534,000","17,259,000","21,194,000","21,296,000","9,170,000","15,396,000","18,583,000","16,879,000","9,480,000","14,282,000","19,010,000","20,554,000","14,285,000","16,209,000","20,480,000","22,839,000","11,872,000","17,342,000","20,282,000","20,705,000","14,998,000","15,870,000","19,130,000","20,047,000","11,256,000","16,201,000","18,874,000","17,477,000","11,514,000","14,505,000","15,737,000","15,298,000","4,914,000","8,476,000","10,125,000","10,726,000","7,549,000","8,228,000","6,906,000","4,497,000","3,483,000",,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","350,000","1,076,000","1,473,000","1,666,000","1,966,000",,,,,,,,,,,,,,,,,,,,,,,,"2,397,000","3,578,000","1,693,000",,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","350,000","1,076,000","1,473,000","1,666,000","1,966,000",,,,,,,,,,,,,,,,,,,,,,,,"2,397,000","3,578,000","1,693,000",,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"445,000","4,625,000","2,490,000","6,634,000","939,000","7,572,000","1,303,000","3,298,000","24,821,000","23,409,000","22,988,000","88,713,000","34,852,000","1,850,000","4,097,000","13,381,000","24,457,000","247,149,000","28,522,000","26,770,000","19,605,000","0","0","6,068,000","29,728,000","29,043,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,"0","39,000","340,000","1,184,000","3,278,000","5,430,000","8,463,000","6,441,000","5,896,000","4,521,000","3,712,000","1,790,000","915,000","741,000","0","0","0","11,375,000","454,000","3,482,000","573,000","174,000","846,000","510,000","0","274,000","1,159,000","700,000","331,000","390,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,"24,814,000","24,263,000","23,725,000","23,199,000",,,,,,,,,,,,,,,,,,,,,,,,,,"1,363,000",,,,,"64,000","547,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"624,000",,,,"1,768,000","6,112,000","7,314,000",,,,"6,200,000",,,,"2,900,000",,,,"2,300,000"
	TotalNonCurrentAssets,"3,933,665,000","3,873,328,000","3,878,339,000","3,837,393,000","3,808,468,000","3,340,915,000","3,203,906,000","3,190,063,000","3,065,043,000","3,075,216,000","3,073,689,000","3,132,008,000","3,368,701,000","3,437,225,000","2,489,599,000","2,504,729,000","2,526,549,000","2,559,464,000","2,824,834,000","2,786,836,000","2,827,887,000","2,802,643,000","2,199,376,000","1,785,923,000","1,827,989,000","1,592,283,000","1,680,719,000","1,678,921,000","1,702,826,000","1,671,185,000","1,677,461,000","1,707,394,000","1,702,200,000","1,661,594,000","1,523,437,000","1,523,474,000","1,520,919,000","1,312,791,000","1,304,147,000","1,260,341,000","1,268,030,000","1,244,090,000","1,240,344,000","1,256,707,000","1,275,754,000","1,291,340,000","1,212,145,000","1,214,369,000","1,203,230,000","1,132,573,000","1,077,778,000","1,075,928,000","994,013,000","920,415,000","876,306,000","837,543,000","822,157,000","645,765,000","573,200,000","543,939,000","502,694,000","400,150,000","367,066,000","355,071,000","347,064,000","305,210,000","308,494,000","310,817,000","310,754,000","297,345,000","238,036,000","230,806,000","228,424,000","224,025,000","227,922,000","230,188,000","221,421,000","224,592,000","228,900,000","224,600,000","129,600,000","127,800,000","122,300,000","103,600,000","103,800,000","99,700,000","75,400,000","69,500,000"
		NetPPE,"1,912,955,000","1,895,724,000","1,880,831,000","1,848,676,000","1,844,716,000","1,396,389,000","1,302,411,000","1,273,941,000","1,180,607,000","1,197,613,000","1,206,872,000","1,232,738,000","1,331,683,000","1,395,071,000","943,272,000","958,731,000","963,826,000","981,861,000","1,142,605,000","1,129,348,000","1,182,557,000","1,185,067,000","957,312,000","779,196,000","796,394,000","702,420,000","738,726,000","737,608,000","765,166,000","781,044,000","782,725,000","796,948,000","787,819,000","783,589,000","734,976,000","748,546,000","735,969,000","688,176,000","674,919,000","635,909,000","638,438,000","667,315,000","676,415,000","688,951,000","704,984,000","718,713,000","694,640,000","690,971,000","686,506,000","649,348,000","634,834,000","635,755,000","579,902,000","533,054,000","512,902,000","495,847,000","492,237,000","446,180,000","387,690,000","375,638,000","352,728,000","277,694,000","253,385,000","245,094,000","242,504,000","200,455,000","205,273,000","207,589,000","208,219,000","199,240,000","161,139,000","154,459,000","151,640,000","151,004,000","154,285,000","156,032,000","148,209,000","150,330,000","153,500,000","149,300,000","113,000,000","111,100,000","106,200,000","90,000,000","89,300,000","85,700,000","63,800,000","57,800,000"
			GrossPPE,"3,052,033,000","2,983,766,000","2,939,168,000","2,855,707,000","2,799,462,000","2,060,810,000","1,941,297,000","1,870,558,000","1,775,920,000","1,780,338,000","1,795,890,000","1,750,470,000","1,890,884,000","1,937,101,000","1,474,817,000","1,475,453,000","1,477,891,000","1,482,737,000","1,753,071,000","1,723,171,000","1,801,331,000","1,777,061,000","1,503,551,000","1,307,970,000","1,313,368,000","1,224,981,000","1,283,013,000","1,280,781,000","1,307,512,000","1,309,581,000","1,335,508,000","1,329,668,000","1,302,860,000","1,293,006,000",,,,"1,166,880,000","1,183,978,000","1,134,781,000","1,135,230,000","1,080,464,000","1,100,152,000","1,105,586,000","1,110,553,000","1,071,827,000",,"690,971,000","686,506,000","937,456,000","953,738,000","939,861,000","857,601,000","805,023,000","824,372,000","797,792,000","793,552,000","717,860,000","620,091,000","596,962,000","561,324,000","475,445,000","478,249,000","552,765,000","439,317,000","397,268,000","379,899,000","382,215,000","382,845,000","302,660,000","264,559,000","257,879,000","241,911,000","241,275,000","154,285,000","246,303,000","215,909,000","218,030,000","221,200,000","217,000,000","175,500,000","173,600,000","168,700,000","152,500,000","137,300,000","133,700,000","111,800,000","105,800,000"
				Properties,"972,218,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,436,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
