name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995
		GainsLossesNotAffectingRetainedEarnings,"21,944,000","212,091,000","211,714,000","206,827,000","38,323,000","-178,720,000","-221,041,000","-194,157,000","-134,009,000","118,044,000","129,682,000","78,441,000","-15,677,000","-114,541,000","119,752,000","163,834,000","101,629,000","-16,502,000","9,809,000","66,441,000","158,023,000","128,856,000","102,186,000","233,883,000","123,719,000","74,964,000","41,955,000","-49,322,000","229,563,000","287,017,000","324,132,000","193,097,000","234,468,000","153,923,000","146,576,000","263,584,000","225,405,000","204,503,000","388,370,000","173,231,000","140,962,000","138,526,000","221,780,000","-23,793,000","-261,333,000","-255,594,000","-297,292,000","-13,973,000","116,408,000","155,224,000","102,982,000","-7,034,000","77,787,000","51,535,000","61,836,000","-77,064,000","-76,645,000","-16,994,000","-5,625,000","46,965,000","-7,894,000","36,031,000","34,721,000","-11,792,000","46,652,000","20,829,000","32,009,000","48,018,000","25,386,000","41,332,000","7,748,000","-48,540,000","-73,644,000","-8,400,000","-1,204,000","-1,479,000","5,299,000","18,091,000","1,341,000","-9,801,000","-224,000","26,871,000",,,,"45,976,000",,,,"52,726,000",,,,"6,477,000",,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-19,870,000",,"-29,208,000",,,"-19,565,000",,,,,,"-25,290,000",,,,,"3,310,000","-141,000",,,,,"-16,742,000",,"22,200,000","370,400,000","377,400,000",,"389,800,000","403,600,000","409,400,000",,"387,300,000","373,500,000","352,200,000",,"344,600,000","338,300,000","338,900,000","335,100,000"
	MinorityInterest,"492,785,000","762,777,000","854,924,000","855,347,000","838,081,000","791,560,000","876,754,000","861,153,000","854,112,000","843,411,000","860,898,000","877,456,000","868,186,000","851,854,000","834,808,000","788,589,000","754,915,000","738,831,000","774,162,000","794,880,000","789,594,000","769,081,000","782,020,000","792,340,000","793,496,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalCapitalization,"13,739,700,000","13,853,284,000","13,520,202,000","12,982,223,000","12,336,902,000","11,629,037,000","11,643,268,000","11,469,255,000","11,638,709,000","11,745,618,000","11,470,112,000","11,317,909,000","11,073,215,000","10,742,626,000","8,541,859,000","7,893,144,000","7,662,367,000","7,526,621,000","7,293,156,000","7,028,737,000","7,188,702,000","7,030,053,000","6,981,046,000","7,129,399,000","6,792,133,000","6,547,496,000","5,843,285,000","5,634,318,000","5,735,530,000","5,568,878,000","5,934,017,000","5,656,134,000","5,479,007,000","5,338,972,000","5,188,508,000","5,159,710,000","5,047,757,000","5,238,773,000","5,349,707,000","5,034,216,000","5,025,503,000","4,840,914,000","4,980,665,000","4,329,968,000","3,930,396,000","3,732,965,000","3,816,710,000","4,186,233,000","4,304,544,000","4,335,811,000","4,174,795,000","4,004,067,000","4,083,348,000","3,890,619,000","3,646,249,000","3,315,780,000","3,049,554,000","2,780,527,000","2,651,531,000","2,803,392,000","2,588,864,000","2,541,906,000","2,428,454,000","2,337,504,000","2,010,197,000","1,910,729,000","1,636,239,000","1,566,342,000","1,480,598,000","1,411,244,000","1,370,908,000","1,246,047,000","1,020,157,000","1,020,369,000","276,358,000","271,652,000","272,481,000","275,318,000","268,426,000","254,905,000","249,253,000","346,514,000","361,400,000","371,600,000","362,700,000","398,002,000","395,100,000","415,500,000","418,100,000","401,031,000","396,200,000","379,200,000","357,500,000","352,213,000","348,300,000","341,100,000","340,700,000","335,000,000"
PreferredStockEquity,"780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","1,362,182,000","1,262,182,000","1,262,182,000","1,873,859,000","1,873,859,000","775,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","80,000",,"373,000","373,000","373,000","373,000","373,000","384,000","384,000","388,000","388,000","388,000","388,000","388,000","366,000","366,000","357,000","357,000",,,,,,,,,,,,,,,,,,,,,,,,
CommonStockEquity,"10,587,244,000","10,717,371,000","10,378,096,000","9,977,352,000","9,334,596,000","8,659,827,000","8,575,148,000","8,383,755,000","8,370,372,000","7,834,420,000","7,648,962,000","7,636,705,000","6,731,985,000","6,379,859,000","6,577,322,000","6,378,922,000","6,088,587,000","5,879,881,000","5,837,815,000","5,812,515,000","5,963,702,000","5,805,053,000","5,756,046,000","5,904,399,000","5,567,133,000","5,322,496,000","5,118,285,000","4,909,318,000","5,010,530,000","4,843,878,000","5,023,794,000","4,695,316,000","4,514,456,000","4,303,486,000","4,149,371,000","4,116,269,000","4,000,535,000","4,188,003,000","4,392,910,000","4,073,003,000","4,378,627,000","4,323,219,000","4,460,692,000","4,029,838,000","3,630,266,000","3,432,835,000","3,516,580,000","3,886,103,000","4,004,414,000","4,035,681,000","3,874,665,000","3,703,937,000","3,783,218,000","3,590,489,000","3,346,119,000","3,015,650,000","2,749,474,000","2,480,527,000","2,351,158,000","2,503,019,000","2,288,491,000","2,241,533,000","2,128,081,000","2,037,120,000","2,009,813,000","1,710,341,000","1,635,851,000","1,565,954,000","1,480,210,000","1,410,856,000","1,370,542,000","1,245,681,000","1,019,800,000","1,020,012,000","276,358,000","271,652,000","272,481,000","275,318,000","268,426,000","254,905,000","249,253,000","346,514,000","361,400,000","371,600,000","362,700,000","398,002,000","395,100,000","415,500,000","418,100,000","401,031,000","396,200,000","379,200,000","357,500,000","352,213,000","348,300,000","341,100,000","340,700,000","335,000,000"
NetTangibleAssets,"10,661,794,000","10,759,288,000","10,533,596,000","10,116,342,000","9,455,381,000","8,804,907,000","8,788,486,000","8,570,747,000","8,524,368,000","8,543,991,000","8,226,739,000","8,185,912,000","7,855,529,000","7,472,165,000","7,261,381,000","6,615,595,000","6,320,917,000","6,107,350,000","6,059,195,000","6,034,997,000","6,181,957,000","6,020,514,000","5,969,518,000","6,110,678,000","5,771,258,000","5,647,496,000","5,443,285,000","5,234,318,000","5,335,530,000","5,168,878,000","5,348,794,000","5,020,316,000","4,839,456,000","4,628,486,000","4,474,371,000","4,441,269,000","4,325,535,000","4,513,003,000","4,717,910,000","4,398,003,000","4,378,757,000","4,323,349,000","4,460,822,000","4,029,968,000","3,630,396,000","3,432,965,000","3,516,710,000","3,886,233,000","4,004,544,000","4,035,811,000","3,874,795,000","3,704,067,000","3,783,348,000","3,590,619,000","3,346,249,000","3,015,780,000","2,749,554,000","2,480,527,000","2,351,531,000","2,486,726,000","2,272,198,000","2,225,240,000","2,097,031,000","2,006,081,000","1,974,315,000","1,674,847,000","1,600,357,000","1,530,460,000","1,451,731,000","1,382,377,000","1,342,350,000","1,217,224,000","991,617,000","994,033,000","249,771,000","245,026,000","252,100,000","269,207,000","268,426,000","254,905,000","249,253,000","346,514,000","361,400,000","371,600,000","362,700,000","398,002,000","395,100,000","415,500,000","418,100,000","401,031,000","396,200,000","379,200,000","357,500,000","352,213,000","348,300,000","341,100,000","340,700,000","335,000,000"
InvestedCapital,"12,959,700,000","13,073,284,000","12,740,202,000","12,202,223,000","11,556,902,000","10,849,037,000","10,863,268,000","10,689,255,000","10,858,709,000","10,383,436,000","10,207,930,000","10,055,727,000","9,199,356,000","8,868,767,000","7,766,859,000","7,568,144,000","7,337,367,000","7,201,621,000","6,968,156,000","6,703,737,000","6,863,702,000","6,705,053,000","6,656,046,000","6,804,399,000","6,467,133,000","6,222,496,000","5,518,285,000","5,309,318,000","5,410,530,000","5,243,878,000","5,609,017,000","5,331,134,000","5,154,007,000","5,013,972,000","4,863,508,000","4,834,710,000","4,722,757,000","4,913,773,000","5,149,707,000","4,834,216,000","5,125,373,000","4,940,784,000","5,080,535,000","4,429,838,000","4,030,266,000","3,832,835,000","3,916,580,000","4,286,103,000","4,304,414,000","4,335,681,000","4,174,665,000","4,003,937,000","4,083,218,000","3,890,489,000","3,646,119,000","3,315,650,000","3,049,474,000","2,780,527,000","2,651,158,000","2,803,019,000","2,588,491,000","2,541,533,000","2,428,081,000","2,337,120,000","2,209,813,000","1,910,341,000","1,835,851,000","1,565,954,000","1,480,210,000","1,410,856,000","1,370,542,000","1,245,681,000","1,019,800,000","1,020,012,000","276,358,000","271,652,000","272,481,000","275,318,000","268,426,000","254,905,000","249,253,000","346,514,000","361,400,000","371,600,000","362,700,000","398,002,000","395,100,000","415,500,000","418,100,000","401,031,000","396,200,000","379,200,000","357,500,000","352,213,000","348,300,000","341,100,000","340,700,000","335,000,000"
TangibleBookValue,"9,881,794,000","9,979,288,000","9,753,596,000","9,336,342,000","8,675,381,000","8,024,907,000","8,008,486,000","7,790,747,000","7,744,368,000","7,181,809,000","6,964,557,000","6,923,730,000","5,981,670,000","5,598,306,000","6,486,381,000","6,290,595,000","5,995,917,000","5,782,350,000","5,734,195,000","5,709,997,000","5,856,957,000","5,695,514,000","5,644,518,000","5,785,678,000","5,446,258,000","5,322,496,000","5,118,285,000","4,909,318,000","5,010,530,000","4,843,878,000","5,023,794,000","4,695,316,000","4,514,456,000","4,303,486,000","4,149,371,000","4,116,269,000","4,000,535,000","4,188,003,000","4,392,910,000","4,073,003,000","4,378,627,000","4,323,219,000","4,460,692,000","4,029,838,000","3,630,266,000","3,432,835,000","3,516,580,000","3,886,103,000","4,004,414,000","4,035,681,000","3,874,665,000","3,703,937,000","3,783,218,000","3,590,489,000","3,346,119,000","3,015,650,000","2,749,474,000","2,480,527,000","2,351,158,000","2,486,353,000","2,271,825,000","2,224,867,000","2,096,658,000","2,005,697,000","1,973,931,000","1,674,459,000","1,599,969,000","1,530,072,000","1,451,343,000","1,381,989,000","1,341,984,000","1,216,858,000","991,260,000","993,676,000","249,771,000","245,026,000","252,100,000","269,207,000","268,426,000","254,905,000","249,253,000","346,514,000","361,400,000","371,600,000","362,700,000","398,002,000","395,100,000","415,500,000","418,100,000","401,031,000","396,200,000","379,200,000","357,500,000","352,213,000","348,300,000","341,100,000","340,700,000","335,000,000"
TotalDebt,"2,372,456,000","2,355,913,000","2,362,106,000","2,224,871,000","2,222,306,000","2,189,210,000","2,288,120,000","2,305,500,000","2,488,337,000","2,549,016,000","2,558,968,000","2,419,022,000","2,467,371,000","2,488,908,000","1,189,537,000","1,189,222,000","1,248,780,000","1,321,740,000","1,130,341,000","891,222,000","900,000,000","900,000,000","900,000,000","900,000,000","900,000,000","900,000,000","400,000,000","400,000,000","400,000,000","400,000,000","585,223,000","635,818,000","639,551,000","710,486,000","714,137,000","718,441,000","722,222,000","725,770,000","756,797,000","761,213,000","746,746,000","617,565,000","619,843,000","400,000,000","400,000,000","400,000,000","400,000,000","400,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","200,000,000","200,000,000","200,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
