name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalRevenue,"2,095,946,000","1,958,814,000","1,826,431,000","967,044,000","457,773,000","266,057,000","301,757,000","121,018,000","37,679,000","10,834,000"
CostOfRevenue,"1,287,154,000","1,138,047,000","870,064,000","514,057,000","320,975,000","258,994,000","151,309,000","51,805,000","13,464,000","3,303,000"
GrossProfit,"808,792,000","820,767,000","956,367,000","452,987,000","136,798,000","7,063,000","150,448,000","69,213,000","24,215,000","7,531,000"
OperatingExpense,"800,778,000","263,164,000","334,779,000","175,209,000","104,570,000","71,681,000","91,942,000","16,662,000","3,695,000","1,389,000"
	SellingGeneralAndAdministration,"150,627,000","152,700,000","150,955,000","124,255,000","84,591,000","55,294,000","88,294,000","16,481,000","3,629,000","1,357,000"
	OperatingExpense,"800,778,000","263,164,000","334,779,000","175,209,000","104,570,000","71,681,000","91,942,000","16,662,000","3,695,000","1,389,000"
OperatingIncome,"8,014,000","557,603,000","621,588,000","277,778,000","32,228,000","-64,618,000","58,506,000","52,551,000","20,520,000","6,142,000"
InterestExpense,"138,760,000","128,898,000","126,715,000","92,661,000","53,035,000","42,881,000","36,596,000","12,724,000","5,665,000","487,000"
OtherIncomeExpense,"-3,865,867,000","-152,909,000","55,852,000","-59,440,000","-83,787,000","12,881,000","72,905,000","-10,241,000","-1,397,000","6,252,000"
PretaxIncome,"-3,999,411,000","271,855,000","551,444,000","129,628,000","-106,341,000","-96,786,000","93,190,000","29,416,000","13,453,000","11,936,000"
TaxProvision,"-501,736,000","61,437,000","105,475,000","5,708,000","-17,424,000","-23,755,000","36,468,000","1,906,000","554,000","116,000"
NetIncomeContinuousOperations,"-3,497,675,000","210,418,000","445,969,000","123,920,000","-88,917,000","-73,031,000","56,722,000","27,510,000","12,899,000","11,820,000"
NetIncome,"-3,167,124,000","175,212,000","369,127,000","106,774,000","-74,182,000","-50,484,000","23,429,000","27,510,000","12,899,000","11,820,000"
NetIncomeCommonStockholders,"-3,167,124,000","175,212,000","369,127,000","106,774,000","-74,182,000","-50,484,000","23,429,000","5,929,000","12,899,000","11,820,000"
BasicEPS,,,"1.36","0.44","-0.46","-0.45","0.42","0.07","0.151","0.138"
DilutedEPS,,,"1.35","0.42","-0.46","-0.45","0.42","0.07","0.109","0.1"
BasicAverageShares,,,"272,226,000","240,733,000","161,793,000","111,271,000","55,136,000","85,668,000","85,668,000","85,668,000"
DilutedAverageShares,,,"272,884,000","296,512,000","161,793,000","111,271,000","55,239,000","117,814,000","117,814,000","117,814,000"
Ebitda,,"1,195,493,000","1,263,016,000","574,536,000","180,460,000","124,376,000","224,083,000","70,292,000","25,524,000","13,670,000"
