name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"106,303,000,000","96,592,000,000","94,714,000,000","94,668,000,000","91,430,000,000","88,404,000,000","85,833,000,000","89,980,000,000","96,083,000,000","94,276,000,000","92,044,000,000","95,521,261,500","101,342,779,460","103,170,858,850","109,267,222,960","96,253,961,760","99,658,705,300","106,500,115,320","127,579,519,740","129,944,063,820","54,095,964,860","46,209,056,040","42,312,684,960"
	CurrentAssets,"24,987,000,000","21,891,000,000","20,679,000,000","18,824,000,000","20,100,000,000","20,188,000,000","14,082,000,000","16,127,000,000","18,535,000,000","15,130,000,000","13,692,000,000","15,702,912,400","15,118,632,410","14,784,047,280","15,067,556,260","15,882,250,400","14,433,083,310","13,835,218,460","23,061,509,290","18,697,899,140","13,502,624,730","10,534,614,300","9,039,081,870"
		CashCashEquivalentsAndShortTermInvestments,"11,314,000,000","8,443,000,000","8,675,000,000","8,217,000,000","5,752,000,000","7,003,000,000","6,129,000,000","8,462,000,000","8,992,000,000","5,186,000,000","4,041,000,000","5,534,091,360","4,566,522,460","4,569,628,390","4,299,226,520","3,449,391,680","5,215,189,040","2,861,768,910","4,087,660,670","2,261,507,760","2,636,524,870","2,080,490,400","410,908,680"
			CashAndCashEquivalents,"6,481,000,000","5,634,000,000","5,810,000,000","6,355,000,000","4,469,000,000","6,758,000,000","5,916,000,000","8,321,000,000","8,044,000,000","4,428,000,000","3,949,000,000","4,811,441,320","4,031,543,860","3,970,295,600","4,094,059,190","3,200,793,520","3,344,454,360","2,816,979,320","2,948,015,930","2,045,365,540","2,425,841,390","2,043,826,020","410,908,680"
				CashFinancial,,,,,,,"1,586,000,000","1,205,000,000","1,311,000,000","1,227,000,000","1,038,000,000",,,,,,,,,,,,
				CashEquivalents,,,,,,,"4,330,000,000","7,116,000,000","6,733,000,000","3,201,000,000","2,911,000,000",,,,,,,,,,,,
			OtherShortTermInvestments,"4,833,000,000","2,809,000,000","2,865,000,000","1,862,000,000","1,283,000,000","245,000,000","213,000,000","141,000,000","948,000,000","758,000,000","92,000,000","722,650,040","534,978,600","599,332,790","205,167,330","248,598,160","1,870,734,680","44,789,590","1,139,644,740","216,142,220","210,683,480","36,664,380",
		Receivables,"10,767,000,000","10,621,000,000","9,448,000,000","8,118,000,000","5,932,000,000","5,634,000,000","5,432,000,000","6,018,000,000","6,070,000,000","6,371,000,000","6,582,000,000","7,720,718,320","6,647,452,040","8,064,094,670","8,434,656,900","6,594,121,520","3,812,138,030","5,469,094,830","10,302,882,970","8,807,529,280","6,888,952,280","5,694,916,140","5,368,176,450"
			AccountsReceivable,"5,320,000,000","5,295,000,000","5,175,000,000","4,964,000,000","4,876,000,000","4,612,000,000","4,360,000,000","4,635,000,000","4,905,000,000","5,596,000,000","5,494,000,000","6,177,724,000","6,566,519,380","6,756,321,730","7,115,844,680","6,594,121,520","3,812,138,030","5,469,094,830","7,608,870,700","8,807,529,280",,,
			LoansReceivable,"3,028,000,000","3,014,000,000","3,096,000,000","2,066,000,000",,,"38,000,000","81,000,000","1,165,000,000","775,000,000","1,088,000,000","63,213,920","80,932,660",,,,,,,,,,
