name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
		GoodwillAndOtherIntangibleAssets,,,,,,,,,,"1,551,000","1,880,000","2,103,000","2,357,000","7,518,000","7,624,000","7,945,000","7,775,000","8,121,000","8,660,000","8,500,000","8,482,000","8,977,000","9,859,000","10,071,000","10,182,000","10,212,000","9,939,000","10,068,000","10,611,000","10,515,000","10,507,000","11,312,000","11,032,000","11,679,000","12,797,000","11,852,000","12,031,000","12,126,000","11,505,000","12,273,000","13,123,000","14,970,000","14,953,000","14,885,000","16,262,000","16,238,000","18,039,000","19,029,000","4,875,000","5,259,000","5,644,000","6,028,000","6,412,000","6,796,000","7,181,000","7,565,000",,"8,333,469","8,717,718","9,101,967",,"9,870,465",,"10,638,963",,"11,407,461",,,,,,,,"14,481,453","14,865,702","15,249,951",,,,
			OtherIntangibleAssets,,,,,,,,,,,,,"2,357,000",,,,"7,775,000",,,,"8,482,000","12,106,000","13,030,000",,"10,182,000","13,657,000","13,636,000","14,119,000","10,611,000","10,515,000","10,507,000","11,312,000","11,032,000","11,679,000","12,797,000",,"12,031,000",,"11,505,000",,"13,123,000","14,970,000","14,953,000","14,885,000","16,262,000","16,238,000","18,039,000","19,029,000","4,875,000","5,259,000","5,644,000","6,028,000","6,412,000","6,796,000","7,181,000","7,565,000",,"8,333,469","8,717,718","9,101,967",,"9,870,465",,"10,638,963",,"11,407,461",,,,,,,,"14,481,453","14,865,702","15,249,951",,,,
		InvestmentsAndAdvances,"370,938,000","389,980,000","215,762,000","165,354,000","82,412,000","0","91,190,000","112,980,000","24,242,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"370,938,000","389,980,000","215,762,000","165,354,000","82,412,000","0","91,190,000","112,980,000","24,242,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"370,938,000","389,980,000","215,762,000","165,354,000","82,412,000",,"91,190,000","112,980,000","24,242,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"0","0","0","0","110,333,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"0","0","0","0","110,333,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"18,123,000","21,989,000","16,526,000","15,336,000","10,319,000","9,721,000","7,524,000","6,100,000","3,622,000","3,144,000","2,890,000","2,808,000","2,936,000","2,883,000","2,261,000","2,301,000","2,351,000","3,038,000","3,081,000","3,069,000","3,088,000","3,129,000","3,171,000","3,211,000","3,427,000","3,445,000","3,697,000","4,051,000","4,019,000","3,922,000","3,602,000","3,648,000","3,771,000","5,691,000","5,749,000","5,810,000","5,992,000","6,051,000","6,637,000","6,481,000","6,437,000","6,529,000","5,562,000","5,648,000","5,346,000","5,674,000","7,614,000","7,828,000","7,443,000","8,937,000","7,944,000","6,120,000","5,867,000","6,782,000","7,237,000","7,161,000","13,981,908","5,888,965","2,233,174","2,350,552","12,134,825","3,731,832","13,581,239","3,850,867","15,393,081","2,729,844","16,019,963","15,963,882","17,507,031","17,513,129","18,277,410","20,463,895","20,396,319","5,215,420","2,108,617","170,421","232,225","1,054,969","856,325","146,000"
TotalLiabilitiesNetMinorityInterest,"102,658,000","95,842,000","83,546,000","86,616,000","80,645,000","78,718,000","78,722,000","101,333,000","132,131,000","129,700,000","106,842,000","113,104,000","128,615,000","206,171,000","204,288,000","203,806,000","203,250,000","203,926,000","221,765,000","233,355,000","229,040,000","220,386,000","231,830,000","241,641,000","247,950,000","182,631,000","153,012,000","156,235,000","162,567,000","146,894,000","151,228,000","142,973,000","146,567,000","149,860,000","150,040,000","154,882,000","186,347,000","187,334,000","157,184,000","158,534,000","161,711,000","167,485,000","118,587,000","130,519,000","123,699,000","163,536,000","176,050,000","168,923,000","151,129,000","153,697,000","151,327,000","99,880,000","102,350,000","95,945,000","93,370,000","98,573,000","98,588,934","99,929,810","95,986,326","84,285,848","79,642,009","49,467,962","49,214,529","48,725,578","46,749,977","9,298,153","10,986,468","12,721,313","12,838,346","6,961,406","6,344,972","7,009,839","7,500,032","8,257,808","5,089,786","5,443,538","3,927,604","4,607,526","5,355,549","8,298,032"
	CurrentLiabilities,"44,967,000","36,816,000","28,178,000","31,709,000","29,918,000","21,952,000","20,917,000","42,527,000","72,327,000","68,740,000","44,698,000","49,840,000","63,879,000","60,508,000","54,610,000","50,473,000","49,896,000","47,578,000","61,870,000","74,364,000","67,362,000","56,046,000","61,296,000","66,966,000","70,744,000","59,800,000","26,588,000","27,236,000","29,914,000","18,599,000","18,752,000","12,183,000","14,360,000","18,380,000","18,284,000","22,268,000","36,866,000","38,196,000","21,553,000","18,588,000","20,687,000","21,593,000","27,349,000","39,840,000","47,199,000","32,313,000","44,524,000","38,608,000","30,289,000","37,388,000","35,500,000","32,991,000","36,001,000","28,345,000","23,925,000","27,271,000","25,426,763","62,493,862","56,321,874","53,863,397","17,786,166","6,965,655","7,266,887","7,325,093","5,929,077","6,923,720","8,282,282","9,672,100","9,435,222","5,780,410","5,069,489","5,533,883","5,835,246","6,409,683","3,012,898","3,184,382","1,616,078","2,153,796","1,771,607","899,649"
