name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalAssets,"50,616,434,000","47,364,816,000","43,117,720,000","39,047,611,000","33,450,545,000","27,318,640,000","22,376,663,000","17,456,057,000","14,666,120,000","11,673,089,000","9,146,112,000","7,192,199,000","5,845,172,000","5,399,425,000","4,384,938,000","3,356,356,000","1,935,984,000","1,088,812,000"
	CashCashEquivalentsAndFederalFundsSold,"789,832,000","317,255,000","335,466,000","538,951,000","341,546,000","299,078,000","143,977,000","93,965,000","40,154,000","46,299,000","95,746,000","111,927,000","239,029,000","167,188,000","95,026,000","84,080,000",,
		CashAndCashEquivalents,"789,832,000","317,255,000","335,466,000","538,951,000","341,546,000","299,078,000","143,977,000","93,965,000","40,154,000","46,299,000","95,746,000","111,927,000","239,029,000","150,227,000","80,558,000","69,830,000",,
			CashFinancial,"702,277,000","269,204,000","290,078,000","499,856,000","311,254,000","274,247,000","119,479,000","86,186,000",,,,,"107,788,000",,,,,
			CashEquivalents,"87,555,000","48,051,000","45,388,000","39,095,000","30,292,000","24,831,000","24,498,000","7,779,000","6,071,000","14,741,000",,,"131,241,000",,,,,
			CashAndDueFromBanks,,,,,,,,,"34,083,000","31,558,000","95,746,000","111,927,000",,"150,227,000","80,558,000","69,830,000",,
		MoneyMarketInvestments,,,,,,,,,,,,,,"16,961,000","14,468,000","14,250,000",,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,"16,961,000","14,468,000","14,250,000",,
	FederalHomeLoanBankStock,"231,339,000","264,877,000","227,920,000","132,629,000","154,405,000","86,338,000","130,785,000","50,012,000","48,152,000","38,439,000","23,906,000","18,411,000",,,,,,
	SecuritiesAndInvestments,"9,245,834,000","9,185,137,000","8,950,095,000","8,373,472,000","8,373,905,000","8,282,010,000","7,808,077,000","6,870,191,000","7,068,899,000","5,697,182,000","4,146,170,000","3,146,920,000","3,145,152,000","3,356,927,000","2,975,951,000","2,528,953,000","1,326,930,000","672,399,000"
		AvailableForSaleSecurities,,,,,,,,,"6,512,855,000","5,249,286,000","3,837,583,000","2,906,059,000","2,805,711,000","3,356,927,000","2,975,951,000","2,528,953,000","1,201,100,000","571,400,000"
		HeldToMaturitySecurities,"2,101,970,000","1,883,533,000","1,996,376,000","2,038,125,000","2,133,144,000","2,208,551,000","2,175,844,000","739,835,000","556,044,000","447,896,000","295,984,000","236,531,000","339,441,000",,,,"125,830,000","100,999,000"
		OtherShortTermInvestments,"7,143,864,000","7,301,604,000","6,953,719,000","6,335,347,000","6,240,761,000","6,073,459,000","5,632,233,000","6,130,356,000",,,"12,603,000","4,330,000",,,,,,
	NetLoan,"39,150,227,000","36,678,427,000","32,848,857,000","29,389,198,000","24,053,899,000","18,241,613,000","13,805,159,000","10,033,805,000","7,156,589,000","5,559,731,000","4,614,185,000","3,651,235,000","2,007,342,000","1,689,767,000","1,133,498,000","676,078,000","373,183,000","205,890,000"
		GrossLoan,"39,372,964,000","36,879,885,000","33,015,322,000","29,578,987,000","24,229,393,000","18,386,513,000","13,928,715,000","10,138,201,000","7,245,716,000","5,559,731,000","4,672,369,000","3,688,222,000","2,007,342,000","1,705,120,000","1,144,833,000","684,236,000","373,183,000","205,890,000"
			LoansHeldForSale,"290,593,000","485,305,000","432,277,000","559,528,000","456,358,000","548,297,000","420,759,000","369,468,000","392,025,000","382,463,000","293,207,000","217,680,000",,,,,,
			CommercialLoan,"7,460,899,000","7,905,488,000","6,070,217,000","5,479,223,000","4,788,722,000","3,697,725,000","2,565,016,000","1,860,866,000","1,098,805,000",,"1,067,457,000",,,,,,,
			ConsumerLoan,"9,605,000","9,038,000","15,310,000","10,268,000","9,714,000","10,245,000","11,479,000","10,291,000","11,837,000",,"54,601,000",,,,,,,
			MortgageLoan,"27,183,009,000","28,391,543,000","26,187,624,000","23,529,968,000","18,974,599,000","14,130,246,000","10,931,461,000","7,897,576,000","5,743,049,000",,,,,,,,,
			OtherLoanAssets,"4,428,858,000","88,511,000","309,894,000",,,,,,,"5,177,268,000","3,257,104,000","3,470,542,000",,"1,705,120,000","1,144,833,000","684,236,000",,
