name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
			DuefromRelatedPartiesCurrent,"147,000","2,850,000","3,225,000","2,329,000","223,000","1,510,000","1,579,000","1,499,000","318,000","391,000","1,834,000","35,000","479,000","297,000","576,000","557,000","642,000","1,826,000","2,168,000","755,000","918,000","1,910,000","2,195,000","5,759,000","2,189,000","2,109,000","2,054,000","1,121,000","1,129,000","505,000","513,000",,,"653,000","1,054,000",,,"3,256,000","2,431,000",,,"5,425,000",,,,"1,710,000","2,108,000",,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,"17,885,000",,,,"8,585,000",,,,"14,562,000",,,,"13,499,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,"-2,997,000",,,,"-3,691,000",,,,"-4,248,000",,,,"-3,183,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"69,100,000","93,081,000","93,496,000","91,082,000","86,530,000","93,294,000","87,375,000","84,849,000","81,825,000","78,952,000","79,482,000","78,053,000","74,502,000","70,379,000","68,698,000","62,984,000","62,247,000","59,910,000","59,303,000","61,891,000","59,954,000","62,093,000","63,806,000","59,655,000","56,814,000","56,314,000","49,111,000","58,050,000","50,603,000","51,292,000","43,686,000","46,688,000","42,382,000","46,628,000","44,932,000","47,884,000","45,982,000","40,086,000","27,750,000","26,228,000","23,327,000","23,138,000","22,481,000","20,751,000","18,405,000","17,167,000","18,287,000","16,526,000","14,088,000","11,686,000","11,501,000","9,748,000","8,667,000","7,622,000","6,258,000","4,914,000","4,070,000","3,358,000"
		PrepaidAssets,"49,034,000","53,430,000","52,522,000","98,420,000","74,384,000","77,032,000","70,790,000","51,538,000","45,421,000","40,540,000","47,343,000","66,931,000","58,407,000","62,299,000","44,950,000","53,988,000","48,667,000","52,565,000","69,152,000","61,818,000","56,793,000","62,182,000","59,682,000","58,417,000","54,811,000","62,163,000","63,502,000","56,767,000","63,120,000","49,745,000","46,210,000","45,748,000","40,058,000","16,951,000","29,128,000","27,912,000","31,789,000","33,685,000","31,331,000","29,254,000","32,314,000","22,277,000","27,207,000","23,270,000","26,694,000","26,689,000","23,173,000","25,317,000","25,574,000",,,,"16,590,000",,,,"13,502,000",
		RestrictedCash,,,,,"0","0","0","0","0","0","0","0","0","10,128,000","20,787,000","55,611,000","64,228,000","48,702,000","27,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,"1,181,000","916,000","3,610,000","6,014,000","10,357,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,"1,181,000","916,000","3,610,000","6,014,000","10,357,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"120,006,000",,,,"40,330,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,,,,,,,,,,,,,,,,,,,,,,,,,"13,748,000",,,,"8,991,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,368,000","19,158,000","26,343,000","37,960,000","1,522,000","11,924,000","9,877,000","11,843,000","1,258,000","8,487,000","6,675,000","7,206,000","909,000","15,726,000","9,405,000","5,624,000","679,000","81,243,000","7,763,000","6,455,000","5,949,000","8,915,000","23,685,000","20,771,000","9,035,000","19,073,000","12,472,000","19,687,000","7,337,000","17,964,000","7,043,000","27,317,000","22,655,000","7,090,000","20,531,000","37,165,000","24,622,000","13,943,000","5,769,000","12,921,000","13,654,000","5,465,000","3,835,000","5,419,000","5,338,000","8,954,000","23,395,000","40,910,000","13,547,000","27,642,000","27,436,000","27,032,000","5,877,000","19,432,000","22,240,000","21,074,000","3,239,000","25,488,000"
	TotalNonCurrentAssets,"3,122,935,000","3,347,855,000","3,433,612,000","3,453,475,000","3,023,181,000","3,313,840,000","3,262,005,000","3,184,682,000","3,054,443,000","3,098,180,000","2,867,645,000","2,816,929,000","2,776,722,000","2,780,931,000","2,779,435,000","2,773,509,000","2,807,891,000","3,218,810,000","3,288,754,000","3,271,628,000","3,079,425,000","2,920,038,000","2,847,335,000","2,536,063,000","2,551,611,000","2,582,610,000","2,570,521,000","2,582,276,000","2,562,010,000","2,451,704,000","2,560,098,000","2,462,109,000","2,311,554,000","2,225,528,000","2,094,394,000","2,019,192,000","1,961,614,000","1,742,370,000","1,720,247,000","1,646,644,000","1,590,715,000","1,560,457,000","1,510,771,000","1,452,390,000","1,431,761,000","1,377,878,000","1,374,919,000","1,290,576,000","1,271,515,000","1,210,620,000","1,108,754,000","1,052,473,000","964,364,000","890,115,000","831,674,000","737,510,000","732,119,000","637,698,000"
		NetPPE,"2,793,049,000","3,055,534,000","3,094,172,000","3,135,252,000","2,701,322,000","2,972,969,000","2,919,857,000","2,863,901,000","2,825,904,000","2,780,271,000","2,708,433,000","2,658,867,000","2,623,682,000","2,630,953,000","2,627,785,000","2,615,166,000","2,650,653,000","2,609,940,000","2,575,661,000","2,543,140,000","2,505,336,000","2,512,988,000","2,426,443,000","2,371,246,000","2,348,514,000","2,331,072,000","2,323,288,000","2,304,964,000","2,284,631,000","2,165,125,000","2,126,429,000","2,066,509,000","2,000,191,000","1,968,035,000","1,688,208,000","1,822,631,000","1,772,528,000","1,625,344,000","1,609,423,000","1,534,389,000","1,481,687,000","1,287,528,000","1,412,201,000","1,367,151,000","1,337,669,000","1,267,252,000","1,262,401,000","1,175,249,000","1,166,262,000","1,101,824,000","1,001,278,000","955,413,000","862,283,000","772,430,000","742,514,000","643,308,000","637,543,000","572,868,000"
			GrossPPE,"3,928,829,000","3,055,534,000","3,094,172,000","3,135,252,000","4,078,199,000",,,,"3,803,861,000",,,,"3,498,059,000","3,461,873,000","3,423,454,000","3,379,627,000","3,394,636,000","3,330,451,000","3,263,193,000","3,194,901,000","3,135,839,000","3,117,443,000","3,009,485,000","2,927,450,000","2,878,861,000","2,836,219,000","2,804,141,000","2,761,245,000","2,284,631,000","2,574,090,000","2,513,615,000","2,433,492,000","2,346,847,000","2,297,263,000","1,999,332,000","2,115,495,000","2,047,468,000","1,882,390,000","1,852,947,000","1,764,913,000","1,699,795,000","1,497,595,000","1,610,525,000","1,553,373,000","1,512,504,000","1,432,072,000","1,418,316,000","1,322,916,000","1,303,629,000","1,229,584,000","1,120,938,000","1,066,594,000","966,461,000","869,632,000","833,389,000","728,684,000","717,528,000","651,573,000"
				LandAndImprovements,"6,301,000",,,,"6,301,000",,,,"6,301,000",,,,"6,301,000",,,,"6,301,000",,,,"6,301,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"32,798,000",,,,"30,918,000",,,,"27,524,000",,,,"29,607,000","125,802,000","120,427,000","118,760,000","25,947,000","98,021,000","106,437,000","94,337,000","25,308,000","85,400,000","84,529,000","75,423,000","23,524,000","71,570,000","70,953,000","68,893,000","5,319,000",,,"69,777,000","67,577,000",,,"61,561,000",,,,"63,310,000",,,"59,728,000","57,109,000",,"122,144,000","117,830,000","53,352,000",,,,,,,,,,
				OtherProperties,"2,823,245,000","3,055,534,000","3,094,172,000","3,135,252,000",,,,,,,,,,,,,,,,,,,,,,,,,,"63,757,000","61,979,000","2,363,715,000",,"66,902,000","64,374,000","2,053,934,000","59,426,000","67,242,000","64,678,000","1,701,603,000",,,"1,550,797,000","1,496,264,000",,,,"1,269,564,000",,,,,,,,,,
				ConstructionInProgress,"5,587,000",,,,"14,253,000",,,,"5,778,000",,,,"6,593,000",,,,"10,054,000",,,,"7,716,000",,,,"3,247,000",,,,"6,004,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,"65,291,000",,,,"49,404,000",,,,"50,043,000",,,,"44,981,000",,,,"35,866,000",,,,"28,580,000",,,,"25,006,000",,,,"6,741,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,135,780,000",,,,"-1,376,877,000",,,,"-977,957,000",,,,"-874,377,000","-830,920,000","-795,669,000","-764,461,000","-743,983,000","-720,511,000","-687,532,000","-651,761,000","-630,503,000","-604,455,000","-583,042,000","-556,204,000","-530,347,000","-505,147,000","-480,853,000","-456,281,000","-432,589,000","-408,965,000","-387,186,000","-366,983,000","-346,656,000","-329,228,000","-311,124,000","-292,864,000","-274,940,000","-257,046,000","-243,524,000","-230,524,000","-218,108,000","-210,067,000","-198,324,000","-186,222,000","-174,835,000","-164,820,000","-155,915,000","-147,667,000","-137,367,000","-127,760,000","-119,660,000","-111,181,000","-104,178,000","-97,202,000","-90,875,000","-85,376,000","-79,985,000","-78,705,000"
		GoodwillAndOtherIntangibleAssets,"108,116,000","108,474,000","107,399,000","104,938,000","101,168,000","93,453,000","90,235,000","84,951,000","81,115,000","77,275,000","74,166,000","70,705,000","69,502,000","73,505,000","72,863,000","70,465,000","69,426,000","64,578,000","62,795,000","57,434,000","57,295,000","58,140,000","56,887,000","53,246,000","53,519,000","83,233,000","83,025,000","85,739,000","86,957,000","84,618,000","83,840,000","78,394,000","72,146,000","71,177,000","74,341,000","69,814,000","68,940,000","66,810,000","62,746,000","62,352,000","58,825,000","62,566,000","55,707,000","46,951,000","53,597,000","55,297,000","62,532,000","66,014,000","59,685,000","59,436,000","61,333,000","54,032,000","21,779,000","49,428,000","44,945,000","51,681,000","20,512,000","53,063,000"
			Goodwill,"20,380,000",,,,"20,380,000",,,,"20,380,000",,,,"20,380,000","20,380,000","20,380,000","20,380,000","20,380,000","19,243,000","19,243,000","18,928,000","20,380,000","24,037,000","25,919,000","24,810,000","25,305,000","25,466,000","25,277,000","26,612,000","64,627,000","27,081,000","27,322,000","27,208,000","25,099,000","25,460,000","27,390,000","25,943,000","25,475,000","27,090,000","25,442,000","25,282,000","23,852,000","25,369,000","22,588,000","19,038,000","21,732,000","22,421,000","25,355,000","26,767,000","24,201,000",,,,"21,779,000",,,,"20,512,000",
