name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,08/31/1997,08/31/1996
TotalRevenue,"10,178,000,000","9,730,000,000","7,987,000,000","5,601,000,000","1,283,167,000","270,885,000","267,954,000","267,213,000","266,220,000","290,444,000","291,513,000","181,126,000","7,144,000","647,000","2,371,000","3,005,000","1,998,000","657,467","239,055","2,372,632","5,320,432","1,600,000","100,000","100,000","100,000","100,000"
	OperatingRevenue,"9,938,000,000","9,512,000,000","7,833,000,000","5,577,000,000","1,281,538,000","269,347,000","266,320,000","265,648,000","266,214,000","290,444,000","291,513,000","181,126,000","7,144,000","647,000","2,371,000","3,005,000","1,998,000","657,467","239,055","2,372,632","5,320,432","1,600,000","100,000","100,000","100,000","100,000"
CostOfRevenue,"5,472,000,000","5,873,000,000","5,046,000,000","3,476,000,000","755,959,000","82,680,000","64,258,000","61,209,000","66,407,000","79,904,000","55,013,000","37,551,000","25,604,000","36,130,000","3,375,000","22,257,000","117,000",,"90,038","420,242","388,637","100,000",,,,
GrossProfit,"4,706,000,000","3,857,000,000","2,941,000,000","2,125,000,000","527,208,000","188,205,000","203,696,000","206,004,000","199,813,000","210,540,000","236,500,000","143,575,000","-18,460,000","-35,483,000","-1,004,000","-19,252,000","1,881,000",,"149,017","1,952,390","4,931,795","1,500,000",,,,
OperatingExpense,"1,579,000,000","1,473,000,000","909,000,000","712,000,000","484,594,000","546,201,000","477,264,000","534,990,000","275,645,000","152,394,000","131,877,000","120,059,000","136,333,000","128,439,000","30,083,000","53,890,000","33,466,000","9,675,617","4,083,637","5,535,791","5,310,042","3,300,000","1,700,000","400,000","1,700,000","100,000"
	OperationAndMaintenance,"1,249,000,000","1,154,000,000","613,000,000","446,000,000","216,220,000","79,767,000","85,792,000",,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"330,000,000","319,000,000","289,000,000","256,000,000","259,692,000","423,862,000","323,709,000","384,512,000","152,081,000","88,427,000","68,626,000","65,830,000","122,678,000","122,046,000","70,111,000","29,145,000","29,642,000","9,246,937","3,475,362","4,291,963","1,938,659","1,900,000","1,700,000","400,000","1,700,000","100,000"
		GeneralAndAdministrativeExpense,"330,000,000","319,000,000","289,000,000","256,000,000","259,692,000","423,862,000","323,709,000","384,512,000","152,081,000",,,,,,,,,,,,,,,,,
			OtherGandA,"330,000,000","319,000,000","289,000,000","256,000,000","259,692,000","423,862,000","323,709,000","384,512,000","152,081,000",,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,"40,803,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"63,405,000","63,251,000","54,229,000","24,346,000","6,393,000","3,131,000","3,702,000","1,324,000","428,680","368,562","1,243,828","3,371,383","1,400,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,"24,346,000","6,393,000","3,131,000","3,702,000","1,324,000","428,680","368,562","1,243,828","3,371,383","1,400,000",,,,
	OtherOperatingExpenses,,,"7,000,000","10,000,000","8,682,000","42,572,000","67,763,000","150,478,000","123,564,000","562,000",,,"-10,691,000",,"-43,159,000","21,043,000","2,500,000",,"239,713",,,,,,,
OperatingIncome,"3,127,000,000","2,384,000,000","2,032,000,000","1,413,000,000","42,614,000","-357,996,000","-273,568,000","-328,986,000","-75,832,000","58,146,000","104,623,000","23,516,000","-154,793,000","-163,922,000","-31,087,000","-73,142,000","-31,585,000","-9,018,150","-3,934,620","-3,583,401","-378,247","-1,800,000","-1,600,000","-300,000","-1,600,000","0"
NetNonOperatingInterestIncomeExpense,"-1,597,000,000","-1,432,000,000","-875,000,000","-747,000,000","-488,390,000","-322,083,000","-181,236,000","-178,400,000","-200,811,000","-259,393,000","-261,512,000","-241,890,000",,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,"534,000","1,405,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,585,000,000","1,420,000,000","866,000,000","747,000,000","488,390,000","322,083,000","181,236,000","178,400,000","200,811,000","259,393,000","262,046,000","243,295,000",,,,,,,,,,,,,,
	TotalOtherFinanceCost,"12,000,000","12,000,000","9,000,000","7,000,000",,,,,,,,,,,,,,,,,,,,,,
