name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalAssets,"2,244,208,000","1,611,802,000","1,250,256,000","925,811,000","778,536,000","594,026,000","432,877,000","350,814,000","235,613,000","170,858,000","135,407,000"
	CurrentAssets,"1,474,211,000","1,199,068,000","960,033,000","646,551,000","528,935,000","415,087,000","330,968,000","250,955,000","183,563,000","128,247,000","98,719,000"
		CashCashEquivalentsAndShortTermInvestments,"936,552,000","770,560,000","582,585,000","362,428,000","229,630,000","220,534,000","170,395,000","119,118,000","88,796,000","54,004,000","52,927,000"
			CashAndCashEquivalents,"936,552,000","770,560,000","582,585,000","362,025,000","199,449,000","220,534,000","169,207,000","118,112,000","88,796,000","54,004,000","52,927,000"
			OtherShortTermInvestments,,,,"403,000","30,181,000","0","1,188,000","1,006,000",,,
		Receivables,"497,716,000","402,337,000","366,424,000","272,797,000","281,068,000","186,734,000","147,823,000","117,271,000","83,947,000","44,041,000","28,479,000"
			AccountsReceivable,"497,716,000","297,685,000","265,639,000","199,982,000","174,617,000","124,483,000","95,431,000","78,906,000","59,472,000","41,488,000","27,450,000"
				GrossAccountsReceivable,"500,636,000","299,242,000","266,825,000","201,416,000","176,346,000","126,664,000","97,231,000","81,109,000","61,722,000","43,159,000","30,432,000"
				AllowanceForDoubtfulAccountsReceivable,"-2,920,000","-1,557,000","-1,186,000","-1,434,000","-1,729,000","-2,181,000","-1,800,000","-2,203,000","-2,250,000","-1,671,000","-2,982,000"
			LoansReceivable,,,"2,113,000","2,726,000","2,689,000","2,434,000","1,989,000","429,000",,"432,000","99,000"
			NotesReceivable,,,,"710,000",,,,,,,
			TaxesReceivable,,,"12,172,000","6,054,000","7,954,000","3,966,000","7,295,000","4,522,000",,"1,927,000","847,000"
			OtherReceivables,,"104,652,000","86,500,000","63,325,000","95,808,000","55,851,000","43,108,000","33,414,000","24,475,000","194,000","83,000"
		PrepaidAssets,"39,943,000","26,171,000","5,939,000","6,785,000","4,693,000","4,364,000","5,390,000","6,357,000","6,436,000","2,599,000","1,589,000"
		RestrictedCash,,,,"2,400,000",,"0","298,000","660,000",,,
		CurrentDeferredAssets,,,,"0","11,847,000","2,496,000","5,392,000","6,593,000","4,384,000","27,005,000","15,314,000"
			CurrentDeferredTaxesAssets,,,,"0","11,847,000","2,496,000","5,392,000","6,593,000","4,384,000","3,122,000","1,362,000"
		OtherCurrentAssets,,,"5,085,000","2,141,000","1,697,000","959,000","1,670,000","956,000",,"598,000","410,000"
	TotalNonCurrentAssets,"769,997,000","412,734,000","290,223,000","279,260,000","249,601,000","178,939,000","101,909,000","99,859,000","52,050,000","42,611,000","36,688,000"
		NetPPE,"404,250,000","102,646,000","86,419,000","73,616,000","60,499,000","55,134,000","53,315,000","53,135,000","35,482,000","25,338,000","23,053,000"
			GrossPPE,"498,557,000","181,005,000","148,125,000","120,217,000","100,275,000","89,666,000","83,479,000","74,989,000","51,419,000","38,911,000","32,214,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"2,137,000","1,474,000","1,474,000","1,467,000","1,464,000",,,,,,
				BuildingsAndImprovements,"51,300,000","34,458,000","34,058,000","34,012,000","34,002,000","17,123,000","16,534,000","16,534,000","16,534,000","16,532,000","16,199,000"
				MachineryFurnitureEquipment,"175,495,000","120,037,000","99,407,000","76,794,000","58,008,000","48,371,000","45,293,000","37,367,000","29,233,000","20,553,000","14,948,000"
				OtherProperties,"238,991,000","102,646,000","86,419,000","73,616,000","60,499,000","55,134,000","53,315,000","53,135,000",,,
				ConstructionInProgress,,,,,"0","17,885,000","15,749,000","15,561,000","1,545,000",,
