name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,06/30/2001
TotalAssets,"1,807,539,000,000","1,755,071,000,000","1,826,336,000,000","1,824,845,000,000","1,813,445,000,000","1,592,308,000,000","1,662,760,000,000","1,617,304,000,000","1,572,527,000,000","1,595,504,000,000","1,476,655,000,000","1,487,538,000,000","1,478,917,000,000","1,498,609,000,000","1,413,148,000,000","1,432,624,000,000","1,397,688,000,000","1,443,129,000,000","1,404,414,000,000","1,470,355,000,000","1,436,051,000,000","1,451,368,000,000","1,437,590,000,000","1,429,543,000,000","1,408,367,000,000","1,382,916,000,000","1,319,385,000,000","1,273,688,000,000","1,304,067,000,000","1,266,693,000,000","1,179,915,000,000","1,168,178,000,000","1,197,263,000,000","1,144,528,000,000","1,081,931,000,000","1,071,912,000,000","1,054,428,000,000","995,154,000,000","939,609,000,000","920,795,000,000","914,276,000,000","877,842,000,000","843,734,000,000","816,342,000,000","773,578,000,000","752,235,000,000","813,757,000,000","820,556,000,000","773,761,000,000","718,572,000,000","660,279,000,000","650,547,000,000","623,066,000,000","594,550,000,000","582,597,000,000","568,888,000,000","539,927,000,000","520,572,000,000","500,696,000,000","492,986,000,000","481,785,000,000","460,081,000,000","430,304,000,000","422,925,000,000","406,900,000,000","390,213,000,000","374,676,000,000","380,114,000,000","380,330,000,000","368,375,000,000","367,387,000,000","371,665,000,000","364,395,000,000","360,294,000,000","364,924,000,000"
	CurrentAssets,"496,032,000,000","445,856,000,000","535,040,000,000","544,858,000,000","539,113,000,000","504,120,000,000","611,918,000,000","568,938,000,000","521,230,000,000","529,049,000,000","437,127,000,000","434,159,000,000","412,699,000,000","412,261,000,000","338,995,000,000","347,674,000,000","307,549,000,000","332,405,000,000","337,206,000,000","395,555,000,000","357,384,000,000","360,144,000,000","406,116,000,000","420,728,000,000","405,907,000,000","373,010,000,000","376,735,000,000","365,130,000,000","400,455,000,000","365,015,000,000","340,879,000,000","343,909,000,000","390,792,000,000","342,755,000,000","334,087,000,000","331,531,000,000","318,658,000,000","260,229,000,000","245,044,000,000","249,837,000,000","248,123,000,000","201,280,000,000","202,334,000,000","186,359,000,000","165,132,000,000","148,007,000,000","245,044,000,000","260,041,000,000","229,938,000,000","181,535,000,000","169,986,000,000","175,715,000,000","157,830,000,000","142,100,000,000","169,847,000,000","161,351,000,000","154,042,000,000","141,896,000,000","135,447,000,000","135,315,000,000","129,029,000,000","117,056,000,000","115,826,000,000","117,062,000,000","108,073,000,000","96,918,000,000","97,924,000,000","104,685,000,000","108,202,000,000","99,008,000,000","103,673,000,000","110,337,000,000","105,631,000,000","106,765,000,000","146,711,000,000"
		CashCashEquivalentsAndShortTermInvestments,"149,531,000,000","139,868,000,000","170,408,000,000","182,686,000,000","185,258,000,000","192,747,000,000","236,356,000,000","212,422,000,000","212,807,000,000","216,200,000,000","161,903,000,000","160,822,000,000","135,050,000,000","142,497,000,000","86,383,000,000","76,986,000,000","63,889,000,000","68,557,000,000","57,173,000,000","74,203,000,000","73,946,000,000","10,100,000,000","20,919,000,000","14,346,000,000","20,771,000,000","15,101,000,000","12,096,000,000","11,385,000,000","14,788,000,000","10,864,000,000","14,855,000,000","13,960,000,000","24,609,000,000","25,397,000,000","27,189,000,000","14,186,000,000","27,007,000,000","20,590,000,000","11,562,000,000","16,695,000,000","11,361,000,000","10,686,000,000","8,601,000,000","9,082,000,000","12,227,000,000","7,700,000,000","11,605,000,000","9,774,000,000","28,397,000,000","8,364,000,000","8,908,000,000","12,989,000,000","15,943,000,000","8,723,000,000","10,590,000,000","10,777,000,000","13,089,000,000","14,747,000,000","16,567,000,000","15,322,000,000","19,884,000,000","18,280,000,000","17,324,000,000","17,028,000,000","20,367,000,000","17,405,000,000","18,630,000,000","21,844,000,000","22,282,000,000","18,712,000,000","19,232,000,000","21,210,000,000","20,983,000,000","22,854,000,000","39,959,000,000"
			CashAndCashEquivalents,"75,800,000,000","60,313,000,000","88,850,000,000","92,782,000,000","100,760,000,000","111,922,000,000","172,284,000,000","154,754,000,000","129,788,000,000","113,218,000,000","115,152,000,000","129,127,000,000","110,984,000,000","124,468,000,000","81,149,000,000","73,250,000,000","63,154,000,000","67,824,000,000","56,510,000,000","72,525,000,000","72,107,000,000","9,355,000,000","19,928,000,000","13,220,000,000","18,986,000,000","15,046,000,000","12,049,000,000","11,190,000,000","14,592,000,000","10,456,000,000","14,855,000,000","13,960,000,000","24,609,000,000","24,647,000,000","27,189,000,000","14,186,000,000","27,007,000,000","17,008,000,000","11,562,000,000","16,695,000,000","11,361,000,000","8,750,000,000","8,601,000,000","9,082,000,000","12,227,000,000","7,700,000,000","11,605,000,000","9,774,000,000","28,397,000,000","8,364,000,000","8,908,000,000","12,989,000,000","15,943,000,000","8,723,000,000","10,590,000,000","10,777,000,000","13,089,000,000","14,747,000,000","16,567,000,000","15,322,000,000","19,884,000,000","18,280,000,000","17,324,000,000","17,028,000,000","20,367,000,000","17,405,000,000","18,630,000,000","21,844,000,000","22,282,000,000","18,712,000,000","19,232,000,000","21,210,000,000","20,983,000,000","22,854,000,000","39,959,000,000"
				CashFinancial,,,,,,,,,,"14,000,000",,"11,000,000",,"10,000,000",,,,"16,000,000",,,,"30,000,000",,,,"36,000,000",,,,,,"249,000,000",,"247,000,000",,"189,000,000",,"130,000,000",,"141,000,000",,"140,000,000",,"165,000,000",,"161,000,000",,"157,000,000",,"108,000,000",,"49,000,000",,"15,000,000",,"16,000,000",,"207,000,000",,"61,000,000",,"115,000,000",,"92,000,000",,"101,000,000",,"57,000,000",,"29,000,000",,,,,
				CashEquivalents,,,,,,"167,015,000,000",,,,"164,990,000,000",,"160,811,000,000",,"142,487,000,000",,,,"68,541,000,000",,,,"10,070,000,000",,,,"15,065,000,000",,,,"10,864,000,000",,"13,711,000,000",,"24,950,000,000",,"13,997,000,000",,"18,010,000,000",,"16,695,000,000",,"9,846,000,000",,"8,917,000,000",,"7,539,000,000",,"9,774,000,000",,"8,256,000,000",,"12,940,000,000",,"8,708,000,000",,"10,761,000,000",,"14,540,000,000",,"15,322,000,000",,"18,165,000,000",,"16,936,000,000",,"17,304,000,000",,"21,787,000,000",,"18,683,000,000",,,,,
			OtherShortTermInvestments,"73,731,000,000","79,555,000,000","81,558,000,000","89,904,000,000","84,498,000,000","80,825,000,000","64,072,000,000","57,668,000,000","83,019,000,000","102,982,000,000","46,751,000,000","31,695,000,000","24,066,000,000","18,029,000,000","5,234,000,000","3,736,000,000","735,000,000","733,000,000","663,000,000","1,678,000,000","1,839,000,000","745,000,000","991,000,000","1,126,000,000","1,785,000,000","55,000,000","47,000,000","195,000,000","196,000,000","408,000,000",,,,"750,000,000",,,,"3,582,000,000",,,,"1,936,000,000",,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0",
		Receivables,"54,246,000,000","105,764,000,000","88,377,000,000","79,441,000,000","80,464,000,000","112,665,000,000","105,194,000,000","79,828,000,000","73,439,000,000","120,331,000,000","66,947,000,000","60,379,000,000","69,690,000,000","107,597,000,000","70,712,000,000","75,215,000,000","52,044,000,000","107,556,000,000","75,851,000,000","139,842,000,000","78,551,000,000","145,419,000,000","117,966,000,000","147,012,000,000","106,654,000,000","127,123,000,000","108,057,000,000","109,710,000,000","121,148,000,000","105,305,000,000","117,892,000,000","114,831,000,000","117,805,000,000","89,450,000,000","104,202,000,000","98,704,000,000","90,483,000,000","63,291,000,000","68,327,000,000","64,848,000,000","73,201,000,000","30,642,000,000","50,074,000,000","50,243,000,000","43,384,000,000","37,168,000,000","54,241,000,000","72,246,000,000","46,209,000,000","47,620,000,000","38,974,000,000","47,078,000,000","39,900,000,000","34,944,000,000","40,720,000,000","37,765,000,000","35,681,000,000","33,162,000,000","36,109,000,000","35,285,000,000","37,259,000,000","30,030,000,000","32,187,000,000","33,796,000,000","34,332,000,000","30,694,000,000","33,788,000,000","32,141,000,000","35,713,000,000","32,171,000,000","37,425,000,000","38,655,000,000","35,636,000,000","34,442,000,000","46,521,000,000"
			AccountsReceivable,"54,246,000,000","54,865,000,000","76,157,000,000","72,455,000,000","80,464,000,000","56,993,000,000","89,624,000,000","70,912,000,000","58,973,000,000","68,494,000,000","54,284,000,000","50,560,000,000","56,265,000,000","50,289,000,000","58,293,000,000","63,253,000,000","39,959,000,000","56,126,000,000","62,163,000,000","93,611,000,000","63,491,000,000","90,831,000,000","93,511,000,000","96,703,000,000","81,144,000,000","68,466,000,000","80,068,000,000","87,386,000,000","102,121,000,000","81,395,000,000","84,382,000,000","84,047,000,000","90,015,000,000","58,721,000,000","68,510,000,000","65,414,000,000","61,133,000,000","43,093,000,000","48,183,000,000","45,726,000,000","45,336,000,000","26,592,000,000","29,074,000,000","29,967,000,000","21,717,000,000","12,989,000,000","36,207,000,000","43,084,000,000","29,469,000,000","22,947,000,000","23,438,000,000","26,711,000,000","23,745,000,000","15,590,000,000","18,805,000,000","17,449,000,000","16,632,000,000","14,532,000,000","15,551,000,000","15,247,000,000","15,090,000,000","9,756,000,000","11,816,000,000","13,621,000,000","11,714,000,000","9,284,000,000","10,495,000,000","11,728,000,000","13,656,000,000","10,670,000,000","13,200,000,000","13,265,000,000","11,069,000,000","11,082,000,000","16,316,000,000"
				GrossAccountsReceivable,,"56,713,000,000",,"73,055,000,000",,"57,599,000,000",,"71,504,000,000",,"69,106,000,000",,"51,158,000,000",,"50,972,000,000",,"63,766,000,000",,"56,651,000,000",,"94,137,000,000",,"91,361,000,000",,"97,259,000,000",,"69,040,000,000",,"88,081,000,000",,"82,094,000,000",,,,"59,733,000,000",,,,"44,415,000,000",,,,"28,513,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
