name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalAssets,"7,759,700,000","7,626,400,000","7,971,700,000","7,168,400,000","6,501,300,000","7,395,900,000","8,438,800,000","7,721,800,000","7,257,200,000","5,436,900,000","5,062,200,000","4,954,800,000","4,787,600,000","4,114,500,000","3,861,200,000","4,297,300,000","2,839,400,000","2,349,000,000","2,173,300,000","2,104,200,000","2,273,200,000","2,750,400,000","2,620,900,000","2,116,500,000","2,162,900,000","1,823,300,000","578,300,000","320,700,000"
	CurrentAssets,"3,729,100,000","3,537,400,000","3,627,700,000","3,165,700,000","2,898,300,000","3,527,900,000","4,517,100,000","3,954,700,000","3,662,800,000","3,121,000,000","2,788,900,000","3,005,200,000","2,721,700,000","2,309,000,000","2,086,200,000","2,404,500,000","1,684,500,000","1,412,200,000","1,182,500,000","1,240,300,000","1,416,100,000","1,790,500,000","1,714,800,000","1,466,500,000","1,424,500,000","1,201,300,000","502,800,000","292,500,000"
		CashCashEquivalentsAndShortTermInvestments,"429,600,000","326,100,000","367,700,000","429,700,000","426,700,000","363,700,000","1,047,200,000","781,300,000","724,400,000","719,900,000","652,700,000","512,200,000","582,400,000","401,100,000","220,600,000","325,600,000","147,000,000","34,300,000","28,900,000","13,300,000","19,600,000","15,900,000","31,200,000","41,700,000","27,900,000","25,800,000","200,000","1,100,000"
			CashAndCashEquivalents,"429,600,000","326,100,000","367,700,000","429,700,000","426,700,000","363,700,000","1,047,200,000","781,300,000","724,400,000","719,900,000","652,700,000","512,200,000","582,400,000","401,100,000","220,600,000","325,600,000","147,000,000","34,300,000","28,900,000","13,300,000","19,600,000","15,900,000","31,200,000","41,700,000","27,900,000","25,800,000","200,000","1,100,000"
				CashFinancial,"412,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"17,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"800,500,000","880,300,000","1,019,400,000","890,400,000","836,800,000","963,800,000","940,600,000","924,600,000","994,200,000","908,500,000","731,700,000","815,600,000","766,400,000","677,100,000","655,700,000","823,200,000","553,600,000","497,400,000","471,900,000","602,900,000","758,200,000","1,016,300,000","997,200,000","869,500,000","975,200,000","781,600,000","318,700,000","184,000,000"
			AccountsReceivable,"800,500,000","880,300,000","1,019,400,000","890,400,000","836,800,000","963,800,000","940,600,000","924,600,000",,,,,"766,400,000","677,100,000","655,700,000","823,200,000","553,600,000","497,400,000","471,900,000","602,900,000","758,200,000","1,016,300,000","978,700,000","857,000,000",,,,
				GrossAccountsReceivable,"855,000,000","936,200,000","1,090,000,000","958,600,000","890,600,000","1,014,400,000","1,005,900,000","984,200,000",,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-54,500,000","-55,900,000","-70,600,000","-68,200,000","-53,800,000","-50,600,000","-65,300,000","-59,600,000",,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,"18,500,000","12,500,000",,,,
		Inventory,"2,078,700,000","1,908,700,000","1,872,900,000","1,514,800,000","1,423,400,000","1,750,700,000","2,016,100,000","1,703,100,000","1,559,600,000","1,233,500,000","1,187,300,000","1,389,900,000","1,134,200,000","1,064,900,000","1,062,500,000","1,069,400,000","803,600,000","708,600,000","558,800,000","531,100,000","561,100,000","671,600,000","622,700,000","473,800,000","361,000,000","314,500,000","173,500,000","96,900,000"
