name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,012,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"330,300,000","329,800,000","328,800,000","417,900,000","303,600,000","347,600,000","338,000,000","368,500,000","255,600,000","273,600,000","313,900,000","316,700,000","224,700,000","232,800,000","233,700,000","225,700,000","167,400,000","176,000,000","177,500,000","198,900,000","157,600,000","205,400,000","156,600,000","146,600,000","111,300,000","116,200,000","116,900,000","116,300,000","92,400,000","167,706,000","128,382,000","160,069,000","104,679,000","91,212,000","86,096,000","81,370,000","66,536,000","58,486,000","63,859,000","87,148,000","82,456,000","76,019,000","75,663,000","86,991,000","80,333,000","82,993,000","86,892,000","82,456,000","74,102,000","64,518,000","72,327,000","54,302,000","45,609,000","42,000,000","30,417,000","15,663,000","13,473,000","26,805,000","33,097,000","31,139,000","23,927,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"161,000,000","93,000,000","114,500,000","85,000,000","86,200,000","86,500,000","81,800,000","53,000,000","56,100,000","50,900,000","56,600,000","46,200,000","46,800,000","43,200,000","50,700,000","56,700,000","65,900,000","54,900,000","66,900,000","55,300,000","55,300,000","54,000,000","51,700,000","51,200,000","51,500,000","50,100,000","49,200,000","48,100,000","52,200,000","1,929,891,000","1,868,510,000","1,789,454,000","1,648,452,000","1,574,998,000","1,489,131,000","1,405,329,000","1,272,382,000","1,223,447,000","1,186,529,000","1,135,934,000","1,088,489,000","1,097,493,000","1,091,115,000","1,086,744,000","1,052,522,000","1,082,496,000","1,060,884,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPE,"59,700,000","58,500,000","53,100,000","43,400,000","40,200,000","38,700,000","23,100,000","20,400,000","20,500,000","20,300,000","20,000,000","19,800,000","18,200,000","17,700,000","18,600,000","19,000,000","18,900,000","19,500,000","20,000,000","20,600,000","20,900,000","21,800,000","23,000,000","23,100,000","22,300,000","22,300,000","22,400,000","22,000,000","22,200,000","21,863,000","21,984,000","21,168,000","18,472,000","16,776,000","16,827,000","16,864,000","16,311,000","16,421,000","18,344,000","18,324,000","18,735,000","18,801,000","19,635,000","20,487,000","21,049,000","21,550,000","21,844,000","21,283,000","20,124,000","18,760,000","17,209,000","16,402,000","16,203,000","16,715,000","16,408,000","17,075,000","17,992,000","18,950,000","19,520,000","19,844,000","19,706,000","19,588,000","19,177,000","18,598,000","18,503,000","18,294,000","18,355,000","20,057,000","19,951,000","20,532,000","19,802,000","19,649,000","19,646,000","19,795,000","19,574,000","18,300,000","18,418,000","18,053,000","18,587,000","17,870,000","18,243,000","19,900,000","20,100,000","20,400,000","20,627,000","20,900,000","20,600,000","20,500,000","20,839,000","19,900,000","18,000,000","16,600,000","14,958,000","13,200,000","11,900,000","10,700,000","10,300,000","9,900,000","9,900,000","9,400,000","9,400,000","8,900,000","7,700,000","7,400,000","7,300,000","800,000","900,000","900,000","800,000","800,000","700,000","800,000"
			GrossPPE,"104,800,000",,,,"79,200,000","76,900,000",,,"55,400,000",,,,"52,400,000",,,,"50,600,000",,,,"48,600,000",,,,"46,600,000",,,,"61,800,000",,,,"54,689,000",,,,"50,682,000",,,,"51,854,000",,,,"55,705,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Properties,"0",,,,"0","0",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,"2,700,000",,,,"2,700,000","2,600,000",,,"2,500,000",,,,"2,500,000",,,,"2,300,000",,,,"2,300,000",,,,"2,300,000",,,,"2,300,000",,,,"2,251,000",,,,"2,251,000",,,,"2,251,000",,,,"2,582,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"54,500,000",,,,"33,200,000","31,800,000",,,"15,600,000",,,,"14,500,000",,,,"14,600,000",,,,"13,900,000",,,,"14,000,000",,,,"13,400,000",,,,"12,169,000",,,,"11,843,000",,,,"11,790,000",,,,"11,926,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"45,200,000",,,,"41,100,000","40,300,000",,,"35,100,000",,,,"33,400,000",,,,"32,100,000",,,,"30,900,000",,,,"29,600,000",,,,"46,000,000",,,,"40,158,000",,,,"36,477,000",,,,"37,702,000",,,,"40,853,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,"2,400,000",,,,"2,200,000","2,200,000",,,"2,200,000",,,,"2,000,000",,,,"1,600,000",,,,"1,500,000",,,,"700,000",,,,"100,000",,,,"111,000",,,,"111,000",,,,"111,000",,,,"344,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-45,100,000",,,,"-39,000,000","-38,200,000",,,"-34,900,000",,,,"-34,200,000",,,,"-31,700,000",,,,"-27,700,000",,,,"-24,300,000",,,,"-39,600,000",,,,"-36,217,000",,,,"-34,371,000",,,,"-33,119,000",,,,"-34,656,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,379,000","1,888,000","2,840,000","4,447,000","16,153,000","9,784,000","13,298,000","17,879,000","23,397,000","29,421,000","35,788,000","42,774,000","45,399,000","48,186,000","48,278,000","43,672,000","50,487,000","45,078,000","31,004,000","19,467,000",,,,"10,191,000",,,,"9,973,000",,,,"6,320,000",,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"66,200,000","10,800,000","21,800,000","7,500,000","7,900,000","20,200,000","25,600,000","2,500,000","2,200,000","5,500,000","8,400,000","3,200,000","2,300,000","5,400,000","10,000,000","19,800,000","10,000,000","300,000","10,700,000","1,000,000","1,400,000","1,400,000","1,600,000","2,000,000","1,100,000","1,200,000","800,000","600,000","1,100,000",,"524,000","406,000","506,000","499,000","2,724,000","708,000","12,002,000","6,976,000","6,995,000","787,000","3,956,000","4,460,000",,,,"10,012,000","12,426,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,876,718,000","1,815,889,000","1,737,796,000","1,598,573,000","1,525,403,000","1,438,086,000","1,352,488,000","1,218,013,000","1,176,118,000","1,134,776,000","1,088,342,000","1,050,013,000","1,057,100,000","1,056,941,000","1,048,100,000","1,017,917,000","1,036,407,000","1,012,150,000","934,568,000","810,553,000","755,996,000","744,159,000","707,601,000","625,780,000","600,162,000","586,908,000","590,767,000","563,528,000","566,394,000","560,004,000","554,557,000","526,011,000","979,491,000","939,748,000","926,122,000","857,445,000","857,120,000","854,476,000","820,324,000","780,731,000","798,594,000","800,499,000","793,511,000","768,453,000","747,628,000","684,193,000","628,009,000","571,245,000","571,733,000","575,872,000","582,984,000","571,988,000",,,,"666,971,000",,,,"1,037,930,000",,,,"1,032,614,000",,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"35,100,000","23,700,000","39,600,000","34,100,000","38,100,000","27,600,000","33,100,000","30,100,000","33,400,000","25,100,000","28,200,000","23,200,000","26,300,000","20,100,000","22,100,000","17,900,000","37,000,000","35,100,000","36,200,000","33,700,000","33,000,000","30,800,000","27,100,000","26,100,000","28,100,000","26,600,000","26,000,000","25,500,000","28,900,000","31,310,000","30,113,000","30,084,000","30,901,000","32,320,000","31,494,000","35,269,000","26,056,000","23,932,000","26,414,000","28,481,000","15,785,000","17,132,000","14,539,000","18,157,000","13,556,000","14,527,000","14,464,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalLiabilitiesNetMinorityInterest,"5,067,900,000","4,688,200,000","4,693,200,000","4,701,000,000","4,246,500,000","4,280,800,000","4,064,700,000","3,877,300,000","3,449,800,000","3,475,100,000","3,479,600,000","3,392,900,000","3,044,300,000","2,927,400,000","2,946,300,000","2,712,600,000","2,461,300,000","2,444,300,000","2,278,600,000","2,349,800,000","2,083,200,000","1,974,000,000","1,954,800,000","1,858,700,000","1,683,300,000","1,695,400,000","1,661,400,000","1,623,700,000","1,511,300,000","1,505,517,000","1,462,570,000","1,382,467,000","1,218,647,000","1,177,382,000","1,139,744,000","1,096,780,000","869,041,000","859,860,000","673,200,000","696,972,000","678,026,000","726,293,000","764,131,000","808,587,000","801,603,000","850,630,000","854,371,000","793,883,000","676,732,000","621,368,000","616,740,000","586,014,000","514,866,000","545,291,000","348,764,000","354,604,000","246,368,000","290,204,000","298,916,000","301,057,000","290,423,000","761,162,000","696,998,000","673,493,000","586,215,000","581,079,000","581,443,000","536,666,000","518,477,000","548,699,000","575,694,000","582,619,000","572,995,000","585,809,000","513,211,000","484,087,000","408,808,000","416,704,000","414,637,000","408,087,000","397,265,000","401,300,000","383,100,000","421,900,000","475,666,000","538,200,000","665,900,000","762,200,000","866,619,000","1,030,300,000","947,800,000","906,200,000","828,275,000","729,200,000","627,800,000","557,200,000","487,400,000","519,400,000","471,700,000","400,900,000","350,200,000","304,500,000","241,200,000","185,000,000","148,300,000","86,000,000","116,500,000","101,500,000","86,000,000","76,400,000","66,000,000","60,100,000"
	CurrentLiabilities,"206,400,000","184,600,000","203,400,000","192,000,000","186,400,000","167,900,000","172,500,000","168,900,000","151,700,000","140,500,000","140,400,000","141,300,000","143,900,000","133,900,000","142,300,000","131,900,000","127,800,000","124,200,000","132,000,000","129,900,000","114,400,000","111,400,000","110,100,000","111,400,000","117,600,000","109,900,000","112,300,000","105,200,000","105,800,000","213,931,000","203,275,000","293,948,000","139,758,000","190,472,000","223,447,000","229,994,000","211,997,000","176,447,000","83,342,000","138,834,000","174,595,000","183,606,000","199,423,000","202,023,000","146,129,000","162,745,000","119,996,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PayablesAndAccruedExpenses,"206,400,000","184,600,000","203,400,000","192,000,000","186,400,000","167,900,000","172,500,000","168,900,000","151,700,000","140,500,000","140,400,000","141,300,000","143,900,000","133,900,000","142,300,000","131,900,000","127,800,000","124,200,000","132,000,000","129,900,000","114,400,000","111,400,000","110,100,000","111,400,000","113,800,000","109,900,000","112,300,000","105,200,000","105,800,000","98,131,000","190,175,000","120,348,000","95,858,000","91,072,000","96,247,000","97,194,000","75,297,000","73,747,000","79,042,000","110,434,000","77,295,000","81,106,000","85,523,000","102,723,000","84,829,000","79,845,000","81,896,000","83,739,000","79,834,000","80,719,000","80,842,000","84,075,000","78,294,000","177,402,000","58,655,000","61,868,000","55,705,000","55,313,000","53,821,000","57,497,000","65,059,000","41,388,000","36,481,000","35,284,000","33,117,000","36,396,000","44,734,000","42,254,000","28,341,000","34,985,000","43,183,000","44,537,000","39,307,000","43,993,000","41,607,000","42,246,000","33,054,000","35,569,000","33,243,000","35,820,000","34,028,000",,,,"26,765,000",,,,"26,650,000",,,,"35,707,000",,,,,,,,,,,,,,,,,,,
			Payables,"206,400,000","184,600,000","203,400,000","192,000,000","186,400,000","167,900,000","172,500,000","168,900,000","151,700,000","140,500,000","140,400,000","141,300,000","143,900,000","133,900,000","142,300,000","131,900,000","127,800,000","124,200,000","132,000,000","129,900,000","114,400,000","111,400,000","110,100,000","111,400,000","113,800,000","109,900,000","112,300,000","105,200,000","105,800,000",,,"120,348,000",,,,,,,,"110,434,000","77,295,000","81,106,000","85,523,000","102,723,000","84,829,000",,,,,,,,,,"58,655,000",,"55,705,000","55,313,000","53,821,000","57,497,000","65,059,000",,,,"33,117,000","36,396,000","44,734,000","42,254,000","28,341,000","34,985,000","43,183,000","44,537,000","39,307,000","43,993,000","41,607,000","42,246,000","33,054,000","35,569,000","33,243,000","35,820,000","34,028,000",,,,"26,765,000",,,,"26,650,000",,,,"35,707,000",,,,,,,,,,,,,,,,,,,
				AccountsPayable,"206,400,000","184,600,000","203,400,000","192,000,000","186,400,000","167,900,000","172,500,000","168,900,000","151,700,000","140,500,000","140,400,000","141,300,000","143,900,000","133,900,000","142,300,000","131,900,000","127,800,000","124,200,000","132,000,000","129,900,000","114,400,000","111,400,000","110,100,000","111,400,000","113,800,000","109,900,000","112,300,000","105,200,000","105,800,000",,,"107,325,000",,,,,,,,"102,582,000","77,295,000","81,106,000","84,691,000","94,512,000","83,948,000",,,,,,,,,,"57,204,000",,,,,"57,345,000","65,059,000",,,,"33,117,000","33,858,000","33,034,000","31,428,000","22,247,000","32,496,000","37,402,000","37,412,000","34,209,000","36,628,000","39,457,000","38,605,000",,"35,058,000",,,"34,028,000",,,,"25,989,000",,,,"26,650,000",,,,"33,138,000",,,,,,,,,,,,,,,,,,,
				TotalTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,023,000",,,,,,,,"7,852,000","0","0","832,000","8,211,000","881,000",,,,,,,,,,"1,451,000",,,,,"152,000","0",,,,"0","2,538,000","11,700,000","10,826,000","6,094,000","2,489,000","5,781,000","7,125,000","5,098,000","7,365,000","2,150,000","3,641,000",,"511,000",,,"0",,,,"776,000",,,,"0",,,,"2,569,000",,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,023,000",,,,,,,,"7,852,000","0","0","832,000","8,211,000","881,000",,,,,,,,,,"1,451,000",,,,,"152,000","0",,,,"0","2,538,000","11,700,000","10,826,000","6,094,000","2,489,000","5,781,000","7,125,000","5,098,000","7,365,000","2,150,000","3,641,000",,"511,000",,,"0",,,,"776,000",,,,"0",,,,"2,569,000",,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,,,,,,,,,,,,,,,,,,,,,,,,"3,800,000",,,,,"115,800,000","13,100,000","173,600,000","43,900,000","99,400,000","127,200,000","132,800,000","136,700,000","102,700,000","4,300,000","28,400,000","97,300,000","102,500,000","113,900,000","99,300,000","61,300,000","82,900,000","38,100,000","87,400,000","36,300,000","37,300,000","44,500,000","36,900,000","38,400,000","26,000,000","34,400,000","101,930,000","36,300,000","46,000,000","44,700,000","27,300,000","7,700,000",,,,,,,,"43,555,000",,,,,,,,,,,,,,"43,900,000",,,,,,,"3,900,000","3,900,000","4,000,000","20,200,000",,,,,,,,,,,,,,,,,,,
