name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalAssets,"7,423,200,000","7,071,000,000","6,908,500,000","6,749,900,000","6,237,400,000","6,244,100,000","5,874,300,000","5,534,000,000","4,985,600,000","4,826,900,000","4,727,800,000","4,556,700,000","4,218,000,000","4,093,100,000","4,024,400,000","3,704,000,000","3,389,400,000","3,375,600,000","3,132,500,000","3,127,100,000","2,785,400,000","2,722,500,000","2,627,600,000","2,573,700,000","2,433,400,000","2,385,200,000","2,315,300,000","2,248,300,000","2,133,200,000","2,103,322,000","2,002,927,000","1,955,033,000","1,758,598,000","1,670,652,000","1,581,655,000","1,492,090,000","1,343,515,000","1,284,285,000","1,254,818,000","1,227,756,000","1,176,236,000","1,177,901,000","1,171,292,000","1,176,977,000","1,139,354,000","1,170,356,000","1,152,101,000","1,079,778,000","942,182,000","871,194,000","856,597,000","812,871,000","725,213,000","752,160,000","650,593,000","640,860,000","619,394,000","639,354,000","633,384,000","617,756,000","591,313,000","1,044,155,000","1,017,354,000","982,837,000","943,780,000","925,379,000","917,541,000","868,252,000","842,325,000","866,307,000","882,110,000","879,730,000","861,434,000","866,817,000","782,856,000","747,758,000","671,034,000","674,892,000","673,028,000","670,397,000","660,240,000","661,500,000","675,300,000","701,600,000","751,929,000","809,900,000","930,200,000","1,018,000,000","1,115,610,000","1,273,000,000","1,220,000,000","1,165,300,000","1,074,418,000","960,000,000","847,100,000","765,000,000","686,400,000","708,800,000","560,800,000","483,000,000","425,900,000","373,900,000","304,800,000","243,700,000","203,000,000","128,200,000","164,400,000","146,300,000","128,200,000","116,900,000","105,000,000","81,500,000"
	CurrentAssets,"7,262,200,000","6,978,000,000","6,794,000,000","6,664,900,000","6,151,200,000","6,157,600,000","5,792,500,000","5,481,000,000","4,929,500,000","4,776,000,000","4,671,200,000","4,510,500,000","4,171,200,000","4,049,900,000","3,973,700,000","3,647,300,000","3,323,500,000","3,320,700,000","3,065,600,000","3,071,800,000","2,730,100,000","2,668,500,000","2,575,900,000","2,522,500,000","2,381,900,000","2,335,100,000","2,266,100,000","2,200,200,000","2,081,000,000","173,431,000","134,417,000","165,579,000","110,146,000","95,654,000","92,524,000","86,761,000","71,133,000","60,838,000","68,289,000","91,822,000","87,747,000","80,408,000","80,177,000","90,233,000","86,832,000","87,860,000","91,217,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"246,700,000","84,500,000","81,200,000","103,300,000","84,300,000","252,400,000","110,100,000","62,800,000","54,300,000","51,000,000","73,700,000","57,800,000","59,900,000","52,700,000","204,900,000","58,200,000","54,600,000","185,200,000","53,400,000","139,700,000","59,600,000","55,700,000","61,300,000","57,900,000","57,800,000","55,500,000","56,500,000","55,300,000","55,100,000","5,725,000","6,035,000","5,510,000","5,467,000","4,442,000","6,428,000","5,391,000","4,597,000","2,352,000","4,430,000","4,674,000","5,291,000","4,389,000","4,514,000","3,242,000","6,499,000","4,867,000","4,325,000","3,096,000","4,002,000","8,911,000","5,592,000","4,177,000","12,092,000","70,489,000","4,280,000","5,286,000","10,435,000","17,819,000","3,179,000","2,120,000","1,542,000","20,254,000","28,364,000","17,595,000","36,044,000","15,450,000","22,524,000","6,471,000","13,639,000","12,618,000","20,869,000","19,756,000","15,946,000","42,595,000","20,413,000","36,042,000","21,477,000","25,499,000","20,327,000","23,640,000","22,722,000","11,100,000","10,800,000","10,400,000","23,975,000","9,800,000","11,300,000","10,300,000","10,349,000","9,200,000","7,500,000","6,700,000","6,529,000","6,100,000","3,800,000","3,300,000","2,500,000","2,200,000","2,200,000","1,900,000","1,500,000","1,200,000","900,000","600,000","2,100,000","8,700,000","8,800,000","7,500,000","8,700,000",,,
			CashAndCashEquivalents,"187,400,000","24,700,000","19,700,000","41,300,000","25,700,000","195,700,000","55,700,000","11,500,000","8,200,000","4,900,000","27,200,000","11,100,000","14,600,000","5,700,000","158,300,000","9,100,000","6,300,000","134,700,000","1,300,000","86,700,000","6,400,000","4,300,000","6,700,000","5,600,000","4,200,000","3,600,000","9,000,000","7,800,000","9,000,000","5,725,000","5,150,000","4,691,000","4,657,000","3,634,000","5,690,000","4,585,000","3,792,000","1,537,000","1,537,000","1,602,000","2,170,000","1,610,000","1,609,000","106,000","3,154,000","934,000","82,000","60,000","712,000","5,407,000","1,829,000","299,000","8,528,000","66,848,000","436,000","1,920,000","7,090,000","14,336,000","988,000","275,000","614,000","20,254,000","28,364,000","17,595,000","36,044,000","15,450,000","22,068,000","6,372,000","13,466,000","12,443,000","20,694,000","19,580,000","15,773,000","42,393,000","19,767,000","35,369,000","20,726,000","14,007,000","8,157,000","11,900,000","11,122,000","0","0","0","13,775,000","0","0","0","349,000","0","0","0","229,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
			OtherShortTermInvestments,"59,300,000","59,800,000","61,500,000","62,000,000","58,600,000","56,700,000","54,400,000","51,300,000","46,100,000","46,100,000","46,500,000","46,700,000","45,300,000","47,000,000","46,600,000","49,100,000","48,300,000","50,500,000","52,100,000","53,000,000","53,200,000","51,400,000","54,600,000","52,300,000","53,600,000","51,900,000","47,500,000","47,500,000","46,100,000","0","885,000","819,000","810,000","808,000","738,000","806,000","805,000","815,000","2,893,000","3,072,000","3,121,000","2,779,000","2,905,000","3,136,000","3,345,000","3,933,000","4,243,000","3,036,000","3,290,000","3,504,000","3,763,000","3,878,000","3,564,000","3,641,000","3,844,000","3,366,000","3,345,000","3,483,000","2,191,000","1,845,000","928,000",,,,,,"456,000","99,000","173,000","175,000","175,000","176,000","173,000","202,000","646,000","673,000","751,000","11,492,000","12,170,000","11,740,000","11,600,000","11,100,000","10,800,000","10,400,000","10,200,000","9,800,000","11,300,000","10,300,000","10,000,000","9,200,000","7,500,000","6,700,000","6,300,000","6,100,000","3,800,000","3,300,000","2,500,000","2,200,000","2,200,000","1,900,000","1,500,000","1,200,000","900,000","600,000","2,100,000","8,700,000","8,800,000","7,500,000","8,700,000",,,
		Receivables,"6,685,200,000","6,563,700,000","6,384,000,000","6,143,700,000","5,763,300,000","5,557,600,000","5,344,400,000","5,049,700,000","4,619,600,000","4,451,400,000","4,283,600,000","4,136,000,000","3,886,600,000","3,764,400,000","3,535,100,000","3,363,400,000","3,101,500,000","2,959,500,000","2,834,700,000","2,733,200,000","2,512,900,000","2,407,400,000","2,358,000,000","2,318,000,000","2,212,800,000","2,163,400,000","2,092,700,000","2,028,600,000","1,933,500,000",,,,,,,,,,,,,,,,,"1,046,419,000",,"18,058,000","20,712,000","11,884,000","4,504,000","14,925,000","11,734,000","8,989,000","0","731,000","4,022,000","1,490,000","7,900,000","0","9,444,000","6,056,000","13,531,000","3,709,000","8,244,000","2,920,000","2,964,000","3,105,000","4,450,000","5,261,000","6,414,000","5,774,000","6,446,000","6,727,000","6,188,000","6,987,000","8,457,000","10,995,000","16,021,000","14,491,000","28,178,000",,,,"14,071,000",,,,"19,800,000",,,,"15,493,000",,,,,,,,,,,,,,,,,,,
			AccountsReceivable,"6,685,200,000","6,563,700,000","6,384,000,000","6,143,700,000","5,763,300,000","5,557,600,000","5,344,400,000","5,049,700,000","4,619,600,000","4,451,400,000","4,283,600,000","4,136,000,000","3,886,600,000","3,764,400,000","3,535,100,000","3,363,400,000","3,101,500,000","2,959,500,000","2,834,700,000","2,733,200,000","2,512,900,000","2,407,400,000","2,358,000,000","2,318,000,000","2,212,800,000","2,163,400,000","2,092,700,000","2,028,600,000","1,933,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"7,221,200,000","7,072,800,000","6,873,600,000","6,617,900,000","6,225,200,000","6,005,200,000","5,780,100,000","5,498,100,000","5,049,000,000","4,827,600,000","4,637,700,000","4,474,000,000","4,207,000,000","4,061,200,000","3,812,000,000","3,626,200,000","3,345,100,000","3,189,700,000","3,052,600,000","2,943,600,000","2,719,800,000","2,615,600,000","2,562,800,000","2,518,100,000","2,408,200,000","2,354,300,000","2,278,500,000","2,210,300,000","2,109,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-536,000,000","-509,100,000","-489,600,000","-474,200,000","-461,900,000","-447,600,000","-435,700,000","-448,400,000","-429,400,000","-376,200,000","-354,100,000","-338,000,000","-320,400,000","-296,800,000","-276,900,000","-262,800,000","-243,600,000","-230,200,000","-217,900,000","-210,400,000","-206,900,000","-208,200,000","-204,800,000","-200,100,000","-195,400,000","-190,900,000","-185,800,000","-181,700,000","-176,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,036,407,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
