name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006
TotalAssets,"75,849,000,000","71,676,000,000","67,804,000,000","66,034,000,000","63,526,000,000","60,547,000,000","62,062,000,000","60,303,000,000","59,093,000,000","61,162,000,000","59,843,000,000","57,597,000,000","56,257,000,000","54,673,000,000","55,064,000,000","51,829,000,000","50,186,000,000","48,734,000,000","47,226,000,000","45,159,000,000","43,294,000,000","43,385,026,000","41,608,206,000","40,155,499,000","38,980,376,000","37,870,700,000","36,277,044,000","35,056,554,000","35,144,104,000","33,199,557,000","33,861,696,000","32,383,711,000","32,696,398,000","30,404,365,000","33,151,121,000","30,640,255,000","30,054,599,000","28,498,768,000","29,660,427,000","27,481,678,000","29,362,208,000","26,605,551,000","28,845,475,000","26,443,664,000","25,135,830,000","28,356,635,000","29,351,677,000","29,793,850,000","33,190,623,000","34,542,086,000","36,250,920,000","33,544,823,000","32,248,688,000","32,080,518,000"
TotalLiabilitiesNetMinorityInterest,"67,702,000,000","63,736,000,000","60,151,000,000","58,414,000,000","56,100,000,000","53,391,000,000","55,159,000,000","53,603,000,000","52,387,000,000","54,729,000,000","53,531,000,000","51,406,000,000","50,247,000,000","48,853,000,000","49,194,000,000","46,137,000,000","44,523,000,000","43,390,000,000","41,944,000,000","39,925,000,000","38,256,000,000","38,200,398,000","36,415,580,000","34,879,908,000","33,736,170,000","32,778,574,000","31,204,162,000","30,161,426,000","30,318,169,000","28,386,410,000","28,706,854,000","27,387,046,000","27,731,203,000","25,718,324,000","28,517,855,000","26,054,712,000","25,613,802,000","24,278,281,000","24,545,530,000","22,638,182,000","24,479,652,000","21,728,420,000","24,022,941,000","21,805,382,000","20,701,022,000","23,948,574,000","25,212,053,000","25,765,220,000","29,174,889,000","30,968,262,000","32,952,384,000","30,512,298,000","29,282,335,000","29,278,601,000"
TotalEquityGrossMinorityInterest,"8,147,000,000","7,940,000,000","7,653,000,000","7,620,000,000","7,426,000,000","7,156,000,000","6,903,000,000","6,700,000,000","6,706,000,000","6,433,000,000","6,312,000,000","6,191,000,000","6,010,000,000","5,820,000,000","5,870,000,000","5,692,000,000","5,663,000,000","5,344,000,000","5,282,000,000","5,234,000,000","5,038,000,000","5,184,628,000","5,192,626,000","5,275,591,000","5,244,206,000","5,092,126,000","5,072,882,000","4,895,128,000","4,825,935,000","4,813,147,000","5,154,842,000","4,996,665,000","4,965,195,000","4,686,041,000","4,633,266,000","4,585,543,000","4,440,797,000","4,220,487,000","5,114,897,000","4,843,496,000","4,882,556,000","4,877,131,000","4,822,534,000","4,638,282,000","4,434,808,000","4,408,061,000","4,139,624,000","4,028,630,000","4,015,734,000","3,573,824,000","3,298,536,000","3,032,525,000","2,966,353,000","2,801,917,000"
	StockholdersEquity,"1,486,000,000","1,452,000,000","1,405,000,000","1,380,000,000","1,325,000,000","1,282,000,000","1,243,000,000","1,183,000,000","1,132,000,000","1,090,000,000","1,096,000,000","1,049,000,000","997,000,000","974,000,000","981,000,000","915,000,000","897,000,000","863,000,000","841,000,000","774,000,000","748,000,000","766,324,000","750,860,000","762,354,000","723,043,000","707,264,000","642,598,000","626,316,000","597,526,000","598,498,000","5,154,842,000","4,996,665,000","4,965,195,000","4,686,041,000","4,633,266,000","4,585,543,000","4,440,797,000","4,220,487,000","5,114,897,000","4,843,496,000","4,882,556,000","4,877,131,000","4,822,534,000","4,638,282,000","4,434,808,000","4,408,061,000","4,139,624,000","4,028,630,000","4,015,734,000","3,573,824,000","3,298,536,000","3,032,525,000","2,966,353,000","2,801,917,000"
		CapitalStock,,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","586,000","572,000","572,000","548,000","548,000","501,000","500,000","478,000","478,000","477,000","477,000","460,000","557,000","523,000","503,000","503,000","503,000","478,000","478,000","478,000","478,000","453,000","453,000","453,000","453,000","433,000","433,000","433,000","433,000","422,000","422,000",,
			CommonStock,,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","586,000","572,000","572,000","548,000","548,000","501,000","500,000","478,000","478,000","477,000","477,000","460,000","557,000","523,000","503,000","503,000","503,000","478,000","478,000","478,000","478,000","453,000","453,000","453,000","453,000","433,000","433,000","433,000","433,000","422,000","422,000",,
		AdditionalPaidInCapital,,"934,000,000","930,000,000","927,000,000","901,000,000","898,000,000","895,000,000","865,000,000","834,000,000","832,000,000","829,000,000","807,000,000","777,000,000","775,000,000","773,000,000","746,000,000","720,000,000","718,000,000","711,000,000","667,000,000","637,000,000","636,150,000","615,943,000","613,386,000","585,070,000","583,312,000","517,865,000","516,680,000","494,823,000","493,912,000","492,412,000","490,025,000","443,440,000","596,512,000","545,873,000","522,434,000","535,542,000","535,630,000","528,586,000","528,586,000","528,586,000","528,586,000","485,822,000","485,839,000","485,839,000","485,837,000","450,667,000","450,667,000","450,667,000","450,667,000","398,006,000","397,601,000",,
		RetainedEarnings,,"520,000,000","484,000,000","456,000,000","431,000,000","390,000,000","354,000,000","323,000,000","290,000,000","251,000,000","260,000,000","236,000,000","220,000,000","203,000,000","205,000,000","192,000,000","171,000,000","145,000,000","135,000,000","119,000,000","102,000,000","120,670,000","119,423,000","121,942,000","112,491,000","98,868,000","100,712,000","89,262,000","83,879,000","82,072,000","125,203,000","117,464,000","145,228,000","138,701,000","131,895,000","113,958,000","108,755,000","92,504,000","196,176,000","185,140,000","181,300,000","177,409,000","175,057,000","166,647,000","153,829,000","141,207,000","120,846,000","93,699,000","75,351,000","52,269,000","29,249,000","7,006,000",,
		TreasuryStock,,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","29,000,000","3,000,000","3,000,000","13,000,000","28,000,000","3,000,000","3,064,000","3,167,000","2,420,000","2,462,000","2,492,000","2,518,000","2,534,000","7,666,000","7,718,000","7,784,000","7,784,000","13,278,000","183,022,000","132,449,000","132,542,000","161,947,000","161,947,000","118,940,000","118,940,000","142,441,000","142,441,000","99,643,000","99,652,000","117,550,000","117,550,000","81,085,000","81,085,000","94,966,000","94,966,000","62,131,000","60,350,000",,
		GainsLossesNotAffectingRetainedEarnings,,"0","-7,000,000","-1,000,000","-5,000,000","-4,000,000","-4,000,000","-3,000,000","10,000,000","9,000,000","9,000,000","8,000,000","2,000,000","-2,000,000","5,000,000","5,000,000","8,000,000","2,000,000","7,000,000","15,000,000","11,000,000","11,982,000","18,089,000","28,874,000","27,396,000","27,028,000","26,038,000","22,408,000","26,012,000","29,754,000","19,301,000","17,407,000","21,113,000","18,487,000","19,837,000","26,242,000","22,405,000","21,137,000","16,891,000","5,860,000","9,519,000","10,914,000","10,455,000","4,083,000","-2,560,000","3,907,000","1,312,000","11,339,000","13,211,000",,"2,828,000","-196,000","103,308,000","98,568,000"
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,525,233,000","4,379,076,000","4,368,232,000","4,114,806,000","4,067,587,000","4,054,948,000","3,935,539,000","3,732,660,000","4,491,706,000","4,242,372,000","4,305,114,000","4,302,185,000","4,250,390,000","4,080,912,000","3,914,797,000","3,894,207,000","3,647,451,000","3,553,577,000","3,571,038,000","3,165,421,000","2,930,162,000","2,688,042,000","2,863,045,000","2,703,349,000"
	MinorityInterest,"6,661,000,000","6,488,000,000","6,248,000,000","6,240,000,000","6,101,000,000","5,874,000,000","5,660,000,000","5,517,000,000","5,574,000,000","5,343,000,000","5,216,000,000","5,142,000,000","5,013,000,000","4,846,000,000","4,889,000,000","4,777,000,000","4,766,000,000","4,481,000,000","4,441,000,000","4,460,000,000","4,290,000,000","4,418,304,000","4,441,766,000","4,513,237,000","4,521,163,000","4,384,862,000","4,430,284,000","4,268,812,000","4,228,409,000","4,214,649,000","0","0",,,,,,,,,,,,,,,,,,,,,,
TotalCapitalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,995,433,000","4,787,452,000","4,759,139,000","4,763,843,000","4,641,686,000","4,515,090,000","5,334,529,000","5,074,350,000","5,100,754,000","5,082,908,000","5,007,657,000","4,797,921,000","4,580,898,000","4,851,115,000","4,621,343,000","4,259,364,000","4,330,757,000","4,034,280,000","3,665,453,000","3,337,223,000","3,270,957,000","3,102,515,000"
CommonStockEquity,"1,486,000,000","1,452,000,000","1,405,000,000","1,380,000,000","1,325,000,000","1,282,000,000","1,243,000,000","1,183,000,000","1,132,000,000","1,090,000,000","1,096,000,000","1,049,000,000","997,000,000","974,000,000","981,000,000","915,000,000","897,000,000","863,000,000","841,000,000","774,000,000","748,000,000","766,324,000","750,860,000","762,354,000","723,043,000","707,264,000","642,598,000","626,316,000","597,526,000","598,498,000","5,154,842,000","4,996,665,000","4,965,195,000","4,686,041,000","4,633,266,000","4,585,543,000","4,440,797,000","4,220,487,000","5,114,897,000","4,843,496,000","4,882,556,000","4,877,131,000","4,822,534,000","4,638,282,000","4,434,808,000","4,408,061,000","4,139,624,000","4,028,630,000","4,015,734,000","3,573,824,000","3,298,536,000","3,032,525,000","2,966,353,000","2,801,917,000"
NetTangibleAssets,"1,486,000,000","1,418,000,000","1,405,000,000","1,380,000,000","1,325,000,000","1,249,000,000","1,243,000,000","1,183,000,000","1,132,000,000","1,061,000,000","1,096,000,000","1,049,000,000","997,000,000","946,000,000","981,000,000","915,000,000","897,000,000","857,000,000","841,000,000","774,000,000","748,000,000","766,324,000","750,860,000","762,354,000","723,043,000","707,264,000","642,598,000","626,316,000","597,526,000","598,498,000","5,154,842,000","4,996,665,000","4,965,195,000","4,686,041,000","4,633,266,000","4,585,543,000","4,440,797,000","4,220,487,000","5,114,897,000","4,843,496,000","4,882,556,000","4,877,131,000","4,822,534,000","4,638,282,000","4,434,808,000","4,408,061,000","4,139,624,000","4,028,630,000","4,015,734,000","3,573,824,000","3,298,536,000","3,032,525,000","2,966,353,000","2,801,917,000"
InvestedCapital,"1,500,000,000","1,468,000,000","1,420,000,000","1,395,000,000","1,340,000,000","1,299,000,000","1,271,000,000","1,376,000,000","1,151,000,000","1,105,000,000","1,134,000,000","1,058,000,000","1,035,000,000","1,048,000,000","1,005,000,000","923,000,000","901,000,000",,"845,000,000","783,000,000","777,000,000","800,115,000","810,222,000","777,547,000","756,646,000","731,899,000","645,177,000","639,142,000","616,373,000","708,918,000","5,171,712,000","5,010,014,000","5,009,907,000","4,793,990,000","4,910,973,000","4,806,807,000","4,813,084,000","4,702,470,000","5,482,616,000","5,224,861,000","5,506,777,000","5,403,711,000","5,271,000,000","4,951,180,000","4,829,627,000","5,059,232,000","5,562,083,000","4,887,046,000","5,597,292,000","5,450,005,000","4,815,871,000","4,583,308,000","4,322,443,000","4,399,424,000"
TangibleBookValue,"1,486,000,000","1,418,000,000","1,405,000,000","1,380,000,000","1,325,000,000","1,249,000,000","1,243,000,000","1,183,000,000","1,132,000,000","1,061,000,000","1,096,000,000","1,049,000,000","997,000,000","946,000,000","981,000,000","915,000,000","897,000,000","857,000,000","841,000,000","774,000,000","748,000,000","766,324,000","750,860,000","762,354,000","723,043,000","707,264,000","642,598,000","626,316,000","597,526,000","598,498,000","5,154,842,000","4,996,665,000","4,965,195,000","4,686,041,000","4,633,266,000","4,585,543,000","4,440,797,000","4,220,487,000","5,114,897,000","4,843,496,000","4,882,556,000","4,877,131,000","4,822,534,000","4,638,282,000","4,434,808,000","4,408,061,000","4,139,624,000","4,028,630,000","4,015,734,000","3,573,824,000","3,298,536,000","3,032,525,000","2,966,353,000","2,801,917,000"
TotalDebt,"14,000,000","16,000,000","15,000,000","15,000,000","15,000,000","17,000,000","28,000,000","193,000,000","19,000,000","15,000,000","38,000,000","9,000,000","38,000,000","74,000,000","24,000,000","8,000,000","4,000,000","0","4,000,000","9,000,000","29,000,000","33,791,000","59,362,000","15,193,000","33,603,000","24,635,000","2,579,000","12,826,000","18,847,000","110,420,000","16,870,000","13,349,000","44,712,000","107,949,000","277,707,000","221,264,000","372,287,000","481,983,000","367,719,000","381,365,000","624,221,000","526,580,000","448,466,000","312,898,000","394,819,000","651,171,000","1,422,459,000","858,416,000","1,581,558,000","1,876,181,000","1,517,335,000","1,550,783,000","1,356,090,000","1,597,507,000"
NetDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"951,411,000","427,152,000","886,171,000","1,354,405,000","1,016,525,000","682,197,000","748,314,000","928,236,000"
ShareIssued,"415,421,982","415,559,782","415,549,042","415,548,601","413,923,122","413,922,217","413,918,705","413,903,935","411,840,125","411,838,593","411,836,579","411,828,818","409,565,778","409,563,816","409,561,806","409,556,964","407,164,586","407,161,754","409,931,098","407,136,259","404,679,203","404,674,627","404,847,249","404,820,559","402,389,890","402,388,149","402,796,662","402,790,936","400,501,549","400,497,944","400,489,329","400,488,759","398,764,018","398,761,356","406,981,748","404,998,124","404,998,124","404,998,124","404,384,386","398,822,449","398,822,449","398,822,449","398,136,615","398,136,615","402,936,255","402,936,255","403,270,823","400,602,415","400,602,414","400,143,760","400,142,096","400,187,953","400,187,953","400,187,953"
OrdinarySharesNumber,"415,421,982","415,420,852","415,419,594","415,419,153","413,793,674","413,792,769","413,789,257","413,774,487","411,710,677","411,705,299","411,703,285","411,695,438","409,432,398","409,429,377","409,427,367","408,712,249","407,029,760","407,025,939","409,510,097","406,279,046","404,541,133","404,535,568","404,704,782","404,698,989","402,266,925","402,264,195","402,671,827","402,665,551","400,205,186","400,199,839","400,189,023","400,188,453","398,279,984","398,276,891","400,269,185","398,281,960","396,931,651","396,931,651","398,822,449","398,822,449","398,822,449","398,822,449","398,136,615","398,136,615","398,136,615","398,136,615","400,602,415","400,602,415","400,602,414","400,143,760","400,142,096","400,187,953","400,187,953","400,187,953"
TreasurySharesNumber,,"138,930","129,448","129,448","129,448","129,448","129,448","129,448","129,448","133,294","133,294","133,380","133,380","134,439","134,439","844,715","134,826","135,815","421,001","857,213","138,070","139,059","142,467","121,570","122,965","123,954","124,835","125,385","296,363","298,105","300,306","300,306","484,034","484,465","6,712,563","6,716,164","8,066,473","8,066,473","5,561,937",,,,,,"4,799,640","4,799,640","2,668,408",,,,,,,
