name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
TotalRevenue,"6,807,000,000","6,838,000,000","6,426,000,000","4,304,000,000","1,100,240,000","270,028,000","268,698,000","268,191,000","264,327,000","283,790,000","399,282,000","416,790,000","15,000,000",,,,
	OperatingRevenue,"6,755,000,000","6,789,000,000","6,387,000,000","4,284,000,000","1,100,240,000","270,028,000","268,698,000","268,191,000","264,327,000","283,790,000","399,282,000","416,790,000","15,000,000",,,,
CostOfRevenue,"3,752,000,000","3,908,000,000","3,827,000,000","2,659,000,000","567,544,000","65,704,000","58,601,000","57,486,000","42,551,000","0","0","32,516,000","11,470,000",,,,
GrossProfit,"3,055,000,000","2,930,000,000","2,599,000,000","1,645,000,000","532,696,000","204,324,000","210,097,000","210,705,000","221,776,000","283,790,000","399,282,000","384,274,000","3,530,000",,,,
OperatingExpense,"904,000,000","883,000,000","612,000,000","489,000,000","282,260,000","201,282,000","210,971,000","243,391,000","158,236,000","139,164,000","118,485,000","56,354,000","20,671,000","12,516,000","-13,484,000","4,719,000",
	OperationAndMaintenance,"788,000,000","770,000,000","526,000,000","392,000,000","179,015,000","60,319,000","85,323,000","89,261,000","51,757,000","33,745,000","39,159,000",,,,,,
	SellingGeneralAndAdministration,"116,000,000","113,000,000","86,000,000","95,000,000","103,245,000","140,963,000","125,648,000","154,130,000","106,479,000","26,003,000","26,465,000","23,612,000","10,335,000","12,481,000","5,700,000","4,706,000",
		GeneralAndAdministrativeExpense,"116,000,000","113,000,000","86,000,000","95,000,000","103,245,000","140,963,000","125,648,000","154,130,000","106,479,000",,,,,,,,
			OtherGandA,"116,000,000","113,000,000","86,000,000","95,000,000","103,245,000","140,963,000","125,648,000","154,130,000","106,479,000",,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,"36,473,000","10,562,000","0","2,342,000",,"4,527,000",,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"42,943,000","42,299,000","32,742,000","7,994,000","35,000","50,000","13,000",
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"42,943,000","42,299,000","32,742,000","7,994,000","35,000","50,000","13,000",
	OtherOperatingExpenses,,,,"2,000,000",,,,,,,,,,,"-23,761,000",,
OperatingIncome,"2,151,000,000","2,047,000,000","1,987,000,000","1,156,000,000","250,436,000","3,042,000","-874,000","-32,686,000","63,540,000","144,626,000","280,797,000","327,920,000","-17,141,000","-12,516,000","13,484,000","-4,719,000",
NetNonOperatingInterestIncomeExpense,"-932,000,000","-885,000,000","-733,000,000","-614,000,000","-356,900,000","-184,600,000","-177,032,000","-178,400,000","-171,646,000","-173,590,000","-173,690,000","-146,284,000","-66,109,000",,,,
	InterestIncomeNonOperating,,,,,,,,,,,"326,000","930,000","13,778,000",,,,
	InterestExpenseNonOperating,"932,000,000","885,000,000","733,000,000","614,000,000","356,900,000","184,600,000",,,,"173,590,000","174,016,000","147,214,000","79,887,000",,,,
	TotalOtherFinanceCost,,,,,,,"177,032,000","178,400,000","171,646,000",,,,,,,,
OtherIncomeExpense,,"13,000,000","20,000,000","-52,000,000","-64,731,000","-137,333,000","-232,130,000","-47,031,000","-42,030,000","-2,055,000","461,000","5,276,000","4,906,000",,"-68,099,000","343,000",
