name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalAssets,"12,346,453,000","9,238,643,000","8,016,311,000","7,736,097,000","6,709,409,000","6,752,340,000","4,281,044,000","3,476,954,000","2,837,626,000","1,765,537,000","1,084,229,000","1,033,155,000"
	CurrentAssets,"402,412,000","335,824,000","255,210,000","595,591,000","289,028,000","175,944,000","207,827,000","466,225,000","256,448,000","43,184,000","79,863,000","47,155,000"
		CashCashEquivalentsAndShortTermInvestments,"99,962,000","92,142,000","79,588,000","359,072,000","99,694,000","67,213,000","113,085,000","422,556,000","226,559,000","27,074,000","69,984,000","36,074,000"
			CashAndCashEquivalents,"99,962,000","92,142,000","79,588,000","359,072,000","99,694,000","67,213,000","113,085,000","422,556,000","226,559,000","27,074,000","69,984,000","36,074,000"
		Receivables,"272,331,000","231,155,000","161,879,000","226,504,000","182,899,000","98,305,000","87,548,000","36,671,000","22,703,000","10,996,000","6,592,000","9,701,000"
			AccountsReceivable,"260,458,000","216,847,000","160,194,000","192,606,000","131,005,000","97,890,000","83,943,000","36,671,000","22,703,000","10,890,000","6,099,000","7,890,000"
			UnbilledReceivables,"7,129,000","5,399,000",,,,,,,,,,
			OtherReceivables,"4,744,000","8,909,000","1,685,000","33,898,000","51,894,000","415,000","3,605,000",,,"106,000","493,000","1,811,000"
		Inventory,"24,350,000","6,370,000","10,788,000","7,126,000","2,403,000","5,316,000","2,584,000",,,,,
			MaterialsAndSupplies,"23,444,000",,,,,,,,,,,
			OtherInventories,"906,000","6,370,000","10,788,000","7,126,000","2,403,000","5,316,000","2,584,000",,,,,
		PrepaidAssets,"5,676,000","1,973,000","2,955,000","2,889,000","2,998,000","3,217,000","2,900,000",,,,,
		OtherCurrentAssets,"93,000","4,184,000",,,"1,034,000","1,893,000","1,710,000","6,998,000","7,186,000","5,114,000","3,287,000","1,380,000"
	TotalNonCurrentAssets,"11,944,041,000","8,902,819,000","7,761,101,000","7,140,506,000","6,420,381,000","6,576,396,000","4,073,217,000","3,010,729,000","2,581,178,000","1,722,353,000","1,004,366,000","986,000,000"
		NetPPE,"9,064,931,000","6,612,073,000","5,730,891,000","5,049,932,000","4,289,974,000","4,384,371,000","3,383,255,000","2,473,375,000","2,052,224,000","1,359,350,000","700,496,000","686,353,000"
			GrossPPE,"12,355,671,000","9,250,228,000","7,871,102,000","6,861,942,000","5,904,637,000","5,424,699,000","4,239,100,000","3,183,148,000","2,638,013,000","1,727,231,000","915,438,000","861,780,000"
				ConstructionInProgress,"486,584,000","490,705,000","577,914,000","226,626,000","324,720,000","464,507,000","405,633,000","346,312,000",,"18,928,000","6,323,000","76,275,000"
				OtherProperties,"11,869,087,000","8,759,523,000","7,293,188,000","6,635,316,000","5,579,917,000","4,960,192,000","3,833,467,000","2,836,836,000",,"1,708,303,000","909,115,000","785,505,000"
