name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
TotalRevenue,"936,682,000","243,893,000","238,069,000","230,534,000","224,186,000","226,292,000","223,308,000","219,469,000","212,247,000","209,190,000","208,749,000","199,632,000","194,481,000","194,643,000","192,121,000","187,215,000","168,572,000","160,431,000","160,077,000","160,457,000","154,809,000","151,091,000","148,146,000","151,426,000","148,876,000","147,676,000","149,686,000","148,716,000","145,458,000","143,150,000","145,993,000","146,468,000","143,388,000","143,279,000","144,059,000","145,408,000","142,591,000","145,778,000","148,070,000","139,209,000","137,787,000","139,421,000","140,427,000","139,795,000","151,417,000","168,475,000","153,236,000","149,375,000","134,828,000","132,964,000","130,932,000","126,749,000","127,575,000","122,622,000","104,864,000","103,567,000","102,610,000","106,597,000","95,824,000"
CostOfRevenue,"298,163,000","77,258,000","77,881,000","72,020,000","71,004,000","71,685,000","73,402,000","68,726,000","67,054,000","64,928,000","68,509,000","63,765,000","60,832,000","62,351,000","62,876,000","58,722,000","53,914,000","52,541,000","55,386,000","52,472,000","50,019,000","50,694,000","52,897,000","49,761,000","48,489,000","49,247,000","51,651,000","47,664,000","46,318,000","47,853,000","49,292,000","47,375,000","45,877,000","46,483,000","49,126,000","46,919,000","45,353,000","47,131,000","48,037,000","41,632,000","40,682,000","43,164,000","43,251,000","40,951,000","44,829,000",,"44,153,000","40,333,000",,,,"34,996,000",,,,"36,165,000",,,
GrossProfit,"638,519,000","166,635,000","160,188,000","158,514,000","153,182,000","154,607,000","149,906,000","150,743,000","145,193,000","144,262,000","140,240,000","135,867,000","133,649,000","132,292,000","129,245,000","128,493,000","114,658,000","107,890,000","104,691,000","107,985,000","104,790,000","100,397,000","95,249,000","101,665,000","100,387,000","98,429,000","98,035,000","101,052,000","99,140,000","95,297,000","96,701,000","99,093,000","97,511,000","96,796,000","94,933,000","98,489,000","97,238,000","98,647,000","100,033,000","97,577,000","97,105,000","96,257,000","97,176,000","98,844,000","106,588,000",,"109,083,000","109,042,000",,,,"91,753,000",,,,"67,402,000",,,
OperatingExpense,"395,811,000","118,726,000","99,497,000","87,883,000","89,705,000","100,117,000","83,507,000","82,816,000","82,065,000","79,665,000","78,415,000","77,385,000","77,530,000","76,351,000","71,926,000","71,971,000","63,623,000","60,819,000","59,096,000","58,719,000","57,195,000","58,414,000","56,769,000","57,651,000","57,010,000","55,713,000","53,948,000","55,173,000","53,120,000","53,670,000","53,156,000","53,469,000","52,497,000","53,583,000","52,826,000","63,934,000","64,639,000","66,566,000","64,722,000","60,865,000","61,182,000","60,280,000","61,114,000","61,688,000","67,425,000","253,385,000","68,854,000","69,587,000","97,275,000","98,686,000","93,640,000","55,614,000","94,052,000","115,444,000","81,272,000","29,264,000","61,151,000","64,069,000","63,583,000"
	SellingGeneralAndAdministration,"38,068,000","9,859,000","9,218,000","9,159,000","9,832,000","10,197,000","9,440,000","9,437,000","9,567,000","9,045,000","8,441,000","8,592,000","10,156,000","9,384,000","8,099,000","9,403,000","8,071,000","8,795,000","6,867,000","7,473,000","7,361,000","7,151,000","6,658,000","6,712,000","6,811,000","5,890,000","6,546,000","7,082,000","7,096,000","7,892,000","6,610,000","6,741,000","6,700,000","8,026,000","6,954,000","6,820,000","7,486,000","9,410,000","7,101,000","5,944,000","5,850,000","5,992,000","5,585,000","5,959,000","6,351,000","172,513,000","5,243,000","5,729,000","5,285,000","134,221,000","5,862,000","5,120,000","5,042,000","34,513,000","10,415,000","1,431,000","1,705,000","1,612,000","1,652,000"
	OperatingExpense,"395,811,000","118,726,000","99,497,000","87,883,000","89,705,000","100,117,000","83,507,000","82,816,000","82,065,000","79,665,000","78,415,000","77,385,000","77,530,000","76,351,000","71,926,000","71,971,000","63,623,000","60,819,000","59,096,000","58,719,000","57,195,000","58,414,000","56,769,000","57,651,000","57,010,000","55,713,000","53,948,000","55,173,000","53,120,000","53,670,000","53,156,000","53,469,000","52,497,000","53,583,000","52,826,000","63,934,000","64,639,000","66,566,000","64,722,000","60,865,000","61,182,000","60,280,000","61,114,000","61,688,000","67,425,000","253,385,000","68,854,000","69,587,000","97,275,000","98,686,000","93,640,000","55,614,000","94,052,000","115,444,000","81,272,000","29,264,000","61,151,000","64,069,000","63,583,000"
OperatingIncome,"242,708,000","47,909,000","60,691,000","70,631,000","63,477,000","54,490,000","66,399,000","67,927,000","63,128,000","64,597,000","61,825,000","58,482,000","56,119,000","55,941,000","57,319,000","56,522,000","51,035,000","47,071,000","45,595,000","49,266,000","47,595,000","41,983,000","38,480,000","44,014,000","43,377,000","42,716,000","44,087,000","45,879,000","46,020,000","41,627,000","43,545,000","45,624,000","45,014,000","43,213,000","42,107,000","34,555,000","32,599,000","32,081,000","35,311,000","36,712,000","35,923,000","35,977,000","36,062,000","37,156,000","39,163,000","36,997,000","40,229,000","39,455,000","37,553,000","34,278,000","37,292,000","36,139,000","33,523,000","7,178,000","23,592,000","38,138,000","41,459,000","42,528,000","32,241,000"
InterestExpense,"143,308,000","35,555,000","40,397,000","34,063,000","33,293,000","33,513,000","33,721,000","33,268,000","32,900,000","34,768,000","35,454,000","38,000,000","36,954,000","36,306,000","36,479,000","37,703,000","35,660,000","33,932,000","32,705,000","35,177,000","33,639,000","32,619,000","32,098,000","31,952,000","31,838,000","32,716,000","32,601,000","32,399,000","32,832,000","35,697,000","36,844,000","36,591,000","37,561,000","38,210,000","37,717,000","40,852,000","31,676,000","37,599,000","38,498,000","45,676,000","45,134,000","45,643,000","45,326,000","44,606,000","49,222,000","48,147,000","52,586,000","51,791,000",,,,"38,313,000",,,,"30,001,000",,,
OtherIncomeExpense,"319,298,000","310,275,000","3,127,000","3,292,000","2,604,000","2,555,000","2,738,000","2,374,000","2,403,000","2,157,000","2,137,000","1,671,000","2,615,000","2,831,000","14,958,000","2,961,000","671,000","3,467,000","1,269,000","1,805,000","8,140,000","3,434,000","2,299,000","3,855,000","3,919,000","504,000","1,257,000","1,498,000","1,424,000","1,410,000","-473,000","-958,000","-751,000","-595,000","14,000","88,000","-1,268,000","-921,000","-1,556,000","-2,341,000","-1,258,000","1,419,000","-1,904,000","-2,128,000","4,895,000",,"-43,000",,,,,,,,,"23,503,000","34,943,000",,
PretaxIncome,"418,698,000","322,629,000","23,421,000","39,860,000","32,788,000","23,532,000","35,416,000","37,033,000","32,631,000","31,986,000","28,508,000","22,153,000","21,780,000","22,466,000","35,798,000","21,780,000","16,046,000","16,606,000","14,159,000","15,894,000","22,096,000","12,798,000","8,681,000","15,917,000","15,458,000","10,504,000","12,743,000","14,978,000","14,612,000","7,340,000",,"8,075,000",,,,"-6,209,000",,,,,,,,,,,,,,,,"-1,802,000",,,,"32,967,000",,,
