name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
MarketCap,"235,865,738,085","253,939,846,506","232,302,916,567","215,924,803,449","217,610,720,357","188,262,159,592","194,369,227,147","140,638,685,847","123,690,285,779","113,583,357,118","101,150,887,197","98,316,923,242","100,601,983,034","125,688,445,759","108,424,462,511","83,233,890,555","112,211,280,124","97,093,015,362","106,399,085,011","128,958,260,505","135,515,942,493","95,587,454,151","85,116,042,000","70,666,050,000","28,345,089,500","29,185,087,656","21,700,253,500","25,846,153,500","22,240,911,250","19,109,460,750","21,084,867,375","21,941,503,750","14,012,731,278","12,876,045,000","13,482,855,000","10,636,474,500"
EnterpriseValue,"368,002,738,085","381,691,846,506","342,706,916,567","328,934,803,449","317,760,720,357","296,405,159,592","295,746,227,147","182,437,685,847","172,114,285,779","157,640,357,118","146,728,887,197","158,073,923,242","142,262,983,034","153,448,445,759","146,672,462,511","120,848,890,555","146,931,280,124","139,602,015,362","156,998,085,011","190,314,260,505","186,286,942,493","117,770,454,151","105,713,442,000","90,151,750,000","36,435,089,500","37,990,187,656","30,817,253,500","35,583,553,500","31,996,611,250","28,952,660,750","31,758,267,375","29,785,903,750","19,642,231,278","18,505,545,000","19,313,555,000","15,922,974,500"
PeRatio,"12.867","15.784","7.162","13.572","15.563","18.943","9.766","64.658","139.581","16.112","39.756","25.682","15","22.995","16.052","10.21","15.641","27.622","23.204","215.727","13.847","23.144","28.877","29.167","16.351","16.431","30.335","33.665","15.818","14.108","15.865","16.555","10.842","10.417","11.48","9.717"
ForwardPeRatio,"11.962","12.453","11.793","13.68","13.21","11.574","12.422","14.327","15.198","15.723","15.949",,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"3.992","4.416","2.07","4.559","4.404","1.292","1.112","1.2","0.949","2.523","4.13",,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.797","1.935","1.774","1.739","1.706","1.456","1.369","1.181","1.069","1.047","0.951","0.873","0.992","1.356","1.22","1.147","1.609","1.444","1.573","1.928","2.045","2.938","2.7","2.368","2.342","2.105","1.612","1.981","1.73","1.53","1.693","1.941","1.314","1.255","1.35","1.169"
PbRatio,"3.917","4.31","4.263","8.043","10.636","14.33","11.725","4.02","3.73","2.912","2.623","2.363","2.412","2.485","2.343","2.122","2.988","2.901","3.262","3.963","3.93","6.019","6.535","5.525","3.819","4.403","3.419","3.143","2.845","2.44","2.361","2.391","1.603","1.473","1.62","1.343"
EnterprisesValueRevenueRatio,"2.802","2.894","2.619","2.61","2.522","2.252","2.327","1.513","1.486","1.422","1.377","1.466","1.461","1.642","1.664","1.609","2.061","2.06","2.322","2.832","2.879","3.55","3.349","2.986","2.785","2.829","2.235","2.739","2.53","2.358","2.582","2.602","1.805","1.797","1.947","1.753"
EnterprisesValueEBITDARatio,"8.603","8.646","8.187","7.78","7.696","6.027","8.055","3.758","5.95","5.289","4.642","5.066","4.405","4.99","5.043","4.045","5.099","6.134","5.524","7.555","7.385","8.003","8.541","8.125","6.587","6.649","5.648","6.66","6.499","6.002","6.368","6.72","4.271","4.146","4.399","4.181"
