name,ttm,12/31/2019,12/31/2018
MarketCap,"1,814,143,121","3,143,039,278","3,323,750,281"
EnterpriseValue,"3,476,438,121","4,798,237,278","5,404,571,281"
PeRatio,"2.889","4.225","5.04"
ForwardPeRatio,"3.716","5.285","3.297"
PsRatio,"1.179","1.768","2.211"
EnterprisesValueRevenueRatio,"2.127","2.679","2.851"
EnterprisesValueEBITDARatio,"3.702","4.65","4.982"
