name,ttm,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002,04/30/2001,04/30/2000,04/30/1999,04/30/1998,04/30/1997,04/30/1996,04/30/1995,04/30/1994,04/30/1993,04/30/1992
TotalRevenue,"977,908,000","1,014,105,000","975,734,000","826,918,000","704,785,000","645,825,000","641,135,000","662,007,000","628,886,000","600,193,000","593,465,000","575,177,000","566,001,000","539,030,000","516,802,000","495,572,000","512,061,000","500,430,000","502,778,000","480,415,000","426,269,000","402,100,000","400,700,000","385,400,000","350,400,000","348,700,000","347,700,000","332,600,000","335,800,000"
	OperatingRevenue,"977,908,000","1,014,105,000","975,734,000","826,918,000","704,785,000","645,825,000","641,135,000","662,007,000","628,886,000","600,193,000","593,465,000","575,177,000","566,001,000","539,030,000","516,802,000","495,572,000","512,061,000","500,430,000","502,778,000","480,415,000","426,269,000","402,100,000","400,700,000","385,400,000","350,400,000","348,700,000","347,700,000","332,600,000","335,800,000"
CostOfRevenue,"621,847,000","629,755,000","584,599,000","500,841,000","463,348,000","426,685,000","423,480,000","444,757,000","415,629,000","381,539,000","396,450,000","405,322,000","393,420,000","365,793,000","349,131,000","340,206,000","343,316,000","335,457,000","339,041,000","312,004,000","276,082,000","258,900,000","265,800,000","267,600,000","254,800,000","254,300,000","251,000,000","240,400,000","241,000,000"
GrossProfit,"356,061,000","384,350,000","391,135,000","326,077,000","241,437,000","219,140,000","217,655,000","217,250,000","213,257,000","218,654,000","197,015,000","169,855,000","172,581,000","173,237,000","167,671,000","155,366,000","168,745,000","164,973,000","163,737,000","168,411,000","150,187,000","143,200,000","134,900,000","117,800,000","95,600,000","94,400,000","96,700,000","92,200,000","94,800,000"
OperatingExpense,"202,873,000","204,415,000","186,947,000","163,600,000","148,384,000","145,157,000","153,220,000","146,223,000","146,169,000","155,885,000","145,159,000","131,918,000","138,447,000","137,212,000","135,090,000","130,037,000","139,058,000","136,902,000","136,925,000","143,591,000","130,267,000","120,100,000","111,500,000","96,700,000","77,100,000","76,000,000","74,000,000","70,600,000","74,700,000"
	SellingGeneralAndAdministration,"202,873,000","204,415,000","186,947,000","163,600,000","148,384,000","145,157,000","153,220,000","146,223,000","146,169,000","155,885,000","145,159,000","131,918,000","138,447,000","137,212,000","135,090,000","130,037,000","139,058,000","136,902,000","136,925,000","131,852,000","120,104,000","110,200,000","102,200,000","88,900,000","70,000,000","68,600,000","66,800,000","63,700,000","68,200,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,"11,739,000","10,163,000","9,900,000","9,300,000","7,800,000","7,100,000","7,400,000","7,200,000","6,900,000","6,500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,"11,739,000","10,163,000","9,900,000","9,300,000","7,800,000","7,100,000","7,400,000","7,200,000","6,900,000","6,500,000"
OperatingIncome,"153,188,000","179,935,000","204,188,000","162,477,000","93,053,000","73,983,000","64,435,000","71,027,000","67,088,000","62,769,000","51,856,000","37,937,000","34,134,000","36,025,000","32,581,000","25,329,000","29,687,000","28,071,000","26,812,000","24,820,000","19,920,000","23,100,000","23,400,000","21,100,000","18,500,000","18,400,000","22,700,000","21,600,000","20,100,000"
NetNonOperatingInterestIncomeExpense,"-202,000","-202,000","-201,000","-189,000","-203,000","-371,000","-660,000","-366,000","-38,000","-99,000","-120,000","-107,000",,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,"37,000","69,000",,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"202,000","202,000","201,000","189,000","203,000","371,000","660,000","403,000","107,000","99,000","120,000","107,000",,,,,,,,,,,,,,,,,
OtherIncomeExpense,"3,753,000","4,144,000","1,502,000","537,000","-145,000","1,101,000","-666,000","-210,000","-154,000","-20,000","-351,000","967,000","1,053,000","2,587,000","2,416,000","1,199,000","544,000","706,000","867,000","1,506,000","4,754,000","1,300,000","1,600,000","900,000","1,000,000","900,000","-8,900,000","-13,600,000","900,000"
	SpecialIncomeCharges,,,,,,,,"-63,000","-154,000","-20,000","-351,000","967,000","1,053,000","2,587,000","2,416,000","1,199,000","544,000","706,000","867,000","1,506,000","4,754,000","1,300,000","1,600,000","900,000","1,000,000","900,000","-8,900,000","-13,600,000","900,000"
		GainOnSaleOfPPE,,,,,,,,"-63,000",,,,,,,,,,,,,,,,,,,,,
