name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalAssets,"14,644,200,000","13,300,200,000","12,213,255,000","9,063,895,000","8,728,196,000","8,609,936,000","7,564,651,000","7,721,761,000","7,325,527,000","7,500,970,000","7,137,653,000","6,628,347,000","5,216,797,000","4,974,134,000","4,562,313,000","4,217,293,000","3,879,744,000","3,558,968,000"
	CashCashEquivalentsAndFederalFundsSold,"1,076,800,000","822,000,000","758,986,000","782,023,000","780,457,000","798,670,000","534,827,000","801,332,000","472,447,000","685,618,000","623,482,000","314,030,000","249,246,000","255,791,000","240,977,000","355,908,000","277,291,000","310,892,000"
		CashAndCashEquivalents,"1,076,700,000","821,900,000","758,840,000","781,928,000","779,894,000","798,127,000","534,155,000","800,602,000","472,138,000","683,504,000","612,008,000","206,528,000","188,611,000","200,364,000","213,370,000","318,318,000","210,836,000","260,002,000"
			CashFinancial,"241,500,000","244,100,000","196,495,000","146,779,000","132,595,000","147,894,000","141,663,000","177,978,000",,,,,,,,,,
			CashAndDueFromBanks,"835,200,000","577,800,000","562,345,000","635,149,000","647,299,000","650,233,000","392,492,000","622,624,000","472,138,000","683,504,000","612,008,000","206,528,000","188,611,000","200,364,000","213,370,000","318,318,000","210,836,000","260,002,000"
		MoneyMarketInvestments,"100,000","100,000","146,000","95,000","563,000","543,000","672,000","730,000","309,000","2,114,000","11,474,000","107,502,000","60,635,000","55,427,000","27,607,000","37,590,000","66,455,000","50,890,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"100,000","100,000","146,000","95,000","563,000","543,000","672,000","730,000","309,000","2,114,000","11,474,000","107,502,000","60,635,000","55,427,000","27,607,000","37,590,000","66,455,000","50,890,000"
				FederalFundsSold,"100,000","100,000","146,000","95,000","563,000","543,000","672,000","730,000","309,000","2,114,000","11,474,000","107,502,000","60,635,000","55,427,000","27,607,000","37,590,000","66,455,000","50,890,000"
	OtherRealEstateOwned,"8,500,000","14,400,000","10,053,000","10,019,000","6,254,000","13,554,000","15,504,000","32,571,000","37,452,000",,"38,400,000",,,,,,"1,999,000","458,000"
	BankOwnedLifeInsurance,"293,800,000","275,100,000","260,551,000","198,116,000","187,253,000","153,821,000","122,175,000","76,729,000","74,880,000","73,056,000","71,374,000","69,515,000","67,076,000","64,705,000","62,547,000","60,645,000",,
