name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
TotalRevenue,"4,499,000,000","1,126,000,000","1,172,000,000","1,107,000,000","1,094,000,000","1,075,000,000","1,068,000,000","793,000,000","715,000,000"
	OperatingRevenue,"4,499,000,000","1,126,000,000","1,172,000,000","1,107,000,000","1,094,000,000","1,075,000,000","1,068,000,000","793,000,000","715,000,000"
CostOfRevenue,"3,424,000,000","863,000,000","908,000,000","836,000,000","817,000,000","816,000,000","813,000,000","597,000,000","523,000,000"
GrossProfit,"1,075,000,000","263,000,000","264,000,000","271,000,000","277,000,000","259,000,000","255,000,000","196,000,000","192,000,000"
OperatingExpense,"703,000,000","169,000,000","171,000,000","173,000,000","190,000,000","152,000,000","163,000,000","125,000,000","101,000,000"
	SellingGeneralAndAdministration,"304,000,000","77,000,000","81,000,000","72,000,000","74,000,000","76,000,000","89,000,000","61,000,000","50,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"399,000,000","92,000,000","90,000,000","101,000,000","116,000,000","76,000,000","74,000,000","64,000,000","51,000,000"
		DepreciationAndAmortizationInIncomeStatement,"399,000,000","92,000,000","90,000,000","101,000,000","116,000,000","76,000,000","74,000,000","64,000,000","51,000,000"
OperatingIncome,"372,000,000","94,000,000","93,000,000","98,000,000","87,000,000","107,000,000","92,000,000","71,000,000","91,000,000"
NetNonOperatingInterestIncomeExpense,"-142,000,000","-34,000,000","-36,000,000","-35,000,000","-37,000,000","-37,000,000","-37,000,000","-10,000,000","-5,000,000"
	TotalOtherFinanceCost,"142,000,000","34,000,000","36,000,000","35,000,000","37,000,000","37,000,000","37,000,000","10,000,000","5,000,000"
OtherIncomeExpense,"-89,000,000","15,000,000","-20,000,000","-21,000,000","-63,000,000","-22,000,000","-19,000,000","-20,000,000","-50,000,000"
	SpecialIncomeCharges,"-92,000,000","-20,000,000","-22,000,000","-21,000,000","-29,000,000","-20,000,000","-23,000,000","-44,000,000","-50,000,000"
		RestructuringAndMergernAcquisition,"92,000,000","20,000,000","22,000,000","21,000,000","29,000,000","20,000,000","23,000,000","44,000,000","50,000,000"
	OtherNonOperatingIncomeExpenses,"3,000,000","35,000,000","2,000,000",,"-34,000,000","-2,000,000","4,000,000","24,000,000",
PretaxIncome,"141,000,000","75,000,000","37,000,000","42,000,000","-13,000,000","48,000,000","36,000,000","41,000,000","36,000,000"
TaxProvision,"47,000,000","22,000,000","8,000,000","11,000,000","6,000,000","10,000,000","12,000,000","12,000,000","4,000,000"
NetIncomeCommonStockholders,"94,000,000","53,000,000","29,000,000","31,000,000","-19,000,000","38,000,000","24,000,000","29,000,000","32,000,000"
	NetIncome,"94,000,000","53,000,000","29,000,000","31,000,000","-19,000,000","38,000,000","24,000,000","29,000,000","32,000,000"
		NetIncomeIncludingNoncontrollingInterests,"94,000,000","53,000,000","29,000,000","31,000,000","-19,000,000","38,000,000","24,000,000","29,000,000","32,000,000"
			NetIncomeContinuousOperations,"94,000,000","53,000,000","29,000,000","31,000,000","-19,000,000","38,000,000","24,000,000","29,000,000","32,000,000"
DilutedNIAvailtoComStockholders,"94,000,000","53,000,000","29,000,000","31,000,000","-19,000,000","38,000,000","24,000,000","29,000,000","32,000,000"
BasicEPS,,"0.33","0.18","0.19","-0.12","0.23","0.15","0.18",
DilutedEPS,,"0.33","0.18","0.19","-0.12","0.23","0.14","0.17",
BasicAverageShares,,"161,690,000","161,111,111","162,800,000","158,333,333","165,217,391","165,490,000","165,700,000",
DilutedAverageShares,,"162,470,000","161,111,111","163,290,000","158,333,333","165,217,391","165,790,000","165,930,000",
TotalExpenses,"4,127,000,000","1,032,000,000","1,079,000,000","1,009,000,000","1,007,000,000","968,000,000","976,000,000","722,000,000","624,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"94,000,000","53,000,000","29,000,000","31,000,000","-19,000,000","38,000,000","24,000,000","29,000,000","32,000,000"
NormalizedIncome,"155,333,333.333","67,200,000","46,160,000","46,540,000","2,170,000","53,800,000","39,410,000","60,240,000","76,444,444.444"
NetInterestIncome,"-142,000,000","-34,000,000","-36,000,000","-35,000,000","-37,000,000","-37,000,000","-37,000,000","-10,000,000","-5,000,000"
EBIT,"372,000,000","94,000,000","93,000,000","98,000,000","87,000,000","107,000,000","92,000,000","71,000,000","91,000,000"
EBITDA,"771,000,000"
ReconciledCostOfRevenue,"3,424,000,000","863,000,000","908,000,000","836,000,000","817,000,000","816,000,000","813,000,000","597,000,000","523,000,000"
ReconciledDepreciation,"399,000,000","92,000,000","90,000,000","101,000,000","116,000,000","76,000,000","74,000,000","64,000,000","51,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"94,000,000","53,000,000","29,000,000","31,000,000","-19,000,000","38,000,000","24,000,000","29,000,000","32,000,000"
TotalUnusualItemsExcludingGoodwill,"-92,000,000","-20,000,000","-22,000,000","-21,000,000","-29,000,000","-20,000,000","-23,000,000","-44,000,000","-50,000,000"
TotalUnusualItems,"-92,000,000","-20,000,000","-22,000,000","-21,000,000","-29,000,000","-20,000,000","-23,000,000","-44,000,000","-50,000,000"
NormalizedEBITDA,"863,000,000","206,000,000","205,000,000","220,000,000","232,000,000","203,000,000","189,000,000","179,000,000","192,000,000"
TaxRateForCalcs,"0.333","0.29","0.22","0.26","0.27","0.21","0.33","0.29","0.111"
TaxEffectOfUnusualItems,"-30,666,666.667","-5,800,000","-4,840,000","-5,460,000","-7,830,000","-4,200,000","-7,590,000","-12,760,000","-5,555,555.556"
