name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
MarketCap,"17,496,668,866","19,694,237,055","20,880,891,601","24,510,929,139","29,557,177,697","21,588,170,671"
EnterpriseValue,"14,359,036,392","19,694,237,055","20,880,891,601","24,510,929,139","29,557,177,697","21,588,170,671"
PeRatio,"30.955","65.075","74.304","85.3","105.128","45.861"
ForwardPeRatio,"27.027","24.331","23.697","35.461","40",
PegRatio,"1.175","1.058","0.717",,,
PsRatio,"4.848","5.854","6.762","8.193","10.15","8.66"
PbRatio,"2.835","3.317","3.635","4.295","5.288","4.358"
EnterprisesValueRevenueRatio,"0.565","2.7","3.209","4.156","5.153","4"
EnterprisesValueEBITDARatio,"2.768","16.494","17.606","22.653","25.882","-22.488"
