name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalAssets,"8,318,465,000","6,245,898,000","3,546,014,000","2,896,787,000","2,498,875,000","2,334,679,000","2,319,041,000","2,759,288,000","2,204,280,000","1,725,446,000","1,955,488,000","980,479,000","601,477,000","921,579,000","548,998,000","545,453,000","724,411,000","815,720,000","925,131,000","772,881,000","232,400,000","266,300,000","295,600,000","143,500,000","99,000,000","116,200,000","61,000,000","51,000,000","57,100,000","9,200,000"
	CurrentAssets,"4,822,829,000","3,843,109,000","2,648,963,000","1,831,540,000","1,407,153,000","1,546,511,000","1,588,576,000","1,589,585,000","1,331,254,000","1,057,039,000","1,307,026,000","867,581,000","496,851,000","771,406,000","385,055,000","406,712,000","593,806,000","656,572,000","776,092,000","403,186,000","195,200,000","248,700,000","281,600,000","132,200,000","87,900,000","106,900,000","53,100,000","44,000,000","51,700,000","4,600,000"
		CashCashEquivalentsAndShortTermInvestments,"3,808,294,000","3,168,242,000","2,088,666,000","1,434,557,000","1,042,462,000","1,387,106,000","1,465,076,000","1,321,215,000","968,922,000","1,031,411,000","1,284,913,000","832,101,000","460,871,000","704,626,000","361,157,000","392,320,000","583,164,000","634,984,000","743,202,000","388,599,000","31,500,000","24,200,000","71,500,000","34,900,000","28,400,000","71,600,000","28,600,000","11,600,000","27,600,000","4,400,000"
			CashAndCashEquivalents,"3,109,322,000","2,650,134,000","1,665,412,000","1,183,945,000","714,768,000","625,259,000","569,299,000","489,407,000","475,320,000","243,197,000","446,658,000","389,115,000","355,663,000","213,171,000","78,045,000","55,006,000","98,159,000","108,098,000","189,205,000","322,090,000","31,500,000","24,200,000","71,500,000","34,900,000","28,400,000","71,600,000","28,600,000","11,600,000","27,600,000","4,400,000"
			OtherShortTermInvestments,"698,972,000","518,108,000","423,254,000","250,612,000","327,694,000","761,847,000","895,777,000","831,808,000","493,602,000","788,214,000","838,255,000","442,986,000","105,208,000","491,455,000","283,112,000","337,314,000","485,005,000","526,886,000","553,997,000","66,509,000",,,,,,,,,,
		Receivables,"633,518,000","476,462,000","384,503,000","204,296,000","189,290,000","90,057,000","85,517,000","143,250,000","183,135,000","12,529,000","9,601,000","23,489,000","31,320,000","62,923,000","20,595,000","11,891,000","7,324,000","13,200,000","20,265,000","12,262,000","5,900,000",,,,,,,,,
			AccountsReceivable,"633,518,000","409,688,000","281,343,000","201,083,000","177,639,000","75,964,000","85,517,000","143,250,000","183,135,000","12,529,000","9,601,000","23,489,000","31,320,000","62,923,000","20,595,000","11,891,000","7,324,000","13,200,000","20,265,000","12,262,000",,,,,,,,,,
			TaxesReceivable,,,,"3,213,000","11,651,000","14,093,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,"66,774,000","103,160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"167,502,000","124,360,000","111,830,000","77,604,000","57,207,000","30,848,000","14,147,000","30,464,000","112,430,000",,,,,,,,,,,,,,,,,,,,,
