name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,12/31/2011,09/30/2011,06/30/2011,12/31/2010,09/30/2010,06/30/2010,12/31/2009,09/30/2009,06/30/2009,12/31/2008,06/30/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001,12/31/2000,06/30/2000
TotalAssets,"817,644,000,000","723,039,000,000","776,507,000,000","729,869,000,000","719,136,000,000","694,235,000,000","719,888,000,000","748,336,000,000","738,509,000,000","738,056,000,000","751,762,000,000","782,654,000,000","798,656,000,000","852,378,000,000","901,624,000,000","882,930,000,000","815,408,000,000","876,426,000,000","964,701,000,000","1,104,612,000,000","1,050,763,000,000","1,046,110,000,000","1,011,108,000,000","1,023,770,000,000","1,027,878,000,000","1,129,436,000,000","1,216,229,000,000","1,308,173,000,000","1,312,295,000,000","1,376,894,000,000","1,415,189,000,000","1,506,867,000,000","1,607,728,000,000","1,445,969,000,000","1,453,576,000,000","1,629,587,000,000","1,582,053,000,000","1,696,486,000,000","1,861,155,000,000","1,818,923,000,000","2,401,652,000,000","1,730,705,000,000","1,900,519,000,000","1,011,266,000,000","871,432,000,000","839,339,000,000","776,827,000,000","757,914,000,000","583,467,000,000","522,048,000,000","455,275,000,000","449,145,000,000","412,000,000,000","397,139,000,000","368,782,000,000","340,943,000,000","320,004,000,000","306,205,000,000"
TotalLiabilitiesNetMinorityInterest,"773,521,000,000","679,483,000,000","732,361,000,000","683,632,000,000","672,286,000,000","647,745,000,000","671,221,000,000","699,845,000,000","688,957,000,000","688,963,000,000","702,288,000,000","732,605,000,000","749,252,000,000","798,050,000,000","847,897,000,000","828,765,000,000","761,261,000,000","818,179,000,000","902,932,000,000","1,042,331,000,000","990,571,000,000","981,272,000,000","950,145,000,000","962,834,000,000","968,663,000,000","1,061,306,000,000","1,146,571,000,000","1,237,008,000,000","1,241,847,000,000","1,303,001,000,000","1,339,973,000,000","1,430,814,000,000","1,528,852,000,000","1,369,727,000,000","1,376,725,000,000","1,552,207,000,000","1,502,759,000,000","1,601,855,000,000","1,787,004,000,000","1,746,831,000,000","2,321,154,000,000","1,663,260,000,000","1,809,093,000,000","964,808,000,000","825,942,000,000","797,778,000,000","739,283,000,000","723,728,000,000","547,773,000,000","488,289,000,000","424,463,000,000","449,145,000,000","383,109,000,000","397,139,000,000","340,577,000,000","340,943,000,000","296,342,000,000","306,205,000,000"
TotalEquityGrossMinorityInterest,"44,123,000,000","43,556,000,000","44,146,000,000","46,237,000,000","46,850,000,000","46,490,000,000","48,667,000,000","48,491,000,000","49,552,000,000","49,093,000,000","49,474,000,000","50,049,000,000","49,404,000,000","54,328,000,000","53,727,000,000","54,165,000,000","54,147,000,000","58,247,000,000","61,769,000,000","62,281,000,000","60,192,000,000","64,838,000,000","60,963,000,000","60,936,000,000","59,215,000,000","68,130,000,000","69,658,000,000","71,165,000,000","70,448,000,000","73,893,000,000","75,216,000,000","76,053,000,000","78,876,000,000","76,242,000,000","76,851,000,000","77,380,000,000","79,294,000,000","94,631,000,000","74,151,000,000","72,092,000,000","80,498,000,000","67,445,000,000","91,426,000,000","46,458,000,000","45,490,000,000","41,561,000,000","37,544,000,000","34,186,000,000","35,694,000,000","33,759,000,000","30,812,000,000",,"28,891,000,000",,"28,205,000,000",,"23,662,000,000",
	StockholdersEquity,"44,163,000,000","43,547,000,000","44,130,000,000","46,221,000,000","46,132,000,000","45,736,000,000","47,876,000,000","47,757,000,000","48,800,000,000","48,330,000,000","48,728,000,000","49,205,000,000","48,609,000,000","53,475,000,000","52,907,000,000","53,377,000,000","53,431,000,000","57,544,000,000","56,064,000,000","56,808,000,000","57,246,000,000","62,091,000,000","60,345,000,000","60,324,000,000","58,742,000,000","67,668,000,000","69,183,000,000","70,633,000,000","68,130,000,000","72,699,000,000","74,016,000,000","74,819,000,000","77,443,000,000","74,744,000,000","75,132,000,000","75,600,000,000","76,802,000,000","77,736,000,000","56,666,000,000","55,666,000,000","58,879,000,000","61,637,000,000","53,038,000,000","41,544,000,000","40,227,000,000","37,375,000,000","35,435,000,000","33,279,000,000","31,865,000,000","31,422,000,000","28,099,000,000",,"27,052,000,000",,"27,620,000,000",,"23,116,000,000",
		CapitalStock,,"12,094,000,000","13,143,000,000",,,"12,049,000,000",,"12,028,000,000","12,884,000,000","11,965,000,000","11,906,000,000","11,876,000,000","11,823,000,000","11,792,000,000","11,756,000,000","11,662,000,000","11,625,000,000","6,984,000,000","6,981,000,000","6,925,000,000","6,877,000,000",,"6,811,000,000","6,752,000,000","6,714,000,000","6,697,000,000","6,632,000,000","6,619,000,000","6,582,000,000","6,581,000,000","6,528,000,000","15,318,000,000","15,318,000,000","15,317,000,000","15,125,000,000","15,030,000,000","15,029,000,000","14,630,000,000","14,120,000,000","14,120,000,000","9,898,000,000","4,064,000,000","2,530,000,000","2,391,000,000","815,000,000","825,000,000","826,000,000","823,000,000","822,000,000",,"769,000,000",,"754,000,000",,"893,000,000",,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,141,000,000",,"3,359,000,000",,,,,,,,,,,,
			CommonStock,,"12,094,000,000","13,143,000,000",,,"12,049,000,000",,"12,028,000,000","12,884,000,000","11,965,000,000","11,906,000,000","11,876,000,000","11,823,000,000","11,792,000,000","11,756,000,000","11,662,000,000","11,625,000,000","6,984,000,000","6,981,000,000","6,925,000,000","6,877,000,000",,"6,811,000,000","6,752,000,000","6,714,000,000","6,697,000,000","6,632,000,000","6,619,000,000","6,582,000,000","6,581,000,000","6,528,000,000","15,318,000,000","15,318,000,000","15,317,000,000","15,125,000,000","15,030,000,000","15,029,000,000","14,630,000,000","14,120,000,000","14,120,000,000","9,898,000,000","4,064,000,000","2,530,000,000","-1,750,000,000","815,000,000","-2,534,000,000","826,000,000","823,000,000","822,000,000",,"769,000,000",,"754,000,000",,"893,000,000",,,
		AdditionalPaidInCapital,,"5,152,000,000","4,058,000,000",,,"5,085,000,000",,"5,053,000,000","4,058,000,000","4,945,000,000",,"4,491,000,000","34,817,000,000","4,582,000,000","32,706,000,000","32,698,000,000","32,613,000,000","37,093,000,000","35,071,000,000","34,929,000,000","34,967,000,000",,"34,995,000,000","34,870,000,000","34,777,000,000","34,738,000,000","34,593,000,000","34,565,000,000","33,923,000,000",,,"431,000,000",,,"24,353,000,000",,,"24,088,000,000",,,"28,544,000,000","28,910,000,000","18,395,000,000",,"12,482,000,000",,"11,777,000,000",,"12,964,000,000",,"8,175,000,000",,"7,608,000,000",,"7,465,000,000",,,
		RetainedEarnings,,"13,946,000,000","12,663,000,000",,,"14,312,000,000",,"16,527,000,000","17,873,000,000","17,130,000,000",,"18,184,000,000","-12,936,000,000","-8,500,000,000","-6,841,000,000","-5,406,000,000","-4,020,000,000","-2,346,000,000","-2,098,000,000","-2,416,000,000","-2,518,000,000",,"2,258,000,000","1,986,000,000","867,000,000","10,144,000,000","11,105,000,000","10,949,000,000","10,596,000,000","66,118,000,000","67,488,000,000","18,929,000,000","62,125,000,000","59,427,000,000","21,239,000,000","60,570,000,000","61,773,000,000","12,134,000,000","42,546,000,000","41,546,000,000","7,542,000,000","17,968,000,000","21,072,000,000",,"15,487,000,000",,"11,346,000,000",,"7,223,000,000",,"7,848,000,000",,"6,768,000,000",,"6,073,000,000",,,
		TreasuryStock,,"42,000,000",,,,"21,000,000",,"24,000,000",,"43,000,000",,"45,000,000","132,000,000",,"136,000,000","129,000,000","107,000,000",,"108,000,000","111,000,000",,,"136,000,000","136,000,000","137,000,000","138,000,000","139,000,000","211,000,000","213,000,000",,,"769,000,000",,,"808,000,000",,,"121,000,000",,,"104,000,000","83,000,000","61,000,000",,"115,000,000",,,,,,,,,,,,,
