name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
	SpecialIncomeCharges,"-151,000,000","-151,000,000","-405,000,000","-508,000,000","-357,000,000","156,000,000","-192,000,000","-138,000,000","6,000,000","-278,000,000","-252,000,000","-153,000,000","-457,000,000","-62,694,096.549","-183,452,335.388","-304,390,567.446",,,
		RestructuringAndMergernAcquisition,"193,000,000","193,000,000","459,000,000","623,000,000","771,000,000","226,000,000","354,000,000","200,000,000","90,000,000","356,000,000","252,000,000","153,000,000","457,000,000","62,694,096.549","183,452,335.388","264,120,998.212",,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,"40,269,569.234",,,
		WriteOff,"6,000,000","6,000,000",,"0","0","82,000,000",,,,,,,,,,,,,
		OtherSpecialCharges,"74,000,000","74,000,000",,,,"80,000,000",,,,"-78,000,000",,,,,,,,,
		GainOnSaleOfBusiness,"-50,000,000","-50,000,000","-26,000,000","-39,000,000","377,000,000","524,000,000","157,000,000","30,000,000","58,000,000",,,,,,,,,,
		GainOnSaleOfPPE,"172,000,000","172,000,000","80,000,000","154,000,000","37,000,000","20,000,000","5,000,000","32,000,000","38,000,000",,,,,,,,,,
PretaxIncome,"12,776,000,000","12,776,000,000","8,530,000,000","11,076,000,000","4,334,000,000","12,461,000,000","13,801,000,000","18,534,000,000","11,151,000,000","9,815,000,000","7,682,000,000","7,663,000,000","3,800,000,000","5,390,234,300.961","3,506,711,187.953","2,123,627,577.549","1,573,853,161.262","935,732,906.817","697,818,399.32"
TaxProvision,"2,786,000,000","2,786,000,000","2,839,000,000","1,920,000,000","1,613,000,000","2,594,000,000","2,499,000,000","2,016,000,000","1,717,000,000","1,856,000,000","1,920,000,000","1,786,000,000","674,000,000","946,243,457.215","700,814,317.201","463,100,046.192","356,523,153.671","232,988,678.01","169,994,858.18"
NetIncomeCommonStockholders,"9,171,000,000","9,171,000,000","4,368,000,000","7,996,000,000","1,241,000,000","8,273,000,000","9,216,000,000","14,394,000,000","7,243,000,000","5,855,000,000","4,026,000,000","4,613,000,000","1,927,000,000","3,204,688,935.221","1,862,239,174.333","1,070,696,781.988","974,677,366.88","635,996,121.053","490,046,905.989"
	NetIncome,"9,171,000,000","9,171,000,000","4,368,000,000","7,996,000,000","1,241,000,000","8,273,000,000","9,216,000,000","14,394,000,000","7,243,000,000","5,855,000,000","4,026,000,000","4,613,000,000","1,927,000,000","4,443,990,843.746","2,805,896,870.752","1,660,527,531.357","974,677,366.88","635,996,121.053","490,046,905.989"
