name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"4,950,500,000","4,808,900,000","4,868,500,000","4,910,700,000","4,869,700,000","4,653,100,000","4,625,600,000","4,501,500,000","4,277,300,000","4,252,200,000","4,252,500,000","4,203,900,000","4,040,200,000","4,093,600,000","4,161,800,000","4,138,600,000","4,070,500,000","4,142,000,000","3,747,700,000","3,335,400,000","3,509,200,000","3,586,500,000","3,731,400,000","3,050,200,000","2,919,700,000","2,860,800,000","2,999,100,000","2,968,600,000","2,954,600,000","3,089,600,000","3,187,200,000","3,215,700,000","3,040,000,000","3,034,000,000","3,023,200,000","3,206,400,000","3,108,200,000","2,933,300,000","2,827,100,000","2,778,400,000","2,678,400,000","2,671,700,000","2,783,400,000","2,743,800,000","2,930,500,000","3,091,700,000","3,325,800,000","3,132,100,000","3,065,800,000","3,016,200,000","3,033,300,000","2,915,400,000","2,690,600,000","2,566,200,000","2,497,200,000","2,292,500,000","2,058,100,000","2,012,100,000","2,065,300,000","1,859,500,000","1,838,100,000","1,706,600,000","1,681,700,000","1,424,700,000","1,363,300,000","1,371,400,000","1,316,900,000","1,384,300,000","1,249,500,000","1,226,000,000","1,245,300,000","1,207,800,000","1,191,000,000","1,198,800,000","1,336,300,000","1,419,500,000","1,540,000,000","1,686,000,000","1,962,700,000","1,796,100,000","1,547,000,000","1,434,700,000","1,468,100,000","1,336,100,000","1,267,300,000","1,321,800,000","1,482,000,000","1,431,600,000","1,396,800,000","1,440,700,000","1,406,900,000","1,328,300,000","1,261,600,000","1,261,000,000","1,278,900,000","1,240,500,000","1,236,600,000","1,184,700,000","1,146,700,000","1,158,700,000","1,177,700,000","1,110,900,000","1,320,200,000","2,313,900,000","2,454,500,000","2,494,400,000","2,531,700,000","2,650,400,000","2,644,200,000","2,640,800,000","2,595,400,000","2,732,600,000","2,781,900,000","2,752,300,000","3,161,800,000","3,274,900,000","3,363,000,000","3,442,500,000","4,223,800,000","4,371,000,000","4,339,700,000","4,126,500,000","4,156,700,000","4,000,900,000","1,944,900,000","1,480,300,000","564,300,000"
	CurrentAssets,"3,232,500,000","3,037,900,000","3,139,400,000","3,199,800,000","3,158,100,000","3,172,000,000","3,116,600,000","2,980,500,000","2,868,500,000","2,833,800,000","2,837,500,000","2,796,700,000","2,637,400,000","2,688,500,000","2,751,800,000","2,721,100,000","2,647,200,000","2,727,800,000","2,810,000,000","2,380,800,000","2,553,600,000","2,589,800,000","2,676,700,000","2,451,500,000","2,326,600,000","2,275,700,000","2,385,900,000","2,355,900,000","2,336,800,000","2,450,100,000","2,516,000,000","2,525,500,000","2,392,000,000","2,402,900,000","2,398,700,000","2,559,000,000","2,465,500,000","2,281,200,000","2,215,600,000","2,164,100,000","2,057,800,000","2,051,000,000","2,157,000,000","2,119,100,000","2,216,400,000","2,344,400,000","2,615,100,000","2,484,000,000","2,421,800,000","2,378,900,000","2,396,600,000","2,285,200,000","2,086,900,000","2,020,300,000","1,985,400,000","1,779,700,000","1,583,000,000","1,536,700,000","1,596,600,000","1,441,200,000","1,415,800,000","1,281,900,000","1,284,500,000","984,700,000","935,000,000","947,900,000","842,100,000","944,200,000","823,600,000","812,200,000","848,700,000","842,500,000","828,000,000","829,000,000","968,300,000","1,052,000,000","1,175,000,000","1,334,400,000","1,636,200,000","1,473,900,000","1,231,900,000","1,121,100,000","1,128,000,000","1,008,500,000","936,900,000","907,100,000","1,135,900,000","1,096,700,000","1,012,100,000","1,014,000,000","988,000,000","935,200,000","884,800,000","868,500,000","877,500,000","840,500,000","846,400,000","781,000,000","752,300,000","722,100,000","661,800,000","620,800,000","807,000,000","617,800,000","714,000,000","680,700,000","658,100,000","646,700,000","580,800,000","564,100,000","611,800,000","680,700,000","693,100,000","607,400,000","845,400,000","679,600,000","703,300,000","741,800,000","754,700,000","748,900,000","809,800,000","681,000,000","715,500,000","648,000,000","512,800,000","482,600,000","111,900,000"
		CashCashEquivalentsAndShortTermInvestments,"282,000,000","79,600,000","95,700,000","52,000,000","77,000,000","81,000,000","69,900,000","110,400,000","78,700,000","116,000,000","76,900,000","178,000,000","118,200,000","115,100,000","125,100,000","133,200,000","115,300,000","151,300,000","614,900,000","206,200,000","101,200,000","92,000,000","88,100,000","121,400,000","89,800,000","57,300,000","81,900,000","57,400,000","58,700,000","89,400,000","136,600,000","152,000,000","71,900,000","106,100,000","56,300,000","98,700,000","107,600,000","78,400,000","66,200,000","79,200,000","65,600,000","111,500,000","167,600,000","112,800,000","100,100,000","65,300,000","55,000,000","48,900,000","59,300,000","42,200,000","45,500,000","45,100,000","45,500,000","50,900,000","27,800,000","20,900,000","26,000,000","21,800,000","106,700,000","27,400,000","167,900,000","53,400,000","36,900,000","36,500,000","38,400,000","101,400,000","38,900,000","27,300,000","24,000,000","19,100,000","5,000,000","82,100,000","47,700,000","27,200,000","6,600,000","8,300,000","2,000,000","20,800,000","18,400,000","20,800,000","20,800,000","17,500,000","15,700,000","14,300,000","46,600,000","20,500,000","15,800,000","12,700,000","12,500,000","10,600,000","15,500,000","21,600,000","9,200,000","18,200,000","3,900,000","8,300,000","15,600,000","10,500,000","18,300,000","33,300,000","22,300,000","14,200,000","44,600,000","61,200,000","23,200,000","31,000,000","26,900,000","24,300,000","22,800,000","44,500,000","32,800,000","100,300,000","29,000,000","28,600,000","26,900,000","23,200,000","45,700,000","56,100,000","27,800,000","38,100,000","120,500,000","27,700,000","46,800,000","50,400,000","35,400,000","143,900,000","12,200,000"
			CashAndCashEquivalents,"282,000,000","79,600,000","95,700,000","52,000,000","77,000,000","81,000,000","69,900,000","110,400,000","78,700,000","116,000,000","76,900,000","178,000,000","118,200,000","115,100,000","125,100,000","133,200,000","115,300,000","151,300,000","614,900,000","206,200,000","101,200,000","92,000,000","88,100,000","121,400,000","89,800,000","57,300,000","81,900,000","57,400,000","58,700,000","89,400,000","136,600,000","152,000,000","71,900,000","106,100,000","56,300,000","98,700,000","107,600,000","78,400,000","66,200,000","79,200,000","65,600,000","111,500,000","167,600,000","112,800,000","100,100,000","65,300,000","55,000,000","48,900,000","59,300,000","42,200,000","45,500,000","45,100,000","45,500,000","50,900,000","27,800,000","20,900,000","26,000,000","21,800,000","106,700,000","27,400,000","167,900,000","53,400,000","36,900,000","36,500,000","38,400,000","101,400,000","38,900,000","27,300,000","24,000,000","19,100,000","5,000,000","82,100,000","47,700,000","27,200,000","6,600,000","8,300,000","2,000,000","20,800,000","18,400,000","20,800,000","20,800,000","17,500,000","15,700,000","14,300,000","46,600,000","20,500,000","15,800,000","12,700,000","12,500,000","10,600,000","15,500,000","21,600,000","9,200,000","18,200,000","3,900,000","8,300,000","15,600,000","10,500,000","18,300,000","33,300,000","22,300,000","14,200,000","44,600,000","61,200,000","23,200,000","31,000,000","26,900,000","24,300,000","22,800,000","44,500,000","32,800,000","100,300,000","29,000,000","28,600,000","26,900,000","23,200,000","45,700,000","56,100,000","27,800,000","38,100,000","120,500,000","27,700,000","46,800,000","50,400,000","35,400,000","143,900,000","12,200,000"
		Receivables,"1,533,000,000","1,540,300,000","1,658,300,000","1,691,400,000","1,593,700,000","1,600,000,000","1,637,500,000","1,558,200,000","1,476,300,000","1,434,200,000","1,482,500,000","1,382,400,000","1,320,200,000","1,353,200,000","1,393,500,000","1,350,500,000","1,299,600,000","1,326,400,000","1,188,100,000","1,177,600,000","1,109,400,000","1,329,200,000","1,394,200,000","1,262,600,000","1,207,500,000","1,182,800,000","1,255,200,000","1,237,400,000","1,194,000,000","1,225,500,000","1,250,100,000","1,222,800,000","1,194,500,000","1,151,000,000","1,225,800,000","1,220,300,000","1,173,600,000","1,099,300,000","1,086,700,000","1,039,900,000","958,700,000","941,500,000","979,100,000","953,500,000","975,200,000","1,051,700,000","1,326,500,000","1,274,000,000","1,208,300,000","1,215,900,000","1,233,900,000","1,171,300,000","1,037,400,000","1,016,100,000","1,015,700,000","919,600,000","799,700,000","772,300,000","768,700,000","680,500,000","625,600,000","620,400,000","620,100,000","371,300,000","366,900,000","312,000,000","282,800,000","395,200,000","268,600,000","257,800,000","303,500,000","275,700,000","274,700,000","265,500,000","355,800,000","382,200,000","408,000,000","419,400,000","725,500,000","642,300,000","561,200,000","537,500,000","580,400,000","517,000,000","464,000,000","455,900,000","642,600,000","623,000,000","559,200,000","551,100,000","552,100,000","513,700,000","480,400,000","441,100,000","474,800,000","446,600,000","401,700,000","400,000,000","401,400,000","376,200,000","345,400,000","325,900,000","493,200,000","292,500,000","345,200,000","296,700,000","306,900,000","314,200,000","282,900,000","246,500,000","303,400,000","306,200,000","393,900,000","299,200,000","300,300,000","327,200,000","307,300,000","310,800,000","356,900,000","365,900,000","345,500,000","333,200,000","354,200,000","305,200,000","234,100,000","162,500,000","47,300,000"
			AccountsReceivable,"1,533,000,000","1,540,300,000","1,658,300,000","1,691,400,000","1,593,700,000","1,600,000,000","1,637,500,000","1,558,200,000","1,476,300,000","1,434,200,000","1,482,500,000","1,382,400,000","1,320,200,000","1,353,200,000","1,393,500,000","1,350,500,000","1,299,600,000","1,326,400,000","1,188,100,000","1,177,600,000","1,109,400,000","1,329,200,000","1,394,200,000","1,262,600,000","1,207,500,000","1,182,800,000","1,255,200,000","1,237,400,000","1,194,000,000","1,225,500,000","1,250,100,000","1,222,800,000","1,194,500,000","1,151,000,000","1,225,800,000","1,220,300,000","1,173,600,000","1,099,300,000","1,086,700,000","1,039,900,000","958,700,000","941,500,000","979,100,000","953,500,000","975,200,000","1,051,700,000","1,326,500,000","1,274,000,000","1,208,300,000","1,215,900,000","1,233,900,000","1,171,300,000","1,037,400,000","1,016,100,000","1,015,700,000","919,600,000","799,700,000","772,300,000","768,700,000","680,500,000","625,600,000","620,400,000","620,100,000","302,900,000","327,900,000","255,500,000","254,200,000","227,800,000","206,400,000","188,200,000","234,400,000","175,800,000","173,900,000","154,100,000","243,200,000","249,700,000","408,000,000","419,400,000","725,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,"1,570,700,000",,,,"1,639,900,000",,,,"1,478,000,000",,,,"1,396,800,000",,,,"1,363,900,000",,,,"1,877,700,000",,,,"1,199,600,000",,,,"1,246,900,000","1,795,800,000","1,752,800,000","1,690,000,000",,"1,772,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-30,400,000",,,,"-39,900,000",,,,"-43,800,000",,,,"-43,600,000",,,,"-37,500,000",,,,"-548,500,000",,,,"-16,800,000",,,,"-21,400,000","-545,700,000","-530,000,000","-495,500,000",,"-546,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,400,000","39,000,000","56,500,000","28,600,000","42,300,000","62,200,000","69,600,000","69,100,000",,"100,800,000","111,400,000",,"132,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125,100,000",,,,"99,900,000",,,"112,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
