name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
TotalRevenue,"9,728,345,000","10,192,818,000","11,454,807,000","9,700,296,000","7,223,975,000","7,877,449,000","8,726,057,000","8,530,012,000","8,608,054,000","9,157,198,000","7,382,004,000","4,958,983,000","8,464,885,000","8,184,381,000","6,568,975,000","4,447,680,000","1,598,925,000","1,074,527,000"
	OperatingRevenue,"9,728,345,000","10,192,818,000","11,454,807,000","9,700,296,000","7,223,975,000","7,877,449,000","8,726,057,000","8,530,012,000","8,608,054,000","9,157,198,000","7,382,004,000","4,958,983,000","8,464,885,000","8,184,381,000","6,568,975,000","4,447,680,000","1,598,925,000","1,074,527,000"
CostOfRevenue,"8,157,870,000","8,452,440,000","8,483,328,000","7,403,025,000","5,384,390,000","6,477,272,000","6,925,169,000","6,600,292,000","6,871,090,000","7,094,252,000","5,665,254,000","4,110,370,000","6,128,027,000","5,796,040,000","4,301,384,000","2,470,844,000","965,004,000","671,720,000"
GrossProfit,"1,570,475,000","1,740,378,000","2,971,479,000","2,297,271,000","1,839,585,000","1,400,177,000","1,800,888,000","1,929,720,000","1,736,964,000","2,062,946,000","1,716,750,000","848,613,000","2,336,858,000","2,388,341,000","2,267,591,000","1,976,836,000","633,921,000","402,807,000"
OperatingExpense,"877,518,000","875,812,000","863,108,000","840,487,000","697,867,000","760,838,000","744,727,000","820,297,000","821,062,000","793,558,000","662,813,000","525,208,000","679,523,000","801,933,000","631,022,000","584,675,000","119,750,000","138,025,000"
	OperationAndMaintenance,"4,931,000","4,894,000","5,096,000","5,038,000","3,092,000","4,957,000","5,785,000","7,443,000","6,904,000",,,,,,,,,
	SellingGeneralAndAdministration,"649,552,000","654,487,000","667,564,000","629,129,000","542,380,000","586,054,000","627,080,000","641,211,000","634,104,000","572,074,000","665,306,000","531,530,000","669,473,000","825,807,000","554,024,000","513,130,000","97,019,000","133,623,000"
		GeneralAndAdministrativeExpense,"649,552,000","654,487,000","667,564,000","629,129,000","542,380,000","586,054,000","627,080,000","641,211,000","634,104,000","302,444,000",,,,,,,,
			SalariesAndWages,"212,775,000","215,418,000","241,552,000","229,529,000","193,118,000","214,352,000","232,837,000","234,519,000","212,820,000","180,650,000",,,,,,,,
			OtherGandA,"436,777,000","439,069,000","426,012,000","399,600,000","349,262,000","371,702,000","394,243,000","406,692,000","421,284,000","121,794,000",,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,"269,630,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"131,928,000","134,373,000","107,403,000","90,609,000","52,016,000","50,044,000","48,943,000","51,025,000","53,420,000","66,075,000",,,,,"32,217,000","26,437,000","3,956,000",
		DepreciationAndAmortizationInIncomeStatement,"131,928,000","134,373,000","107,403,000","90,609,000","52,016,000","50,044,000","48,943,000","51,025,000","53,420,000","66,075,000",,,,,"32,217,000","26,437,000","3,956,000",
			Amortization,"116,034,000","118,339,000","93,842,000","78,264,000","38,427,000","36,283,000","37,986,000","37,186,000","44,632,000","50,738,000",,,,,"5,841,000","3,951,000","1,110,000",
				AmortizationOfIntangiblesIncomeStatement,"116,034,000","118,339,000","93,842,000","78,264,000","38,427,000","36,283,000","37,986,000","37,186,000","44,632,000","50,738,000",,,,,"5,841,000","3,951,000","1,110,000",
	ProvisionForDoubtfulAccounts,"-73,000","-293,000","1,629,000","685,000","288,000","-824,000","1,287,000","-202,000","855,000","30,254,000",,"4,614,000","2,358,000",,,,,
	OtherTaxes,"103,679,000","104,014,000","95,072,000","98,786,000","90,166,000","130,061,000","133,383,000","143,834,000","113,898,000","120,264,000",,,,,"44,781,000","45,108,000","17,977,000",
	OtherOperatingExpenses,"-12,499,000","-21,663,000","-13,656,000","16,240,000","9,925,000","-9,454,000","-71,751,000","-23,014,000","11,881,000","4,891,000","-2,493,000","-10,936,000","7,692,000","-23,874,000",,,"798,000","4,402,000"
OperatingIncome,"692,957,000","864,566,000","2,108,371,000","1,456,784,000","1,141,718,000","639,339,000","1,056,161,000","1,109,423,000","915,902,000","1,269,388,000","1,053,937,000","323,405,000","1,657,335,000","1,586,408,000","1,636,569,000","1,392,161,000","514,171,000","264,782,000"
NetNonOperatingInterestIncomeExpense,"16,305,000","48,759,000","97,328,000","-102,686,000","-77,496,000","-84,048,000","-113,892,000","-123,459,000","-139,818,000","-60,633,000","15,390,000","51,283,000","-103,933,000",,,,,"-33,944,000"
	InterestIncomeNonOperating,"31,136,000","29,071,000","21,236,000","19,408,000","14,129,000","7,981,000","7,685,000","13,947,000","19,226,000","40,079,000","88,359,000","157,093,000","32,178,000",,,,,"6,036,000"
	InterestExpenseNonOperating,"84,815,000","88,284,000","131,172,000","114,583,000","89,971,000","87,313,000","114,472,000","120,254,000","144,439,000","100,712,000","72,969,000","105,810,000","136,111,000",,,,,"39,980,000"
	TotalOtherFinanceCost,"-69,984,000","-107,972,000","-207,264,000","7,511,000","1,654,000","4,716,000","7,105,000","17,152,000","14,605,000",,,,,,,,,
OtherIncomeExpense,"69,988,000","-86,761,000","-174,132,000","5,711,000","54,235,000","-288,192,000","-707,345,000","-43,625,000","-324,363,000","-242,873,000","116,800,000","55,727,000","-672,629,000","-334,287,000","-317,883,000","-51,572,000","420,038,000",
	GainOnSaleOfSecurity,"17,813,000","-147,728,000","-276,904,000","-62,404,000","39,611,000","-15,382,000","44,442,000","-12,016,000","22,470,000",,,,,,,,,
	EarningsFromEquityInterest,"52,175,000","60,967,000","102,772,000","68,115,000","14,624,000","-272,810,000","-751,787,000","-31,609,000","-346,833,000","1,293,000","1,688,000","1,110,000","1,851,000","-7,065,000","4,534,000","21,524,000","209,201,000",
	SpecialIncomeCharges,,,,,,,,,,"-244,166,000","115,112,000","54,617,000","-674,480,000","-327,222,000","-322,417,000","-73,096,000","210,837,000",
		ImpairmentOfCapitalAssets,,,,,,,,,,,,"27,022,000",,,,,,
		OtherSpecialCharges,,,,,,,,,,,,"-81,639,000",,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,"1,110,000",,,,,,
PretaxIncome,"779,250,000","826,564,000","2,031,567,000","1,359,809,000","1,118,457,000","267,099,000","234,924,000","942,339,000","451,722,000","965,882,000","1,186,127,000","430,415,000","880,773,000","1,152,988,000","1,258,322,000","1,291,305,000","925,661,000","450,638,000"
TaxProvision,"393,517,000","196,519,000","369,435,000","336,882,000","411,528,000","207,320,000","339,105,000","349,426,000","264,567,000","315,974,000","406,657,000","91,314,000","162,704,000","162,640,000","262,356,000","218,492,000","177,486,000","94,087,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,"0",,,,,,,
NetIncomeCommonStockholders,"334,457,000","564,269,000","1,506,647,000","886,219,000","595,644,000","8,127,000","-198,751,000","455,425,000","139,235,000","513,541,000","622,076,000","717,400,000","715,418,000","784,490,000","795,424,000","704,406,000","457,339,000","356,551,000"
	NetIncome,"334,457,000","564,269,000","1,506,647,000","886,219,000","595,644,000","8,127,000","-198,751,000","455,425,000","139,235,000","513,541,000","622,076,000","717,400,000","715,418,000","784,490,000","795,424,000","704,406,000","457,339,000","356,551,000"
		NetIncomeIncludingNoncontrollingInterests,"385,733,000","630,045,000","1,662,132,000","1,022,927,000","706,929,000","59,779,000","-104,181,000","592,913,000","187,154,000","649,908,000","779,470,000","767,124,000","875,164,000","1,001,166,000","995,966,000","1,072,813,000","748,175,000","218,215,000"
			NetIncomeContinuousOperations,"385,733,000","630,045,000","1,662,132,000","1,022,927,000","706,929,000","59,779,000","-104,181,000","592,913,000","187,154,000","649,908,000","779,470,000","339,101,000","718,069,000","773,672,000","795,424,000","704,406,000","457,339,000","356,551,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,"0","0","0","428,023,000","157,095,000","10,818,000",,,,"0"
		MinorityInterests,"-51,276,000","-65,776,000","-155,485,000","-136,708,000","-111,285,000","-51,652,000","-94,570,000","-137,488,000","-47,919,000","-136,367,000","-157,394,000","-49,724,000","-159,746,000","-216,676,000","-200,542,000","-368,407,000","-290,836,000","138,336,000"
DilutedNIAvailtoComStockholders,"334,457,000","564,269,000","1,506,647,000","886,219,000","595,644,000","8,127,000","-198,751,000","455,425,000","139,235,000","513,541,000","622,076,000","717,400,000","715,418,000","784,490,000","795,424,000","704,406,000","457,339,000","356,551,000"
BasicEPS,,"2.9","7.7","4.5","3.034","0.041","2.3","2.32","0.7","2.6","3.1","3.6","3.6","3.9","4.1","5.8","3.9","1.9"
DilutedEPS,,"2.9","7.7","4.5","3.034","0.041","2.3","2.32","0.7","2.6","3.1","3.6","3.6","3.9","4.1","5.4","3.9","1.9"
BasicAverageShares,,"196,307,678","196,307,678","196,307,678","196,307,677","196,307,678","196,307,678","196,307,677","196,307,678","196,832,792","200,474,344","200,474,344","200,474,344","200,474,344","193,683,306","120,947,661","116,894,363","116,894,363"
DilutedAverageShares,,"196,307,678","196,307,678","196,307,678","196,307,677","196,307,678","196,307,678","196,307,677","196,307,678","196,832,792","200,474,344","200,474,344","200,474,344","200,474,344","193,683,306","156,608,283","116,894,363","116,894,363"
TotalOperatingIncomeAsReported,"692,957,000","864,566,000","2,108,371,000","1,456,784,000","1,141,718,000","639,339,000","1,056,161,000","1,109,423,000","915,903,000","1,265,219,000","1,053,937,000","296,383,000","1,676,047,000","1,586,408,000","1,636,569,000","1,392,161,000","514,171,000","264,782,000"
TotalExpenses,"9,035,388,000","9,328,252,000","9,346,436,000","8,243,512,000","6,082,257,000","7,238,110,000","7,669,896,000","7,420,589,000","7,692,152,000","7,887,810,000","6,328,067,000","4,635,578,000","6,807,550,000","6,597,973,000","4,932,406,000","3,055,519,000","1,084,754,000","809,745,000"
InterestIncome,"31,136,000","29,071,000","21,236,000","19,408,000","14,129,000","7,981,000","7,685,000","13,947,000","19,226,000","40,079,000","88,359,000","157,093,000","32,178,000",,,,,"6,036,000"
