name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalAssets,"5,345,258,000","4,889,354,000","4,958,225,000","4,698,017,000","4,789,602,000","5,170,713,000","3,244,133,000","1,552,416,000","1,417,030,000","1,382,258,000","426,171,000","394,375,000","351,338,000","320,806,000","190,772,000","182,809,000","174,649,000","162,912,000","159,079,000","174,505,000","197,800,000","263,200,000","313,000,000","329,600,000","266,100,000","245,500,000"
	CurrentAssets,"917,288,000","897,942,000","956,445,000","893,302,000","931,788,000","1,053,613,000","1,127,502,000","290,262,000","219,680,000","185,586,000","146,377,000","138,469,000","115,093,000","74,661,000","83,075,000","80,973,000","72,195,000","56,307,000","41,891,000","45,857,000","37,100,000","49,200,000","57,200,000","69,700,000","64,100,000","54,100,000"
		CashCashEquivalentsAndShortTermInvestments,"72,935,000","107,262,000","106,774,000","114,564,000","156,884,000","108,784,000","870,857,000","103,249,000","38,936,000","19,202,000","68,182,000","50,814,000","16,335,000","5,281,000","36,000,000","39,628,000","25,383,000","15,537,000","3,668,000","3,509,000","1,800,000","12,300,000","3,000,000","13,000,000","11,600,000","5,100,000"
			CashAndCashEquivalents,"72,935,000","107,262,000","106,774,000","114,564,000","156,884,000","108,784,000","870,857,000","103,249,000","38,936,000","19,202,000","68,182,000","50,814,000","16,335,000","5,281,000","36,000,000","39,628,000","25,383,000","15,537,000","3,668,000","3,509,000","1,800,000","12,300,000","3,000,000","13,000,000","11,600,000","5,100,000"
		Receivables,"409,655,000","392,199,000","396,356,000","395,876,000","383,355,000","431,919,000","127,356,000","98,131,000","112,849,000","88,929,000","46,177,000","51,672,000","59,401,000","42,381,000","25,886,000","26,675,000","29,353,000","24,099,000","23,719,000","21,837,000","17,000,000","16,600,000","32,500,000","36,000,000","30,200,000","26,800,000"
			AccountsReceivable,"406,338,000","385,737,000","391,847,000","388,397,000","371,392,000","409,779,000","112,844,000","98,131,000","95,807,000","87,455,000","45,572,000","40,424,000","59,401,000","42,381,000","25,886,000","26,675,000","29,353,000","24,099,000","23,719,000",,,,,,,
				GrossAccountsReceivable,"415,140,000","393,567,000","399,892,000","396,487,000","381,124,000","420,614,000","115,085,000","100,302,000",,"89,589,000",,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-8,802,000","-7,830,000","-8,045,000","-8,090,000","-9,732,000","-10,835,000","-2,241,000","-2,171,000",,"-2,134,000",,,,,,,,,,,,,,,,
			TaxesReceivable,"3,317,000","6,462,000","4,509,000","7,479,000","11,963,000","22,140,000","14,512,000","0","17,042,000","1,474,000","605,000",,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,"16,267,000",,"11,248,000",,,,,,,,,,,,,,
		Inventory,"362,957,000","341,028,000","358,183,000","330,815,000","344,583,000","401,613,000","65,133,000","65,065,000","50,830,000","45,606,000","19,057,000","22,182,000","22,481,000","14,562,000","6,601,000","6,000,000","7,837,000","7,006,000","7,698,000","8,300,000","9,600,000","11,700,000","13,900,000","12,600,000","11,600,000","13,700,000"
			RawMaterials,"81,317,000","86,343,000","85,366,000","86,989,000","47,280,000","47,547,000","7,452,000",,"4,724,000","4,679,000",,,,,,,,,,,,,,,,
			WorkInProcess,"81,841,000","78,501,000","101,540,000","87,284,000","84,474,000","98,936,000",,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"199,799,000","176,184,000","171,277,000","156,542,000","212,829,000","255,130,000","57,681,000",,"46,106,000","40,927,000","16,211,000","19,380,000","19,678,000","11,909,000","4,904,000","4,099,000","6,303,000","5,084,000","6,117,000",,,,,,,
			OtherInventories,,,,,,,,,,"4,679,000","2,846,000","2,802,000","2,803,000","2,653,000","1,697,000","1,901,000","1,534,000","1,922,000","1,581,000",,,,,,,
		PrepaidAssets,"46,599,000","35,247,000","38,326,000","29,984,000","36,175,000","44,629,000",,,,,,,,,"6,231,000","3,740,000","4,509,000","4,975,000","4,394,000",,,,,,,
		RestrictedCash,"110,000","107,000","142,000","293,000","331,000","343,000","354,000","361,000","365,000","373,000","397,000","449,000","433,000","480,000","2,349,000",,,,,,,,,,,
		CurrentDeferredAssets,,,,,,"45,001,000","17,289,000","12,609,000","7,465,000","6,376,000","7,216,000","6,656,000","8,026,000","6,921,000","6,002,000","4,080,000","3,937,000","3,659,000","2,203,000",,,,,,,
			CurrentDeferredTaxesAssets,,,,,,"45,001,000","17,289,000","12,609,000","7,465,000","6,376,000","7,216,000","6,656,000","8,026,000","6,921,000","6,002,000","4,080,000","3,937,000","3,659,000","2,203,000",,,,,,,
		OtherCurrentAssets,"25,032,000","22,099,000","56,664,000","21,770,000","10,460,000","21,324,000","46,513,000","10,847,000","9,235,000","25,100,000","5,348,000","6,696,000","8,417,000","5,036,000","6,000","850,000","1,176,000","1,031,000","209,000","12,211,000","8,700,000","8,600,000","7,800,000","8,100,000","10,700,000","8,500,000"
	TotalNonCurrentAssets,"4,427,970,000","3,991,412,000","4,001,780,000","3,804,715,000","3,857,814,000","4,117,100,000","2,116,631,000","1,262,154,000","1,197,350,000","1,196,672,000","279,794,000","255,906,000","236,245,000","246,145,000","107,697,000","101,836,000","102,454,000","106,605,000","117,188,000","128,648,000","160,700,000","214,000,000","255,800,000","259,900,000","202,000,000","191,400,000"
		NetPPE,"1,927,137,000","1,687,858,000","1,645,822,000","1,515,575,000","1,508,167,000","1,574,116,000","666,573,000","453,927,000","400,222,000","393,420,000","151,982,000","143,291,000","128,685,000","132,149,000","85,178,000","75,398,000","73,274,000","72,954,000","74,744,000","88,242,000","113,800,000","140,100,000","170,600,000","175,800,000","155,100,000","145,700,000"
			GrossPPE,"3,365,525,000","2,933,953,000","2,721,270,000","2,357,761,000","2,161,042,000","2,099,815,000","1,047,887,000","780,128,000","678,622,000","631,685,000","375,547,000","354,597,000","327,842,000","316,210,000","258,449,000","241,751,000","234,325,000","225,983,000","230,299,000","229,186,000","236,500,000","240,800,000","252,200,000","231,800,000","189,300,000","161,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,
				LandAndImprovements,"157,721,000","159,981,000","165,847,000","152,949,000","156,422,000","166,669,000","67,375,000","49,619,000","46,386,000","44,864,000","18,386,000","17,826,000","17,501,000","17,971,000","11,234,000","9,552,000","9,099,000","9,193,000","9,454,000",,,,,,,
				BuildingsAndImprovements,"619,212,000","548,394,000","513,078,000","464,957,000","448,620,000","443,081,000","163,523,000","129,243,000","117,505,000","110,988,000","52,059,000","48,623,000","45,684,000","44,450,000","31,149,000","28,627,000","27,499,000","26,893,000","25,906,000",,,,,,,
				MachineryFurnitureEquipment,"2,281,474,000","2,011,925,000","1,860,507,000","1,604,193,000","1,414,530,000","1,294,418,000","681,755,000","530,198,000","475,289,000","439,521,000","301,183,000","272,106,000","259,858,000","250,662,000","209,930,000","202,969,000","151,986,000","139,065,000","139,248,000",,,,,,,
				OtherProperties,"124,726,000","1,687,858,000","1,645,822,000","1,515,575,000","1,508,167,000","1,574,116,000",,,,,,,,,,,"44,942,000","49,544,000","49,084,000",,,,,,,
				ConstructionInProgress,"182,392,000","213,653,000","181,838,000","135,662,000","141,470,000","195,647,000","135,234,000","71,068,000","39,442,000","36,312,000","3,919,000","16,042,000","4,799,000","3,127,000","6,136,000","603,000","799,000","1,288,000","6,607,000",,,,,,,
			AccumulatedDepreciation,"-1,438,388,000","-1,246,095,000","-1,075,448,000","-842,186,000","-652,875,000","-525,699,000","-381,314,000","-326,201,000","-278,400,000","-238,265,000","-223,565,000","-211,306,000","-199,157,000","-184,061,000","-173,271,000","-166,353,000","-161,051,000","-153,029,000","-155,555,000","-140,944,000","-122,700,000","-100,700,000","-81,600,000","-56,000,000","-34,200,000","-15,900,000"
		GoodwillAndOtherIntangibleAssets,"1,749,685,000","1,825,021,000","1,977,593,000","1,937,820,000","2,015,451,000","2,252,832,000","1,290,301,000","718,771,000","744,283,000","767,217,000","119,383,000","97,115,000","100,893,000","105,513,000","4,429,000","4,429,000","4,429,000","27,517,000","31,795,000","4,632,000","4,800,000","48,400,000","79,600,000","79,800,000","42,900,000","42,800,000"
			Goodwill,"1,223,291,000","1,229,159,000","1,301,093,000","1,225,893,000","1,233,102,000","1,320,419,000","701,637,000","381,369,000","381,369,000","376,263,000","79,085,000","61,133,000","71,856,000","71,856,000","4,429,000",,,,"4,429,000",,,,,,,
			OtherIntangibleAssets,"526,394,000","595,862,000","676,500,000","711,927,000","782,349,000","932,413,000","588,664,000","337,402,000","362,914,000","390,954,000","40,298,000","35,982,000","29,037,000","33,657,000",,"4,429,000","4,429,000","27,517,000","27,366,000","4,632,000","4,800,000","48,400,000","79,600,000","79,800,000","42,900,000","42,800,000"
		InvestmentsAndAdvances,"689,354,000","410,177,000","302,038,000","292,717,000","247,238,000","202,712,000","115,114,000","62,495,000","21,733,000",,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"689,354,000","410,177,000","302,038,000","292,717,000","247,238,000","202,712,000","115,114,000","62,495,000","21,733,000",,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"14,394,000","14,981,000","14,043,000","14,990,000","16,352,000","16,431,000",,,,,"0","8,877,000",,"1,800,000",,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"14,394,000","14,981,000","14,043,000","14,990,000","16,352,000","16,431,000",,,,,"0","8,877,000",,"1,800,000",,,,,,,,,,,,
		OtherNonCurrentAssets,"47,400,000","53,375,000","62,284,000","43,613,000","70,606,000","71,009,000","44,643,000","26,961,000","31,112,000","36,035,000","8,429,000","6,623,000","6,667,000","6,683,000","18,090,000","22,009,000","24,751,000","6,134,000","10,649,000","35,774,000","42,100,000","25,500,000","5,600,000","4,300,000","4,000,000","2,900,000"
TotalLiabilitiesNetMinorityInterest,"2,701,908,000","2,553,533,000","2,630,528,000","2,621,795,000","2,814,992,000","3,119,579,000","1,223,181,000","489,980,000","496,655,000","917,962,000","141,294,000","157,797,000","150,354,000","169,481,000","117,092,000","115,574,000","119,367,000","126,998,000","168,733,000","171,781,000","175,900,000","225,300,000","243,200,000","265,600,000","211,300,000","206,000,000"
