name,ttm,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009
TotalRevenue,"3,273,308,000","857,682,000","862,357,000","936,626,000","702,770,000","726,561,000","585,991,000","699,783,000","550,649,000","504,097,701","433,265,168","455,749,893","321,903,222","316,330,780","260,552,500","271,121,287","195,095,088","175,048,674","142,183,159","173,329,982","129,386,962","123,204,551","99,368,290","122,370,891","89,025,837","86,998,753","73,529,703","91,968,361","61,398,388","59,647,816","48,904,852","68,063,752","49,314,675","52,215,556","40,651,679","51,430,002","33,222,435","33,653,533","24,060,601","32,448,617","20,425,548","20,324,853","16,285,665"
	OperatingRevenue,"3,273,308,000","857,682,000","862,357,000","936,626,000","702,770,000","726,561,000","585,991,000","699,783,000","550,649,000","504,097,701","433,265,168","455,749,893","321,903,222","316,330,780","260,552,500","271,121,287","195,095,088","175,048,674","142,183,159","173,329,982","129,386,962","123,204,551","99,368,290","122,370,891","89,025,837","86,998,753","73,529,703","91,968,361","61,398,388","59,647,816","48,904,852","68,063,752","49,314,675","52,215,556","40,651,679","51,430,002","33,222,435","33,653,533","24,060,601","32,448,617","20,425,548","20,324,853","16,285,665"
CostOfRevenue,"1,468,569,000","405,882,000","385,122,000","418,803,000","316,875,000","306,174,000","267,633,000","329,565,000","261,082,000","246,679,935","221,101,762","244,929,963","169,604,423","158,092,034","131,868,712","131,879,033","100,487,209","88,774,459","73,434,709","80,454,749","60,970,912","59,185,331","48,956,572","53,237,815","41,694,239","40,767,443","35,862,040","42,993,981","31,919,652","31,388,999","26,737,436","31,845,082","25,777,133","28,510,837","23,660,238","25,276,793","18,139,350","16,164,293","14,045,222","14,146,228","11,787,095","12,501,756","9,079,193"
GrossProfit,"1,804,739,000","451,800,000","477,235,000","517,823,000","385,895,000","420,387,000","318,358,000","370,218,000","289,567,000","257,417,766","212,163,406","210,819,930","152,298,799","158,238,746","128,683,788","139,242,254","94,607,879","86,274,215","68,748,450","92,875,233","68,416,050","64,019,220","50,411,718","69,133,076","47,331,598","46,231,310","37,667,663","48,974,380","29,478,736","28,258,817","22,167,416","36,218,670","23,537,542","23,704,719","16,991,441","26,153,209","15,083,085","17,489,240","10,015,379","18,302,389","8,638,453","7,823,097","7,206,472"
OperatingExpense,"1,638,298,000","464,058,000","399,199,000","447,884,000","328,577,000","305,681,000","247,362,000","289,327,000","214,578,000","190,541,949","167,208,820","142,493,639","123,494,403","114,808,593","106,614,246","87,716,706","77,038,653","69,626,980","59,144,906","53,674,350","48,815,849","49,164,368","42,192,819","38,625,276","33,665,035","31,835,354","25,774,351","24,534,490","22,811,963","22,001,802","19,097,945","19,545,280","17,559,905","17,384,080","15,825,927","15,994,141","11,777,045","9,327,863","7,575,414","6,550,136","5,418,002","5,199,906","4,720,267"
	SellingGeneralAndAdministration,"1,647,765,000","464,449,000","400,438,000","453,314,000","330,984,000","305,749,000","247,767,000","290,498,000","219,658,000","190,690,505","167,802,326","145,802,670","124,093,369","114,823,376","106,951,733","89,963,506","77,553,460","69,689,515","59,784,954","56,283,408","48,831,377","49,424,370","42,220,654","38,681,507","33,785,294","32,025,751","26,595,043","24,622,100","22,818,014","22,003,432","19,690,515","19,545,280","17,559,905","17,384,080","15,825,927","15,994,141","11,777,045","9,476,400","7,575,414","6,550,136","5,418,002","5,199,906","4,720,267"
		GeneralAndAdministrativeExpense,"794,957,000","221,245,000","209,491,000","190,056,000","175,585,000","169,553,000","146,170,000","138,798,000","125,151,000","112,343,568","106,000,685","87,311,774","80,631,290","76,797,811","71,715,676","61,343,393","53,429,830","47,393,529","42,555,604","37,492,740","33,579,764","33,627,409","28,662,950","25,527,059","22,412,592","21,842,195","17,287,151","16,144,405","15,025,991","14,379,389","12,786,196","12,532,377","11,427,572","11,850,869","9,343,453","9,168,570","7,452,070","6,443,234","4,844,194","4,052,003","3,745,583","3,196,885","3,073,467"
			OtherGandA,"794,957,000","221,245,000","209,491,000","190,056,000","175,585,000","169,553,000","146,170,000","138,798,000","125,151,000","112,343,568","106,000,685","87,311,774","80,631,290","76,797,811","71,715,676","61,343,393","53,429,830","47,393,529","42,555,604","37,492,740","33,579,764","33,627,409","28,662,950","25,527,059","22,412,592","21,842,195","17,287,151","16,144,405","15,025,991","14,379,389","12,786,196","12,532,377","11,427,572","11,850,869","9,343,453","9,168,570","7,452,070","6,443,234","4,844,194","4,052,003","3,745,583","3,196,885","3,073,467"
		SellingAndMarketingExpense,"852,808,000","243,204,000","190,947,000","263,258,000","155,399,000","136,196,000","101,597,000","151,700,000","94,507,000","78,346,937","61,801,641","58,490,896","43,462,079","38,025,565","35,236,057","28,620,113","24,123,630","22,295,986","17,229,350","18,790,668","15,251,613","15,796,961","13,557,704","13,154,448","11,372,702","10,183,556","9,307,892","8,477,695","7,792,023","7,624,043","6,904,319","7,012,903","6,132,333","5,533,211","6,482,474","6,825,571","4,324,975","3,033,166","2,731,220","2,498,133","1,672,419","2,003,021","1,646,800"
	OtherOperatingExpenses,"-9,467,000","-391,000","-1,239,000","-5,430,000","-2,407,000","-68,000","-405,000","-1,171,000","-5,080,000","-148,556","-593,506","-3,309,031","-598,966","-14,783","-337,487","-2,246,800","-514,807","-62,535","-640,048","-2,609,058","-15,528","-260,002","-27,835","-56,231","-120,259","-190,397","-820,692","-87,610","-6,051","-1,630","-592,570",,,,,,,,,,,,
