name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,12/31/2005
TotalAssets,"13,614,000,000","24,732,000,000","26,132,000,000","25,478,000,000","26,168,000,000","26,294,000,000","25,210,000,000","14,793,000,000","14,381,000,000","13,732,000,000","13,482,000,000","13,591,000,000","13,319,000,000","12,119,326,000","11,570,634,000","10,901,617,000","11,286,521,000","12,641,876,000","12,527,562,000","12,153,976,000","12,207,146,000","11,799,963,000","11,038,095,000","10,755,663,000","9,978,168,000","9,591,164,000","9,530,701,000","9,243,404,000","8,863,398,000","8,589,437,000","8,933,017,000","7,758,309,000","7,346,609,000","6,849,576,000","6,522,786,000","6,036,143,000","5,742,471,000","5,368,494,000","3,541,675,000","3,444,253,000","3,280,533,000","3,171,085,000","2,821,526,000","2,764,799,000","2,829,146,000","2,815,203,000","2,663,774,000","1,634,233,000","1,528,328,000","1,508,229,000","1,443,507,000","1,398,928,000","1,380,339,000","1,390,072,000","232,385,000"
	CurrentAssets,"2,260,000,000","1,055,000,000","2,017,000,000","860,000,000","1,027,000,000","1,409,000,000","1,028,000,000","950,000,000","719,000,000","592,000,000","535,000,000","1,304,000,000","1,353,000,000","546,494,000","1,718,810,000","1,111,990,000","1,388,567,000","1,314,550,000","1,070,681,000","901,692,000","1,154,276,000","1,188,396,000","771,041,000","1,053,914,000","575,431,000","520,875,000","607,712,000","539,430,000","446,402,000","458,882,000","496,868,000","515,068,000","474,491,000","411,023,000","547,096,000","438,552,000","419,265,000","330,633,000","238,676,000","220,652,000","225,816,000","217,258,000","178,923,000","167,279,000","252,579,000","278,783,000","201,622,000","145,863,000","95,841,000","109,442,000","70,993,000","56,577,000","47,552,000","63,765,000","59,192,000"
		CashCashEquivalentsAndShortTermInvestments,"165,000,000","70,000,000","0","0","0","0","24,000,000","55,000,000","0","0","0","662,000,000","771,000,000","53,261,000","1,158,939,000","481,230,000","466,821,000","228,550,000","20,000","280,000","21,000","21,000","98,864,000","365,488,000","21,000","21,000","22,000","47,000","974,000","2,880,000","291,000","710,000","606,000","342,000","174,000","397,000","908,000","384,000","23,696,000","32,792,000","16,066,000","4,543,000","25,100,000","29,353,000","88,489,000","130,901,000","54,370,000","31,716,000","15,692,000","30,424,000","19,868,000","10,387,000","2,573,000","1,122,000","9,182,000"
			CashAndCashEquivalents,"165,000,000","70,000,000","0","0","0","0","24,000,000","55,000,000","0","0","0","662,000,000","771,000,000","53,261,000","1,158,939,000","481,230,000","466,821,000","228,550,000","20,000","280,000","21,000","21,000","98,864,000","365,488,000","21,000","21,000","22,000","47,000","974,000","2,880,000","291,000","710,000","606,000","342,000","174,000","397,000","908,000","384,000","357,000","383,000","6,988,000","3,234,000","15,695,000","3,081,000","2,407,000","17,752,000","54,370,000","31,716,000","15,692,000","30,424,000","19,868,000","10,387,000","2,573,000","1,122,000","9,182,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","23,339,000","32,409,000","9,078,000","1,309,000","9,405,000","26,272,000","86,082,000","113,149,000",,,,,,,,,
		Receivables,"770,000,000","888,000,000","798,000,000","761,000,000","943,000,000","831,000,000","907,000,000","655,000,000","652,000,000","543,000,000","494,000,000","468,000,000","487,000,000","458,369,000","410,216,000","363,588,000","360,243,000","394,580,000","449,893,000","509,453,000","620,911,000","660,265,000","594,576,000","589,555,000","516,057,000","471,735,000","554,331,000","503,015,000","404,581,000","400,791,000","437,262,000","375,491,000","414,805,000","367,667,000","385,870,000","387,253,000","331,796,000","268,552,000","201,134,000","177,260,000","181,649,000","169,535,000","139,561,000","132,596,000","159,729,000","141,940,000","122,906,000","66,173,000","58,007,000","57,918,000","40,820,000","39,856,000","39,072,000","51,391,000","44,312,000"
			AccountsReceivable,"770,000,000","888,000,000","798,000,000","761,000,000","943,000,000","831,000,000","907,000,000","655,000,000","652,000,000","543,000,000","494,000,000","468,000,000","487,000,000","458,369,000","410,216,000","363,588,000","360,243,000","394,580,000","449,893,000","509,453,000","620,911,000","660,265,000","594,576,000","589,555,000","516,057,000","471,735,000","554,331,000","503,015,000","404,581,000","400,791,000","437,262,000","375,491,000","414,805,000","367,667,000","385,870,000","387,253,000","331,796,000","268,552,000","201,134,000","177,260,000","181,649,000","169,535,000","139,561,000","132,596,000","159,729,000","141,940,000","122,906,000","66,173,000","58,007,000","57,918,000","40,820,000","39,856,000","39,072,000","51,391,000","44,312,000"
		Inventory,"25,000,000","30,000,000","30,000,000","33,000,000","34,000,000","35,000,000","36,000,000","17,000,000","11,000,000","14,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,611,000","1,459,000","1,404,000","1,314,000","1,324,000","1,309,000","1,018,000"
		PrepaidAssets,"59,000,000","61,000,000","58,000,000","54,000,000","49,000,000","59,000,000","61,000,000","50,000,000","33,000,000","35,000,000","37,000,000","39,000,000","40,000,000","31,313,000","30,480,000","36,393,000","33,734,000","38,922,000","39,332,000","40,599,000","37,541,000","37,759,000","35,742,000","22,782,000","17,956,000","18,460,000","19,337,000","19,009,000","17,226,000","19,269,000","23,522,000","12,144,000","11,501,000","12,523,000","15,381,000","16,982,000","9,604,000","12,126,000","11,295,000","10,600,000","9,785,000","13,896,000","8,462,000","5,330,000","4,361,000","5,942,000","5,398,000","3,224,000","2,734,000","4,017,000","3,618,000","4,857,000","4,437,000","3,848,000","1,674,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,"0","0","76,089,000","40,039,000","30,069,000","33,150,000",,"16,420,000","0","0","0","47,579,000","28,793,000","0","28,962,000","76,957,000","42,716,000","2,551,000","0","18,316,000","29,284,000","5,800,000",,,"0","6,983,000","44,750,000","17,797,000","13,502,000","3,625,000","82,000","82,000","82,000","3,006,000"
