name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"2,324,309,000","1,234,091,000","1,067,992,000","831,166,000","748,888,000","635,498,000","562,342,000","483,440,000"
	CurrentAssets,"701,486,000","559,458,000","503,212,000","336,215,000","305,190,000","221,311,000","175,734,000","117,720,000"
		CashCashEquivalentsAndShortTermInvestments,"27,037,000","644,000","556,000","451,000","318,000","279,000","175,000","172,000"
			CashAndCashEquivalents,"27,037,000","644,000","556,000","451,000","318,000","279,000","175,000","172,000"
		Receivables,"72,169,000","71,851,000","66,513,000","34,533,000","26,224,000","15,743,000","11,884,000","6,057,000"
			AccountsReceivable,"69,301,000","67,527,000","54,041,000","34,533,000","23,740,000","15,743,000","7,982,000","6,057,000"
				GrossAccountsReceivable,"69,567,000",,"54,390,000","34,666,000","23,873,000","15,919,000","7,999,000","6,104,000"
				AllowanceForDoubtfulAccountsReceivable,"-266,000",,"-349,000","-133,000","-133,000","-176,000","-17,000","-47,000"
			TaxesReceivable,"2,868,000","4,324,000","12,472,000","0","2,484,000","0","3,902,000","0"
		Inventory,"581,865,000","471,014,000","427,950,000","293,702,000","272,569,000","201,581,000","155,596,000","106,225,000"
			OtherInventories,,,,"296,178,000","275,045,000","203,849,000","157,021,000","106,354,000"
			InventoriesAdjustmentsAllowances,,,,"-2,476,000","-2,476,000","-2,268,000","-1,425,000","-129,000"
		PrepaidAssets,"20,415,000","15,949,000","8,193,000","7,529,000","6,079,000","3,708,000","3,324,000","2,200,000"
		CurrentDeferredAssets,,,,,,,"4,755,000","3,066,000"
			CurrentDeferredTaxesAssets,,,,,,,"4,755,000","3,066,000"
	TotalNonCurrentAssets,"1,622,823,000","674,633,000","564,780,000","494,951,000","443,698,000","414,187,000","386,608,000","365,720,000"
		NetPPE,"1,278,545,000","328,366,000","220,952,000","150,471,000","102,983,000","72,932,000","43,985,000","25,869,000"
			GrossPPE,"1,502,835,000","480,049,000","325,658,000","220,712,000","149,387,000","101,275,000","60,724,000","35,390,000"
				Properties,"0","0","0","0","0","0","0","0"
				LandAndImprovements,"8,715,000","5,297,000","4,976,000",,,,,
				MachineryFurnitureEquipment,"350,530,000","258,291,000","179,508,000","131,486,000","88,823,000","58,773,000","35,210,000","20,410,000"
				OtherProperties,"822,256,000",,,,,,"405,000","405,000"
				Leases,"321,334,000","216,461,000","141,174,000","89,226,000","60,564,000","42,502,000","25,109,000","14,575,000"
			AccumulatedDepreciation,"-224,290,000","-151,683,000","-104,706,000","-70,241,000","-46,404,000","-28,343,000","-16,739,000","-9,521,000"
		GoodwillAndOtherIntangibleAssets,"336,746,000","336,777,000","336,809,000","336,841,000","336,873,000","337,200,000","337,556,000","337,597,000"
			Goodwill,"227,447,000","227,447,000","227,447,000","227,447,000","227,447,000","227,447,000","227,447,000","227,447,000"
			OtherIntangibleAssets,"109,299,000","109,330,000","109,362,000","109,394,000","109,426,000","109,753,000","110,109,000","110,150,000"
		OtherNonCurrentAssets,"7,532,000","9,490,000","7,019,000","7,639,000","3,842,000","4,055,000","5,067,000","2,254,000"
TotalLiabilitiesNetMinorityInterest,"1,559,973,000","649,782,000","625,132,000","696,883,000","436,523,000","353,262,000","298,210,000","208,254,000"
	CurrentLiabilities,"552,541,000","404,285,000","359,300,000","243,714,000","196,574,000","144,122,000","81,890,000","74,982,000"
		PayablesAndAccruedExpenses,"443,232,000","374,839,000","316,059,000","210,959,000","183,162,000","135,307,000","75,264,000","61,493,000"
			Payables,"391,091,000","325,549,000","258,730,000","164,253,000","147,321,000","109,188,000","59,087,000","49,212,000"
				AccountsPayable,"368,459,000","313,503,000","258,730,000","158,466,000","147,321,000","106,867,000","59,087,000","47,830,000"
				TotalTaxPayable,"22,632,000","12,046,000","0","5,787,000","0","2,321,000","0","1,382,000"
					IncomeTaxPayable,,,"0","5,787,000","0","2,321,000","0","1,382,000"
			CurrentAccruedExpenses,"52,141,000","49,290,000","57,329,000","46,706,000","35,841,000","26,119,000","16,177,000","12,281,000"
		CurrentProvisions,"9,399,000","8,229,000",,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"18,635,000","12,473,000","17,218,000","14,799,000",,,,
		CurrentDebtAndCapitalLeaseObligation,"74,592,000","3,500,000","3,500,000","3,500,000","1,267,000","1,667,000","1,467,000","9,010,000"
			CurrentDebt,,"3,500,000","3,500,000","3,500,000","1,267,000","1,667,000","1,467,000","8,875,000"
				OtherCurrentBorrowings,,"3,500,000","3,500,000","3,500,000","1,267,000","1,667,000","1,467,000","8,875,000"
			CurrentCapitalLeaseObligation,"74,592,000",,,,,,"0","135,000"
