name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalRevenue,"3,550,294,000","1,013,013,000","894,294,000","862,403,000","780,600,000","806,651,000","693,573,000","604,658,000","536,834,000","543,451,000","461,834,000","382,037,000","308,863,000","256,606,000"
	OperatingRevenue,"3,550,294,000","1,013,013,000","894,294,000","862,403,000","780,600,000","806,651,000","693,573,000","604,658,000","536,834,000","543,451,000","461,834,000","382,037,000","308,863,000","256,606,000"
CostOfRevenue,"2,762,087,000","775,653,000","684,262,000","684,393,000","617,800,000","666,543,000","550,641,000","482,753,000","444,762,000","405,965,000","348,546,000","326,976,000","242,893,000","188,534,000"
GrossProfit,"788,207,000","237,360,000","210,032,000","178,010,000","162,800,000","140,108,000","142,932,000","121,905,000","92,072,000","137,486,000","113,288,000","55,061,000","65,970,000","68,072,000"
OperatingExpense,"992,536,000","277,101,000","299,141,000","241,535,000","174,700,000","172,101,000","254,790,000","203,578,000","302,638,000","107,099,000","100,074,000","88,137,000","103,626,000","123,896,000"
	SellingGeneralAndAdministration,"992,536,000","277,101,000","299,141,000","241,535,000","174,700,000","172,101,000","254,790,000","203,578,000","302,638,000","107,099,000","100,074,000","88,137,000","103,626,000","123,896,000"
		GeneralAndAdministrativeExpense,"427,366,000","90,544,000","134,585,000","109,856,000","92,400,000","88,978,000","164,491,000","109,174,000","219,024,000","45,446,000","41,704,000","33,507,000","32,520,000","23,772,000"
			OtherGandA,"427,366,000","90,544,000","134,585,000","109,856,000","92,400,000","88,978,000","164,491,000","109,174,000","219,024,000","45,446,000","41,704,000","33,507,000","32,520,000","23,772,000"
		SellingAndMarketingExpense,"565,170,000","186,557,000","164,556,000","131,679,000","82,300,000","83,123,000","90,299,000","94,404,000","83,614,000","61,653,000","58,370,000","54,630,000","71,106,000","100,124,000"
OperatingIncome,"-204,329,000","-39,741,000","-89,109,000","-63,525,000","-11,900,000","-31,993,000","-111,858,000","-81,673,000","-210,566,000","30,387,000","13,214,000","-33,076,000","-37,656,000","-55,824,000"
NetNonOperatingInterestIncomeExpense,"2,118,777,000","566,570,000","562,155,000","525,139,000","464,900,000","456,229,000","436,542,000","394,323,000","374,674,000","246,844,000","203,769,000","151,617,000","120,426,000","95,630,000"
	InterestIncomeNonOperating,"2,030,511,000","565,008,000","537,832,000","497,167,000","430,500,000","419,835,000","387,264,000","332,595,000","274,838,000","282,957,000","224,231,000","172,628,000","138,808,000","121,904,000"
	InterestExpenseNonOperating,"38,138,000","23,585,000","6,510,000","2,204,000","5,800,000","4,656,000","7,226,000","2,804,000","16,524,000","40,752,000","21,034,000","23,540,000","19,218,000","28,761,000"
	TotalOtherFinanceCost,"-126,404,000","-25,147,000","-30,833,000","-30,176,000","-40,200,000","-41,050,000","-56,504,000","-64,532,000","-116,360,000","-4,639,000","-572,000","-2,529,000","-836,000","-2,487,000"
OtherIncomeExpense,"-1,909,000","7,074,000","-4,910,000","-491,000","-3,600,000","-2,894,000","-4,150,000","98,000","-1,109,000","-6,986,000","-2,309,000","-2,132,000","-594,000","-615,000"
	OtherNonOperatingIncomeExpenses,"-1,909,000","7,074,000","-4,910,000","-491,000","-3,600,000","-2,894,000","-4,150,000","98,000","-1,109,000","-6,986,000","-2,309,000","-2,132,000","-594,000","-615,000"
PretaxIncome,"1,912,539,000","533,903,000","468,136,000","461,123,000","449,400,000","421,342,000","320,534,000","312,748,000","163,000,000","270,246,000","214,674,000","116,409,000","82,177,000","39,191,000"
TaxProvision,"545,514,000","141,966,000","125,539,000","138,366,000","139,700,000","118,555,000","88,975,000","85,141,000","14,544,000","81,696,000","67,277,000","34,184,000","21,553,000","741,000"
NetIncomeCommonStockholders,"1,365,597,000","391,642,000","342,243,000","322,400,000","309,700,000","300,856,000","231,832,000","227,168,000","148,378,000","188,942,000","147,749,000","82,170,000","60,625,000","38,450,000"
	NetIncome,"1,365,597,000","391,642,000","342,243,000","322,400,000","309,700,000","300,856,000","231,832,000","227,168,000","148,378,000","188,942,000","147,749,000","82,170,000","60,625,000","38,450,000"
		NetIncomeIncludingNoncontrollingInterests,"1,367,025,000","391,937,000","342,597,000","322,757,000","309,700,000","302,787,000","231,559,000","227,607,000","148,456,000","188,550,000","147,397,000","82,225,000","60,624,000","38,450,000"
			NetIncomeContinuousOperations,"1,367,025,000","391,937,000","342,597,000","322,757,000","309,700,000","302,787,000","231,559,000","227,607,000","148,456,000","188,550,000","147,397,000","82,225,000","60,624,000","38,450,000"
		MinorityInterests,"-1,428,000","-295,000","-354,000","-357,000",,"-1,931,000","273,000","-439,000","-78,000","392,000","352,000","-54,000","1,000","0"
DilutedNIAvailtoComStockholders,"1,365,597,000","391,642,000","342,243,000","322,400,000","309,700,000","300,856,000","231,832,000","227,168,000","148,378,000","188,942,000","147,749,000","82,170,000","60,625,000","38,450,000"
BasicEPS,,,"1.069","1.007","0.967","0.952","0.739","0.742","0.499",,"0.561","0.313","0.231",
DilutedEPS,,,"1.035","0.981","0.965","0.951","0.737","0.739","0.497",,"0.561","0.313","0.231",
BasicAverageShares,,,"320,287,930","320,114,060","319,990,379","317,647,562","313,201,136","306,278,562","297,454,853",,"262,288,607","262,288,607","262,288,607",
DilutedAverageShares,,,"330,603,248","328,803,051","320,612,772","318,126,671","314,561,737","307,583,600","298,584,130",,"262,288,607","262,288,607","262,288,607",
TotalExpenses,"3,754,623,000","1,052,754,000","983,403,000","925,928,000","792,500,000","838,644,000","805,431,000","686,331,000","747,400,000","513,064,000","448,620,000","415,113,000","346,519,000","312,430,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,365,597,000","391,642,000","342,243,000","322,400,000","309,700,000","300,856,000","231,832,000","227,168,000","148,378,000","188,942,000","147,749,000","82,170,000","60,625,000","38,450,000"
NormalizedIncome,"1,365,597,000","391,642,000","342,243,000","322,400,000","309,700,000","300,856,000","231,832,000","227,168,000","148,378,000","188,942,000","147,749,000","82,170,000","60,625,000","38,450,000"
InterestIncome,"2,030,511,000","565,008,000","537,832,000","497,167,000","430,500,000","419,835,000","387,264,000","332,595,000","274,838,000","282,957,000","224,231,000","172,628,000","138,808,000","121,904,000"
InterestExpense,"38,138,000","23,585,000","6,510,000","2,204,000","5,800,000","4,656,000","7,226,000","2,804,000","16,524,000","40,752,000","21,034,000","23,540,000","19,218,000","28,761,000"
NetInterestIncome,"2,118,777,000","566,570,000","562,155,000","525,139,000","464,900,000","456,229,000","436,542,000","394,323,000","374,674,000","246,844,000","203,769,000","151,617,000","120,426,000","95,630,000"
