name,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006
TotalAssets,"1,255,318,000","1,088,018,000","1,033,075,000","856,450,000","672,503,000","564,557,000","464,908,000","461,362,000","437,775,000","377,425,000","288,085,000","292,713,000","240,081,000","240,815,000"
	CurrentAssets,"1,023,835,000","854,310,000","798,754,000","673,291,000","527,039,000","464,477,000","364,526,000","360,671,000","357,676,000","316,326,000","228,382,000","228,988,000","197,903,000","208,200,000"
		CashCashEquivalentsAndShortTermInvestments,"437,332,000","332,371,000","285,275,000","284,513,000","255,844,000","233,477,000","149,716,000","115,507,000","127,730,000","84,942,000","114,845,000","55,682,000","40,873,000","40,063,000"
			CashAndCashEquivalents,"180,839,000","158,102,000","133,825,000","142,804,000","112,978,000","233,477,000","149,716,000","115,507,000","127,282,000","84,942,000","114,845,000","55,682,000","40,873,000","40,063,000"
				CashFinancial,"178,019,000","146,778,000","131,240,000","136,754,000","105,548,000","214,283,000","34,981,000","23,039,000",,,,,,
				CashEquivalents,"2,820,000","11,324,000","2,585,000","6,050,000","7,430,000","19,194,000","114,735,000","92,468,000",,,,,,
			OtherShortTermInvestments,"256,493,000","174,269,000","151,450,000","141,709,000","142,866,000",,,"0","448,000",,,,,
		Receivables,"273,049,000","246,912,000","264,349,000","196,145,000","134,952,000","101,168,000","118,475,000","128,253,000","117,705,000","127,833,000","64,047,000","96,492,000","76,536,000","94,587,000"
			AccountsReceivable,"260,602,000","246,912,000","264,349,000","196,145,000","134,952,000","101,168,000","118,475,000","128,253,000","117,705,000","101,514,000","64,047,000","96,492,000","76,536,000","94,587,000"
				GrossAccountsReceivable,"260,698,000","246,972,000","264,389,000",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-96,000","-60,000","-40,000",,,,,,,,,,,
			OtherReceivables,"12,447,000",,,,,,,,,"26,319,000",,,,
		Inventory,"293,612,000","257,687,000","238,665,000","181,499,000","130,613,000","124,570,000","88,962,000","103,223,000","106,467,000","98,146,000","47,841,000","69,076,000","76,439,000","70,650,000"
			RawMaterials,"115,008,000","100,241,000","88,640,000","58,199,000","46,065,000","40,885,000","34,572,000","45,309,000","47,172,000","44,075,000","26,922,000","34,470,000","48,851,000","50,523,000"
			WorkInProcess,"142,039,000","121,797,000","105,732,000","94,762,000","69,174,000","56,376,000","43,806,000","43,879,000","46,190,000","38,458,000","15,961,000","28,875,000","26,703,000","17,466,000"
			FinishedGoods,"38,561,000","38,206,000","47,023,000","30,974,000","18,331,000","29,869,000","12,701,000","16,736,000","15,307,000","6,637,000","5,290,000","3,564,000","4,447,000","5,306,000"
			OtherInventories,,,,,,,,,,"11,163,000","2,968,000","5,898,000",,
			InventoriesAdjustmentsAllowances,"-1,996,000","-2,557,000","-2,730,000","-2,436,000","-2,957,000","-2,560,000","-2,117,000","-2,701,000","-2,202,000","-2,187,000","-3,300,000","-3,731,000","-3,562,000","-2,645,000"
		PrepaidAssets,"8,827,000","8,061,000","6,306,000","3,114,000","2,135,000","1,691,000","1,931,000","3,571,000","4,466,000","2,547,000","1,218,000","7,046,000","3,386,000","1,493,000"
		RestrictedCash,"0","3,331,000",,,,,,,,,,,,
		CurrentDeferredAssets,,,"0","1,358,000","1,662,000","1,561,000","1,937,000","4,088,000","1,308,000","696,000","431,000","692,000","669,000","1,407,000"
			CurrentDeferredTaxesAssets,,,"0","1,358,000","1,662,000","1,561,000","1,937,000","4,088,000","1,308,000","696,000","431,000","692,000","669,000","1,407,000"
		OtherCurrentAssets,"11,015,000","5,948,000","4,159,000","6,662,000","1,833,000","2,010,000","3,505,000","6,029,000",,"2,162,000",,,,
	TotalNonCurrentAssets,"231,483,000","233,708,000","234,321,000","183,159,000","145,464,000","100,080,000","100,382,000","100,691,000","80,099,000","61,099,000","59,703,000","63,725,000","42,178,000","32,615,000"
		NetPPE,"210,686,000","219,640,000","216,881,000","178,410,000","140,654,000","97,244,000","97,206,000","97,923,000","75,410,000","57,651,000","56,034,000","59,635,000","39,846,000","31,025,000"
			GrossPPE,"382,485,000","364,341,000","338,681,000","275,570,000","222,723,000","167,464,000","170,433,000","161,463,000","131,240,000","108,146,000","99,702,000","97,635,000","70,536,000","50,702,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
