name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalRevenue,"2,815,000,000","2,496,100,000","2,768,800,000","2,229,100,000","656,946,000","634,545,000","617,225,000","572,050,000","512,338,000","508,144,000","437,104,000","426,082,000","416,783,000"
	OperatingRevenue,"2,780,400,000","2,463,300,000","2,735,800,000","2,202,500,000","643,393,000","615,043,000","602,668,000","557,032,000","497,939,000","508,144,000","437,104,000","426,082,000","416,783,000"
CostOfRevenue,"1,600,300,000","1,359,200,000","1,551,900,000","1,233,500,000","77,953,000","70,574,000","66,110,000","56,576,000","46,135,000","0","0","0","0"
GrossProfit,"1,214,700,000","1,136,900,000","1,216,900,000","995,600,000","578,993,000","563,971,000","551,115,000","515,474,000","466,203,000","508,144,000","437,104,000","426,082,000","416,783,000"
OperatingExpense,"550,600,000","551,200,000","587,500,000","539,300,000","280,793,000","244,043,000","237,314,000","229,660,000","222,106,000","266,512,000","269,763,000","248,497,000","229,473,000"
	SellingGeneralAndAdministration,"282,600,000","279,200,000","310,100,000","284,600,000","203,566,000","167,260,000","130,780,000","127,889,000","114,202,000","226,970,000","235,006,000","215,351,000","196,959,000"
		GeneralAndAdministrativeExpense,"282,600,000","279,200,000","310,100,000","284,600,000","202,666,000","164,967,000","130,780,000","127,889,000","114,202,000","226,970,000","235,006,000","215,351,000","196,959,000"
			SalariesAndWages,"204,200,000","199,000,000","228,800,000","201,400,000","113,152,000","105,925,000","121,734,000","118,083,000","104,196,000","104,454,000","106,243,000","84,481,000","83,140,000"
			OtherGandA,"78,400,000","80,200,000","81,300,000","83,200,000","89,514,000","59,042,000","9,046,000","9,806,000","10,006,000","122,516,000","128,763,000","130,870,000","113,819,000"
		SellingAndMarketingExpense,,,,,"900,000","2,293,000",,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"169,900,000","176,600,000","204,000,000","192,200,000","44,377,000","46,274,000","39,913,000","34,488,000","31,485,000","34,094,000","29,891,000","27,512,000","25,633,000"
		DepreciationAndAmortizationInIncomeStatement,"169,900,000","176,600,000","204,000,000","192,200,000","44,377,000","46,274,000","39,913,000","34,488,000","31,485,000","34,094,000","29,891,000","27,512,000","25,633,000"
	OtherOperatingExpenses,"98,100,000","95,400,000","73,400,000","62,500,000","32,850,000","30,509,000","66,621,000","67,283,000","76,419,000","5,448,000","4,866,000","5,634,000","6,881,000"
OperatingIncome,"664,100,000","585,700,000","629,400,000","456,300,000","298,200,000","319,928,000","313,801,000","285,814,000","244,097,000","241,632,000","167,341,000","177,585,000","187,310,000"
NetNonOperatingInterestIncomeExpense,"-33,300,000","-35,900,000","-38,200,000","-41,300,000","-5,747,000","-43,000",,"0","0","-879,000","-896,000","-875,000","-19,000"
	InterestIncomeNonOperating,"2,100,000","1,900,000","2,300,000","1,300,000",,,,,,,,,
	InterestExpenseNonOperating,"33,800,000","36,200,000","38,700,000","39,600,000","5,747,000","43,000",,"0","0","879,000","896,000","875,000","19,000"
	TotalOtherFinanceCost,"1,600,000","1,600,000","1,800,000","3,000,000","5,747,000","43,000",,,,,,,
OtherIncomeExpense,"-39,700,000","-48,400,000","-20,000,000","-80,600,000","14,151,000","4,139,000","-4,104,000","-2,158,000","-1,546,000","-669,000","-1,822,000","520,000","6,116,000"
	GainOnSaleOfSecurity,,,,,"14,151,000","4,139,000","-4,104,000","-2,158,000","-1,546,000","142,000","475,000","1,607,000","6,998,000"
	EarningsFromEquityInterest,,,,,,,,,,"-811,000","-2,297,000","-1,087,000","-882,000"
	SpecialIncomeCharges,"-47,000,000","-48,500,000","-30,000,000","-84,400,000",,,,,,,,,
		RestructuringAndMergernAcquisition,"47,000,000","48,500,000","30,000,000","84,400,000",,,,,,,,,
	OtherNonOperatingIncomeExpenses,"7,300,000","100,000","10,000,000","3,800,000",,,,,,,,,
PretaxIncome,"591,100,000","501,400,000","571,200,000","334,400,000","306,604,000","324,024,000","309,697,000","283,656,000","242,551,000","240,084,000","164,623,000","177,230,000","193,407,000"
TaxProvision,"158,100,000","130,600,000","146,000,000","-66,200,000","120,884,000","119,001,000","119,983,000","107,657,000","85,156,000","100,678,000","65,227,000","70,779,000","78,119,000"
NetIncomeCommonStockholders,"435,100,000","372,700,000","422,100,000","396,700,000","184,945,000","204,125,000","188,392,000","173,863,000","155,254,000","136,582,000","98,166,000","106,451,000","115,288,000"
	NetIncome,"436,900,000","374,900,000","426,500,000","401,700,000","186,820,000","205,023,000","189,714,000","175,999,000","157,395,000","139,406,000","99,396,000","106,451,000","115,288,000"
		NetIncomeIncludingNoncontrollingInterests,"433,000,000","370,800,000","425,200,000","400,600,000","185,720,000","205,023,000","189,714,000","175,999,000","157,395,000","139,406,000","99,396,000","106,451,000","115,288,000"
			NetIncomeContinuousOperations,"433,000,000","370,800,000","425,200,000","400,600,000","185,720,000","205,023,000","189,714,000","175,999,000","157,395,000","139,406,000","99,396,000","106,451,000","115,288,000"
		MinorityInterests,,"4,100,000","1,300,000","1,100,000","1,100,000",,,,,,,"0","0"
	OtherunderPreferredStockDividend,"1,800,000","2,200,000","4,400,000","5,000,000","1,875,000","898,000","1,322,000","2,136,000","2,141,000","2,824,000","1,230,000",,
DilutedNIAvailtoComStockholders,"435,100,000","372,700,000","422,100,000","396,700,000","184,945,000","204,125,000","188,392,000","173,863,000","155,254,000","136,582,000","98,166,000","106,451,000","115,288,000"
BasicEPS,,,"3.78","3.7","2.27","2.46","2.21","1.99","1.78","1.52","1.03","1.17","1.27"
DilutedEPS,,,"3.76","3.69","2.27","2.46","2.21","1.99","1.78","1.52","1.03","1.15","1.24"
BasicAverageShares,,,"111,800,000","107,200,000","81,432,000","83,081,000","85,406,000","87,331,000","87,460,000","89,994,000","95,754,000","90,733,000","90,733,000"
DilutedAverageShares,,,"112,200,000","107,500,000","81,432,000","83,081,000","85,406,000","87,331,000","87,460,000","89,994,000","95,754,000","92,951,000","92,951,000"
TotalOperatingIncomeAsReported,"617,100,000","537,200,000","599,400,000","371,900,000","298,200,000","319,928,000","313,801,000","285,814,000","244,097,000","241,632,000","167,341,000","177,585,000","187,310,000"
TotalExpenses,"2,150,900,000","1,910,400,000","2,139,400,000","1,772,800,000","358,746,000","314,617,000","303,424,000","286,236,000","268,241,000","266,512,000","269,763,000","248,497,000","229,473,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"436,900,000","374,900,000","426,500,000","401,700,000","186,820,000","205,023,000","189,714,000","175,999,000","157,395,000","139,406,000","99,396,000","106,451,000","115,288,000"
NormalizedIncome,"471,329,030.621","410,790,000","448,820,000","452,340,000","178,244,494","202,403,013","192,229,752","177,336,960","158,398,354","139,313,700","99,109,204.716","105,485,775.394","111,089,200"
InterestIncome,"2,100,000","1,900,000","2,300,000","1,300,000",,,,,,,,,
InterestExpense,"33,800,000","36,200,000","38,700,000","39,600,000","5,747,000","43,000",,"0","0","879,000","896,000","875,000","19,000"
NetInterestIncome,"-33,300,000","-35,900,000","-38,200,000","-41,300,000","-5,747,000","-43,000",,"0","0","-879,000","-896,000","-875,000","-19,000"
EBIT,"624,900,000","537,600,000","609,900,000","374,000,000","312,351,000","324,067,000","313,801,000","283,656,000","242,551,000","240,963,000","165,519,000","178,105,000","193,426,000"
EBITDA,"794,800,000"
ReconciledCostOfRevenue,"1,600,300,000","1,359,200,000","1,551,900,000","1,233,500,000","77,875,000","70,493,000","66,023,000","56,462,000","46,047,000","0","0","0","0"
ReconciledDepreciation,"169,900,000","176,600,000","204,000,000","192,200,000","44,455,000","46,355,000","40,000,000","34,602,000","31,573,000","34,184,000","29,960,000","27,725,000","25,656,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"436,900,000","374,900,000","426,500,000","401,700,000","186,820,000","205,023,000","189,714,000","175,999,000","157,395,000","139,406,000","99,396,000","106,451,000","115,288,000"
TotalUnusualItemsExcludingGoodwill,"-47,000,000","-48,500,000","-30,000,000","-84,400,000","14,151,000","4,139,000","-4,104,000","-2,158,000","-1,546,000","142,000","475,000","1,607,000","6,998,000"
TotalUnusualItems,"-47,000,000","-48,500,000","-30,000,000","-84,400,000","14,151,000","4,139,000","-4,104,000","-2,158,000","-1,546,000","142,000","475,000","1,607,000","6,998,000"
NormalizedEBITDA,"841,800,000","762,700,000","843,900,000","650,600,000","342,655,000","366,283,000","357,905,000","320,416,000","275,670,000","275,005,000","195,004,000","204,223,000","212,084,000"
TaxRateForCalcs,"0.267","0.26","0.256","0.4","0.394","0.367","0.387","0.38","0.351","0.35","0.396","0.399","0.4"
TaxEffectOfUnusualItems,"-12,570,969.379","-12,610,000","-7,680,000","-33,760,000","5,575,494","1,519,013","-1,588,248","-820,040","-542,646","49,700","188,204.716","641,775.394","2,799,200"
