name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013
MarketCap,"2,606,120,571","2,082,402,562","6,694,039,765","6,515,365,830","6,394,263,009","7,024,915,838","5,244,973,936","6,056,354,543","5,944,199,829","5,529,427,181","5,495,620,204","5,142,154,699","4,782,541,968","5,218,533,306","3,942,153,399","3,463,176,745","3,190,023,203","2,680,380,079","2,802,529,816","3,019,011,144","3,511,884,858","2,125,766,622","1,806,123,736","1,648,521,150","1,777,942,731","1,638,266,551","1,691,362,466","1,676,093,160","1,705,392,840"
PeRatio,"3.888","3.739","20.654","20.632","11.316","6.018","3.739","4.466","3.852","5.222","5.694","5.933","7.553","8.009","9.47","9.395","8.929","8.811","9.967","6.968","6.35","5.941","4.61","4.899","5.288","6.282","8.22","10.85","33.028"
ForwardPeRatio,"7.337","2.269","7.474","6.831","7.194","7.77","6.317",,"8.969","8.439",,"7.987","7.391","8.124","7.082",,"6.72","6.39",,"6.549","7.542","7.542","7.252",,,,,,
PsRatio,"1.666","1.392","5.815","5.507","4.314","4.251","2.94","3.977","3.448","3.706","3.97","3.749","4.635","5.259","6.993","8.338","8.737","8.011","7.293","5.756","4.792","4.598","3.799","3.979","7.048","8.785","12.781","17.874","34.672"
PbRatio,"0.586","0.309","0.991","0.97","0.937","1.171","0.913","1.062","1.049","1.179","1.202","1.162","1.166","1.601","1.26","1.232","1.146","0.959","0.999","1.054","2.24","1.332","1.146","1.1","1.393","1.294","1.341","1.345","2.222"
