name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999
		OtherIntangibleAssets,"641,000,000",,,,,,,,"1,666,000,000","2,027,000,000",,,,,,,,,,,
	OtherAssets,"257,000,000,000","307,000,000,000","495,000,000,000",,,,,,,,"7,937,000,000","346,684,000,000","456,772,000,000","356,437,000,000","294,338,000,000","226,947,000,000","174,646,000,000","142,074,000,000","120,897,000,000","62,855,000,000","6,338,000,000"
TotalLiabilitiesNetMinorityInterest,"902,703,000,000","841,611,000,000","834,533,000,000","773,272,000,000","774,667,000,000","773,443,000,000","833,040,000,000","862,839,000,000","852,846,000,000","833,976,000,000","778,228,000,000","818,535,000,000","1,069,731,000,000","802,415,000,000","678,802,000,000","506,300,000,000","382,167,000,000","336,571,000,000","293,987,000,000","273,230,000,000","240,346,000,000"
	TotalDeposits,"190,019,000,000","158,257,000,000","138,604,000,000","124,098,000,000","97,519,000,000","83,008,000,000","70,807,000,000","70,124,000,000","46,109,000,000","38,569,000,000","39,418,000,000","27,643,000,000","15,370,000,000",,,,,,,,
		InterestBearingDepositsLiabilities,"190,019,000,000","158,257,000,000","138,604,000,000","124,098,000,000","97,519,000,000","83,008,000,000",,,"46,109,000,000","38,569,000,000","39,418,000,000","27,643,000,000","15,370,000,000",,,,,,,,
			DepositsbyBank,"72,814,000,000","70,850,000,000","69,764,000,000","73,174,000,000","47,353,000,000","41,409,000,000",,,,,,,,,,,,,,,
			CustomerAccounts,"117,205,000,000","87,407,000,000","68,840,000,000","50,924,000,000","50,166,000,000","41,599,000,000",,,"46,109,000,000","38,569,000,000","39,418,000,000","27,643,000,000","15,370,000,000",,,,,,,,
	FederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase,"117,756,000,000","78,723,000,000","84,718,000,000","71,816,000,000","86,069,000,000","88,215,000,000","164,782,000,000","171,807,000,000","164,502,000,000","303,062,000,000","128,360,000,000","118,626,000,000","468,535,000,000","325,505,000,000","321,428,000,000","199,064,000,000","163,311,000,000","155,630,000,000","120,948,000,000","40,211,000,000","49,352,000,000"
		FinancialInstrumentsSoldUnderAgreementsToRepurchase,"117,756,000,000","78,723,000,000","84,718,000,000","71,816,000,000","86,069,000,000","88,215,000,000","164,782,000,000","171,807,000,000","164,502,000,000","303,062,000,000","128,360,000,000",,,,,,,,,,
	SecuritiesLoaned,"14,985,000,000","11,808,000,000","14,793,000,000","7,524,000,000","3,614,000,000","5,570,000,000","18,745,000,000","13,765,000,000","7,182,000,000","49,589,000,000","39,341,000,000",,,,,,,,,,
	PayablesAndAccruedExpenses,"185,400,000,000","189,318,000,000","187,653,000,000","194,469,000,000","219,997,000,000","219,856,000,000","211,922,000,000","216,200,000,000","202,933,000,000","190,504,000,000","219,489,000,000","253,843,000,000","318,453,000,000","223,874,000,000","188,318,000,000","161,221,000,000","109,028,000,000","95,590,000,000","97,297,000,000","82,148,000,000","59,534,000,000"
		Payables,"177,764,000,000","183,099,000,000","182,220,000,000","190,249,000,000","211,642,000,000","215,105,000,000","206,739,000,000","197,209,000,000","198,825,000,000","190,504,000,000","185,634,000,000","253,843,000,000","318,453,000,000","223,874,000,000","188,318,000,000","161,221,000,000","109,028,000,000","95,590,000,000","97,297,000,000","82,148,000,000","59,534,000,000"
			AccountsPayable,"174,817,000,000","180,235,000,000","178,169,000,000","188,455,000,000","210,362,000,000","213,572,000,000","204,765,000,000","194,485,000,000","198,292,000,000","190,504,000,000",,,,,,,,,,,
			TotalTaxPayable,"2,947,000,000","2,864,000,000","4,051,000,000","1,794,000,000","1,280,000,000","1,533,000,000","1,974,000,000","2,724,000,000","533,000,000",,,,,,,,,,,,
				IncomeTaxPayable,"2,947,000,000","2,864,000,000","4,051,000,000","1,794,000,000","1,280,000,000","1,533,000,000","1,974,000,000","2,724,000,000","533,000,000",,,,,,,,,,,,
		CurrentAccruedExpenses,"7,636,000,000","6,219,000,000","5,433,000,000","4,220,000,000","8,355,000,000","4,751,000,000","5,183,000,000","18,991,000,000","4,108,000,000",,"33,855,000,000",,,,,,,,,,
	CurrentDebtAndCapitalLeaseObligation,"55,611,000,000","50,057,000,000","61,818,000,000","52,383,000,000","57,020,000,000","60,100,000,000","61,982,000,000","67,349,000,000","49,038,000,000","47,842,000,000","37,516,000,000","52,658,000,000","71,557,000,000","47,904,000,000","55,219,000,000","54,959,000,000","44,202,000,000","40,638,000,000","37,597,000,000","33,471,000,000","37,756,000,000"
		CurrentDebt,"55,611,000,000","50,057,000,000","61,818,000,000","52,383,000,000","57,020,000,000","60,100,000,000","61,982,000,000","67,349,000,000","49,038,000,000","47,842,000,000","37,516,000,000","52,658,000,000","71,557,000,000","47,904,000,000","55,219,000,000","54,959,000,000","44,202,000,000","40,638,000,000","37,597,000,000","33,471,000,000","37,756,000,000"
			OtherCurrentBorrowings,"55,611,000,000","50,057,000,000","61,818,000,000","52,383,000,000","57,020,000,000","60,100,000,000","61,982,000,000","67,349,000,000","49,038,000,000","47,842,000,000","37,516,000,000","52,658,000,000","71,557,000,000","47,904,000,000","55,219,000,000","54,959,000,000","44,202,000,000","40,638,000,000","37,597,000,000","33,471,000,000","37,756,000,000"
	TradingLiabilities,"108,835,000,000",,,,,,,,,,"129,019,000,000",,,,,,,,,,
