name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,12/31/2005
			FinishedGoods,"18,000,000","36,000,000","22,000,000","25,000,000","35,000,000","34,000,000","30,000,000","32,000,000","30,000,000","43,000,000","29,000,000","46,000,000","41,000,000","60,165,000","29,959,000","22,873,000","6,180,000","9,414,000","7,145,000","12,462,000","16,281,000","4,293,000","13,239,000","5,800,000","4,072,000","10,430,000","14,158,000","11,730,000","4,605,000","7,045,000",,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"146,000,000","158,000,000","177,000,000","225,000,000","316,000,000","228,000,000","189,000,000","139,000,000","97,000,000","36,000,000","57,000,000","40,000,000","64,000,000","37,697,000","42,925,000","41,486,000","29,356,000","39,836,000","54,995,000","24,783,000","31,924,000","33,734,000","21,560,000","11,875,000","20,874,000","20,734,000","33,621,000","18,213,000","17,311,000","11,639,000","7,378,000","9,275,000","10,471,000","7,976,000","7,779,000","8,035,000","8,288,000","4,727,000","8,369,000","8,283,000","8,733,000","4,836,000","14,255,000","5,812,000","6,847,000","5,407,000","7,336,000","7,013,000","971,000","432,000","384,000","376,000","380,000","385,000","415,000"
		RestrictedCash,"109,000,000","181,000,000","185,000,000","596,000,000","1,297,000,000","1,541,000,000","1,457,000,000","1,521,000,000","1,477,000,000","1,589,000,000","1,395,000,000","865,000,000","756,000,000","604,944,000","568,549,000","450,506,000","401,972,000","274,557,000","391,495,000","374,508,000","261,371,000","195,702,000","393,276,000","357,793,000","176,518,000","227,652,000","210,076,000","533,057,000","252,854,000","92,519,000","123,297,000","13,732,000","54,929,000","13,732,000","54,929,000","13,732,000","54,929,000","13,732,000","54,929,000","13,732,000","54,929,000","13,732,000","54,929,000","13,732,000","54,961,000","235,985,000","267,541,000","183,913,000","193,460,000","191,179,000","190,276,000","179,944,000","209,645,000","355,327,000","8,871,000"
		HedgingAssetsCurrent,"13,000,000","17,000,000","8,000,000","17,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"51,000,000","52,000,000","65,000,000","68,000,000","47,000,000","26,000,000","55,000,000","55,000,000","54,000,000","65,000,000","35,000,000","39,000,000","30,000,000","28,656,000","16,184,000","21,726,000","17,986,000","14,181,000","16,055,000","15,197,000","5,195,000","3,651,000","2,568,000","3,247,000","3,285,000","3,280,000","4,255,000",,,,,,,,,,,,,,"2,024,000",,,,,,"4,250,000","33,466,000","2,533,000","1,709,000","1,356,000","1,664,000","1,327,000","379,000","8,752,000"
	TotalNonCurrentAssets,"16,785,000,000","16,677,000,000","16,632,000,000","16,538,000,000","15,915,000,000","15,618,000,000","15,501,000,000","15,480,000,000","15,400,000,000","15,414,000,000","15,437,000,000","15,947,000,000","15,965,000,000","14,584,080,000","14,134,201,000","13,612,864,000","13,148,829,000","12,502,852,000","11,904,548,000","11,684,179,000","11,736,521,000","9,900,995,000","9,970,182,000","10,026,238,000","7,843,018,000","7,903,655,000","6,947,499,000","7,065,898,000","4,976,644,000","3,215,734,000","2,934,488,000","1,674,081,000","1,626,524,000","1,627,790,000","1,638,485,000","1,648,492,000","1,657,999,000","1,664,839,000","1,675,047,000","1,686,246,000","1,697,549,000","1,706,542,000","1,723,773,000","1,759,879,000","1,734,039,000","1,732,732,000","1,732,334,000","1,607,111,000","1,719,438,000","1,706,061,000","1,762,943,000","1,748,325,000","1,797,677,000","1,496,790,000","291,091,000"
		NetPPE,"16,568,000,000","16,462,000,000","16,429,000,000","16,324,000,000","15,708,000,000","15,390,000,000","15,282,000,000","15,207,000,000","15,145,000,000","15,139,000,000","15,097,000,000","14,922,000,000","14,636,000,000","14,158,187,000","13,788,657,000","13,223,191,000","12,713,379,000","11,931,602,000","11,299,725,000","10,511,970,000","9,534,951,000","8,978,356,000","8,463,022,000","7,815,072,000","7,028,192,000","6,383,939,000","5,642,872,000","4,831,351,000","3,241,990,000","2,704,895,000","2,414,003,000","1,540,874,000","1,504,813,000","1,514,416,000","1,524,340,000","1,533,799,000","1,542,278,000","1,550,465,000","1,559,573,000","1,569,642,000","1,579,286,000","1,588,557,000","1,605,079,000","1,593,868,000","1,565,772,000","1,517,507,000","1,482,959,000","1,417,341,000","1,267,647,000","1,127,289,000","1,005,877,000","879,145,000","769,436,000","651,676,000","270,737,000"
			GrossPPE,"18,533,000,000","18,290,000,000","18,120,000,000","17,880,000,000","17,130,000,000","16,699,000,000","16,489,000,000","16,310,000,000","16,144,000,000","16,036,000,000","15,896,000,000","15,636,000,000","15,266,000,000","14,724,179,000","14,292,870,000","13,684,628,000","13,148,201,000","12,348,826,000","11,700,179,000","10,895,778,000","9,902,573,000","9,331,106,000","8,801,022,000","8,137,562,000","7,336,809,000","6,678,074,000","5,922,554,000","5,096,885,000","3,421,574,000","2,873,830,000","2,572,283,000","1,688,502,000","1,641,826,000","1,640,800,000","1,640,026,000","1,638,719,000","1,636,431,000","1,633,882,000","1,632,351,000","1,631,941,000","1,631,061,000","1,629,770,000","1,636,270,000","1,616,153,000","1,580,897,000","1,525,983,000","1,483,559,000","1,417,834,000","1,268,023,000","1,127,557,000","1,006,067,000","879,279,000","769,519,000","651,739,000","270,750,000"
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"158,000","159,000","161,000","163,000","165,000","166,000","167,000","170,000","171,000","173,000","175,000","176,000","178,000","180,000",,"183,000",,,,,"11,000","11,000","10,000","10,000","10,000"
				MachineryFurnitureEquipment,,,,,,,,,,,,,,"17,908,000","12,713,000","12,261,000","11,221,000","10,726,000","6,548,000","5,999,000","5,736,000","5,495,000","5,468,000","3,892,000","3,409,000","3,009,000","2,848,000","2,779,000","2,692,000","2,545,000","2,248,000","2,190,000","2,138,000","1,711,000","1,617,000","1,617,000","1,592,000","1,575,000","1,565,000","2,050,000","1,629,594,000","1,629,175,000","1,431,000","1,072,106,000","1,417,000","921,148,000","1,373,000","1,376,000","1,345,000","1,136,000","844,000","594,000","249,000","130,000","30,000"
